,V1,V2
suture_start,370,724
curveLM.3,371.2482711,723.7517289
curveLM.4,372.2880033,723
curveLM.5,373.6391117,723
curveLM.6,374.7001914,722.2998086
curveLM.7,375.927115,722
curveLM.8,376.9038404,721.0961596
curveLM.9,378.2151183,721
curveLM.10,379.4003827,720.5996173
curveLM.11,380.5031215,720
curveLM.12,381.6040318,719.3959682
curveLM.13,382.7911248,719
curveLM.14,384.1005741,718.8994259
curveLM.15,385.0791281,718
curveLM.16,386.4302365,718
curveLM.17,387,717.2186551
curveLM.18,388.1324534,717
curveLM.19,389.3419298,716.6580702
curveLM.20,390.4204566,716
curveLM.21,391.5455789,715.4544211
curveLM.22,392.7084599,715
curveLM.23,393.749228,714.250772
curveLM.24,394.9964632,714
curveLM.25,395.952877,713.047123
curveLM.26,397.2011482,712.7988518
curveLM.27,398.2213613,712
curveLM.28,399.4047973,711.5952027
curveLM.29,400.5093646,711
curveLM.30,401,710.139527
curveLM.31,402.2115815,710
curveLM.32,403.3978818,709.6021182
curveLM.33,404.4995847,709
curveLM.34,405.6015309,708.3984691
curveLM.35,406.787588,708
curveLM.36,407.80518,707.19482
curveLM.37,409.0534511,706.9465489
curveLM.38,410.0124862,706
curveLM.39,411.2571002,705.7428998
curveLM.40,412.2124781,704.7875219
curveLM.41,413.1678561,703.8321439
curveLM.42,414.1742792,703
curveLM.43,415.5253876,703
curveLM.44,416.876496,703
curveLM.45,418.1609406,702.8390594
curveLM.46,419.1644993,702
curveLM.47,420.5156077,702
curveLM.48,421,701.1332839
curveLM.49,422.1540252,700.8459748
curveLM.50,423.1547194,700
curveLM.51,424.3576743,699.6423257
curveLM.52,425,698.5572773
curveLM.53,425.7938311,698
curveLM.54,427.1024877,697.8975123
curveLM.55,428.0818344,697
curveLM.56,429.4329428,697
curveLM.57,430,696.2159488
curveLM.58,431.1351597,696
curveLM.59,432,695.5137319
curveLM.60,432.8373765,695
curveLM.61,433.8403857,694.1596143
curveLM.62,435.0886569,693.9113431
curveLM.63,436.0622746,693
curveLM.64,437.4133831,693
curveLM.65,438.7644915,693
curveLM.66,440.0817415,692.9182585
curveLM.67,441.0524948,692
curveLM.68,442.4036032,692
curveLM.69,443.7547116,692
curveLM.70,445.10582,692
curveLM.71,446.4569284,692
curveLM.72,447,691.1919631
curveLM.73,448.1591453,691
curveLM.74,449.5102537,691
curveLM.75,450.609075,690.390925
curveLM.76,451.5644529,689.4355471
curveLM.77,452.7351518,689
curveLM.78,454,688.9137397
curveLM.79,454.4373687,688
curveLM.80,455.7884771,688
curveLM.81,457.1395855,688
curveLM.82,458.346973,688.346973
curveLM.83,459.3023509,689.3023509
curveLM.84,460.3644837,690
curveLM.85,461.506,689.494
curveLM.86,462.4613779,688.5386221
curveLM.87,463.4167559,687.5832441
curveLM.88,464.5262767,687
curveLM.89,465.8773851,687
curveLM.90,467.1615693,686.8384307
curveLM.91,468.1169472,685.8830528
curveLM.92,469.1022832,685
curveLM.93,470.3205963,684.6794037
curveLM.94,471.3902865,684
curveLM.95,472.7413949,684
curveLM.96,474.0925033,684
curveLM.97,475.4436118,684
curveLM.98,476.561952,683.438048
curveLM.99,477.731615,683
curveLM.100,478.7656011,682.2343989
curveLM.101,480.0196183,682
curveLM.102,481.2621434,681.7378566
curveLM.103,482.3076216,681
curveLM.104,483.4657925,680.5342075
curveLM.105,484.5956249,680
curveLM.106,485.6694415,679.3305585
curveLM.107,486.8836282,679
curveLM.108,487.8730906,678.1269094
curveLM.109,489.1716314,678
curveLM.110,490.5227399,678
curveLM.111,491.6179041,677.3820959
curveLM.112,492.8107431,677
curveLM.113,494.1618516,677
curveLM.114,495.3627175,676.6372825
curveLM.115,496.4498548,676
curveLM.116,497.5663666,675.4336334
curveLM.117,498.7378581,675
curveLM.118,500.0889665,675
curveLM.119,501.440075,675
curveLM.120,502.7911834,675
curveLM.121,503.8077223,674.1922777
curveLM.122,505.0791867,674
curveLM.123,506.4302951,674
curveLM.124,507.7814035,674
curveLM.125,509.1325119,674
curveLM.126,510.4836204,674
curveLM.127,511.8347288,674
curveLM.128,513.1858372,674
curveLM.129,514.5369456,674
curveLM.130,515.888054,674
curveLM.131,517.1691134,674.1691134
curveLM.132,518.1760573,675
curveLM.133,519.5271657,675
curveLM.134,520.8782742,675
curveLM.135,521.2293826,676
curveLM.136,522,675.419509
curveLM.137,522.9315994,675
curveLM.138,523.9070114,674.0929886
curveLM.139,524.8623893,673.1376107
curveLM.140,526.1564976,673
curveLM.141,527.507606,673
curveLM.142,528.8587144,673
curveLM.143,529.8554739,672.1445261
curveLM.144,531.1037451,671.8962549
curveLM.145,532.0836125,671
curveLM.146,533.434721,671
curveLM.147,534.5556653,670.4443347
curveLM.148,535.5110432,669.4889568
curveLM.149,536.6596191,669
curveLM.150,538.0075855,668.9924145
curveLM.151,538.9629634,668.0370366
curveLM.152,540.2987308,668
curveLM.153,541.6498392,668
curveLM.154,543.0009477,668
curveLM.155,544.3520561,668
curveLM.156,545.7031645,668
curveLM.157,546.7454835,667.2545165
curveLM.158,547.9911678,667
curveLM.159,549.2420258,666.7579742
curveLM.160,550.2791711,666
curveLM.161,551.6302795,666
curveLM.162,552.9813879,666
curveLM.163,553.9422172,665.0577828
curveLM.164,555.2693912,665
curveLM.165,556.6204996,665
curveLM.166,557.971608,665
curveLM.167,559.3227164,665
curveLM.168,560.4764661,664.5235339
curveLM.169,561.6107197,664
curveLM.170,562.9618281,664
curveLM.171,564.2212796,663.7787204
curveLM.172,565.2498314,663
curveLM.173,566.6009398,663
curveLM.174,567.6731998,662.3268002
curveLM.175,568.8889431,662
curveLM.176,570.2400515,662
curveLM.177,571.59116,662
curveLM.178,572.9422684,662
curveLM.179,574.2074487,661.7925513
curveLM.180,575.2302717,661
curveLM.181,576.5813801,661
curveLM.182,577.6593689,660.3406311
curveLM.183,578.8693834,660
curveLM.184,580.1559112,659.8440888
curveLM.185,581.1573866,659
curveLM.186,582.3595603,658.6404397
curveLM.187,583.4453899,658
curveLM.188,584.7964983,658
curveLM.189,586.1476068,658
curveLM.190,587.4987152,658
curveLM.191,588.8498236,658
curveLM.192,590.200932,658
curveLM.193,591.5520405,658
curveLM.194,592.9031489,658
curveLM.195,593.8868938,657.1131062
curveLM.196,595.1911522,657
curveLM.197,596.3834361,657.3834361
curveLM.198,597.4791554,658
curveLM.199,598.8302639,658
curveLM.200,600.1282496,657.8717504
curveLM.201,601.1182671,657
curveLM.202,602.4693756,657
curveLM.203,603.820484,657
curveLM.204,605,656.8284076
curveLM.205,605.5227008,656
curveLM.206,606.8738092,656
curveLM.207,608.1590408,655.8409592
curveLM.208,609.1618125,655
curveLM.209,610.5129209,655
curveLM.210,611.8640294,655
curveLM.211,613.2151378,655
curveLM.212,614.4003965,654.5996035
curveLM.213,615.5031411,654
curveLM.214,616.8542495,654
curveLM.215,618.2053579,654
curveLM.216,619.5564663,654
curveLM.217,620.9075747,654
curveLM.218,622.2586832,654
curveLM.219,623.6097916,654
curveLM.220,624.9609,654
curveLM.221,626.3120084,654
curveLM.222,627.6631169,654
curveLM.223,628.7171656,653.2828344
curveLM.224,629.9511201,653
curveLM.225,631.3022286,653
curveLM.226,632.461979,653.461979
curveLM.227,633.5902318,654
curveLM.228,634.9413403,654
curveLM.229,635.9138992,654.9138992
curveLM.230,637.2293435,655
curveLM.231,638.580452,655
curveLM.232,639.6587127,655.6587127
curveLM.233,640.8684552,656
curveLM.234,641.8623617,655.1376383
curveLM.235,642.8177397,654.1822603
curveLM.236,644.0660108,653.9339892
curveLM.237,645.0302482,653
curveLM.238,646.3813567,653
curveLM.239,647.7324651,653
curveLM.240,649.0835735,653
curveLM.241,650.4346819,653
curveLM.242,651.7857903,653
curveLM.243,652.8039088,652.1960912
curveLM.244,654.0737936,652
curveLM.245,655.424902,652
curveLM.246,656.7760105,652
curveLM.247,658.1271189,652
curveLM.248,659.4782273,652
curveLM.249,660.5864289,651.4135711
curveLM.250,661.7662306,651
curveLM.251,663.117339,651
curveLM.252,664.3312424,650.6687576
curveLM.253,665.4053423,650
curveLM.254,666.7564507,650
curveLM.255,668.1075591,650
curveLM.256,669.4586676,650
curveLM.257,670.809776,650
curveLM.258,672.1608844,650
curveLM.259,673.3620336,650.3620336
curveLM.260,674.4488877,651
curveLM.261,675.7999961,651
curveLM.262,677.1511045,651
curveLM.263,678.3551182,651.3551182
curveLM.264,679.4391078,652
curveLM.265,680.7902162,652
curveLM.266,682.1413246,652
curveLM.267,683.4924331,652
curveLM.268,684.8435415,652
curveLM.269,685.844745,652.844745
curveLM.270,687.1315448,653
curveLM.271,688.4826532,653
curveLM.272,689.8337616,653
curveLM.273,690.8378296,653.8378296
curveLM.274,692.1217649,654
curveLM.275,693.3343719,654.3343719
curveLM.276,694.4097682,655
curveLM.277,695.7608766,655
curveLM.278,697.0791854,655.0791854
curveLM.279,698.0488799,656
curveLM.280,699.3999883,656
curveLM.281,700.7510967,656
curveLM.282,702.1022051,656
curveLM.283,703.3205411,656.3205411
curveLM.284,704.3902084,657
curveLM.285,705.7413168,657
curveLM.286,706.7724613,657.7724613
curveLM.287,708.0293201,658
curveLM.288,709.3804285,658
curveLM.289,710,657.268463
curveLM.290,711.0826454,657
curveLM.291,712.3067102,656.6932898
curveLM.292,713.3706487,656
curveLM.293,714.5103593,655.4896407
curveLM.294,715.6586519,655
curveLM.295,717.0097604,655
curveLM.296,718.3608688,655
curveLM.297,719.7119772,655
curveLM.298,721.0446083,655.0446083
curveLM.299,721.9999862,655.9999862
curveLM.300,723.3510889,656
curveLM.301,724.4965285,656.4965285
curveLM.302,725.6390922,657
curveLM.303,726.7001776,657.7001776
curveLM.304,727.6555555,658.6555555
curveLM.305,728.8639903,659
curveLM.306,729.8592046,659.8592046
curveLM.307,731.1519936,660
curveLM.308,732.503102,660
curveLM.309,733.604018,660.604018
curveLM.310,734.7911053,661
curveLM.311,736.1005603,661.1005603
curveLM.312,737.0791086,662
curveLM.313,738.3042094,662.3042094
curveLM.314,739.3671119,663
curveLM.315,740.5078584,663.5078584
curveLM.316,741.6551151,664
curveLM.317,743.0062236,664
curveLM.318,744.357332,664
curveLM.319,745.500943,664.500943
curveLM.320,746.6453353,665
curveLM.321,747.9964437,665
curveLM.322,749.2457564,665.2457564
curveLM.323,750.284447,666
curveLM.324,751.6355554,666
curveLM.325,752.9866638,666
curveLM.326,753.9459478,666.9459478
curveLM.327,755.194219,667.194219
curveLM.328,756.2115619,668
curveLM.329,757.5626704,668
curveLM.330,758.9137788,668
curveLM.331,759.2648872,669
curveLM.332,760.6159956,669
curveLM.333,761.967104,669
curveLM.334,762.3182125,670
curveLM.335,763.6693209,670
curveLM.336,765.0204293,670
curveLM.337,766,670.3715377
curveLM.338,766.7226462,671
curveLM.339,768.0737546,671
curveLM.340,769.424863,671
curveLM.341,770,671.7759714
curveLM.342,771.1270798,672
curveLM.343,772.4781883,672
curveLM.344,773.8292967,672
curveLM.345,775.1275657,672.1275657
curveLM.346,776.1173,673
curveLM.347,777.4684084,673
curveLM.348,778.8195168,673
curveLM.349,780.1706252,673
curveLM.350,781.3689214,673.3689214
curveLM.351,782.4586285,674
curveLM.352,783.8097369,674
curveLM.353,785.1137348,674.1137348
curveLM.354,786.0977402,675
curveLM.355,787.4488486,675
curveLM.356,788.799957,675
curveLM.357,790,675.1510655
curveLM.358,790.5021739,676
curveLM.359,791.8532823,676
curveLM.360,793.1445261,676.1445261
curveLM.361,794.1412856,677
curveLM.362,795.492394,677
curveLM.363,796.5964463,677.5964463
curveLM.364,797.7803973,678
curveLM.365,799.0929886,678.0929886
curveLM.366,800.0684006,679
curveLM.367,801.2966377,679.2966377
curveLM.368,802.3564039,680
curveLM.369,803.7075123,680
curveLM.370,805.0414511,680.0414511
curveLM.371,805.996829,680.996829
curveLM.372,807.346624,681
curveLM.373,808.6977324,681
curveLM.374,810.0488408,681
curveLM.375,811.3999492,681
curveLM.376,812.7510577,681
curveLM.377,813.7793491,680.2206509
curveLM.378,814.734727,680.734727
curveLM.379,815.9759558,681
curveLM.380,816.9383761,681.9383761
curveLM.381,818.1866473,682.1866473
curveLM.382,819.1420252,683.1420252
curveLM.383,820.0974031,684.0974031
curveLM.384,821.0746437,685
curveLM.385,822.4257521,685
curveLM.386,823.5493233,685.5493233
curveLM.387,824.7137554,686
curveLM.388,826.0648638,686
curveLM.389,827.2941368,685.7058632
curveLM.390,828.3528671,685
curveLM.391,829.7039755,685
curveLM.392,831.0550839,685
curveLM.393,832.4061923,685
curveLM.394,833.7573007,685
curveLM.395,835.1084092,685
curveLM.396,836.4595176,685
curveLM.397,837.5731991,685.5731991
curveLM.398,838.7475209,686
curveLM.399,840.0986293,686
curveLM.400,841,686.4497377
curveLM.401,841.8008461,687
