,V1,V2
suture_start,1475,449
curveLM.3,1475.548803,449
curveLM.4,1476.069018,449.0690182
curveLM.5,1476.457081,449.4570807
curveLM.6,1476.845143,449.8451432
curveLM.7,1477.329803,450
curveLM.8,1477.878606,450
curveLM.9,1478.427409,450
curveLM.10,1478.976212,450
curveLM.11,1479.371242,450.3712421
curveLM.12,1479.759305,450.7593045
curveLM.13,1480.147367,451.147367
curveLM.14,1480.53543,451.5354295
curveLM.15,1480.923492,451.923492
curveLM.16,1481.311554,452.3115545
curveLM.17,1481.699617,452.699617
curveLM.18,1482,453.1239975
curveLM.19,1482,453.6728007
curveLM.20,1482.156698,454.1566977
curveLM.21,1482.54476,454.5447602
curveLM.22,1482.932823,454.9328226
curveLM.23,1483,455.4538001
curveLM.24,1483,456.0026033
curveLM.25,1483,456.5514066
curveLM.26,1483,457.1002098
curveLM.27,1483,457.649013
curveLM.28,1483,458.1978163
curveLM.29,1483,458.7466195
curveLM.30,1483,459.2954227
curveLM.31,1483,459.844226
curveLM.32,1483,460.3930292
curveLM.33,1483,460.9418324
curveLM.34,1483.346932,461.3469318
curveLM.35,1483.734994,461.7349943
curveLM.36,1484,462.1740286
curveLM.37,1484,462.7228318
curveLM.38,1484,463.271635
curveLM.39,1484,463.8204383
curveLM.40,1484.261093,464.2610932
curveLM.41,1484.649156,464.6491557
curveLM.42,1485,465.0526344
curveLM.43,1485,465.6014377
curveLM.44,1485,466.1502409
curveLM.45,1485,466.6990441
curveLM.46,1485,467.2478474
curveLM.47,1485,467.7966506
curveLM.48,1485.244273,468.2442727
curveLM.49,1485.632335,468.6323352
curveLM.50,1486,469.0288467
curveLM.51,1486,469.57765
curveLM.52,1486,470.1264532
curveLM.53,1486,470.6752564
curveLM.54,1486,471.2240597
curveLM.55,1486,471.7728629
curveLM.56,1486,472.3216661
curveLM.57,1486,472.8704694
curveLM.58,1486,473.4192726
curveLM.59,1486,473.9680758
curveLM.60,1486,474.5168791
curveLM.61,1485.934318,475
curveLM.62,1485.385514,475
curveLM.63,1485,475.1632888
curveLM.64,1485,475.712092
curveLM.65,1485,476.2608952
curveLM.66,1485,476.8096985
curveLM.67,1485,477.3585017
curveLM.68,1485,477.9073049
curveLM.69,1485,478.4561082
curveLM.70,1485,479.0049114
curveLM.71,1485,479.5537146
curveLM.72,1484.927509,480.0724911
curveLM.73,1484.539446,480.4605536
curveLM.74,1484.151384,480.8486161
curveLM.75,1484,481.334714
curveLM.76,1484,481.8835173
curveLM.77,1484,482.4323205
curveLM.78,1484,482.9811237
curveLM.79,1484,483.529927
curveLM.80,1484,484.0787302
curveLM.81,1484,484.6275334
curveLM.82,1484.124689,485.1246888
curveLM.83,1484.512751,485.5127513
curveLM.84,1484.900814,485.9008138
curveLM.85,1485,486.4085328
curveLM.86,1485,486.957336
curveLM.87,1485.357895,487.3578945
curveLM.88,1485.745957,487.745957
curveLM.89,1486,488.1895322
curveLM.90,1486,488.7383354
curveLM.91,1486,489.2871386
curveLM.92,1486,489.8359419
curveLM.93,1486,490.3847451
curveLM.94,1486,490.9335483
curveLM.95,1486,491.4823516
curveLM.96,1486.02203,492.0220298
curveLM.97,1486.410092,492.4100923
curveLM.98,1486.798155,492.7981548
curveLM.99,1487,493.2633509
curveLM.100,1487,493.8121542
curveLM.101,1487,494.3609574
curveLM.102,1487,494.9097606
curveLM.103,1487,495.4585639
curveLM.104,1487.005209,496.0052093
curveLM.105,1487.393272,496.3932718
curveLM.106,1487.781334,496.7813343
curveLM.107,1488,497.2395633
curveLM.108,1488,497.7883665
curveLM.109,1488,498.3371697
curveLM.110,1488,498.885973
curveLM.111,1488,499.4347762
curveLM.112,1488,499.9835794
curveLM.113,1488,500.5323827
curveLM.114,1488,501.0811859
curveLM.115,1488,501.6299891
curveLM.116,1488.126425,502.1264253
curveLM.117,1488.514488,502.5144878
curveLM.118,1488.90255,502.9025503
curveLM.119,1489,503.4109885
curveLM.120,1489,503.9597917
curveLM.121,1489.359631,504.359631
curveLM.122,1489.747693,504.7476934
curveLM.123,1490,505.1919879
curveLM.124,1490,505.7407911
curveLM.125,1490.204774,506.2047741
curveLM.126,1490.592837,506.5928366
curveLM.127,1490.980899,506.9808991
curveLM.128,1491,507.5217905
curveLM.129,1491,508.0705937
curveLM.130,1491,508.6193969
curveLM.131,1491,509.1682002
curveLM.132,1491,509.7170034
curveLM.133,1491,510.2658066
curveLM.134,1491,510.8146099
curveLM.135,1491.256972,511.2569719
curveLM.136,1491.645034,511.6450344
curveLM.137,1492,512.046806
curveLM.138,1492,512.5956093
curveLM.139,1492,513.1444125
curveLM.140,1492,513.6932157
curveLM.141,1492,514.242019
curveLM.142,1492,514.7908222
curveLM.143,1492.240151,515.2401514
curveLM.144,1492.628214,515.6282139
