,V1,V2
suture_start,843,319
curveLM.3,843.4934693,319.4934693
curveLM.4,843.9869385,319.9869385
curveLM.5,844.6793992,320
curveLM.6,845.2667703,320.2667703
curveLM.7,845.7602395,320.7602395
curveLM.8,846.3587984,321
curveLM.9,847,321.0566693
curveLM.10,847,321.7545403
curveLM.11,847.4524112,322
curveLM.12,848.1062655,322.1062655
curveLM.13,848.5997347,322.5997347
curveLM.14,849.1318104,323
curveLM.15,849.8296813,323
curveLM.16,850.3730358,323.3730358
curveLM.17,850.866505,323.866505
curveLM.18,851,324.5090805
curveLM.19,851.2069514,325
curveLM.20,851.9048223,325
curveLM.21,852.6026933,325
curveLM.22,853.3005642,325
curveLM.23,853.9984351,325
curveLM.24,854.696306,325
curveLM.25,855.394177,325
curveLM.26,856.0920479,325
curveLM.27,856.7899188,325
curveLM.28,857.3449194,325.3449194
curveLM.29,857.8383887,325.8383887
curveLM.30,858.469318,326
curveLM.31,859.1671889,326
curveLM.32,859.8650598,326
curveLM.33,860.5629308,326
curveLM.34,861.2608017,326
curveLM.35,861.9586726,326
curveLM.36,862,326.6565435
curveLM.37,862.3544145,327
curveLM.38,863.0522854,327
curveLM.39,863.7501563,327
curveLM.40,864.3168031,326.6831969
curveLM.41,864.8102723,326.1897277
curveLM.42,865.4295555,326
curveLM.43,866.0901041,325.9098959
curveLM.44,866.5835734,325.4164266
curveLM.45,867.1089547,325
curveLM.46,867.8068256,325
curveLM.47,868.3568744,324.6431256
curveLM.48,868.8503436,324.1496564
curveLM.49,869.4862248,324
curveLM.50,870.1840958,324
curveLM.51,870.8819667,324
curveLM.52,871.4100071,323.5899929
curveLM.53,871.9034764,323.0965236
curveLM.54,872.5613659,323
curveLM.55,873.2592368,323
curveLM.56,873.9571077,323
curveLM.57,874.6549786,323
curveLM.58,875.2495023,323.2495023
curveLM.59,875.7429716,323.7429716
curveLM.60,876.3343778,324
curveLM.61,877.0322488,324
curveLM.62,877.7301197,324
curveLM.63,878.3026351,324.3026351
curveLM.64,878.7961043,324.7961043
curveLM.65,879.4095189,325
curveLM.66,880.1073898,325
curveLM.67,880.8052607,325
curveLM.68,881.5031317,325
curveLM.69,882,325.2010026
curveLM.70,882,325.8988735
curveLM.71,882.5967444,326
curveLM.72,883.2946154,326
curveLM.73,883.9924863,326
curveLM.74,884,326.6903572
curveLM.75,884.3882281,327
curveLM.76,885,327.086099
curveLM.77,885,327.78397
curveLM.78,885.4818409,328
curveLM.79,886.1270754,328.1270754
curveLM.80,886.6205447,328.6205447
curveLM.81,887.114014,329.114014
curveLM.82,887.6074832,329.6074832
curveLM.83,888.1009525,330.1009525
curveLM.84,888.5944217,330.5944217
curveLM.85,889.1242966,331
curveLM.86,889.8221676,331
curveLM.87,890.3677227,331.3677227
curveLM.88,890.861192,331.861192
curveLM.89,891.5015668,332
curveLM.90,892.1410237,332.1410237
curveLM.91,892.634493,332.634493
curveLM.92,893.180966,333
curveLM.93,893.8788369,333
curveLM.94,894.5767078,333
curveLM.95,895.2745787,333
curveLM.96,895.9724497,333
curveLM.97,896.6703206,333
curveLM.98,897.2603507,333.2603507
curveLM.99,897.75382,333.75382
curveLM.100,898.3497198,334
curveLM.101,899.0475907,334
curveLM.102,899.7454616,334
curveLM.103,900.4433326,334
curveLM.104,901.1412035,334
curveLM.105,901.8390744,334
curveLM.106,902.5369453,334
curveLM.107,903.2348162,334
curveLM.108,903.9326872,334
curveLM.109,904.6305581,334
curveLM.110,905.328429,334
curveLM.111,906,334.0262999
curveLM.112,906,334.7241709
curveLM.113,906.4220418,335
curveLM.114,907.1199127,335
curveLM.115,907.8177836,335
curveLM.116,908.5156545,335
curveLM.117,909.1509853,335.1509853
curveLM.118,909.6444546,335.6444546
curveLM.119,910.1950537,336
curveLM.120,910.8929247,336
curveLM.121,911.5907956,336
curveLM.122,912.204118,336.204118
curveLM.123,912.6975873,336.6975873
curveLM.124,913.2701948,337
curveLM.125,913.9680657,337
curveLM.126,914.6659366,337
curveLM.127,915.2572508,336.7427492
curveLM.128,915.7507201,336.2492799
curveLM.129,916.3453358,336
curveLM.130,917.0432068,336
curveLM.131,917.7410777,336
curveLM.132,918.3103835,335.6896165
curveLM.133,918.8038528,335.1961472
curveLM.134,919.4204769,335
curveLM.135,920.1183478,335
curveLM.136,920.8162187,335
curveLM.137,921.5140897,335
curveLM.138,922.1498788,334.8501212
curveLM.139,922.643348,334.356652
curveLM.140,923.1934889,334
curveLM.141,923.8913598,334
curveLM.142,924.5892307,334
curveLM.143,925.2871016,334
curveLM.144,925.9849725,334
curveLM.145,926.6828435,334
curveLM.146,927.3807144,334
curveLM.147,928.0555682,334.0555682
curveLM.148,928.5490375,334.5490375
curveLM.149,929.0601136,335
curveLM.150,929.7579845,335
curveLM.151,930.4558554,335
curveLM.152,931.108701,335.108701
curveLM.153,931.6021702,335.6021702
curveLM.154,932.1352546,336
curveLM.155,932.8331256,336
curveLM.156,933.3754712,336.3754712
curveLM.157,933.8689405,336.8689405
curveLM.158,934.5125248,337
curveLM.159,935.2103957,337
curveLM.160,935.9082666,337
curveLM.161,936.6061375,337
curveLM.162,937.3040085,337
curveLM.163,938.0018794,337
curveLM.164,938.6997503,337
curveLM.165,939.3976212,337
curveLM.166,940.0954921,337
curveLM.167,940.7933631,337
curveLM.168,941.491234,337
curveLM.169,942.1891049,337
curveLM.170,942.8869758,337
curveLM.171,943.5848468,337
curveLM.172,944.2827177,337
curveLM.173,944.9805886,337
curveLM.174,945.6784595,337
curveLM.175,946.2661058,336.7338942
curveLM.176,946.7595751,336.2404249
curveLM.177,947.3578587,336
curveLM.178,948.0557296,336
curveLM.179,948.7536006,336
curveLM.180,949.4514715,336
curveLM.181,950.1493424,336
curveLM.182,950.8472133,336
curveLM.183,951.5450843,336
curveLM.184,952.2429552,336
curveLM.185,952.9408261,336
curveLM.186,953.638697,336
curveLM.187,954.3365679,336
curveLM.188,955.0344389,336
curveLM.189,955.7323098,336
curveLM.190,956.4301807,336
curveLM.191,957.1280516,336
curveLM.192,957.8259225,336
curveLM.193,958.5237935,336
curveLM.194,959.2216644,336
curveLM.195,959.9195353,336
curveLM.196,960.6174062,336
curveLM.197,961.3152772,336
curveLM.198,962.0092971,336.0092971
curveLM.199,962.5027664,336.5027664
curveLM.200,962.9962356,336.9962356
curveLM.201,963.6925473,337
curveLM.202,964.3904182,337
curveLM.203,965.0624298,336.9375702
curveLM.204,965.5558991,336.4441009
curveLM.205,966.0493684,335.9506316
curveLM.206,966.5428376,335.4571624
curveLM.207,967.0513457,335
curveLM.208,967.7492166,335
curveLM.209,968.3161386,334.6838614
curveLM.210,968.8096079,334.1903921
curveLM.211,969.3030772,333.6969228
curveLM.212,969.7965464,333.2034536
curveLM.213,970.4101441,333
curveLM.214,971.108015,333
curveLM.215,971.8058859,333
curveLM.216,972.3562099,332.6437901
curveLM.217,972.8496792,332.1503208
curveLM.218,973.4852851,332
curveLM.219,974.1831561,332
curveLM.220,974.881027,332
curveLM.221,975.5788979,332
curveLM.222,976.2767688,332
curveLM.223,976.9746398,332
curveLM.224,977.6725107,332
curveLM.225,978.3703816,332
curveLM.226,979.0682525,332
curveLM.227,979.7661234,332
curveLM.228,980.4639944,332
curveLM.229,981.1618653,332
curveLM.230,981.8597362,332
curveLM.231,982.5576071,332
curveLM.232,983.2554781,332
curveLM.233,983.953349,332
curveLM.234,984.6512199,332
curveLM.235,985.3490908,332
curveLM.236,986.0469617,332
curveLM.237,986.7448327,332
curveLM.238,987.4427036,332
curveLM.239,988.0994012,332.0994012
curveLM.240,988.5928704,332.5928704
curveLM.241,989.1221028,333
curveLM.242,989.8199737,333
curveLM.243,990.5178446,333
curveLM.244,991.2157156,333
curveLM.245,991.9135865,333
curveLM.246,992.6114574,333
curveLM.247,993.2187282,333.2187282
curveLM.248,993.7121974,333.7121974
curveLM.249,994.2908566,334
curveLM.250,994.9887275,334
curveLM.251,995.6865984,334
curveLM.252,996.3844694,334
curveLM.253,997.0823403,334
curveLM.254,997.7802112,334
curveLM.255,998.4780821,334
curveLM.256,999.1244176,333.8755824
curveLM.257,999.6178869,333.3821131
curveLM.258,1000.157481,333
curveLM.259,1000.855352,333
curveLM.260,1001.553223,333
curveLM.261,1002.251094,333
curveLM.262,1002.948965,333
curveLM.263,1003.457382,332.5426179
curveLM.264,1003.950851,332.0491487
curveLM.265,1004.628364,332
curveLM.266,1005.326235,332
curveLM.267,1006.017046,331.9829544
curveLM.268,1006.510515,331.4894852
curveLM.269,1007.005634,331
curveLM.270,1007.703505,331
curveLM.271,1008.401376,331
curveLM.272,1009.099247,331
curveLM.273,1009.797118,331
curveLM.274,1010.494989,331
curveLM.275,1011.136373,331.1363725
curveLM.276,1011.629842,331.6298418
