,V1,V2
suture_start,1130,516
curveLM.3,1129.102301,516.8976991
curveLM.4,1128.204602,517.7953982
curveLM.5,1127.306903,518.6930972
curveLM.6,1127,519.8355122
curveLM.7,1127.074282,521.0742818
curveLM.8,1127.971981,521.9719809
curveLM.9,1128,523.2299132
curveLM.10,1128.353165,524.3531655
curveLM.11,1129,525.3547761
curveLM.12,1129,526.6243143
curveLM.13,1129.632049,527.6320492
curveLM.14,1130,528.7491771
curveLM.15,1130.720341,529.7203405
curveLM.16,1131.61804,530.6180396
curveLM.17,1132,531.7293646
curveLM.18,1132.998903,532
curveLM.19,1133.896923,532.8969233
curveLM.20,1134.794622,533.7946224
curveLM.21,1135.692321,534.6923214
curveLM.22,1136,535.834415
curveLM.23,1136.780613,536.7806128
curveLM.24,1137.959278,537
curveLM.25,1138.868904,537.8689042
curveLM.26,1139.766603,538.7666033
curveLM.27,1140.664302,539.6643023
curveLM.28,1141.562001,540.5620014
curveLM.29,1142.4597,541.4597005
curveLM.30,1143.505439,542
curveLM.31,1144.547992,542.5479919
curveLM.32,1145.630302,543
curveLM.33,1146.636283,543.6362832
curveLM.34,1147.755165,544
curveLM.35,1148.724575,544.7245746
curveLM.36,1149.622274,545.6222737
curveLM.37,1150,546.7353525
curveLM.38,1151.003458,547.0034583
curveLM.39,1151.901157,547.9011574
curveLM.40,1152.129754,549
curveLM.41,1153,549.3992918
curveLM.42,1153.472934,550.4729342
curveLM.43,1154.524155,551
curveLM.44,1155,551.7936929
curveLM.45,1155.751818,552.7518179
curveLM.46,1156.649517,553.649517
curveLM.47,1157.547216,554.5472161
curveLM.48,1158.444915,555.4449151
curveLM.49,1159.342614,556.3426142
curveLM.50,1160,557.3398543
curveLM.51,1160.430906,558.4309056
curveLM.52,1161,559.4647172
curveLM.53,1161,560.7342554
curveLM.54,1160.997318,562.0026825
curveLM.55,1160.099618,562.9003816
curveLM.56,1160,564.1286565
curveLM.57,1160,565.3981947
curveLM.58,1160,566.6677329
curveLM.59,1160,567.9372711
curveLM.60,1160,569.2068093
curveLM.61,1160,570.4763475
curveLM.62,1160,571.7458857
curveLM.63,1160,573.0154239
curveLM.64,1160.201499,574.2014987
curveLM.65,1161,575.1402868
curveLM.66,1161,576.409825
curveLM.67,1161,577.6793632
curveLM.68,1161.670975,578.6709746
curveLM.69,1162,579.8042261
curveLM.70,1162,581.0737643
curveLM.71,1162,582.3433025
curveLM.72,1162,583.6128407
curveLM.73,1162,584.8823789
curveLM.74,1162,586.1519171
curveLM.75,1162,587.4214553
curveLM.76,1162,588.6909935
curveLM.77,1162,589.9605317
curveLM.78,1162,591.23007
curveLM.79,1162,592.4996082
curveLM.80,1162,593.7691464
curveLM.81,1162,595.0386846
curveLM.82,1162,596.3082228
curveLM.83,1161.591461,597.4085387
curveLM.84,1161,598.4330857
curveLM.85,1160.50317,599.4968301
curveLM.86,1160,600.5579485
curveLM.87,1159.172513,601
curveLM.88,1158.224286,601.7757138
curveLM.89,1157.04765,602
curveLM.90,1156.778112,603
curveLM.91,1155.508574,603
curveLM.92,1154.239036,603
curveLM.93,1154,604.0305024
curveLM.94,1154,605.3000406
curveLM.95,1154,606.5695788
curveLM.96,1154,607.839117
curveLM.97,1154,609.1086553
curveLM.98,1154,610.3781935
curveLM.99,1154,611.6477317
curveLM.100,1154.648608,612.6486078
curveLM.101,1155.546307,613.5463068
curveLM.102,1156,614.6279192
curveLM.103,1156.634598,615.6345982
curveLM.104,1157,616.752782
curveLM.105,1157.72289,617.7228896
curveLM.106,1158,618.8776449
curveLM.107,1158,620.1471831
curveLM.108,1158,621.4167213
curveLM.109,1158,622.6862595
