,V1,V2
suture_start,813,319
curveLM.3,813.6045198,319.6045198
curveLM.4,814.2090396,320.2090396
curveLM.5,814.8135594,320.8135594
curveLM.6,815.4180792,321.4180792
curveLM.7,816.0225989,322.0225989
curveLM.8,816.6271187,322.6271187
curveLM.9,817,323.3275863
curveLM.10,817.1290515,324.1290515
curveLM.11,817.7335713,324.7335713
curveLM.12,818.478133,325
curveLM.13,819,325.3330531
curveLM.14,819.1329171,326.1329171
curveLM.15,819.7374369,326.7374369
curveLM.16,820.3419567,327.3419567
curveLM.17,820.9464765,327.9464765
curveLM.18,821.5509963,328.5509963
curveLM.19,822.1555161,329.1555161
curveLM.20,822.7600359,329.7600359
curveLM.21,823.5155596,330
curveLM.22,824.2619687,330.2619687
curveLM.23,824.8664885,330.8664885
curveLM.24,825.6661062,331
curveLM.25,826.5210263,331
curveLM.26,827.2658343,331.2658343
curveLM.27,827.8703541,331.8703541
curveLM.28,828.671573,332
curveLM.29,829.5264931,332
curveLM.30,830.3814132,332
curveLM.31,831.2363333,332
curveLM.32,832.0912534,332
curveLM.33,832.9461734,332
curveLM.34,833.8010935,332
curveLM.35,834.4638717,332.4638717
curveLM.36,835.0967201,333
curveLM.37,835.9516402,333
curveLM.38,836.8065603,333
curveLM.39,837.6614804,333
curveLM.40,838.5164005,333
curveLM.41,839.2625633,333.2625633
curveLM.42,839.8670831,333.8670831
curveLM.43,840.6669472,334
curveLM.44,841.5218673,334
curveLM.45,842.3767873,334
curveLM.46,843.2317074,334
curveLM.47,844.0612549,333.9387451
curveLM.48,844.6657747,333.3342253
curveLM.49,845.2702945,332.7297055
curveLM.50,845.8748143,332.1251857
curveLM.51,846.4793341,331.5206659
curveLM.52,847.0838539,330.9161461
curveLM.53,847.6883736,330.3116264
curveLM.54,848.4142139,330
curveLM.55,849.1903064,329.8096936
curveLM.56,849.7948262,329.2051738
curveLM.57,850.5647606,329
curveLM.58,851.296759,328.703241
curveLM.59,851.9012788,328.0987212
curveLM.60,852.7153072,328
curveLM.61,853.4032116,327.5967884
curveLM.62,854,326.9890661
curveLM.63,854,326.1341461
curveLM.64,854.5096642,325.4903358
curveLM.65,855,324.8385195
curveLM.66,855.0164006,324
curveLM.67,855.8713207,324
curveLM.68,856,323.2737592
curveLM.69,856.4109428,322.5890572
curveLM.70,857.0218674,322
curveLM.71,857.8767875,322
curveLM.72,858.5173954,321.4826046
curveLM.73,859.1724141,321
curveLM.74,860.0273342,321
curveLM.75,860.8822543,321
curveLM.76,861.7371744,321
curveLM.77,862.5920944,321
curveLM.78,863.316087,321.316087
curveLM.79,863.9206068,321.9206068
curveLM.80,864.7426411,322
curveLM.81,865.5975612,322
curveLM.82,866.4524813,322
curveLM.83,867.3074014,322
curveLM.84,868.1147786,322.1147786
curveLM.85,868.7192984,322.7192984
curveLM.86,869.4579481,323
curveLM.87,870.3128682,323
curveLM.88,871.1677883,323
curveLM.89,872.0227083,323
curveLM.90,872.8776284,323
curveLM.91,873.51799,323.51799
curveLM.92,874.173255,324
curveLM.93,875.0281751,324
curveLM.94,875.8830952,324
curveLM.95,876.7380153,324
curveLM.96,877.5929354,324
curveLM.97,878.4478555,324
curveLM.98,879.3027755,324
curveLM.99,880.1576956,324
curveLM.100,881.0126157,324
curveLM.101,881.8675358,324
curveLM.102,882.7224559,324
curveLM.103,883.577376,324
curveLM.104,884.3056795,324.3056795
curveLM.105,884.9101993,324.9101993
curveLM.106,885.7279227,325
curveLM.107,886.5828427,325
curveLM.108,887.4377628,325
curveLM.109,888.2069581,325.2069581
curveLM.110,888.8114779,325.8114779
curveLM.111,889.5883095,326
curveLM.112,890.3134107,326.3134107
curveLM.113,890.9179304,326.9179304
curveLM.114,891.5224502,326.4775498
curveLM.115,892.1795627,326
curveLM.116,893.024383,325.975617
curveLM.117,893.6289028,325.3710972
curveLM.118,894.3301094,325
curveLM.119,895.1850295,325
curveLM.120,896.0399496,325
curveLM.121,896.8948697,325
curveLM.122,897.7497898,325
curveLM.123,898.6047099,325
curveLM.124,899.4596299,325
curveLM.125,900.31455,325
curveLM.126,901.1694701,325
curveLM.127,902.0243902,325
curveLM.128,902.8793103,325
curveLM.129,903.7342304,325
curveLM.130,904.5891504,325
curveLM.131,905.3140053,325.3140053
curveLM.132,905.9185251,325.9185251
curveLM.133,906.7396971,326
curveLM.134,907.5946172,326
curveLM.135,908.4495373,326
curveLM.136,909.3044574,326
curveLM.137,910.1126969,326.1126969
curveLM.138,910.7172167,326.7172167
curveLM.139,911.4550041,327
curveLM.140,912.3099242,327
curveLM.141,913.1165625,327.1165625
curveLM.142,913.7210823,327.7210823
curveLM.143,914.4604709,328
curveLM.144,915.315391,328
curveLM.145,916.170311,328
curveLM.146,917.0252311,328
curveLM.147,917.8801512,328
curveLM.148,918.7350713,328
curveLM.149,919.4171869,328.4171869
curveLM.150,920.0306979,329
curveLM.151,920.885618,329
curveLM.152,921.5236395,329.5236395
curveLM.153,922.1812446,330
curveLM.154,923.0361647,330
curveLM.155,923.8910848,330
curveLM.156,924.5275051,330.5275051
curveLM.157,925.1867114,331
curveLM.158,926.0294379,331.0294379
