,V1,V2
suture_start,1062,617
curveLM.3,1062.868914,617.8689136
curveLM.4,1063.737827,618.7378272
curveLM.5,1064.606741,619.6067408
curveLM.6,1065.475654,620.4756543
curveLM.7,1066,621.4872926
curveLM.8,1066.506375,622.5063747
curveLM.9,1067.530738,623
curveLM.10,1068.537095,623.5370951
curveLM.11,1069,624.574183
curveLM.12,1069.567815,625.5678155
curveLM.13,1070.436729,626.4367291
curveLM.14,1071.432244,627
curveLM.15,1072.467449,627.4674495
curveLM.16,1073.475689,628
curveLM.17,1074.49817,628.4981699
curveLM.18,1075.519134,629
curveLM.19,1076.52889,629.5288902
curveLM.20,1077.56258,630
curveLM.21,1078.791409,630
curveLM.22,1079.721417,630.7214174
curveLM.23,1080.834854,631
curveLM.24,1081.752138,631.7521378
curveLM.25,1082.878299,632
curveLM.26,1083.107129,633
curveLM.27,1084.237558,633.2375582
curveLM.28,1085.106472,634.1064718
curveLM.29,1085.975385,634.9753854
curveLM.30,1086.844299,635.844299
curveLM.31,1087.713213,636.7132126
curveLM.32,1088.582126,637.5821261
curveLM.33,1089.45104,638.4510397
curveLM.34,1090.452482,639
curveLM.35,1091.681312,639
curveLM.36,1092.910141,639
curveLM.37,1094.13897,639
curveLM.38,1095.3678,639
curveLM.39,1096.421881,639.4218806
curveLM.40,1097.411245,640
curveLM.41,1098.452601,640.4526009
curveLM.42,1099.321515,641.3215145
curveLM.43,1100.190428,642.1904281
curveLM.44,1101.059342,643.0593417
curveLM.45,1101.928255,643.9282553
curveLM.46,1102.090062,645.0900621
curveLM.47,1102.958976,645.9589757
curveLM.48,1103.827889,646.8278892
curveLM.49,1104,647.985428
curveLM.50,1104,649.2142574
curveLM.51,1104,650.4430868
curveLM.52,1104,651.6719161
curveLM.53,1104.636923,652.6369233
curveLM.54,1105,653.7153613
curveLM.55,1105,654.9441907
curveLM.56,1104.877656,656.1223437
curveLM.57,1104.008743,656.9912573
curveLM.58,1104,658.2164653
curveLM.59,1104,659.4452946
curveLM.60,1104,660.674124
curveLM.61,1104,661.9029534
curveLM.62,1103.199709,662.8002913
curveLM.63,1103,663.9463986
curveLM.64,1102.168988,664.8310117
curveLM.65,1102,665.9898438
curveLM.66,1101,666.2186731
curveLM.67,1101,667.4475025
curveLM.68,1101.478239,668.4782389
curveLM.69,1102,669.4909477
curveLM.70,1102,670.7197771
curveLM.71,1102,671.9486065
curveLM.72,1102,673.1774358
curveLM.73,1102.406265,674
curveLM.74,1103,674.6350946
curveLM.75,1103.863924,675
curveLM.76,1104.772693,675.7726933
curveLM.77,1105.907369,676
curveLM.78,1106.136199,677
curveLM.79,1107.258114,677.2581137
curveLM.80,1108.127027,678.1270273
curveLM.81,1108.995941,678.9959409
curveLM.82,1109.864854,679.8648545
curveLM.83,1110.733768,680.733768
curveLM.84,1111.602682,681.6026816
curveLM.85,1112.471595,682.4715952
curveLM.86,1113.481552,683
curveLM.87,1114.502316,683.5023156
curveLM.88,1115.371229,684.3712292
curveLM.89,1116.339613,685
curveLM.90,1117.40195,685.4019496
curveLM.91,1118.383058,686
curveLM.92,1119.611888,686
curveLM.93,1120.840717,686
curveLM.94,1122.069546,686
curveLM.95,1123.298376,686
curveLM.96,1124.527205,686
curveLM.97,1125.756035,686
curveLM.98,1126.696404,685.303596
curveLM.99,1127.565318,684.4346824
curveLM.100,1128.434231,683.5657688
curveLM.101,1129.303145,682.6968553
curveLM.102,1130.172058,681.8279417
curveLM.103,1131.040972,680.9590281
curveLM.104,1131.909885,680.0901145
curveLM.105,1132,678.8986118
curveLM.106,1132.233499,677.7665009
curveLM.107,1133,676.8551666
curveLM.108,1133.264219,675.7357805
curveLM.109,1134,674.8117214
curveLM.110,1134.29494,673.7050601
curveLM.111,1135.163853,672.8361465
curveLM.112,1136,671.9536604
curveLM.113,1136,670.724831
curveLM.114,1135.643619,669.6436194
curveLM.115,1135,668.6813858
curveLM.116,1135,667.4525565
curveLM.117,1134.451092,666.4510922
curveLM.118,1134,665.4091113
curveLM.119,1134.579628,664.4203718
curveLM.120,1135,663.3656661
curveLM.121,1135.863163,663
curveLM.122,1136.065049,661.9349514
curveLM.123,1136.933962,661.0660378
curveLM.124,1138.095769,660.904231
curveLM.125,1138.964683,660.0353174
curveLM.126,1138.873511,658.8735106
curveLM.127,1138.004597,658.004597
curveLM.128,1138,656.7776718
curveLM.129,1137.680983,655.6809834
curveLM.130,1137,654.7342266
curveLM.131,1136.650263,653.650263
curveLM.132,1136,652.6907814
curveLM.133,1136.380457,651.6195426
curveLM.134,1137,650.6473362
curveLM.135,1137.411178,649.5888222
curveLM.136,1138.280091,648.7199087
curveLM.137,1139.149005,647.8509951
curveLM.138,1140.025341,647
curveLM.139,1141.25417,647
curveLM.140,1142.482999,647
curveLM.141,1143.711829,647
curveLM.142,1144.940658,647
curveLM.143,1146.169487,647
curveLM.144,1147.398317,647
curveLM.145,1148.627146,647
curveLM.146,1149.855976,647
curveLM.147,1151.084805,647
curveLM.148,1152.313634,647
curveLM.149,1153.38358,647.3835798
curveLM.150,1154.35708,648
curveLM.151,1155.585909,648
curveLM.152,1156.814738,648
curveLM.153,1158.043568,648
curveLM.154,1159,648.272397
curveLM.155,1159.501226,649
curveLM.156,1160.730056,649
curveLM.157,1161.958885,649
curveLM.158,1163.187715,649
curveLM.159,1164.416544,649
curveLM.160,1165.456348,649.4563478
curveLM.161,1166.459989,650
curveLM.162,1167,650.6888185
curveLM.163,1167.917648,651
curveLM.164,1168.810682,651.8106818
curveLM.165,1169.679595,652.6795954
curveLM.166,1170.775709,653
curveLM.167,1171.710316,653.7103158
curveLM.168,1172.819154,654
curveLM.169,1173.741036,654.7410362
curveLM.170,1174.862599,655
curveLM.171,1175.771757,655.7717566
curveLM.172,1176.64067,656.6406702
curveLM.173,1177.72066,657
curveLM.174,1178.671391,657.6713905
curveLM.175,1179.540304,658.5403041
curveLM.176,1180.578721,659
curveLM.177,1181.571025,659.5710245
curveLM.178,1182.622166,660
curveLM.179,1183.601745,660.6017449
curveLM.180,1184.665612,661
curveLM.181,1185.632465,661.6324653
curveLM.182,1186.709057,662
curveLM.183,1187.663186,662.6631857
curveLM.184,1188.532099,663.5320993
curveLM.185,1189.567118,664
curveLM.186,1190.56282,664.5628196
curveLM.187,1191.431733,665.4317332
curveLM.188,1192.425179,666
curveLM.189,1193.462454,666.4624536
curveLM.190,1194.468624,667
curveLM.191,1195,667.6974534
