,V1,V2
suture_start,832,563
curveLM.3,834.1485064,567.1485064
curveLM.4,836.2970128,571.2970128
curveLM.5,839,575.2158457
curveLM.6,841.3011323,579.3011323
curveLM.7,843.4496387,583.4496387
curveLM.8,845,586.154095
curveLM.9,846,581.5298617
curveLM.10,846,576.4914149
curveLM.11,846,571.452968
curveLM.12,846,566.4145211
curveLM.13,844,562.2045013
curveLM.14,843,557.580268
curveLM.15,843.3239814,552.6760186
curveLM.16,846.0582742,552.0582742
curveLM.17,849.6209941,555.6209941
curveLM.18,852.4766073,559.4766073
curveLM.19,854.9180069,562.9180069
curveLM.20,856,567.5082776
curveLM.21,857.0936994,572.0936994
curveLM.22,860.7567442,574
curveLM.23,864.6836054,576.6836054
curveLM.24,867,580.7625702
curveLM.25,868.9806182,584.9806182
curveLM.26,872.8362313,587.8362313
curveLM.27,876,586.193157
curveLM.28,877,581.5689237
curveLM.29,877,576.5304768
curveLM.30,877,571.4920299
curveLM.31,877,566.4535831
curveLM.32,878,561.8293497
curveLM.33,879,557.2051164
curveLM.34,880.2963604,553.2963604
curveLM.35,884.4448668,555.4448668
curveLM.36,887.4249428,559
curveLM.37,889.7418796,562.7418796
curveLM.38,890,567.6734095
curveLM.39,891.2976428,572
curveLM.40,893.2376513,575.2376513
curveLM.41,897.0932644,577.9067356
curveLM.42,899,573.6580844
curveLM.43,899.9760637,569.0239363
curveLM.44,899.9967503,563.9967503
curveLM.45,898.5553507,559.5553507
curveLM.46,897,555.7469376
curveLM.47,896.086765,551.086765
curveLM.48,896.6475278,546.3524722
curveLM.49,897,541.4600241
curveLM.50,898,536.8357908
curveLM.51,901,534.2115575
curveLM.52,903.9989127,536.9989127
curveLM.53,906.1474191,541.1474191
curveLM.54,908,545.4185018
curveLM.55,909,550.0427351
curveLM.56,909,555.081182
curveLM.57,910.498804,559.498804
curveLM.58,912.9154351,563
curveLM.59,916.3816032,564.6183968
curveLM.60,919.2372163,560.7627837
curveLM.61,920,556.0402921
curveLM.62,922,552.4160588
curveLM.63,925.5614152,549.4385848
curveLM.64,927,544.9960193
curveLM.65,927,539.9575724
curveLM.66,928,535.3333391
curveLM.67,927.5014135,530.5014135
curveLM.68,926.0600139,526.0600139
curveLM.69,925,521.4606392
curveLM.70,923,517.8364058
curveLM.71,921,513.6263861
curveLM.72,919,510.0021528
curveLM.73,916.1459091,506.1459091
curveLM.74,913.2902959,502.2902959
curveLM.75,911.1417895,498.1417895
curveLM.76,911,493.1620738
curveLM.77,912,488.5378405
curveLM.78,913,484.4993936
curveLM.79,914,480.4609467
curveLM.80,915.8225679,476.1774321
curveLM.81,918.9710742,473.0289258
curveLM.82,923.5833261,472
curveLM.83,927.8538735,473.8538735
curveLM.84,930.0023799,478.0023799
curveLM.85,933.5650998,481.5650998
curveLM.86,936.420713,485.420713
curveLM.87,939.3907842,489
curveLM.88,941.7177258,492.7177258
curveLM.89,944,496.8108237
curveLM.90,943.9791565,501
curveLM.91,941.5438618,504.4561382
curveLM.92,939.3953555,508.6046445
curveLM.93,937.2468491,512.7531509
curveLM.94,938,517.275136
curveLM.95,940,521.4851558
curveLM.96,942.0773498,525.0773498
curveLM.97,943,529.7336224
curveLM.98,942.2279307,534
curveLM.99,941,538.3963026
curveLM.100,941,543.4347495
curveLM.101,942.0417071,548.0417071
curveLM.102,944.8973203,551.8973203
curveLM.103,949.0648087,552
curveLM.104,953.689042,551
curveLM.105,958.3132754,550
curveLM.106,961.3370813,548.3370813
curveLM.107,957.7743613,544.7743613
curveLM.108,953.8850925,542
curveLM.109,950,540.2608592
curveLM.110,951,535.6366259
curveLM.111,953.4054507,531.5945493
curveLM.112,954,527.6307999
