,V1,V2
suture_start,807,289
curveLM.3,806.2244173,290.7755827
curveLM.4,805,292.365252
curveLM.5,803.952122,294
curveLM.6,803,295.1447176
curveLM.7,803.8779135,296.8779135
curveLM.8,805.6534962,297.6534962
curveLM.9,805.5709211,299.4290789
curveLM.10,805,301.2894352
curveLM.11,805,303.3862747
curveLM.12,806.4831143,304
curveLM.13,808,304.5799538
curveLM.14,808,306.6767934
curveLM.15,807.4529589,308.5470411
curveLM.16,805.6773762,309.3226238
curveLM.17,804,310.138885
curveLM.18,803.1262108,311.8737892
curveLM.19,802,313.504137
curveLM.20,802,315.6009766
curveLM.21,802,317.6978161
curveLM.22,803,319.3804421
curveLM.23,804.3374891,320.3374891
curveLM.24,806.1599077,321
curveLM.25,807,322.2567473
curveLM.26,806.7499764,324.2500236
curveLM.27,804.9743937,325.0256063
curveLM.28,803.4917042,326.5082958
curveLM.29,803,328.4014648
curveLM.30,803,330.4983044
curveLM.31,802,332.1809304
curveLM.32,801.803587,334.196413
curveLM.33,801,335.960396
curveLM.34,799.9595284,337.0404716
curveLM.35,798.2601385,338
curveLM.36,798,339.8367011
curveLM.37,798,341.9335407
curveLM.38,797,343.6161667
curveLM.39,796.2869938,345
curveLM.40,795.4273525,346.5726475
curveLM.41,794,348.0782582
curveLM.42,793,349.1750978
curveLM.43,792.7280626,351
curveLM.44,792,352.3687769
curveLM.45,791.0363474,354.0363474
curveLM.46,792.5190368,355.5190368
curveLM.47,794,356.416655
curveLM.48,795.099281,358
curveLM.49,797.1386782,357.8613218
curveLM.50,798.8787465,357
curveLM.51,800.9755861,357
curveLM.52,803,357.0724257
curveLM.53,804.1692652,358
curveLM.54,805.2661048,359
curveLM.55,807.2566404,359.2566404
curveLM.56,809.0322231,360.0322231
curveLM.57,810.7281964,361
curveLM.58,812.2904953,362.2904953
curveLM.59,813.066078,364.066078
curveLM.60,814.5487674,365.5487674
curveLM.61,816,367.0444868
curveLM.62,816,369.1413264
curveLM.63,815.1244845,370.8755155
curveLM.64,814.3489018,372.6510982
curveLM.65,814,374.6034179
curveLM.66,813.5048432,376.4951568
curveLM.67,812.7292605,378.2707395
curveLM.68,812,380.0655095
curveLM.69,811.1780951,381.8219049
curveLM.70,810.4025124,383.5974876
curveLM.71,810.3730703,385.3730703
curveLM.72,812,386.2102271
curveLM.73,812.2171289,388.2171289
curveLM.74,813.6998184,389.6998184
curveLM.75,815,391.2581051
curveLM.76,815,393.3549447
curveLM.77,815,395.4517842
curveLM.78,816.5486238,396
curveLM.79,818.6454634,396
curveLM.80,820,397.3280894
curveLM.81,820,399.4249289
curveLM.82,819,400.5217685
curveLM.83,820.2043945,402
curveLM.84,821.3012341,401
curveLM.85,822.2814806,400.2814806
curveLM.86,823.76417,401.76417
curveLM.87,825.2468595,403.2468595
curveLM.88,826.0224422,404.9775578
curveLM.89,827.5051317,403.4948683
curveLM.90,828.9878212,402.0121788
curveLM.91,830.7634039,401.2365961
curveLM.92,832.7622421,401
curveLM.93,834.6074625,401.6074625
curveLM.94,835.3830452,403.3830452
curveLM.95,836.8657346,404.8657346
curveLM.96,837,406.9069597
curveLM.97,837,409.0037992
curveLM.98,836.9288376,411.0711624
curveLM.99,836,412.7832648
curveLM.100,836.8801044,414
curveLM.101,838.9769439,414
curveLM.102,841.0521728,413.9478272
curveLM.103,842.7564095,413
curveLM.104,844.310445,411.689555
curveLM.105,845,409.8783385
curveLM.106,845,407.7814989
curveLM.107,845,405.6846594
curveLM.108,845,403.5878198
curveLM.109,846,402.4909802
curveLM.110,847.4284072,401.5715928
curveLM.111,849.2039899,401.2039899
curveLM.112,850.9711113,402
curveLM.113,851,404.0679509
curveLM.114,851.8236312,405.8236312
curveLM.115,852.5992139,407.5992139
curveLM.116,853.9180966,409.0819034
curveLM.117,852.4354071,410.5645929
curveLM.118,851.6598244,412.3401756
curveLM.119,851,414.1637069
curveLM.120,851.891341,415.891341
curveLM.121,852.9431725,417
curveLM.122,854.7353996,416.2646004
curveLM.123,855,414.2773619
curveLM.124,856,412.5947359
curveLM.125,857,411.4978964
curveLM.126,858.5989432,411
curveLM.127,859.4919927,412.4919927
curveLM.128,859.7324246,414.2675754
curveLM.129,858.2497351,415.7502649
curveLM.130,857,417.3294472
curveLM.131,857.4262868,419
curveLM.132,859.3699062,419.3699062
curveLM.133,861.2057523,420
curveLM.134,862.9210716,420.9210716
curveLM.135,864.6966543,421.6966543
curveLM.136,866,423.2536304
curveLM.137,866,425.3504699
curveLM.138,866.3162956,427.3162956
curveLM.139,868.1299355,428
curveLM.140,869.867461,427.132539
curveLM.141,870.6430437,425.3569563
curveLM.142,872.5920271,425
curveLM.143,874.2746531,426
curveLM.144,876.262685,425.737315
curveLM.145,878.0541186,425
curveLM.146,880.1509582,425
curveLM.147,882.1752195,425.1752195
curveLM.148,883.9304238,426
curveLM.149,884,428.0272633
curveLM.150,884,430.1241029
curveLM.151,884,432.2209425
curveLM.152,884.2247058,434.2247058
curveLM.153,886.0002885,435.0002885
curveLM.154,887.683034,436
curveLM.155,889.5514539,436.5514539
curveLM.156,891.3270366,437.3270366
curveLM.157,892.8097261,438.8097261
curveLM.158,893,440.8277516
curveLM.159,894.9245912,441
curveLM.160,897.0214307,441
curveLM.161,898.7907365,440.2092635
curveLM.162,900.273426,438.726574
curveLM.163,901.7561155,437.2438845
curveLM.164,902,435.2480652
curveLM.165,902,433.1512257
curveLM.166,902.9456139,432
curveLM.167,905.0300191,432.0300191
curveLM.168,906.7250795,433
curveLM.169,908,434.4077055
curveLM.170,908.3567672,436.3567672
curveLM.171,909,438.187171
curveLM.172,909,440.2840106
curveLM.173,909.9764085,441.9764085
curveLM.174,910,444.0634762
curveLM.175,909.8866397,446.1133603
curveLM.176,909,447.8429417
curveLM.177,910.6645257,448.6645257
curveLM.178,912,450.2081937
curveLM.179,912,452.3050333
curveLM.180,912,454.4018729
curveLM.181,913.3526429,455.3526429
curveLM.182,914.8353324,456.8353324
curveLM.183,916,457.8639644
curveLM.184,917.960804,458
curveLM.185,920.0407602,457.9592398
curveLM.186,921.7402696,457
curveLM.187,923.8371091,457
curveLM.188,925,458.5197351
curveLM.189,925,460.6165747
curveLM.190,926.2115669,462.2115669
curveLM.191,927.9818267,463
curveLM.192,930.0786663,463
curveLM.193,932.1755058,463
curveLM.194,934.2723454,463
curveLM.195,936,463.369185
curveLM.196,937.4660245,464
curveLM.197,939.398005,463.601995
curveLM.198,940.8806945,462.1193055
curveLM.199,942.363384,460.636616
curveLM.200,943,458.8034714
curveLM.201,942.7925574,456.7925574
curveLM.202,942,455.0240059
curveLM.203,941,453.3413799
curveLM.204,940.2412975,451.7587025
curveLM.205,941.7239869,450.2760131
curveLM.206,943.2066764,448.7933236
curveLM.207,944.6893659,447.3106341
curveLM.208,946.243323,446
curveLM.209,947.9476381,445.0523619
curveLM.210,949.608575,444
curveLM.211,950.4988034,442.5011966
curveLM.212,951.9814929,441.0185071
curveLM.213,953.7570756,440.2429244
curveLM.214,955.2397651,438.7602349
curveLM.215,956.7224546,437.2775454
curveLM.216,958,437.704331
curveLM.217,959,439.386957
curveLM.218,958.6579041,441.3420959
curveLM.219,958,443.1664226
curveLM.220,957.1067387,444.8932613
curveLM.221,957,446.9458882
curveLM.222,957.0302131,449.0302131
curveLM.223,958,450.7253538
curveLM.224,958.7115147,452.2884853
curveLM.225,958,454.0906058
curveLM.226,958.8396506,455.8396506
curveLM.227,960.4558578,457
curveLM.228,962.5526973,457
curveLM.229,964.6495369,457
curveLM.230,966.3321629,456
curveLM.231,968.3033506,455.6966494
curveLM.232,970,454.8883715
curveLM.233,971.1474092,454.1474092
curveLM.234,972.6300986,455.6300986
curveLM.235,974.4056813,456.4056813
curveLM.236,976.256346,457
curveLM.237,978.3531856,457
curveLM.238,980.4500252,457
curveLM.239,982.3866918,456.6133082
curveLM.240,984.1622745,455.8377255
curveLM.241,985.6449639,454.3550361
curveLM.242,987.1276534,452.8723466
curveLM.243,988,451.1368448
curveLM.244,989,449.4542188
curveLM.245,990.1615083,447.8384917
curveLM.246,991.9110332,447
curveLM.247,994.0078728,447
curveLM.248,996.1047123,447
curveLM.249,998.1425187,446.8574813
curveLM.250,999.6252082,445.3747918
curveLM.251,1001,443.8474097
curveLM.252,1001.88348,442.1165196
curveLM.253,1002.659063,440.3409369
curveLM.254,1003.614682,439
curveLM.255,1005.210228,437.7897716
curveLM.256,1006,436.0200661
curveLM.257,1007.468501,434.5314994
curveLM.258,1009.244083,434.2440833
curveLM.259,1011.027812,435
curveLM.260,1012.124651,436
curveLM.261,1013,437.2214911
curveLM.262,1013,439.3183306
curveLM.263,1013,441.4151702
curveLM.264,1013,443.5120098
curveLM.265,1014.194636,445
curveLM.266,1016.206104,444.7938958
curveLM.267,1017.688794,443.3112063
curveLM.268,1018.464376,441.5356236
curveLM.269,1019.947066,440.0529342
curveLM.270,1021.429755,438.5702447
curveLM.271,1023.205338,438.205338
curveLM.272,1024,439.9730178
curveLM.273,1025,441.6556438
curveLM.274,1025,443.7524834
curveLM.275,1025,445.8493229
curveLM.276,1025,447.9461625
curveLM.277,1025.737514,449.7375138
curveLM.278,1026,451.7256281
curveLM.279,1027.288679,452.7113208
curveLM.280,1029.064262,451.9357381
curveLM.281,1030.546951,450.4530486
curveLM.282,1032.322534,449.6774659
curveLM.283,1034,449.1387581
curveLM.284,1034,451.2355976
curveLM.285,1034,453.3324372
curveLM.286,1033,455.0150632
curveLM.287,1033,457.1119028
curveLM.288,1033.147603,459.1476031
curveLM.289,1034.630293,460.6302926
curveLM.290,1035.405875,462.4058753
