,V1,V2
suture_start,492,502
curveLM.3,492.9863646,502
curveLM.4,493.9727293,502
curveLM.5,494.6781818,502.6781818
curveLM.6,495.531245,503
curveLM.7,496.5176097,503
curveLM.8,497.5039743,503
curveLM.9,498.346722,503.346722
curveLM.10,499.0624901,504
curveLM.11,500.0488547,504
curveLM.12,501.0352194,504
curveLM.13,502.0152622,504.0152622
curveLM.14,502.7127273,504.7127273
curveLM.15,503.5800997,505
curveLM.16,504.5664644,505
curveLM.17,505.552829,505
curveLM.18,506.5391937,505
curveLM.19,507.3716259,505.3716259
curveLM.20,508.0977094,506
curveLM.21,509.0840741,506
curveLM.22,510.0704387,506
curveLM.23,511.0568034,506
curveLM.24,512.0305244,506.0305244
curveLM.25,512.7279895,506.7279895
curveLM.26,513.6016837,507
curveLM.27,514.5880484,507
curveLM.28,515.574413,507
curveLM.29,516.5607777,507
curveLM.30,517.3868881,507.3868881
curveLM.31,518.1192934,508
curveLM.32,519.1056581,508
curveLM.33,520.0920227,508
curveLM.34,521.0783874,508
curveLM.35,522.064752,508
curveLM.36,523,508.0511167
curveLM.37,523.0374813,509
curveLM.38,524.023846,509
curveLM.39,525.0102106,509
curveLM.40,525.9965753,509
curveLM.41,526.9829399,509
curveLM.42,527.9693046,509
curveLM.43,528.9556692,509
curveLM.44,529.9420339,509
curveLM.45,530.9283985,509
curveLM.46,531.6468352,509.6468352
curveLM.47,532.4869142,510
curveLM.48,533.4732789,510
curveLM.49,534.4596435,510
curveLM.50,535.4460082,510
curveLM.51,536.4323728,510
curveLM.52,537.4187375,510
curveLM.53,538.4051021,510
curveLM.54,539.3914668,510
curveLM.55,540.3778314,510
curveLM.56,541.3641961,510
curveLM.57,542.3505607,510
curveLM.58,543.3369254,510
curveLM.59,544.32329,510
curveLM.60,545.3096547,510
curveLM.61,546.2960193,510
curveLM.62,547.282384,510
curveLM.63,548.2687486,510
curveLM.64,549.2551133,510
curveLM.65,550.2414779,510
curveLM.66,551.2278426,510
curveLM.67,552.2142072,510
curveLM.68,553.2005719,510
curveLM.69,554.1869365,510
curveLM.70,555.1225424,509.8774576
curveLM.71,555.8200075,509.1799925
curveLM.72,556.7318169,509
