,V1,V2
suture_start,144,368
curveLM.3,145.5018995,366.4981005
curveLM.4,147.2966922,365.7033078
curveLM.5,148.7985916,364.2014084
curveLM.6,150.4249586,363
curveLM.7,152.0952838,361.9047162
curveLM.8,153.8445447,361
curveLM.9,155.5543377,360
curveLM.10,156.6783443,359
curveLM.11,157,357.1976491
curveLM.12,157,355.0736425
curveLM.13,157,352.9496359
curveLM.14,157,350.8256293
curveLM.15,156.0819086,349.0819086
curveLM.16,156,346.9918297
curveLM.17,155.9065368,344.9065368
curveLM.18,155,343.1580301
curveLM.19,155,341.0340235
curveLM.20,155,338.9100169
curveLM.21,155.1513136,336.8486864
curveLM.22,156,335.0762172
curveLM.23,156.0477894,333
curveLM.24,157,331.828204
curveLM.25,158,330.7041974
curveLM.26,159.0039567,328.9960433
curveLM.27,160,327.2846114
curveLM.28,161.4251817,326
curveLM.29,163.0954415,324.9045585
curveLM.30,164.8447677,324
curveLM.31,166.5545608,323
curveLM.32,168.1869264,321.8130736
curveLM.33,169.9741469,321
curveLM.34,171.6839399,320
curveLM.35,173.8079465,320
curveLM.36,175.9319531,320
curveLM.37,178.0395695,320.0395695
curveLM.38,179.7657527,321
curveLM.39,181.8897593,321
curveLM.40,183.5995524,322
curveLM.41,185.7235589,322
curveLM.42,187.8475655,322
curveLM.43,189.9715721,322
curveLM.44,192.0955787,322
curveLM.45,193.8623771,321.1376229
curveLM.46,195.9293784,321
curveLM.47,198.053385,321
curveLM.48,200.1773916,321
curveLM.49,202.3013982,321
curveLM.50,204.4254048,321
curveLM.51,206.5494114,321
curveLM.52,208.673418,321
curveLM.53,210.7974246,321
curveLM.54,212.9214312,321
curveLM.55,214.7392361,320.2607639
curveLM.56,216.7552308,320
curveLM.57,218.8792374,320
curveLM.58,221.003244,320
curveLM.59,222.7970865,319.2029135
curveLM.60,224.8370436,319
curveLM.61,226.6795651,318.3204349
curveLM.62,228.6708433,318
curveLM.63,230.5620437,317.4379563
curveLM.64,232.5046429,317
curveLM.65,234.2144359,316
curveLM.66,236.239315,315.760685
curveLM.67,238.0482356,315
curveLM.68,239.1722422,314
curveLM.69,241.2962488,314
curveLM.70,243.0060418,313
curveLM.71,245.1300484,313
curveLM.72,247.254055,313
curveLM.73,249.3780616,313
curveLM.74,251.3550158,313.3550158
curveLM.75,253.2118612,314
curveLM.76,254.9446012,314.9446012
curveLM.77,257.0456609,315
curveLM.78,259,315.1696675
curveLM.79,260.293674,316
curveLM.80,262.2953448,316.2953448
curveLM.81,264.1274737,317
curveLM.82,265.8849302,317.8849302
curveLM.83,267.9612733,318
curveLM.84,269.6710664,319
curveLM.85,271.795073,319
curveLM.86,273.9190795,319
curveLM.87,275.6288726,320
curveLM.88,277.7528792,320
curveLM.89,279.8768858,320
curveLM.90,282.0008924,320
curveLM.91,284.0883169,320.0883169
curveLM.92,285.834692,321
curveLM.93,287.544485,322
curveLM.94,289.472695,322.472695
curveLM.95,291.3782847,323
