,V1,V2
suture_start,1422,583
curveLM.3,1422.918965,583
curveLM.4,1423.592506,582.4074941
curveLM.5,1424.342681,582
curveLM.6,1425.261646,582
curveLM.7,1426.180611,582
curveLM.8,1427.099576,582
curveLM.9,1428.01311,581.9868897
curveLM.10,1428.662917,581.3370833
curveLM.11,1429.442257,581
curveLM.12,1430.361222,581
curveLM.13,1431.280187,581
curveLM.14,1432,580.8008482
curveLM.15,1432.118117,580
curveLM.16,1433.037082,580
curveLM.17,1433.956047,580
curveLM.18,1434.875011,580
curveLM.19,1435.793976,580
curveLM.20,1436.712941,580
curveLM.21,1437.446825,579.5531748
curveLM.22,1438.136658,579
curveLM.23,1439.055622,579
curveLM.24,1439.974587,579
curveLM.25,1440.893552,579
curveLM.26,1441.812517,579
curveLM.27,1442.517236,578.482764
curveLM.28,1443.236234,578
curveLM.29,1444.155198,578
curveLM.30,1445.074163,578
curveLM.31,1445.993128,578
curveLM.32,1446.912093,578
curveLM.33,1447.831058,578
curveLM.34,1448.530346,577.4696537
curveLM.35,1449.254774,577
curveLM.36,1450.173739,577
curveLM.37,1451.092704,577
curveLM.38,1452.008251,576.9917487
curveLM.39,1452.658058,576.3419424
curveLM.40,1453.435385,576
curveLM.41,1454.250563,575.7494365
curveLM.42,1454.90037,575.0996302
curveLM.43,1455.778067,575
curveLM.44,1456.697031,575
curveLM.45,1457.435575,574.5644248
curveLM.46,1458.120748,574
curveLM.47,1459.028081,573.9719189
curveLM.48,1459.677887,573.3221126
curveLM.49,1460.463429,573
curveLM.50,1461.270393,572.7296068
curveLM.51,1461.9202,572.0798004
curveLM.52,1462.80611,572
curveLM.53,1463.512705,571.4872946
curveLM.54,1464.229826,571
curveLM.55,1465.105211,571.1052113
curveLM.56,1465.755018,571.7550176
curveLM.57,1466.572507,572
curveLM.58,1467.491472,572
curveLM.59,1468.410437,572
curveLM.60,1469.232923,572.2329226
curveLM.61,1469.882729,572.8827289
curveLM.62,1470.753119,573
curveLM.63,1471.672083,573
curveLM.64,1472.591048,573
curveLM.65,1473.510013,573
curveLM.66,1474.303333,573.3033334
curveLM.67,1474.95314,573.9531397
curveLM.68,1475.852694,574
curveLM.69,1476.771659,574
curveLM.70,1477.690624,574
curveLM.71,1478.609589,574
curveLM.72,1479.528554,574
curveLM.73,1480.447519,574
curveLM.74,1481.366484,574
curveLM.75,1482.285449,574
curveLM.76,1483.204414,574
curveLM.77,1484.123379,574
curveLM.78,1485.042344,574
curveLM.79,1485.961308,574
curveLM.80,1486.880273,574
curveLM.81,1487.799238,574
curveLM.82,1488.718203,574
curveLM.83,1489.450546,574.4505459
curveLM.84,1490.141919,575
curveLM.85,1491.060884,575
curveLM.86,1491.979849,575
curveLM.87,1492.635558,575.6355576
curveLM.88,1493.403566,576
curveLM.89,1494.32253,576
curveLM.90,1495.241495,576
curveLM.91,1496.16046,576
curveLM.92,1497.056162,576.0561621
curveLM.93,1497.705968,576.7059684
curveLM.94,1498.503141,577
curveLM.95,1499.422106,577
curveLM.96,1500.341071,577
curveLM.97,1501.260036,577
curveLM.98,1502.126573,576.8734271
curveLM.99,1502.776379,576.2236208
curveLM.100,1503.602717,576
curveLM.101,1504.521682,576
curveLM.102,1505.440647,576
curveLM.103,1506.254284,576.2542842
curveLM.104,1506.904091,576.9040905
curveLM.105,1507.553897,577.5538968
curveLM.106,1508.28808,578
curveLM.107,1509,578.2070447
curveLM.108,1509.089102,579.0891022
curveLM.109,1509.738909,579.7389086
curveLM.110,1510.549726,580
curveLM.111,1511.331414,580.3314144
curveLM.112,1511.981221,580.9812207
curveLM.113,1512.892407,581
curveLM.114,1513.573727,581.5737266
curveLM.115,1514.316123,582
curveLM.116,1515.235088,582
curveLM.117,1516.108932,582.108932
curveLM.118,1516.758738,582.7587383
curveLM.119,1517.577769,583
curveLM.120,1518.496734,583
curveLM.121,1519.415699,583
curveLM.122,1520.236643,582.7633567
curveLM.123,1520.88645,582.1135504
curveLM.124,1521.75838,582
curveLM.125,1522.677345,582
curveLM.126,1523.421655,582.421655
curveLM.127,1524.101062,583
curveLM.128,1525.020026,583
curveLM.129,1525.938991,583
curveLM.130,1526,583.8579563
curveLM.131,1526.776921,584
curveLM.132,1527.492066,584.4920658
curveLM.133,1528.200637,585
curveLM.134,1529.084572,585.0845717
curveLM.135,1529.734378,585.734378
curveLM.136,1530.384184,586.3841843
curveLM.137,1531.04807,587
curveLM.138,1531.967035,587
curveLM.139,1532.626497,587.6264965
curveLM.140,1533.390751,588
curveLM.141,1534.219002,588.2190024
curveLM.142,1534.868809,588.8688087
curveLM.143,1535.518615,589.518615
curveLM.144,1536.238184,590
curveLM.145,1537.111121,590.1111209
curveLM.146,1537.760927,590.7609272
curveLM.147,1538.580865,591
curveLM.148,1539.353433,591.3534331
curveLM.149,1540.003239,592.0032394
curveLM.150,1540.653046,592.6530457
curveLM.151,1541.302852,593.302852
curveLM.152,1541.952658,593.9526583
curveLM.153,1542.852014,594
curveLM.154,1543.545164,594.5451642
curveLM.155,1544.27573,595
curveLM.156,1545.13767,595.1376701
curveLM.157,1545.787476,595.7874764
curveLM.158,1546.618411,596
curveLM.159,1547.379982,596.3799823
curveLM.160,1548.042127,597
curveLM.161,1548.961092,597
curveLM.162,1549.622294,597.6222944
curveLM.163,1550.272101,598.2721008
curveLM.164,1550.921907,598.9219071
curveLM.165,1551.571713,599.5717134
curveLM.166,1552.313276,600
curveLM.167,1553.232241,600
curveLM.168,1554,600.151206
curveLM.169,1554.070171,601
curveLM.170,1554.989136,601
curveLM.171,1555.908101,601
curveLM.172,1556.827066,601
curveLM.173,1557.746031,601
curveLM.174,1558.664996,601
curveLM.175,1559.58396,601
curveLM.176,1560.502925,601
curveLM.177,1561.42189,601
curveLM.178,1562,601.3408552
curveLM.179,1562.25982,602
curveLM.180,1563.178785,602
curveLM.181,1564.06912,602.0691196
curveLM.182,1564.718926,602.7189259
curveLM.183,1565.521466,603
curveLM.184,1566.311432,603.3114318
curveLM.185,1566.961238,603.9612381
curveLM.186,1567.864147,604
curveLM.187,1568.783112,604
curveLM.188,1569,604.7020772
curveLM.189,1569.621042,605
curveLM.190,1570.540007,605
curveLM.191,1571,605.4589719
curveLM.192,1571.377937,606
curveLM.193,1572.296902,606
curveLM.194,1573.152641,606.1526408
curveLM.195,1573.802447,606.8024471
curveLM.196,1574.639583,607
curveLM.197,1575.394953,607.394953
curveLM.198,1576.063299,608
curveLM.199,1576.982264,608
curveLM.200,1577.637265,608.6372651
curveLM.201,1578,609.4059804
curveLM.202,1578.324945,610
curveLM.203,1579.172471,610.1724706
curveLM.204,1579.822277,610.8222769
curveLM.205,1580.472083,611.4720832
curveLM.206,1581.12189,612.1218895
curveLM.207,1581.771696,612.7716958
curveLM.208,1582.596094,613
curveLM.209,1583.364202,613.3642017
curveLM.210,1584,614.0198103
curveLM.211,1584,614.9387753
curveLM.212,1584.606514,615.6065139
curveLM.213,1585.25632,616.2563202
curveLM.214,1585.906127,616.9061265
curveLM.215,1586.786208,617
curveLM.216,1587.498632,617.4986324
curveLM.217,1588.209924,618
curveLM.218,1589,618.128889
curveLM.219,1589.047854,619
curveLM.220,1589.966819,619
curveLM.221,1590.885784,619
