,V1,V2
suture_start,798,557
curveLM.3,799.6558374,556
curveLM.4,801.2203873,554.7796127
curveLM.5,802.6841344,553.3158656
curveLM.6,804.2091359,552
curveLM.7,805.9045217,551.0954783
curveLM.8,807.3682687,549.6317313
curveLM.9,809.124909,548.875091
curveLM.10,810.588656,547.411344
curveLM.11,812.0524031,545.9475969
curveLM.12,813,544.2700535
curveLM.13,814.3857838,543
curveLM.14,816.0294306,541.9705694
curveLM.15,817.4931777,540.5068223
curveLM.16,818.9569247,539.0430753
curveLM.17,820.4206718,537.5793282
curveLM.18,822.177312,536.822688
curveLM.19,823.9065945,536
curveLM.20,825.5624318,535
curveLM.21,826.6324827,534
curveLM.22,828.2883201,533
curveLM.23,829.9605134,532.0394866
curveLM.24,831.7171536,531.2828464
curveLM.25,833.4737939,530.5262061
curveLM.26,835.2304342,529.7695658
curveLM.27,836.9817205,529
curveLM.28,838.7437147,528.2562853
curveLM.29,840.5003549,527.4996451
curveLM.30,842.2569952,526.7430048
curveLM.31,844.0136355,525.9863645
curveLM.32,845.6751208,525
curveLM.33,847.526916,524.473084
curveLM.34,849.2835563,523.7164437
curveLM.35,851.0568465,523
curveLM.36,853.1268974,523
curveLM.37,854.8463703,522.1536297
curveLM.38,856.8527857,522
curveLM.39,858.652544,521.347456
curveLM.40,860.1644604,520
curveLM.41,861.8729313,519.1270687
curveLM.42,863.4761351,518
curveLM.43,865.0933186,516.9066814
curveLM.44,866.5570657,515.4429343
curveLM.45,868.0294337,514
curveLM.46,870.0994846,514
curveLM.47,872,513.8304645
curveLM.48,873.2395864,513
curveLM.49,875.3096373,513
curveLM.50,876.9755869,512.0244131
curveLM.51,879.0251204,511.9748796
curveLM.52,880.691363,511
curveLM.53,882.2455077,509.7544923
curveLM.54,884.002148,508.997852
curveLM.55,885.465895,507.534105
curveLM.56,886.9296421,506.0703579
curveLM.57,888.3933891,504.6066109
curveLM.58,889.8571362,503.1428638
curveLM.59,891.4537974,502
curveLM.60,893.1096348,501
curveLM.61,894.8341637,500.1658363
curveLM.62,896.2979108,498.7020892
curveLM.63,897.7616578,497.2383422
curveLM.64,899.2254049,495.7745951
