,V1,V2
suture_start,699,148
curveLM.3,699.8021872,148
curveLM.4,700.4273572,147.5726428
curveLM.5,700.9945893,147.0054107
curveLM.6,701.7945352,147
curveLM.7,702.5967224,147
curveLM.8,703,146.6010903
curveLM.9,703.2010969,146
curveLM.10,704.0032841,146
curveLM.11,704.8054713,146
curveLM.12,705.6076585,146
curveLM.13,706.2898046,145.7101954
curveLM.14,706.8570367,145.1429633
curveLM.15,707.6000065,145
curveLM.16,708.4021937,145
curveLM.17,709.2043809,145
curveLM.18,710.0046444,145.0046444
curveLM.19,710.5718764,145.5718764
curveLM.20,711.196729,146
curveLM.21,711.9989162,146
curveLM.22,712.5664656,146.5664656
curveLM.23,713.189077,147
curveLM.24,713.9912642,147
curveLM.25,714.5610549,147.5610549
curveLM.26,715.181425,148
curveLM.27,715.9836122,148
curveLM.28,716.7857994,148
curveLM.29,717.4157693,147.5842307
curveLM.30,717.9830014,147.0169986
curveLM.31,718,146.2218525
curveLM.32,718.4103586,145.5896414
curveLM.33,718.9775906,145.0224094
curveLM.34,719.7704955,145
curveLM.35,720.5726827,145
curveLM.36,721.3748699,145
curveLM.37,722.1770571,145
curveLM.38,722.9792443,145
curveLM.39,723.7814315,145
curveLM.40,724.4126808,145.4126808
curveLM.41,724.9799128,145.9799128
curveLM.42,725.7737796,146
curveLM.43,726.5759668,146
curveLM.44,727.2673953,146.2673953
curveLM.45,727.8346273,146.8346273
curveLM.46,728.5683148,147
curveLM.47,729,146.629498
curveLM.48,729.1726892,146
curveLM.49,729.9748764,146
curveLM.50,730,145.2229364
curveLM.51,730,144.4207492
curveLM.52,730.3814381,144
curveLM.53,731.1836253,144
curveLM.54,731.9858125,144
curveLM.55,732.7879997,144
curveLM.56,733.5901869,144
curveLM.57,734.2774504,144.2774504
curveLM.58,734.8446824,144.8446824
curveLM.59,735.5825349,145
curveLM.60,736.3847221,145
curveLM.61,737.1869093,145
curveLM.62,737.9890965,145
curveLM.63,738.7912837,145
curveLM.64,739.4196473,144.5803527
curveLM.65,739.9868793,144.0131207
curveLM.66,740.7836318,144
curveLM.67,741.585819,144
curveLM.68,742.3880062,144
curveLM.69,743.1901934,144
curveLM.70,743.9923806,144
curveLM.71,744.7945678,144
curveLM.72,745.596755,144
curveLM.73,746.3989422,144
curveLM.74,747.2011294,144
curveLM.75,748.0023452,143.9976548
curveLM.76,748.5695772,143.4304228
curveLM.77,749,142.8065226
curveLM.78,749,142.0043354
curveLM.79,748.4358336,141.4358336
curveLM.80,747.8686016,140.8686016
curveLM.81,747.3013695,140.3013695
curveLM.82,747,139.6240137
curveLM.83,747,138.8218265
curveLM.84,747,138.0196393
curveLM.85,747,137.2174521
curveLM.86,747.4134702,136.5865298
curveLM.87,747.9807022,136.0192978
curveLM.88,748.5479342,135.4520658
curveLM.89,749.1628696,135
curveLM.90,749.9650568,135
curveLM.91,750.767244,135
curveLM.92,751.4026487,135.4026487
curveLM.93,751.9698807,135.9698807
curveLM.94,752.759592,136
curveLM.95,753.5617792,136
curveLM.96,754.2573631,136.2573631
curveLM.97,754.8245952,136.8245952
curveLM.98,755.3918272,137.3918272
curveLM.99,755.9590592,137.9590592
