,V1,V2
suture_start,1005,324
curveLM.3,1004.418816,324.5811838
curveLM.4,1004,325.2296224
curveLM.5,1004,326.0515405
curveLM.6,1004,326.8734585
curveLM.7,1003.508295,327.4917054
curveLM.8,1003,328.1030809
curveLM.9,1003,328.9249989
curveLM.10,1003,329.7469169
curveLM.11,1002.597773,330.402227
curveLM.12,1002.016589,330.9834108
curveLM.13,1002,331.7984574
curveLM.14,1002,332.6203754
curveLM.15,1001.687251,333.3127487
curveLM.16,1001.106068,333.8939325
curveLM.17,1001,334.6719158
curveLM.18,1001,335.4938338
curveLM.19,1001,336.3157519
curveLM.20,1000.902653,337.0973473
curveLM.21,1000.321469,337.6785311
curveLM.22,1000,338.3672923
curveLM.23,1000,339.1892103
curveLM.24,1000.011128,340
curveLM.25,1000.833046,340
curveLM.26,1001,340.6549643
curveLM.27,1001,341.4768823
curveLM.28,1001,342.2988003
curveLM.29,1001,343.1207183
curveLM.30,1001,343.9426364
curveLM.31,1001,344.7645544
curveLM.32,1001,345.5864724
curveLM.33,1000.711224,346.2887756
curveLM.34,1000.130041,346.8699594
curveLM.35,1000,347.6380128
curveLM.36,999.6747798,348.3252202
curveLM.37,999.093596,348.906404
curveLM.38,998.5124122,349.4875878
curveLM.39,998,350.0972577
curveLM.40,998,350.9191757
curveLM.41,997.4759676,351.5240324
curveLM.42,997,352.1487982
curveLM.43,997,352.9707162
curveLM.44,997,353.7926342
curveLM.45,997,354.6145522
curveLM.46,997,355.4364702
curveLM.47,997,356.2583882
curveLM.48,997,357.0803062
curveLM.49,997,357.9022242
curveLM.50,997,358.7241422
curveLM.51,997.3861229,359.3861229
curveLM.52,997.9673067,359.9673067
curveLM.53,998,360.7756827
curveLM.54,998.5976007,361
curveLM.55,999,361.4195187
curveLM.56,999,362.2414367
curveLM.57,999,363.0633547
curveLM.58,999,363.8852727
curveLM.59,998.4999406,364.5000594
curveLM.60,998,365.1148952
curveLM.61,998,365.9368132
curveLM.62,998,366.7587312
curveLM.63,998,367.5806492
curveLM.64,998,368.4025672
curveLM.65,998.158735,369.158735
curveLM.66,998.7399188,369.7399188
curveLM.67,999,370.4541076
curveLM.68,999,371.2760256
curveLM.69,999.0692566,372.0692566
curveLM.70,999.6504404,372.6504404
curveLM.71,1000,373.3275661
curveLM.72,1000,374.1494841
curveLM.73,1000,374.9714021
curveLM.74,1000,375.7933201
curveLM.75,1000.615238,376
curveLM.76,1001,376.4371561
curveLM.77,1001.183193,377.1831931
curveLM.78,1001.764377,377.7643769
curveLM.79,1002,378.4886966
curveLM.80,1002.310615,379
curveLM.81,1003,379.1325326
curveLM.82,1003,379.9544506
curveLM.83,1003.548976,380.5489755
curveLM.84,1004,381.1840731
curveLM.85,1004,382.0059911
curveLM.86,1004,382.8279091
curveLM.87,1004.459497,383.4594971
curveLM.88,1005,384.0575315
curveLM.89,1005,384.8794495
curveLM.90,1005,385.7013675
curveLM.91,1005.370019,386.3700188
curveLM.92,1005.951203,386.9512025
curveLM.93,1006,387.752908
curveLM.94,1005.593537,388.4064634
curveLM.95,1005.012353,388.9876472
curveLM.96,1005,389.8044484
curveLM.97,1005,390.6263664
curveLM.98,1004.551716,391
curveLM.99,1004,391.2702025
curveLM.100,1004,392.0921205
curveLM.101,1004,392.9140385
curveLM.102,1004,393.7359565
curveLM.103,1004,394.5578745
curveLM.104,1004,395.3797925
curveLM.105,1004,396.2017105
curveLM.106,1004,397.0236285
curveLM.107,1004,397.8455465
curveLM.108,1004.471969,398.4719687
curveLM.109,1005,399.075169
curveLM.110,1005,399.897087
curveLM.111,1005,400.719005
curveLM.112,1005.38249,401.3824903
curveLM.113,1005.963674,401.9636741
curveLM.114,1006,402.7705454
curveLM.115,1006,403.5924634
curveLM.116,1006.293012,404.2930119
curveLM.117,1006.874196,404.8741957
curveLM.118,1007,405.6440039
curveLM.119,1007,406.4659219
curveLM.120,1007.203534,407.2035335
curveLM.121,1007.784717,407.7847173
curveLM.122,1008,408.5174623
curveLM.123,1008,409.3393804
curveLM.124,1008.114055,410.1140552
curveLM.125,1008.695239,410.695239
curveLM.126,1009,411.3909208
curveLM.127,1009,412.2128388
curveLM.128,1009,413.0347568
curveLM.129,1009,413.8566748
curveLM.130,1009.479838,414.4798376
curveLM.131,1010,415.0862973
curveLM.132,1010,415.9082153
curveLM.133,1010,416.7301333
curveLM.134,1010,417.5520513
curveLM.135,1010.264436,418.2644362
curveLM.136,1010.84562,418.84562
curveLM.137,1011,419.6035917
curveLM.138,1011,420.4255098
curveLM.139,1011,421.2474278
curveLM.140,1011,422.0693458
curveLM.141,1011,422.8912638
curveLM.142,1011,423.7131818
curveLM.143,1011,424.5350998
curveLM.144,1011,425.3570178
curveLM.145,1011,426.1789358
curveLM.146,1011,427.0008538
curveLM.147,1011,427.8227718
curveLM.148,1011,428.6446898
curveLM.149,1011.329942,429.3299416
curveLM.150,1011.911125,429.9111254
curveLM.151,1012,430.6962303
curveLM.152,1012,431.5181483
curveLM.153,1012,432.3400663
curveLM.154,1012.11454,433.1145402
curveLM.155,1012.695724,433.695724
curveLM.156,1013,434.3916067
curveLM.157,1013,435.2135247
curveLM.158,1013,436.0354428
curveLM.159,1013,436.8573608
curveLM.160,1013.480323,437.4803226
curveLM.161,1014,438.0869832
curveLM.162,1014,438.9089012
curveLM.163,1014,439.7308192
curveLM.164,1014,440.5527372
curveLM.165,1014,441.3746552
curveLM.166,1014,442.1965732
curveLM.167,1014.013075,443.0130753
curveLM.168,1014.594259,443.5942591
curveLM.169,1015,444.2481137
curveLM.170,1015,445.0700317
curveLM.171,1015,445.8919497
curveLM.172,1015,446.7138677
curveLM.173,1015,447.5357857
curveLM.174,1015,448.3577037
curveLM.175,1015,449.1796217
curveLM.176,1015,450.0015397
curveLM.177,1015,450.8234577
curveLM.178,1015,451.6453757
curveLM.179,1015,452.4672938
curveLM.180,1015,453.2892118
