,V1,V2
suture_start,995,778
curveLM.3,996.5616026,778
curveLM.4,998.1232051,778
curveLM.5,999.6848077,778
curveLM.6,1001.174238,777.8257616
curveLM.7,1002.393799,777
curveLM.8,1003.955402,777
curveLM.9,1005.102791,776
curveLM.10,1006.664393,776
curveLM.11,1007.86691,775.1330899
curveLM.12,1009.264023,774.7359769
curveLM.13,1010.520774,774
curveLM.14,1011.765356,773.2346442
curveLM.15,1012.869576,772.1304244
curveLM.16,1013.377155,771
curveLM.17,1014.663802,770.3361984
curveLM.18,1015.768021,769.2319787
curveLM.19,1016.872241,768.1277589
curveLM.20,1018.269354,767.7306459
curveLM.21,1019.528313,767
curveLM.22,1020.770687,766.2293132
curveLM.23,1022.1678,765.8322002
curveLM.24,1023.384694,765
curveLM.25,1024.946296,765
curveLM.26,1026,764.4921011
curveLM.27,1027.069501,764
curveLM.28,1028.631104,764
curveLM.29,1030.136264,763.8637358
curveLM.30,1031.340096,763
curveLM.31,1032.637597,762.3624031
curveLM.32,1034.049087,762
curveLM.33,1035.61069,762
curveLM.34,1036.172292,761
curveLM.35,1037.733895,761
curveLM.36,1039.295497,761
curveLM.37,1040.8571,761
curveLM.38,1042.418703,761
curveLM.39,1043.980305,761
curveLM.40,1045.541908,761
curveLM.41,1046.7803,761.7802996
curveLM.42,1048.250899,762
curveLM.43,1049.812502,762
curveLM.44,1051.264532,761.7354682
curveLM.45,1052.521493,761
curveLM.46,1053.765865,760.2341354
curveLM.47,1055,759.7695149
curveLM.48,1055.560091,758.4399095
curveLM.49,1056,757.0605234
curveLM.50,1057,755.9131344
curveLM.51,1057,754.3515318
curveLM.52,1057,752.7899292
curveLM.53,1057,751.2283266
curveLM.54,1057,749.6667241
curveLM.55,1057.632775,748.3672254
curveLM.56,1058,746.9577325
curveLM.57,1058.427001,745.5729994
curveLM.58,1059,744.2487409
curveLM.59,1059.928333,743.0716666
curveLM.60,1060.325446,741.6745536
curveLM.61,1061.429666,740.5703339
curveLM.62,1062.533886,739.4661141
curveLM.63,1063.638106,738.3618943
curveLM.64,1064.742325,737.2576746
curveLM.65,1065.846545,736.1534548
curveLM.66,1066.950765,735.049235
curveLM.67,1068.07776,734
curveLM.68,1069.639363,734
curveLM.69,1070.849211,733.1507893
curveLM.70,1072.348354,733
curveLM.71,1073,732.0900431
curveLM.72,1074,730.9426541
curveLM.73,1074,729.3810516
curveLM.74,1074.127669,727.8723312
curveLM.75,1075,726.67206
curveLM.76,1075,725.1104574
curveLM.77,1075.319008,723.6809922
curveLM.78,1076,722.4014659
curveLM.79,1076.113234,720.8867662
curveLM.80,1077,719.6924743
curveLM.81,1077,718.1308717
curveLM.82,1078,716.9834827
curveLM.83,1078.408792,715.5912075
curveLM.84,1079.513012,714.4869878
curveLM.85,1080.617232,713.382768
curveLM.86,1081.721452,712.2785482
curveLM.87,1082.825672,711.1743285
curveLM.88,1083.929891,710.0701087
curveLM.89,1085.034111,708.9658889
curveLM.90,1086,707.8043706
curveLM.91,1086.757232,707
curveLM.92,1087.22545,705.77455
curveLM.93,1088,704.5337765
curveLM.94,1089,703.9721739
curveLM.95,1089.416789,702.583211
curveLM.96,1090,701.2631824
curveLM.97,1089.788985,699.788985
curveLM.98,1089,698.5541908
curveLM.99,1089,696.9925882
curveLM.100,1089,695.4309856
curveLM.101,1089,693.8693831
curveLM.102,1089,692.3077805
curveLM.103,1089,690.7461779
curveLM.104,1089,689.1845754
curveLM.105,1089.973705,688.0262947
curveLM.106,1090,686.4755838
curveLM.107,1090.767931,685.2320688
curveLM.108,1091.165044,683.8349558
curveLM.109,1092.269264,682.730736
curveLM.110,1093.373484,681.6265162
curveLM.111,1094.477704,680.5222965
curveLM.112,1095.822964,680
curveLM.113,1097,679.6154336
curveLM.114,1097.946169,679
curveLM.115,1099.093558,678
curveLM.116,1100.463268,677.5367315
curveLM.117,1101.567488,676.4325118
curveLM.118,1102.949939,676
curveLM.119,1104,675.4884589
curveLM.120,1105.05172,674.9482796
curveLM.121,1106.220533,674
curveLM.122,1107.553053,673.4469469
curveLM.123,1108.657273,672.3427271
curveLM.124,1110.076913,672
curveLM.125,1111.451499,671.5485011
curveLM.126,1112.785905,671
curveLM.127,1113.952832,670.0471684
curveLM.128,1115.080683,669
curveLM.129,1116.454164,668.5458356
curveLM.130,1117.558384,667.4416158
curveLM.131,1118.937063,667
curveLM.132,1120.084452,666
curveLM.133,1121.45683,665.5431701
curveLM.134,1122.56105,664.4389503
curveLM.135,1123.665269,663.3347306
curveLM.136,1125.062382,662.9376176
curveLM.137,1126.235611,662
curveLM.138,1127.563715,661.4362848
curveLM.139,1128.667935,660.3320651
curveLM.140,1130.065048,659.9349521
curveLM.141,1131.169268,658.8307323
curveLM.142,1132.38677,658
curveLM.143,1133.6706,657.3293996
curveLM.144,1135.067713,656.9322866
curveLM.145,1136.171933,655.8280668
curveLM.146,1137.390539,655
curveLM.147,1138.952142,655
curveLM.148,1140.070379,653.9296211
curveLM.149,1141.24692,653
curveLM.150,1142,652.1914776
curveLM.151,1143.261718,651.7382821
curveLM.152,1144.365938,650.6340624
curveLM.153,1145.664903,650
curveLM.154,1146.86727,649.1327296
curveLM.155,1147.97149,648.0285098
curveLM.156,1149.368603,647.6313969
curveLM.157,1150.472823,646.5271771
curveLM.158,1151.577043,645.4229573
curveLM.159,1152.963451,645
curveLM.160,1154.078375,643.9216246
curveLM.161,1155.182595,642.8174048
curveLM.162,1156.286815,641.713185
curveLM.163,1157,640.4469934
curveLM.164,1157.788148,639.2118523
curveLM.165,1158.892367,638.1076325
curveLM.166,1159.28948,636.7105195
curveLM.167,1160.3937,635.6062998
curveLM.168,1161,634.2958348
curveLM.169,1161.895033,633.104967
curveLM.170,1162.999253,632.0007473
curveLM.171,1164,630.8536678
curveLM.172,1164.707935,630
curveLM.173,1165.897698,629.1023015
