,V1,V2
suture_start,1271,250
curveLM.3,1271.977887,250
curveLM.4,1272.955774,250
curveLM.5,1273.660198,249.3398024
curveLM.6,1274.497334,249
curveLM.7,1275.47522,249
curveLM.8,1276.453107,249
curveLM.9,1277.430994,249
curveLM.10,1278.408881,249
curveLM.11,1279.386768,249
curveLM.12,1280.364654,249
curveLM.13,1281.342541,249
curveLM.14,1282.320428,249
curveLM.15,1283.298315,249
curveLM.16,1284.276202,249
curveLM.17,1285.254088,249
curveLM.18,1286.231975,249
curveLM.19,1287.209862,249
curveLM.20,1288.187749,249
curveLM.21,1289.165636,249
curveLM.22,1290.101486,249.1014857
curveLM.23,1290.792956,249.792956
curveLM.24,1291.685082,250
curveLM.25,1292.662969,250
curveLM.26,1293.640856,250
curveLM.27,1294.618743,250
curveLM.28,1295.59663,250
curveLM.29,1296.574516,250
curveLM.30,1297.552403,250
curveLM.31,1298.53029,250
curveLM.32,1299.359335,250.3593353
curveLM.33,1300.07185,251
curveLM.34,1301.049737,251
curveLM.35,1302.019533,251.0195329
curveLM.36,1302.711003,251.7110032
curveLM.37,1303.569184,252
curveLM.38,1304.54707,252
curveLM.39,1305.371201,252.3712008
curveLM.40,1306.088631,253
curveLM.41,1307.066517,253
curveLM.42,1308.044404,253
curveLM.43,1309.022291,253
curveLM.44,1310.000178,253
curveLM.45,1310.978064,253
curveLM.46,1311.67596,253.6759596
curveLM.47,1312.519625,254
curveLM.48,1313.497511,254
curveLM.49,1314.475398,254
curveLM.50,1315.320521,254.3205208
curveLM.51,1316.016958,255
curveLM.52,1316.994845,255
curveLM.53,1317.972732,255
curveLM.54,1318.950619,255
curveLM.55,1319.928505,255
curveLM.56,1320.640916,255.640916
curveLM.57,1321.470065,256
curveLM.58,1322.447952,256
curveLM.59,1323.425839,256
curveLM.60,1324.403726,256
curveLM.61,1325.381613,256
curveLM.62,1326.359499,256
curveLM.63,1327.337386,256
curveLM.64,1328.315273,256
curveLM.65,1329.207295,255.7927047
curveLM.66,1329.898766,255.1012344
curveLM.67,1330.83472,255
curveLM.68,1331.812607,255
curveLM.69,1332.790493,255
curveLM.70,1333.76838,255
curveLM.71,1334.746267,255
curveLM.72,1335.724154,255
curveLM.73,1336.702041,255
curveLM.74,1337.679927,255
curveLM.75,1338.657814,255
curveLM.76,1339.635701,255
curveLM.77,1340.613588,255
curveLM.78,1341.591475,255
curveLM.79,1342.569361,255
curveLM.80,1343.547248,255
curveLM.81,1344.525135,255
curveLM.82,1345.503022,255
curveLM.83,1346.480909,255
