,V1,V2
suture_start,644,534
curveLM.3,646.6520535,534
curveLM.4,648.8898934,533
curveLM.5,651.5419468,533
curveLM.6,654.1940003,533
curveLM.7,656.4318402,534
curveLM.8,659.0838936,534
curveLM.9,661.7359471,534
curveLM.10,663.9814646,534.9814646
curveLM.11,666.6258404,535
curveLM.12,668.8636803,536
curveLM.13,671.5157338,536
curveLM.14,673.8257503,536.8257503
curveLM.15,676.2868217,537.2868217
curveLM.16,678.643467,538
curveLM.17,680.9160713,538.9160713
curveLM.18,683.5333604,539
curveLM.19,685.8382142,539.8382142
curveLM.20,688.4232537,540
curveLM.21,691.0532502,540.0532502
curveLM.22,693.3131471,541
curveLM.23,695.6824998,541.6824998
curveLM.24,698.2030404,542
curveLM.25,700.8550939,542
curveLM.26,703.0929338,543
curveLM.27,705.7449872,543
curveLM.28,707.9828271,544
curveLM.29,710.6348806,544
curveLM.30,713.286934,544
curveLM.31,715.6639644,544.6639644
curveLM.32,718.1768274,545
curveLM.33,720.8288809,545
curveLM.34,723.4809343,545
curveLM.35,726,545.1329878
curveLM.36,727.7850412,546
curveLM.37,730.4370947,546
curveLM.38,732.6749346,547
curveLM.39,735.326988,547
curveLM.40,737.5648279,548
curveLM.41,740.2168814,548
curveLM.42,742.4547213,549
curveLM.43,745.1067747,549
curveLM.44,747.7588282,549
curveLM.45,750.4108817,549
curveLM.46,753.0629351,549
curveLM.47,755.7149886,549
curveLM.48,758.367042,549
curveLM.49,761,549.0190955
curveLM.50,762.6711489,550
curveLM.51,765.3232024,550
curveLM.52,767.68961,550.68961
curveLM.53,770.2130957,551
curveLM.54,772.8651492,551
curveLM.55,775.1029891,552
curveLM.56,777.7550426,552
curveLM.57,779.9928824,553
curveLM.58,782.6449359,553
curveLM.59,785.2969894,553
curveLM.60,787.9490428,553
curveLM.61,790.6010963,553
curveLM.62,793.2531497,553
curveLM.63,795.9052032,553
curveLM.64,798.1430431,554
curveLM.65,800.7950965,554
curveLM.66,803.44715,554
curveLM.67,806.0701474,554.0701474
curveLM.68,808.3370434,555
curveLM.69,810.9890968,555
curveLM.70,813.6411503,555
curveLM.71,816.2932037,555
curveLM.72,818.9452572,555
curveLM.73,821.5973106,555
curveLM.74,823.8351505,556
curveLM.75,826.3445052,556.3445052
curveLM.76,828.7250439,557
curveLM.77,830.9737549,557.9737549
curveLM.78,833.6149372,558
curveLM.79,836.2669907,558
curveLM.80,838.9190441,558
curveLM.81,841.5710976,558
curveLM.82,844.2231511,558
