,V1,V2
suture_start,934,851
curveLM.3,934.8710946,851
curveLM.4,935.524807,850.475193
curveLM.5,936.1990701,850
curveLM.6,937.0496139,849.9503861
curveLM.7,937.6655708,849.3344292
curveLM.8,938.3981403,849
curveLM.9,939,848.7307651
curveLM.10,939.1403294,848
curveLM.11,940.011424,848
curveLM.12,940.8825186,848
curveLM.13,941.532885,847.467115
curveLM.14,942.2104941,847
curveLM.15,943.0815887,847
curveLM.16,943.9526833,847
curveLM.17,944.5824989,846.4175011
curveLM.18,945.2806589,846
curveLM.19,946,845.8482466
curveLM.20,946,844.977152
curveLM.21,946,844.1060574
curveLM.22,946.540963,843.459037
curveLM.23,947,842.7780819
curveLM.24,947.0657699,841.9342301
curveLM.25,947.6817268,841.3182732
curveLM.26,948.2976837,840.7023163
curveLM.27,948.9136406,840.0863594
curveLM.28,949.7489639,840
curveLM.29,950.4384475,839.5615525
curveLM.30,951.0544044,838.9455956
curveLM.31,951.6703613,838.3296387
curveLM.32,952.2863182,837.7136818
curveLM.33,952.902275,837.097725
curveLM.34,953,836.2671094
curveLM.35,953,835.3960148
curveLM.36,953.4750797,835
curveLM.37,954,834.6538257
curveLM.38,954,833.7827311
curveLM.39,954,832.9116365
curveLM.40,954,832.040542
curveLM.41,953.4127106,831.4127106
curveLM.42,953,830.7125664
curveLM.43,952.8879037,829.8879037
curveLM.44,952.2719468,829.2719468
curveLM.45,951.6559899,828.6559899
curveLM.46,951.040033,828.040033
curveLM.47,951,827.1855207
curveLM.48,950.3144261,827
curveLM.49,950,826.4433315
curveLM.50,950.3024741,825.6975259
curveLM.51,950.918431,825.081569
curveLM.52,951,824.2442614
curveLM.53,951.6268332,824
curveLM.54,952.3520881,823.6479119
curveLM.55,952.968045,823.031955
curveLM.56,953.8259033,823
curveLM.57,954.6969979,823
curveLM.58,955.5680925,823
curveLM.59,956.439187,823
curveLM.60,957.3102816,823
curveLM.61,958.1813762,823
curveLM.62,959.0524707,823
curveLM.63,959.9235653,823
curveLM.64,960.5619094,823.5619094
curveLM.65,961.2515409,824
curveLM.66,962.1226355,824
curveLM.67,962.99373,824
curveLM.68,963.6115233,824.6115233
curveLM.69,964.3217056,825
curveLM.70,965.1928002,825
curveLM.71,966.0451804,824.9548196
curveLM.72,966.6611373,824.3388627
curveLM.73,967.3918703,824
curveLM.74,968.1859443,823.8140557
curveLM.75,968.8019011,823.1980989
curveLM.76,969.5909405,823
curveLM.77,970.462035,823
curveLM.78,971,822.6668704
curveLM.79,971.2042242,822
curveLM.80,972.0532584,821.9467416
curveLM.81,972.6692153,821.3307847
curveLM.82,973.4032943,821
curveLM.83,974.1940222,820.8059778
curveLM.84,974.8099791,820.1900209
curveLM.85,975.425936,819.574064
curveLM.86,976.0592455,819
curveLM.87,976.93034,819
curveLM.88,977,818.1985654
curveLM.89,977.4755499,817.5244501
curveLM.90,978.1294102,817
curveLM.91,979.0003569,816.9996431
curveLM.92,979.6163138,816.3836862
curveLM.93,980.3284803,816
curveLM.94,981.1411208,815.8588792
curveLM.95,981.7570776,815.2429224
curveLM.96,982.5275505,815
curveLM.97,983.3986451,815
curveLM.98,984.2697396,815
curveLM.99,985.1408342,815
curveLM.100,986.0119288,815
curveLM.101,986.8830233,815
curveLM.102,987.5332419,814.4667581
curveLM.103,988.2109989,814
curveLM.104,989.0820935,814
curveLM.105,989.953188,814
curveLM.106,990.5828558,813.4171442
curveLM.107,991.1988127,812.8011873
curveLM.108,991.8147696,812.1852304
curveLM.109,992.4307265,811.5692735
curveLM.110,993.0466833,810.9533167
curveLM.111,993.6626402,810.3373598
curveLM.112,994.2785971,809.7214029
curveLM.113,994.894554,809.105446
curveLM.114,995,808.2780286
curveLM.115,995.4193609,807.5806391
curveLM.116,996.0353178,806.9646822
curveLM.117,996.6512747,806.3487253
curveLM.118,997.2672316,805.7327684
curveLM.119,997.8831885,805.1168115
curveLM.120,998.4991453,804.5008547
curveLM.121,999,803.8372209
curveLM.122,999,802.9661263
curveLM.123,999,802.0950318
curveLM.124,999,801.2239372
curveLM.125,999.4576094,800.5423906
curveLM.126,1000,799.8959616
curveLM.127,1000,799.024867
curveLM.128,1000,798.1537725
curveLM.129,1000,797.2826779
curveLM.130,1000.416073,796.5839266
curveLM.131,1001,795.9547023
curveLM.132,1001,795.0836078
curveLM.133,1001,794.2125132
curveLM.134,1001,793.3414186
curveLM.135,1001,792.4703241
curveLM.136,1001,791.5992295
curveLM.137,1001,790.7281349
curveLM.138,1001,789.8570403
curveLM.139,1001,788.9859458
curveLM.140,1001,788.1148512
curveLM.141,1001,787.2437566
curveLM.142,1001,786.3726621
curveLM.143,1001.352445,785.647555
curveLM.144,1001.968402,785.0315981
curveLM.145,1002.584359,784.4156412
curveLM.146,1003,783.7167109
curveLM.147,1003,782.8456163
curveLM.148,1003,781.9745218
curveLM.149,1003,781.1034272
curveLM.150,1003,780.2323326
curveLM.151,1003,779.3612381
curveLM.152,1003.360523,778.639477
curveLM.153,1003.97648,778.0235201
curveLM.154,1004.592437,777.4075633
curveLM.155,1005,776.7052869
curveLM.156,1005.117244,775.8827563
curveLM.157,1005.733201,775.2667994
curveLM.158,1006.493783,775
curveLM.159,1007.258008,774.7419924
curveLM.160,1007.873964,774.1260356
curveLM.161,1008.489921,773.5100787
curveLM.162,1009.149734,773
curveLM.163,1010.014728,772.9852717
curveLM.164,1010.630685,772.3693148
curveLM.165,1011.348805,772
curveLM.166,1012.155492,771.8445078
curveLM.167,1012.771449,771.228551
curveLM.168,1013.547875,771
curveLM.169,1014.418969,771
curveLM.170,1015.205106,770.7948939
curveLM.171,1015.821063,770.178937
curveLM.172,1016.618039,770
curveLM.173,1017.489134,770
curveLM.174,1018.25472,769.74528
curveLM.175,1018.870677,769.1293231
curveLM.176,1019.688204,769
curveLM.177,1020.559299,769
curveLM.178,1021.430393,769
curveLM.179,1022.213184,768.7868159
curveLM.180,1022.829141,768.170859
curveLM.181,1023.629463,768
curveLM.182,1024.500558,768
curveLM.183,1025.262798,767.737202
curveLM.184,1025.878755,767.1212451
curveLM.185,1026.699628,767
curveLM.186,1027.570723,767
curveLM.187,1028.441817,767
curveLM.188,1029.221262,766.7787379
curveLM.189,1029.837219,766.162781
curveLM.190,1030.640887,766
curveLM.191,1031.511982,766
curveLM.192,1032.383077,766
curveLM.193,1033.179726,765.8202739
