,V1,V2
suture_start,784,347
curveLM.3,784.6535396,347.6535396
curveLM.4,785.4342756,348
curveLM.5,786.2535121,348.2535121
curveLM.6,786.9070517,348.9070517
curveLM.7,787.5605913,349.5605913
curveLM.8,788.3028269,350
curveLM.9,789.1605638,350.1605638
curveLM.10,789.8141034,350.8141034
curveLM.11,790.467643,351.467643
curveLM.12,791.1211826,352.1211826
curveLM.13,791.7747222,352.7747222
curveLM.14,792.6056537,353
curveLM.15,793.3746947,353.3746947
curveLM.16,794.0282343,354.0282343
curveLM.17,794.6817739,354.6817739
curveLM.18,795.3353136,355.3353136
curveLM.19,795.9888532,355.9888532
curveLM.20,796.6423928,356.6423928
curveLM.21,797.2959324,357.2959324
curveLM.22,797.949472,357.949472
curveLM.23,798.6030116,358.6030116
curveLM.24,799.2565513,359.2565513
curveLM.25,799.9100909,359.9100909
curveLM.26,800.7970939,360
curveLM.27,801.5100633,360.5100633
curveLM.28,802.2313695,361
curveLM.29,803.1100358,361.1100358
curveLM.30,803.7635754,361.7635754
curveLM.31,804.5898897,362
curveLM.32,805.3635479,362.3635479
curveLM.33,806.0241654,363
curveLM.34,806.94841,363
curveLM.35,807.6170599,363.6170599
curveLM.36,808.3826856,364
curveLM.37,809.2170324,364.2170324
curveLM.38,809.870572,364.870572
curveLM.39,810.7412058,365
curveLM.40,811.4705445,365.4705445
curveLM.41,812.1240841,366.1240841
curveLM.42,812.7776237,366.7776237
curveLM.43,813.4311633,367.4311633
curveLM.44,814.084703,368.084703
curveLM.45,814.7382426,368.7382426
curveLM.46,815.3917822,369.3917822
curveLM.47,816,370.0640947
curveLM.48,816,370.9883393
curveLM.49,816.6452943,371.6452943
curveLM.50,817,372.4226149
curveLM.51,817,373.3468595
curveLM.52,817.1916996,374.1916996
curveLM.53,817.8452392,374.8452392
curveLM.54,818,375.7053797
curveLM.55,818.4452116,376.4452116
curveLM.56,819,377.1396554
curveLM.57,819.0451841,378.0451841
curveLM.58,819.6987237,378.6987237
curveLM.59,820,379.4981756
curveLM.60,820,380.4224202
curveLM.61,820.3466648,381
curveLM.62,821,381.2709094
curveLM.63,821.1379947,382.1379947
curveLM.64,821.7915343,382.7915343
curveLM.65,822.4450739,383.4450739
curveLM.66,823.0986135,384.0986135
curveLM.67,823.7521532,384.7521532
curveLM.68,824,385.5737362
curveLM.69,824.3521256,386.3521256
curveLM.70,825.0056652,387.0056652
curveLM.71,825.6592048,387.6592048
curveLM.72,826.4422875,388
curveLM.73,827.2591773,388.2591773
curveLM.74,827.9127169,388.9127169
curveLM.75,828.5662565,389.5662565
