,V1,V2
suture_start,689,862
curveLM.3,689.5706114,861.4293886
curveLM.4,690.1412227,860.8587773
curveLM.5,690.7118341,860.2881659
curveLM.6,691.2824454,859.7175546
curveLM.7,691.8530568,859.1469432
curveLM.8,692.4236681,858.5763319
curveLM.9,692.9942795,858.0057205
curveLM.10,693.5648908,857.4351092
curveLM.11,694.1355022,856.8644978
curveLM.12,694.7061135,856.2938865
curveLM.13,695.2767249,855.7232751
curveLM.14,695.8473362,855.1526638
curveLM.15,696.4179476,854.5820524
curveLM.16,696.9885589,854.0114411
curveLM.17,697,853.2092138
curveLM.18,697,852.4022475
curveLM.19,697.2861794,851.7138206
curveLM.20,697.8567908,851.1432092
curveLM.21,698,850.3955621
curveLM.22,698.2909067,849.7090933
curveLM.23,698.8615181,849.1384819
curveLM.24,699,848.3888767
curveLM.25,699,847.5819104
curveLM.26,699.1591385,846.8408615
curveLM.27,699.7297499,846.2702501
curveLM.28,700,845.575225
curveLM.29,700,844.7682587
curveLM.30,700,843.9612924
curveLM.31,700,843.1543261
curveLM.32,700.6526402,843
curveLM.33,701,842.5403935
curveLM.34,701.1884955,841.8115045
curveLM.35,701.7591068,841.2408932
curveLM.36,702,840.5337081
curveLM.37,702.1932227,839.8067773
curveLM.38,702.7638341,839.2361659
curveLM.39,703,838.5270227
curveLM.40,703,837.7200564
curveLM.41,703,836.9130901
curveLM.42,703,836.1061238
curveLM.43,703.4955705,835.5044295
curveLM.44,704,834.9064047
curveLM.45,704,834.0994384
curveLM.46,704,833.2924721
curveLM.47,704,832.4855058
curveLM.48,703.7726931,831.7726931
curveLM.49,703.2020817,831.2020817
curveLM.50,703,830.4788204
curveLM.51,703,829.6718541
curveLM.52,703,828.8648878
curveLM.53,703,828.0579215
curveLM.54,703,827.2509552
curveLM.55,703,826.4439888
curveLM.56,703,825.6370225
curveLM.57,703,824.8300562
curveLM.58,703,824.0230899
curveLM.59,703,823.2161236
curveLM.60,703.4177889,822.5822111
curveLM.61,703.9884002,822.0115998
curveLM.62,704,821.2094382
curveLM.63,704.5975281,821
curveLM.64,705,820.5955056
curveLM.65,705.1495253,819.8504747
curveLM.66,705.7201367,819.2798633
curveLM.67,706.4111798,819
curveLM.68,707.1542526,818.8457474
curveLM.69,707.7248639,818.2751361
curveLM.70,708.4178652,818
curveLM.71,709.1589799,817.8410201
curveLM.72,709.7295912,817.2704088
curveLM.73,710.4245505,817
curveLM.74,711.1637071,816.8362929
curveLM.75,711.7343185,816.2656815
curveLM.76,712,815.5687641
curveLM.77,712.2382022,815
curveLM.78,713.031939,814.968061
curveLM.79,713.6025503,814.3974497
curveLM.80,714,813.7551124
curveLM.81,714.0366663,812.9633337
curveLM.82,714.6072776,812.3927224
curveLM.83,715,811.748427
curveLM.84,715.0413935,810.9586065
curveLM.85,715.6120049,810.3879951
curveLM.86,716.1826162,809.8173838
curveLM.87,716.7532276,809.2467724
curveLM.88,717,808.5420226
curveLM.89,717.2649437,808
curveLM.90,718.0508481,807.9491519
curveLM.91,718.6214594,807.3785406
curveLM.92,719,806.7283709
curveLM.93,719.0785954,806
curveLM.94,719.8855617,806
curveLM.95,720,805.3074719
curveLM.96,720.3531959,804.6468041
curveLM.97,720.9238072,804.0761928
curveLM.98,721.4944186,803.5055814
curveLM.99,722,802.9080338
curveLM.100,722,802.1010675
curveLM.101,722.4991458,801.5008542
curveLM.102,723,800.9013484
curveLM.103,723,800.0943821
curveLM.104,723.5038731,799.4961269
curveLM.105,724,798.8946631
curveLM.106,724,798.0876967
curveLM.107,724,797.2807304
curveLM.108,724.5262359,797
curveLM.109,725,796.6667978
curveLM.110,725,795.8598315
curveLM.111,725,795.0528652
curveLM.112,725.7541011,795
curveLM.113,726,794.4389326
curveLM.114,726.3680338,794
curveLM.115,727.1237437,793.8762563
curveLM.116,727.6943551,793.3056449
curveLM.117,728.2649664,792.7350336
curveLM.118,728.8355778,792.1644222
