,V1,V2
suture_start,897,642
curveLM.3,897.9479834,642
curveLM.4,898.8959668,642
curveLM.5,899.5967629,642.5967629
curveLM.6,900.3777201,643
curveLM.7,901.3257035,643
curveLM.8,902.2736869,643
curveLM.9,903.1567446,643.1567446
curveLM.10,903.8270701,643.8270701
curveLM.11,904.7034236,644
curveLM.12,905.651407,644
curveLM.13,906.5993904,644
curveLM.14,907.3870517,644.3870517
curveLM.15,908.0811437,645
curveLM.16,909.0291271,645
curveLM.17,909.9771105,645
curveLM.18,910.6541402,645.6541402
curveLM.19,911.4588638,646
curveLM.20,912.4068472,646
curveLM.21,913.2509031,646.2509031
curveLM.22,913.9212286,646.9212286
curveLM.23,914.8365838,647
curveLM.24,915.5547728,647.5547728
curveLM.25,916.3183371,648
curveLM.26,917.188317,648.188317
curveLM.27,917.8586425,648.8586425
curveLM.28,918.7480738,649
curveLM.29,919.4921868,649.4921868
curveLM.30,920.229827,650
curveLM.31,921.1778104,650
curveLM.32,922.0889497,650.0889497
curveLM.33,922.7592752,650.7592752
curveLM.34,923.6075471,651
curveLM.35,924.3928194,651.3928194
curveLM.36,925.0631449,652.0631449
curveLM.37,925.7334704,652.7334704
curveLM.38,926.5710536,653
curveLM.39,927.3670146,653.3670146
curveLM.40,928.0373401,654.0373401
curveLM.41,928.7076656,654.7076656
curveLM.42,929.5345602,655
curveLM.43,930,655.4825436
curveLM.44,930.3044286,656.3044286
curveLM.45,930.9747541,656.9747541
curveLM.46,931.9122803,657
curveLM.47,932.6082983,657.6082983
curveLM.48,933.3940335,658
curveLM.49,934,658.3420169
curveLM.50,934.2900003,659
curveLM.51,935.1682799,659.1682799
curveLM.52,935.8386054,659.8386054
curveLM.53,936.5089309,660.5089309
curveLM.54,937.1792564,661.1792564
curveLM.55,937.8495819,661.8495819
curveLM.56,938.5199074,662.5199074
curveLM.57,939.26903,663
curveLM.58,940.1534516,663.1534516
curveLM.59,940.8237771,663.8237771
curveLM.60,941.6987667,664
curveLM.61,942.4573214,664.4573214
curveLM.62,943.1805199,665
curveLM.63,944.0908656,665.0908656
curveLM.64,944.7611911,665.7611911
curveLM.65,945.4315166,666.4315166
curveLM.66,946.1018421,667.1018421
curveLM.67,946.7721676,667.7721676
curveLM.68,947.4424931,668.4424931
curveLM.69,948.1128186,669.1128186
curveLM.70,948.7831441,669.7831441
curveLM.71,949.6413028,670
curveLM.72,950.4166883,670.4166883
curveLM.73,951.1230561,671
curveLM.74,952.0502325,671.0502325
curveLM.75,952.720558,671.720558
curveLM.76,953.5527927,672
curveLM.77,954.3541022,672.3541022
curveLM.78,955.034546,673
curveLM.79,955.9825294,673
curveLM.80,956.6579719,673.6579719
curveLM.81,957.4642827,674
curveLM.82,958.2915161,674.2915161
curveLM.83,958.9618416,674.9618416
curveLM.84,959.8940194,675
curveLM.85,960.5953859,675.5953859
curveLM.86,961.2657114,676.2657114
curveLM.87,961.9360369,676.9360369
curveLM.88,962.8575259,677
curveLM.89,963.5695811,677.5695811
curveLM.90,964.3392791,678
curveLM.91,965.2031253,678.2031253
curveLM.92,965.8734508,678.8734508
curveLM.93,966.5437763,679.5437763
curveLM.94,967.2141018,680.2141018
curveLM.95,967.8844273,680.8844273
curveLM.96,968.7845389,681
curveLM.97,969,681.7325223
curveLM.98,969.6805057,682
curveLM.99,970.4444089,682.4444089
curveLM.100,971.162259,683
curveLM.101,972,683.1102424
curveLM.102,972.0582258,684
curveLM.103,973.0043906,684.0043906
curveLM.104,973.6747161,684.6747161
curveLM.105,974.3450416,685.3450416
curveLM.106,975.0153671,686.0153671
curveLM.107,975.6856926,686.6856926
curveLM.108,976.3560181,687.3560181
curveLM.109,977.0263436,688.0263436
curveLM.110,977.6966691,688.6966691
curveLM.111,978.3669946,689.3669946
curveLM.112,979.0373201,690.0373201
curveLM.113,979.7076456,690.7076456
