,V1,V2
suture_start,754,213
curveLM.3,754.0191885,215.0191885
curveLM.4,755,216.6400598
curveLM.5,755,218.6671964
curveLM.6,755,220.6943331
curveLM.7,755.5101562,222.5101562
curveLM.8,756,224.3343929
curveLM.9,756.3615296,226
curveLM.10,757,227.3886662
curveLM.11,757.4158029,229
curveLM.12,758,230.4429396
curveLM.13,759,232.0558627
curveLM.14,759.0829993,234
curveLM.15,760,235.110136
curveLM.16,760.8041732,236.8041732
curveLM.17,761.5304685,238.5304685
curveLM.18,762.2567638,240.2567638
curveLM.19,763,241.976042
curveLM.20,764.4164612,243.4164612
curveLM.21,765.1427565,245.1427565
curveLM.22,766,246.8148113
curveLM.23,766.841948,248
curveLM.24,767,249.8690846
curveLM.25,768,251.4820077
curveLM.26,769.0671262,253.0671262
curveLM.27,770.5005283,254.5005283
curveLM.28,772.2268236,255.2268236
curveLM.29,773.6602257,256.6602257
curveLM.30,775.1324097,258
curveLM.31,776.8199231,258.8199231
curveLM.32,778.3582559,260
curveLM.33,779.9796205,260.9796205
curveLM.34,781.9983157,261
curveLM.35,783.6112388,262
curveLM.36,785.6383755,262
curveLM.37,787.2512986,263
curveLM.38,789.1968834,263.1968834
curveLM.39,790.8913583,264
curveLM.40,792.649474,264.649474
curveLM.41,794.3757694,265.3757694
curveLM.42,796,266.1443412
curveLM.43,796.82836,267.82836
curveLM.44,797,269.784401
curveLM.45,798,271.3973241
curveLM.46,798.3001391,273.3001391
curveLM.47,799.0264344,275.0264344
curveLM.48,800,276.650307
curveLM.49,801.1861318,278.1861318
curveLM.50,802.6195339,279.6195339
curveLM.51,803.3458292,281.3458292
curveLM.52,804.7792312,282.7792312
curveLM.53,806.2126333,284.2126333
curveLM.54,807.6460354,285.6460354
curveLM.55,809.0794375,287.0794375
curveLM.56,810.5128396,288.5128396
curveLM.57,812,289.3381878
curveLM.58,813.3653245,290
curveLM.59,814.9846187,290.9846187
curveLM.60,817.0053842,291
curveLM.61,819.0229958,290.9770042
curveLM.62,820.645444,290
curveLM.63,822.6725807,290
curveLM.64,824.2855038,289
curveLM.65,825.928177,288.071823
curveLM.66,827.6544723,287.3455277
curveLM.67,829.5384867,287
curveLM.68,831.1514098,286
curveLM.69,833.1785464,286
curveLM.70,835.2056831,286
curveLM.71,837.2328198,286
curveLM.72,839.2599564,286
curveLM.73,840.9101123,286.9101123
curveLM.74,842.9000162,287
curveLM.75,844.6555961,287.6555961
curveLM.76,846.3818914,288.3818914
curveLM.77,848.1529991,289
curveLM.78,850.1273752,289.1273752
curveLM.79,851.7930589,290
curveLM.80,853.8201955,290
curveLM.81,854.8473322,291
curveLM.82,856.8744689,291
curveLM.83,858.487392,292
curveLM.84,860.5145286,292
curveLM.85,861.5416653,293
curveLM.86,863.1545884,294
curveLM.87,864.8356058,294.8356058
curveLM.88,866.5619011,295.5619011
curveLM.89,868.2881964,296.2881964
curveLM.90,870.0204944,297
curveLM.91,872.0336803,297.0336803
curveLM.92,873.6605542,298
curveLM.93,875.6876908,298
curveLM.94,877.300614,299
curveLM.95,879.3277506,299
curveLM.96,880.95805,299.95805
curveLM.97,882.9678104,300
curveLM.98,884.5807335,301
curveLM.99,886.4298291,301.4298291
curveLM.100,888.1561244,302.1561244
curveLM.101,889.8337164,303
curveLM.102,891.4466395,304
curveLM.103,893.0595626,305
curveLM.104,895,305.0866993
curveLM.105,896.1138359,306
curveLM.106,898.1409726,306
curveLM.107,900.1681093,306
curveLM.108,902.1952459,306
curveLM.109,904.2223826,306
curveLM.110,905.8835435,305.1164565
curveLM.111,907.8624424,305
curveLM.112,909.4753655,304
curveLM.113,911.5025021,304
curveLM.114,913.5296388,304
curveLM.115,915.1425619,303
curveLM.116,917.1696986,303
curveLM.117,919.1968353,303
curveLM.118,921.2239719,303
curveLM.119,923.2511086,303
curveLM.120,924.9038559,302.0961441
curveLM.121,926.8911684,302
curveLM.122,928.918305,302
curveLM.123,930.9454417,302
curveLM.124,932.9725784,302
curveLM.125,934.999715,302
curveLM.126,937.0268517,302
curveLM.127,939.0539884,302
curveLM.128,941,302.081125
curveLM.129,942.1082617,303
curveLM.130,944,303.1353984
curveLM.131,945.162535,304
curveLM.132,947.1341182,304.1341182
curveLM.133,948.8025948,305
curveLM.134,950.8297315,305
curveLM.135,952.4426546,306
curveLM.136,954.4697913,306
curveLM.137,956.3513811,305.6486189
curveLM.138,958.109851,305
curveLM.139,960.1369877,305
curveLM.140,962.1641244,305
curveLM.141,964.191261,305
curveLM.142,966.1544305,305.1544305
curveLM.143,967.8313208,306
curveLM.144,969.8584575,306
curveLM.145,971.4713806,307
curveLM.146,973.4985172,307
curveLM.147,975.3716934,307.3716934
curveLM.148,977.138577,308
curveLM.149,979.1657137,308
curveLM.150,981.1928504,308
curveLM.151,983.219987,308
curveLM.152,985.2471237,308
curveLM.153,986.9010381,308.9010381
curveLM.154,988.8871835,309
curveLM.155,990.9143201,309
curveLM.156,992.5272432,310
curveLM.157,994.5543799,310
curveLM.158,996.4111943,310.4111943
curveLM.159,998.1944397,311
curveLM.160,1000.221576,311
curveLM.161,1001.882973,311.8829734
curveLM.162,1003.861636,312
curveLM.163,1005.888773,312
curveLM.164,1007.915909,312
curveLM.165,1009.943046,312
curveLM.166,1011.970183,312
curveLM.167,1013.997319,312
curveLM.168,1016.024456,312
curveLM.169,1018.051593,312
curveLM.170,1020.078729,312
curveLM.171,1022.105866,312
curveLM.172,1024.133003,312
curveLM.173,1026.160139,312
curveLM.174,1028.187276,312
curveLM.175,1030.151613,312.1516127
curveLM.176,1031.827336,313
curveLM.177,1033.854473,313
curveLM.178,1035.881609,313
curveLM.179,1037,313.9087459
curveLM.180,1038.935883,314
curveLM.181,1040,314.9630193
curveLM.182,1041.990156,315
curveLM.183,1043.719334,315.7193345
curveLM.184,1045.630216,316
curveLM.185,1047.243139,317
curveLM.186,1049.270275,317
curveLM.187,1050.917409,317.9174089
curveLM.188,1052.910335,318
curveLM.189,1054.937472,318
curveLM.190,1056.682081,318.6820813
curveLM.191,1058.577532,319
curveLM.192,1060.604668,319
curveLM.193,1062.217591,320
curveLM.194,1063.244728,321
curveLM.195,1064.899344,321.8993442
curveLM.196,1066.62564,322.6256395
curveLM.197,1068.351935,323.3519348
