,V1,V2
suture_start,1192,691
curveLM.3,1192.906621,691
curveLM.4,1193.57505,691.5750496
curveLM.5,1194.305651,692
curveLM.6,1195.150099,692.1500992
curveLM.7,1195.791177,692.7911774
curveLM.8,1196.611302,693
curveLM.9,1197.366227,693.366227
curveLM.10,1198.010331,694
curveLM.11,1198.916953,694
curveLM.12,1199.823574,694
curveLM.13,1200.516326,694.5163262
curveLM.14,1201.157404,695.1574043
curveLM.15,1201.798483,695.7984825
curveLM.16,1202.621633,696
curveLM.17,1203.373532,696.3735321
curveLM.18,1204.020662,697
curveLM.19,1204.927284,697
curveLM.20,1205.58966,697.5896599
curveLM.21,1206.326313,698
curveLM.22,1207.16471,698.1647095
curveLM.23,1207.805788,698.8057877
curveLM.24,1208.631964,699
curveLM.25,1209.538585,699
curveLM.26,1210.445207,699
curveLM.27,1211,699.3518282
curveLM.28,1211.25845,700
curveLM.29,1212.165071,700
curveLM.30,1213,700.0716926
curveLM.31,1213,700.9783141
curveLM.32,1213.884936,701
curveLM.33,1214.791557,701
curveLM.34,1215,701.6981785
curveLM.35,1215.6048,702
curveLM.36,1216,702.5114214
curveLM.37,1216.418043,703
curveLM.38,1217.324664,703
curveLM.39,1218,703.2312858
curveLM.40,1218.137907,704
curveLM.41,1219.031487,704.0314866
curveLM.42,1219.672565,704.6725648
curveLM.43,1220.443558,705
curveLM.44,1221.247614,705.2476144
curveLM.45,1221.888693,705.8886925
curveLM.46,1222.529771,706.5297707
curveLM.47,1223.241617,707
curveLM.48,1224.10482,707.1048203
curveLM.49,1224.745899,707.7458985
curveLM.50,1225.547268,708
curveLM.51,1226,708.4538892
curveLM.52,1226.360511,709
curveLM.53,1227.267132,709
curveLM.54,1228.173754,709
curveLM.55,1229.056834,709.0568337
curveLM.56,1229.697912,709.6979119
curveLM.57,1230.479404,710
curveLM.58,1231.386026,710
curveLM.59,1232.206933,710.2069329
curveLM.60,1232.848011,710.8480111
curveLM.61,1233.691677,711
curveLM.62,1234.598298,711
curveLM.63,1235.357032,711.3570321
curveLM.64,1235.99811,711.9981103
curveLM.65,1236.903949,712
curveLM.66,1237.81057,712
curveLM.67,1238.507131,712.5071313
curveLM.68,1239.2096,713
curveLM.69,1240.082181,713.0821809
curveLM.70,1240.723259,713.7232591
curveLM.71,1241.515251,714
curveLM.72,1242.298309,714.2983087
curveLM.73,1242.939387,714.9393869
curveLM.74,1243.580465,715.580465
curveLM.75,1244.313309,716
curveLM.76,1245.219931,716
curveLM.77,1246.126552,716
curveLM.78,1247.023457,716.0234575
curveLM.79,1247.664536,716.6645356
curveLM.80,1248.432203,717
curveLM.81,1249.338825,717
curveLM.82,1250.245446,717
curveLM.83,1251.152068,717
curveLM.84,1252.058689,717
curveLM.85,1252.965311,717
curveLM.86,1253.616549,717.616549
curveLM.87,1254.36434,718
curveLM.88,1255.270961,718
curveLM.89,1256.12557,718.12557
curveLM.90,1256.766648,718.7666482
curveLM.91,1257.576612,719
curveLM.92,1258.483234,719
curveLM.93,1259.275669,719.2756692
curveLM.94,1259.916747,719.9167474
curveLM.95,1260.788885,720
curveLM.96,1261.695506,720
curveLM.97,1262.602127,720
curveLM.98,1263.508749,720
curveLM.99,1264.293711,720.2937112
curveLM.100,1264.934789,720.9347894
curveLM.101,1265.8144,721
curveLM.102,1266.721021,721
curveLM.103,1267.627643,721
curveLM.104,1268.377782,721.3777818
curveLM.105,1269.026672,722
curveLM.106,1269.933294,722
curveLM.107,1270,722.839915
curveLM.108,1270.746536,723
curveLM.109,1271.461852,723.4618524
curveLM.110,1272.145566,724
curveLM.111,1273,724.0521873
curveLM.112,1273,724.9588088
curveLM.113,1273.86543,725
curveLM.114,1274.545923,725.545923
curveLM.115,1275.26446,726
curveLM.116,1276,726.1710811
curveLM.117,1276.077703,727
curveLM.118,1276.984324,727
curveLM.119,1277.629994,727.6299936
curveLM.120,1278.271072,728.2710718
curveLM.121,1278.91215,728.91215
curveLM.122,1279.782383,729
curveLM.123,1280.4872,729.4871996
curveLM.124,1281.128278,730.1282778
curveLM.125,1281.769356,730.769356
curveLM.126,1282.580442,731
curveLM.127,1283.487063,731
curveLM.128,1284.278377,731.278377
curveLM.129,1284.919455,731.9194551
curveLM.130,1285.792714,732
curveLM.131,1286.699335,732
curveLM.132,1287.428476,732.4284761
curveLM.133,1288.098365,733
curveLM.134,1289.004986,733
curveLM.135,1289.911608,733
curveLM.136,1290.578575,733.5785753
curveLM.137,1291.310637,734
curveLM.138,1292.217258,734
curveLM.139,1293.087596,734.0875963
curveLM.140,1293.728675,734.7286745
curveLM.141,1294.522909,735
curveLM.142,1295.303724,735.3037241
curveLM.143,1295.944802,735.9448023
curveLM.144,1296.82856,736
curveLM.145,1297.735182,736
curveLM.146,1298,736.6418031
curveLM.147,1298.548425,737
curveLM.148,1299.321766,737.3217661
curveLM.149,1299.962844,737.9628443
curveLM.150,1300.854075,738
curveLM.151,1301.537894,738.5378939
curveLM.152,1302.178972,739.1789721
curveLM.153,1302.82005,739.8200503
curveLM.154,1303.652134,740
curveLM.155,1304.558756,740
curveLM.156,1305.329071,740.3290713
curveLM.157,1305.970149,740.9701495
curveLM.158,1306.611228,741.6112277
curveLM.159,1307.356814,742
curveLM.160,1308.263436,742
curveLM.161,1309.120249,742.1202487
curveLM.162,1309.761327,742.7613268
curveLM.163,1310.569087,743
curveLM.164,1311.336376,743.3363764
curveLM.165,1311.977455,743.9774546
curveLM.166,1312.874737,744
curveLM.167,1313.781359,744
curveLM.168,1314.486476,744.4864756
curveLM.169,1315.180388,745
curveLM.170,1316.061525,745.0615252
curveLM.171,1316.702603,745.7026034
curveLM.172,1317.486039,746
curveLM.173,1318.277653,746.277653
curveLM.174,1318.918731,746.9187312
curveLM.175,1319.79169,747
curveLM.176,1320.698311,747
curveLM.177,1321.427752,747.4277522
curveLM.178,1322.097341,748
curveLM.179,1323,748.0039623
curveLM.180,1323,748.9105838
curveLM.181,1323.817205,749
curveLM.182,1324.511823,749.5118228
curveLM.183,1325.216235,750
curveLM.184,1326.122856,750
curveLM.185,1327,750.0294776
curveLM.186,1327,750.936099
curveLM.187,1327.84272,751
curveLM.188,1328.749342,751
curveLM.189,1329.463836,751.4638362
curveLM.190,1330.148371,752
curveLM.191,1331.038886,752.0388858
curveLM.192,1331.679964,752.679964
curveLM.193,1332.454022,753
curveLM.194,1333.255014,753.2550136
curveLM.195,1333.896092,753.8960918
curveLM.196,1334.759673,754
curveLM.197,1335.666294,754
curveLM.198,1336.405113,754.4051128
curveLM.199,1337.065324,755
curveLM.200,1337.971945,755
curveLM.201,1338.621241,755.6212405
curveLM.202,1339.370975,756
curveLM.203,1340.277596,756
curveLM.204,1341.130262,756.1302615
curveLM.205,1341.77134,756.7713397
curveLM.206,1342.583247,757
curveLM.207,1343.346389,757.3463893
curveLM.208,1343.987468,757.9874675
curveLM.209,1344.888898,758
curveLM.210,1345.562517,758.5625171
curveLM.211,1346.287927,759
curveLM.212,1347.137567,759.1375667
curveLM.213,1347.778645,759.7786449
curveLM.214,1348.593578,760
curveLM.215,1349.353694,760.3536945
curveLM.216,1349.994773,760.9947727
curveLM.217,1350.899229,761
curveLM.218,1351.569822,761.5698223
curveLM.219,1352.298258,762
curveLM.220,1353.144872,762.1448719
curveLM.221,1353.78595,762.78595
curveLM.222,1354.603909,763
curveLM.223,1355.361,763.3609996
curveLM.224,1356.002938,764
curveLM.225,1356.90956,764
curveLM.226,1357.577127,764.5771274
curveLM.227,1358.308589,765
curveLM.228,1359.215211,765
curveLM.229,1360.086148,765.0861484
curveLM.230,1360.727227,765.7272266
curveLM.231,1361.520862,766
curveLM.232,1362,766.4274831
curveLM.233,1362.334105,767
curveLM.234,1363.240726,767
curveLM.235,1364.10419,767.1041904
curveLM.236,1364.745269,767.7452686
curveLM.237,1365.546377,768
curveLM.238,1366.320318,768.3203182
curveLM.239,1366.961396,768.9613964
curveLM.240,1367.602475,769.6024746
curveLM.241,1368.344436,770
curveLM.242,1369.251057,770
curveLM.243,1370.157679,770
curveLM.244,1371,770.0643
curveLM.245,1371,770.9709215
curveLM.246,1371.877543,771
curveLM.247,1372.784164,771
curveLM.248,1373.488459,771.4884594
curveLM.249,1374.183194,772
curveLM.250,1375.089815,772
curveLM.251,1375.996437,772
curveLM.252,1376.638559,772.6385586
curveLM.253,1377.395466,773
curveLM.254,1378.302088,773
curveLM.255,1379.14758,773.1475796
curveLM.256,1379.788658,773.7886578
curveLM.257,1380.607738,774
curveLM.258,1381.51436,774
curveLM.259,1382.297679,774.2976788
curveLM.260,1382.938757,774.938757
curveLM.261,1383.820011,775
curveLM.262,1384.513807,775.5138065
curveLM.263,1385.21904,776
curveLM.264,1386.088856,776.0888561
curveLM.265,1386.729934,776.7299343
curveLM.266,1387.371013,777.3710125
curveLM.267,1388.017099,778
curveLM.268,1388.92372,778
curveLM.269,1389.58714,778.5871403
curveLM.270,1390.32275,779
curveLM.271,1391.16219,779.1621899
curveLM.272,1391.803268,779.8032681
curveLM.273,1392.628401,780
curveLM.274,1393.378318,780.3783177
curveLM.275,1394.019396,781.0193959
curveLM.276,1394.660474,781.6604741
curveLM.277,1395.426459,782
curveLM.278,1396.235524,782.2355236
curveLM.279,1396.876602,782.8766018
curveLM.280,1397.73211,783
curveLM.281,1398.638732,783
curveLM.282,1399,783.545353
curveLM.283,1399.451975,784
curveLM.284,1400.358596,784
curveLM.285,1401,784.2652174
curveLM.286,1401.171839,785
curveLM.287,1402.07846,785
curveLM.288,1402.985082,785
curveLM.289,1403.630529,785.6305295
curveLM.290,1404.384111,786
curveLM.291,1405.205579,786.2055791
curveLM.292,1405.846657,786.8466572
curveLM.293,1406.689762,787
curveLM.294,1407.596384,787
curveLM.295,1408.355678,787.3556782
curveLM.296,1408.996756,787.9967564
curveLM.297,1409.902034,788
curveLM.298,1410.808656,788
curveLM.299,1411.505777,788.5057774
curveLM.300,1412.207685,789
curveLM.301,1413.080827,789.080827
curveLM.302,1413.721905,789.7219052
curveLM.303,1414.513336,790
curveLM.304,1415.296955,790.2969548
curveLM.305,1415.938033,790.938033
curveLM.306,1416.818987,791
curveLM.307,1417.725608,791
curveLM.308,1418.447054,791.447054
curveLM.309,1419.124638,792
curveLM.310,1420.022104,792.0221036
curveLM.311,1420.663182,792.6631818
curveLM.312,1421.30426,793.30426
curveLM.313,1421.945338,793.9453382
curveLM.314,1422.829318,794
curveLM.315,1423.520388,794.5203877
curveLM.316,1424.228347,795
curveLM.317,1425.095437,795.0954373
curveLM.318,1425.736516,795.7365155
curveLM.319,1426.533998,796
curveLM.320,1427.44062,796
curveLM.321,1428.245537,796.2455365
curveLM.322,1428.886615,796.8866147
curveLM.323,1429.74627,797
curveLM.324,1430.461664,797.4616643
curveLM.325,1431.1453,798
curveLM.326,1432.051921,798
curveLM.327,1432.958543,798
curveLM.328,1433.611763,798.6117635
curveLM.329,1434.357572,799
curveLM.330,1435.186813,799.1868131
curveLM.331,1435.827891,799.8278913
curveLM.332,1436.468969,800.4689695
curveLM.333,1437.155631,801
curveLM.334,1438.044019,801.0440191
curveLM.335,1438.685097,801.6850973
curveLM.336,1439.461282,802
curveLM.337,1440,802.3679032
curveLM.338,1440.274525,803
curveLM.339,1441.12809,803.1280897
curveLM.340,1441.769168,803.7691678
curveLM.341,1442.580176,804
curveLM.342,1443.344217,804.3442174
curveLM.343,1443.985296,804.9852956
curveLM.344,1444.885826,805
curveLM.345,1445.560345,805.5603452
curveLM.346,1446.284856,806
curveLM.347,1447.135395,806.1353948
curveLM.348,1447.776473,806.776473
curveLM.349,1448.590507,807
curveLM.350,1449.351523,807.3515226
curveLM.351,1449.992601,807.9926008
curveLM.352,1450.896157,808
curveLM.353,1451.56765,808.5676504
curveLM.354,1452.295187,809
curveLM.355,1453.1427,809.1427
curveLM.356,1453.783778,809.7837782
curveLM.357,1454.600838,810
curveLM.358,1455.507459,810
curveLM.359,1456.414081,810
curveLM.360,1457.226771,810.2267706
curveLM.361,1457.867849,810.8678488
curveLM.362,1458.719731,811
curveLM.363,1459.626353,811
curveLM.364,1460.37687,811.3768698
curveLM.365,1461.025382,812
