,V1,V2
suture_start,1043,568
curveLM.3,1043.197073,566.8029267
curveLM.4,1044,565.8568061
curveLM.5,1044,564.5781024
curveLM.6,1044,563.2993987
curveLM.7,1044,562.0206949
curveLM.8,1044,560.7419912
curveLM.9,1044,559.4632875
curveLM.10,1044,558.1845837
curveLM.11,1044,556.90588
curveLM.12,1044,555.6271763
curveLM.13,1044,554.3484726
curveLM.14,1044.657773,553.3422272
curveLM.15,1045,552.2052787
curveLM.16,1045,550.9265749
curveLM.17,1045,549.6478712
curveLM.18,1045.446066,548.5539341
curveLM.19,1046,547.5046773
curveLM.20,1046.774026,547
curveLM.21,1047.744393,546.2556074
curveLM.22,1048.91722,546
curveLM.23,1050.195924,546
curveLM.24,1051.474628,546
curveLM.25,1052,545.2466685
curveLM.26,1053.032035,545
curveLM.27,1054,544.6892611
curveLM.28,1054.589443,544
curveLM.29,1055,543.1318536
curveLM.30,1055,541.8531499
curveLM.31,1055.300912,540.699088
curveLM.32,1056,539.709956
curveLM.33,1056,538.4312523
curveLM.34,1056,537.1525485
curveLM.35,1056.796312,536.203688
curveLM.36,1057,535.0093547
curveLM.37,1057.897565,534.1024347
curveLM.38,1058.801745,533.1982546
curveLM.39,1059.998329,533
curveLM.40,1060.902999,532.0970012
curveLM.41,1061.807179,531.1928211
curveLM.42,1063.004252,530.9957478
curveLM.43,1063.908432,530.0915678
curveLM.44,1064.105506,528.8944945
curveLM.45,1065,527.9863025
curveLM.46,1064.707599,527
curveLM.47,1064,526.428895
curveLM.48,1064.600905,525.3990945
curveLM.49,1065.714299,525
curveLM.50,1066.993003,525
curveLM.51,1068.271706,525
curveLM.52,1069.55041,525
curveLM.53,1070.586272,525.586272
curveLM.54,1071.490452,526.490452
curveLM.55,1072.558094,527
curveLM.56,1073.591705,527.5917054
curveLM.57,1074.701288,528
curveLM.58,1075.692959,528.6929588
curveLM.59,1076.597139,529.5971389
curveLM.60,1077.501319,530.5013189
curveLM.61,1078.405499,531.405499
curveLM.62,1079.437952,532
curveLM.63,1080.716656,532
curveLM.64,1081,532.9953598
curveLM.65,1082.193792,532.8062078
curveLM.66,1083,531.8614463
curveLM.67,1083,530.5827425
curveLM.68,1083.492119,529.5078811
curveLM.69,1084.560451,529
curveLM.70,1085.839155,529
curveLM.71,1087.117859,529
curveLM.72,1088.396563,529
curveLM.73,1089.675266,529
curveLM.74,1090.95397,529
curveLM.75,1091.232674,530
curveLM.76,1092.361598,530.3615985
curveLM.77,1093.375868,531
