,V1,V2
suture_start,752,852
curveLM.3,753.1950288,853.1950288
curveLM.4,754.3900576,854.3900576
curveLM.5,755.5850864,855.5850864
curveLM.6,756.7801152,856.7801152
curveLM.7,757.975144,857.975144
curveLM.8,759.463066,858.463066
curveLM.9,760.6580948,859.6580948
curveLM.10,762.1460168,860.1460168
curveLM.11,763.3410456,861.3410456
curveLM.12,764.7581238,862
curveLM.13,766.3168897,862.3168897
curveLM.14,767.7239621,863
curveLM.15,769.2927337,863.2927337
curveLM.16,770.6898004,864
curveLM.17,772,864.3798263
curveLM.18,772.7564998,865.7564998
curveLM.19,774,866.3456646
curveLM.20,775,867.0356906
curveLM.21,775.5131591,868.5131591
curveLM.22,776.0010811,870.0010811
curveLM.23,777.2773413,871
curveLM.24,778.6840319,871.6840319
curveLM.25,779.8790607,872.8790607
curveLM.26,781.3669827,873.3669827
curveLM.27,782.7948043,874
curveLM.28,784.3428268,874.3428268
curveLM.29,785.7606426,875
curveLM.30,787,874.5493314
curveLM.31,788,873.8593055
curveLM.32,788.8307205,873
curveLM.33,789.5207464,872
curveLM.34,791.2107723,872
curveLM.35,792.9007983,872
curveLM.36,794.5908242,872
curveLM.37,796.2808502,872
curveLM.38,797.9708761,872
curveLM.39,799.1744351,873.1744351
curveLM.40,800.5225008,874
curveLM.41,802.1502791,873.8497209
curveLM.42,803.4883392,873
curveLM.43,804.83323,872.16677
curveLM.44,806.0282588,870.9717412
curveLM.45,807.2232876,869.7767124
curveLM.46,808,868.4084113
curveLM.47,808.1991316,866.8008684
curveLM.48,809,865.442573
curveLM.49,809,863.7525471
curveLM.50,809,862.0625211
curveLM.51,809,860.3724952
curveLM.52,809.2245281,858.7754719
curveLM.53,810,857.4066569
curveLM.54,810.907479,856.092521
curveLM.55,812.1025078,855.1025078
curveLM.56,813.2975366,856.2975366
curveLM.57,814,857.6965926
curveLM.58,814.2733806,859.2733806
curveLM.59,815,860.6624309
curveLM.60,816.2492246,861.2492246
curveLM.61,817.6282692,862
curveLM.62,819.3182952,862
curveLM.63,820.7129907,861.2870093
curveLM.64,822.2009127,860.7990873
curveLM.65,823.3959415,859.6040585
curveLM.66,824.5909703,858.4090297
curveLM.67,825,856.8884294
curveLM.68,825,855.1984034
curveLM.69,825.3476296,853.6523704
curveLM.70,826,852.2325651
curveLM.71,826,850.5425392
curveLM.72,826,848.8525133
curveLM.73,825.1624873,848
curveLM.74,825,846.4724614
curveLM.75,825,844.7824354
curveLM.76,824.3582366,843.3582366
curveLM.77,824,841.8165971
curveLM.78,824,840.1265712
curveLM.79,824,838.4365452
curveLM.80,824.8863447,837.1136553
curveLM.81,826.0813735,835.9186265
curveLM.82,827.3908919,835
curveLM.83,829.0809178,835
curveLM.84,830.7709438,835
curveLM.85,832.4609697,835
curveLM.86,834.1509956,835
curveLM.87,835.8410216,835
curveLM.88,837.1168339,834
curveLM.89,838.8068599,834
curveLM.90,840.4968858,834
curveLM.91,841.8392734,833.1607266
curveLM.92,843.4627241,833
curveLM.93,844.8151174,832.1848826
curveLM.94,846.4285625,832
curveLM.95,848.0838547,831.9161453
curveLM.96,849,830.6055992
curveLM.97,849.7668055,829.2331945
curveLM.98,850.2547275,828.2547275
curveLM.99,851.6360515,829
curveLM.100,852.9376783,829.9376783
curveLM.101,854.1327071,831.1327071
curveLM.102,855,832.4634886
curveLM.103,855.8156579,833.8156579
curveLM.104,857.4293269,834
curveLM.105,859.1193528,834
curveLM.106,860.5723172,833.4276828
curveLM.107,862.0851912,833
curveLM.108,863.7752171,833
curveLM.109,865.0510295,832
curveLM.110,866.5240053,831.4759947
curveLM.111,868.0168678,831
curveLM.112,869.7068937,831
curveLM.113,871.2806646,831.2806646
curveLM.114,872.672732,832
curveLM.115,873.9636154,832.9636154
curveLM.116,875.4515374,833.4515374
curveLM.117,876.9143827,834
curveLM.118,878.6044087,834
curveLM.119,880,834.2944346
curveLM.120,880,835.9844605
curveLM.121,880,837.6744865
curveLM.122,880.3645124,839
curveLM.123,881.7456712,839.7456712
curveLM.124,883.3303507,840
curveLM.125,885.0203767,840
curveLM.126,886.7104026,840
curveLM.127,887.9902525,840.9902525
curveLM.128,889.2620274,842
curveLM.129,890.9520533,842
curveLM.130,892.4540186,842.4540186
curveLM.131,893.9178916,843
curveLM.132,895.4298626,842.5701374
curveLM.133,896.8837299,842
curveLM.134,898.5737559,842
curveLM.135,900.1865219,841.8134781
curveLM.136,901.5395942,841
curveLM.137,903.1623659,840.8376341
curveLM.138,904.5054325,840
curveLM.139,905.13821,838.86179
curveLM.140,906,837.5287292
curveLM.141,906.8211608,836.1788392
curveLM.142,908.3090828,835.6909172
curveLM.143,909.5041116,834.4958884
curveLM.144,910,833.0112661
curveLM.145,911,831.7354538
curveLM.146,911.6749845,830.3250155
curveLM.147,913.1629065,829.8370935
curveLM.148,914.5061969,829
curveLM.149,916.1962229,829
curveLM.150,917,828.1137512
curveLM.151,917,826.4237252
curveLM.152,917,824.7336993
curveLM.153,917,823.0436734
curveLM.154,918.1641471,821.8358529
curveLM.155,919.3591759,820.6408241
curveLM.156,919.4457953,819.4457953
curveLM.157,918.9578733,817.9578733
curveLM.158,918,816.6646115
