,V1,V2
suture_start,879,571
curveLM.3,878.9244591,572.0755409
curveLM.4,878.1418114,572.8581886
curveLM.5,878,573.9062794
curveLM.6,878,575.0131103
curveLM.7,878,576.1199413
curveLM.8,878,577.2267723
curveLM.9,878,578.3336033
curveLM.10,878,579.4404343
curveLM.11,878,580.5472652
curveLM.12,878,581.6540962
curveLM.13,878,582.7609272
curveLM.14,878,583.8677582
curveLM.15,878,584.9745891
curveLM.16,878.0575727,586.0575727
curveLM.17,878.8402204,586.8402204
curveLM.18,879,587.8808685
curveLM.19,879,588.9876995
curveLM.20,880,589.0945305
curveLM.21,880,590.2013615
curveLM.22,880.217925,591.217925
curveLM.23,881.0005726,592.0005726
curveLM.24,881.7832203,592.7832203
curveLM.25,882,593.8002582
curveLM.26,882.9070892,594
curveLM.27,884.0098431,593.9901569
curveLM.28,884.7924908,593.2075092
curveLM.29,885.8133686,593
curveLM.30,886.9201996,593
curveLM.31,888.0270305,593
curveLM.32,889.1338615,593
curveLM.33,890.2406925,593
curveLM.34,891.3475235,593
curveLM.35,892.4543545,593
curveLM.36,893.5611854,593
curveLM.37,894.6680164,593
curveLM.38,895.7748474,593
curveLM.39,896.6234407,593.6234407
curveLM.40,897.5742958,594
curveLM.41,898.6811268,594
curveLM.42,899.5571703,594.5571703
curveLM.43,900.4805751,595
curveLM.44,901.5874061,595
curveLM.45,902.6942371,595
curveLM.46,903,595.8010681
curveLM.47,903.9078991,596
curveLM.48,905.01473,596
curveLM.49,906.0859566,596.0859566
curveLM.50,906.8686043,596.8686043
curveLM.51,907.9210094,597
curveLM.52,909.0278404,597
curveLM.53,910.1346714,597
curveLM.54,911.1707679,597.1707679
curveLM.55,911.9534156,597.9534156
curveLM.56,913.0409507,598
curveLM.57,914.1044975,598.1044975
curveLM.58,914.8871451,598.8871451
curveLM.59,915.9472301,599
curveLM.60,917.0540611,599
curveLM.61,918.1137679,599.1137679
curveLM.62,918.8964156,599.8964156
curveLM.63,919.9603405,600
curveLM.64,921.0671714,600
curveLM.65,922.1230383,600.1230383
curveLM.66,922.905686,600.905686
curveLM.67,923.9734508,601
curveLM.68,924.7638746,601.7638746
curveLM.69,925.7728992,602
curveLM.70,926.8797302,602
curveLM.71,927.9865611,602
curveLM.72,928.773145,602.773145
curveLM.73,929.7860095,603
curveLM.74,930.8928405,603
curveLM.75,931.9996715,603
curveLM.76,933.1065025,603
curveLM.77,934.2133335,603
curveLM.78,935.3201644,603
curveLM.79,936.4269954,603
curveLM.80,937.5338264,603
curveLM.81,938.6406574,603
curveLM.82,939.7474883,603
curveLM.83,940.8543193,603
curveLM.84,941.9611503,603
curveLM.85,943,602.9320187
curveLM.86,943.1748123,602
curveLM.87,944.2816432,602
curveLM.88,945.3884742,602
curveLM.89,946.4953052,602
curveLM.90,947.6021362,602
curveLM.91,948.7089671,602
curveLM.92,949.8157981,602
curveLM.93,950.9226291,602
curveLM.94,952.0294601,602
curveLM.95,953.1362911,602
curveLM.96,954.243122,602
curveLM.97,955.349953,602
curveLM.98,956.456784,602
curveLM.99,957.563615,602
curveLM.100,958.6704459,602
curveLM.101,959.7772769,602
curveLM.102,960.8841079,602
curveLM.103,961.9909389,602
curveLM.104,963.0691337,601.9308663
curveLM.105,963.8517814,601.1482186
curveLM.106,964.8972182,601
curveLM.107,966.0040492,601
curveLM.108,967.1108802,601
curveLM.109,968.2177112,601
curveLM.110,969.3245422,601
curveLM.111,970.4313731,601
curveLM.112,971.5382041,601
curveLM.113,972.6450351,601
curveLM.114,973.5316496,601.5316496
curveLM.115,974.4444835,602
curveLM.116,975.5513145,602
curveLM.117,976.6581454,602
curveLM.118,977.54092,602.54092
curveLM.119,978.4575938,603
curveLM.120,979.5644248,603
curveLM.121,980.6712558,603
curveLM.122,981.5501904,603.5501904
curveLM.123,982.4707042,604
curveLM.124,983.408379,604.408379
curveLM.125,984.2701526,605
curveLM.126,985.2665676,605.2665676
curveLM.127,986.069601,606
curveLM.128,987,606.1764319
curveLM.129,987.2832629,607
curveLM.130,988.275838,607.275838
curveLM.131,989.0827113,608
curveLM.132,990.1340266,608.1340266
curveLM.133,990.9166743,608.9166743
curveLM.134,991.699322,608.300678
curveLM.135,992.4819697,607.5180303
curveLM.136,993.3742255,607
curveLM.137,994.3401583,606.6598417
curveLM.138,995,605.8263261
curveLM.139,995.2805049,605
curveLM.140,996.2738878,604.7261122
curveLM.141,997.0799533,604
curveLM.142,998,603.8132157
curveLM.143,998.2936152,603
curveLM.144,999.2831582,602.7168418
curveLM.145,1000.093064,602
curveLM.146,1001.141347,601.8586532
curveLM.147,1001.923995,601.0760055
curveLM.148,1002.999343,601
curveLM.149,1004.106174,601
curveLM.150,1005.150617,600.8493828
curveLM.151,1005.933265,600.0667351
curveLM.152,1007.012453,600
curveLM.153,1008.084347,600.0843468
curveLM.154,1008.866994,600.8669944
curveLM.155,1009.918733,601
curveLM.156,1011.025564,601
curveLM.157,1012.093617,601.0936172
curveLM.158,1012.876265,601.8762649
curveLM.159,1013.931843,602
curveLM.160,1015.038674,602
curveLM.161,1016.102888,602.1028876
curveLM.162,1016.885535,602.8855353
curveLM.163,1017.944953,603
curveLM.164,1019.036617,603.0366171
curveLM.165,1019.819265,603.8192648
curveLM.166,1020.851233,604
curveLM.167,1021.958064,604
curveLM.168,1022.752994,604.7529943
curveLM.169,1023.757512,605
curveLM.170,1024.864343,605
curveLM.171,1025.686724,605.6867238
curveLM.172,1026.663792,606
curveLM.173,1027.770623,606
curveLM.174,1028.620453,606.6204533
curveLM.175,1029.570071,607
curveLM.176,1030.676902,607
curveLM.177,1031.554183,607.5541828
curveLM.178,1032.47635,608
curveLM.179,1033.583181,608
curveLM.180,1034.690012,608
curveLM.181,1035.563453,608.5634532
curveLM.182,1036.489461,609
curveLM.183,1037.596292,609
curveLM.184,1038.703123,609
