,V1,V2
suture_start,1055,779
curveLM.3,1053.706827,777.7068266
curveLM.4,1052.413653,776.4136533
curveLM.5,1051.827587,774.8275867
curveLM.6,1050.341561,774
curveLM.7,1049.655454,772.6554536
curveLM.8,1048.36228,771.3622802
curveLM.9,1047.069107,770.0691068
curveLM.10,1046.48304,768.4830403
curveLM.11,1045.854299,767
curveLM.12,1045,766.0254755
curveLM.13,1044.431947,764.4319473
curveLM.14,1043.845881,762.8458807
curveLM.15,1042.552707,761.5527074
curveLM.16,1042,759.952823
curveLM.17,1041.380574,758.3805742
curveLM.18,1040.794508,756.7945076
curveLM.19,1040,755.2947802
curveLM.20,1039,753.8801704
curveLM.21,1039,752.0513471
curveLM.22,1038,750.6367374
curveLM.23,1037.864175,748.8641747
curveLM.24,1037,747.3933043
curveLM.25,1036.692042,745.6920416
curveLM.26,1036,744.1498713
curveLM.27,1035.519908,742.5199084
curveLM.28,1035,740.9064383
curveLM.29,1034.347775,739.3477753
curveLM.30,1034,737.6630052
curveLM.31,1033.175642,736.1756421
curveLM.32,1033,734.4195722
curveLM.33,1032.710616,732.7106158
curveLM.34,1032,731.1761391
curveLM.35,1031.538483,729.5384826
curveLM.36,1031,727.9327061
curveLM.37,1030.366349,726.3663494
curveLM.38,1030,724.6892731
curveLM.39,1029,723.8604497
curveLM.40,1029,722.0316264
curveLM.41,1028,721.2028031
curveLM.42,1027.37398,720
curveLM.43,1026.678377,718.6783771
curveLM.44,1026,717.1305468
curveLM.45,1025,715.7159371
curveLM.46,1024.213071,714.2130706
curveLM.47,1023.627004,712.627004
curveLM.48,1023,711.0578943
curveLM.49,1022,709.6432845
curveLM.50,1021.161698,708.1616975
curveLM.51,1020.399851,707
curveLM.52,1020,705.5710282
curveLM.53,1020,703.7422049
curveLM.54,1020,701.9133816
curveLM.55,1020,700.0845583
curveLM.56,1020,698.255735
curveLM.57,1020,696.4269117
curveLM.58,1020,694.5980884
curveLM.59,1020,692.7692651
curveLM.60,1020,690.9404418
curveLM.61,1020,689.1116185
curveLM.62,1020,687.2827952
curveLM.63,1020,685.4539719
curveLM.64,1020,683.6251486
curveLM.65,1020,681.7963253
curveLM.66,1020.02298,679.9770204
curveLM.67,1021,678.5528922
curveLM.68,1021,676.7240689
curveLM.69,1021.781179,675.2188207
curveLM.70,1022,673.4806359
curveLM.71,1022.953312,672.0466875
curveLM.72,1023.539379,670.460621
curveLM.73,1024,668.8225931
curveLM.74,1025,667.9937698
curveLM.75,1025,666.1649465
curveLM.76,1026,664.7503368
curveLM.77,1026.762605,663.2373948
curveLM.78,1027.348672,661.6513283
curveLM.79,1028.641845,660.3581549
curveLM.80,1029.227912,658.7720883
curveLM.81,1030.521085,657.478915
curveLM.82,1031.814258,656.1857416
curveLM.83,1032.400325,654.599675
curveLM.84,1033.693498,653.3065017
curveLM.85,1034.986672,652.0133283
curveLM.86,1036.279845,650.720155
curveLM.87,1037.81037,650
curveLM.88,1039.159085,648.840915
curveLM.89,1040.63959,648
curveLM.90,1042.0542,647
curveLM.91,1043.883023,647
curveLM.92,1045.297633,646
curveLM.93,1046.796525,645.2034754
curveLM.94,1047.382591,643.6174088
curveLM.95,1048.675765,642.3242354
curveLM.96,1049.261831,640.7381688
curveLM.97,1050,639.2151051
curveLM.98,1051.141071,637.8589289
curveLM.99,1052,636.3858856
