,V1,V2
suture_start,455,386
curveLM.3,456.5000712,386.5000712
curveLM.4,458,387.0002014
curveLM.5,458.7074089,388
curveLM.6,460.4146164,388
curveLM.7,462.1218239,388
curveLM.8,463.8290314,388
curveLM.9,465.5362389,388
curveLM.10,467.2434463,388
curveLM.11,468.9506538,388
curveLM.12,470.6578613,388
curveLM.13,472.2581426,388.2581426
curveLM.14,473.6580627,389
curveLM.15,475,389.3652702
curveLM.16,476.0512495,390.0512495
curveLM.17,477.3654716,391
curveLM.18,479.0726791,391
curveLM.19,480.7798866,391
curveLM.20,482.4870941,391
curveLM.21,484.137392,390.862608
curveLM.22,485.4872955,390
curveLM.23,487,389.805497
curveLM.24,487.9017105,389
curveLM.25,489.608918,389
curveLM.26,491.3161255,389
curveLM.27,493.0233329,389
curveLM.28,494.7305404,389
curveLM.29,496.4377479,389
curveLM.30,498.1449554,389
curveLM.31,499.6025702,389.6025702
curveLM.32,501.1451568,390
curveLM.33,502.6027126,390.6027126
curveLM.34,504.1453582,391
curveLM.35,505.602855,391.602855
curveLM.36,507.1455596,392
curveLM.37,508.8527671,392
curveLM.38,510.5599746,392
curveLM.39,511.8960331,392.8960331
curveLM.40,513.560176,393
curveLM.41,514.8961755,393.8961755
curveLM.42,516.5603774,394
curveLM.43,518.2675849,394
curveLM.44,519.9747924,394
curveLM.45,521.6819999,394
curveLM.46,523.3892074,394
curveLM.47,525.0681756,394.0681756
curveLM.48,526.3894088,395
curveLM.49,528.068318,395.068318
curveLM.50,529.3896102,396
curveLM.51,530.7755672,396.7755672
curveLM.52,532.2756385,397.2756385
curveLM.53,533,398.6828056
curveLM.54,534.2757809,399.2757809
curveLM.55,535,400.683007
curveLM.56,535,402.3902145
curveLM.57,534.2240055,403.7759945
curveLM.58,534,405.3904159
curveLM.59,534,407.0976234
curveLM.60,533.4308986,408.5691014
curveLM.61,533,410.0978248
curveLM.62,533,411.8050323
curveLM.63,532,413.0980262
curveLM.64,532,414.8052337
curveLM.65,532,416.5124412
curveLM.66,532.155315,418.155315
curveLM.67,533,419.5126426
curveLM.68,533.1554575,421.1554575
curveLM.69,534.512844,422
curveLM.70,536.2200515,422
curveLM.71,537.927259,422
curveLM.72,539.6344665,422
curveLM.73,541.2416,421.7584
curveLM.74,542.6346679,421
curveLM.75,543.9488492,420.0511508
curveLM.76,545.4489204,420.4489204
curveLM.77,546.9278632,421
curveLM.78,547.6350707,422
curveLM.79,548.2420272,423.2420272
curveLM.80,549,424.6352721
curveLM.81,549,426.3424796
curveLM.82,549.0351341,428.0351341
curveLM.83,550,429.342681
curveLM.84,550.7423833,430.7423833
curveLM.85,551.2424545,432.2424545
curveLM.86,552,433.6358763
curveLM.87,552.9497037,434.9497037
curveLM.88,554.2218642,436
curveLM.89,555.6569529,435.3430471
curveLM.90,557.2220656,435
curveLM.91,558.9292731,435
curveLM.92,560.4500597,434.5499403
curveLM.93,561.9294745,434
curveLM.94,563.2224684,433
curveLM.95,564,432.0703241
curveLM.96,564.4503446,430.5496554
curveLM.97,565,429.0701227
curveLM.98,566.1575938,427.8424062
curveLM.99,567.5158652,427
curveLM.100,569.2230727,427
curveLM.101,570.6578074,427.6578074
curveLM.102,572.1578786,428.1578786
curveLM.103,573.3650566,429.3650566
curveLM.104,574.5722346,430.5722346
curveLM.105,575.7794126,431.7794126
curveLM.106,576.2794838,433.2794838
curveLM.107,576.5133382,434.4866618
curveLM.108,576,435.9812376
curveLM.109,574.5131958,436.4868042
curveLM.110,573.3060178,437.6939822
curveLM.111,572.725567,439
curveLM.112,571.3058754,439.6941246
curveLM.113,570.8058042,441.1941958
curveLM.114,570.5676283,442
curveLM.115,572.2748358,442
curveLM.116,573.9820433,442
curveLM.117,575.6892508,442
curveLM.118,577.2803383,441.7196617
curveLM.119,578.6894522,441
curveLM.120,580.3966597,441
curveLM.121,582.0734452,440.9265548
curveLM.122,583.3968611,440
curveLM.123,585.1040686,440
curveLM.124,586.8112761,440
curveLM.125,588.10427,441
curveLM.126,589.8114775,441
curveLM.127,591.1044714,442
curveLM.128,592.5739436,442.5739436
curveLM.129,594,443.1046728
curveLM.130,594.5740861,444.5740861
curveLM.131,595.7812641,445.7812641
curveLM.132,596,447.3978682
curveLM.133,596.7814065,448.7814065
curveLM.134,597,450.3980696
curveLM.135,597.7815489,451.7815489
curveLM.136,599,452.398271
curveLM.137,599.7816913,453.7816913
curveLM.138,601.3984724,454
curveLM.139,602.7818337,454.7818337
curveLM.140,604.3986738,455
curveLM.141,606.1058813,455
curveLM.142,607.8130888,455
curveLM.143,609.5202963,455
curveLM.144,611.1608694,455.1608694
curveLM.145,612.5204977,456
curveLM.146,613.8681186,456.8681186
curveLM.147,615.0752966,458.0752966
curveLM.148,616,459.3994795
curveLM.149,616.0754391,461.0754391
curveLM.150,617,462.3996809
curveLM.151,617.0755815,464.0755815
curveLM.152,618,465.3998823
curveLM.153,618.7828307,466.7828307
curveLM.154,619.2829019,468.2829019
curveLM.155,620,469.6930776
curveLM.156,620.9901511,470.9901511
curveLM.157,622,472.2790655
curveLM.158,622.6974003,473.6974003
curveLM.159,623.9045783,474.9045783
curveLM.160,625.1117563,476.1117563
curveLM.161,626.4510412,477
curveLM.162,627.1582487,478
curveLM.163,628.6119699,478.6119699
curveLM.164,629.8191479,479.8191479
curveLM.165,631.3192191,480.3192191
curveLM.166,632,481.7444379
curveLM.167,633.3193615,482.3193615
curveLM.168,634.5265395,483.5265395
curveLM.169,635.7337175,484.7337175
curveLM.170,636.9408955,485.9408955
curveLM.171,638,486.6236211
curveLM.172,638.9410379,487.9410379
curveLM.173,640,488.6238225
curveLM.174,640.9411803,489.9411803
curveLM.175,642,491.2098104
