,V1,V2
suture_start,774,748
curveLM.3,774.7804107,748.7804107
curveLM.4,775.7931212,749
curveLM.5,776,749.8967885
curveLM.6,776,751.0004559
curveLM.7,776.0736263,752.0736263
curveLM.8,776.8540369,752.8540369
curveLM.9,777,753.8972444
curveLM.10,777.0006447,755.0006447
curveLM.11,777.7810554,755.7810554
curveLM.12,778,756.7940329
curveLM.13,778,757.8977003
curveLM.14,778,759.0013677
curveLM.15,778,760.105035
curveLM.16,778,761.2087024
curveLM.17,777.7791212,762.2208788
curveLM.18,777,763.0018236
curveLM.19,776.8945091,764
curveLM.20,775.8521028,764.1478972
curveLM.21,775.0716921,764.9283079
curveLM.22,774.9983882,766.0016118
curveLM.23,774.2179775,766.7820225
curveLM.24,773.4375668,767.5624332
curveLM.25,772.6571562,768.3428438
curveLM.26,772,769.1743082
curveLM.27,772,770.2779756
curveLM.28,772,771.3816429
curveLM.29,772.3431662,772.3431662
curveLM.30,773,773.1747641
curveLM.31,772.8031192,774.1968808
curveLM.32,772.0227085,774.9772915
curveLM.33,771.9494047,776.0505953
curveLM.34,771.168994,776.831006
curveLM.35,770.3885833,777.6114167
curveLM.36,770,778.5541276
curveLM.37,770,779.657795
curveLM.38,770,780.7614623
curveLM.39,769.3882609,781.6117391
curveLM.40,769,782.5545835
curveLM.41,769,783.6582508
curveLM.42,769,784.7619182
curveLM.43,769,785.8655856
curveLM.44,769,786.9692529
curveLM.45,770,787.0729203
curveLM.46,770,788.1765877
curveLM.47,770.1981702,789.1981702
curveLM.48,770.9785809,789.9785809
curveLM.49,771.0518848,791.0518848
curveLM.50,771.8322955,791.8322955
curveLM.51,772,792.8664973
curveLM.52,772.68601,793.68601
curveLM.53,773,794.6596185
curveLM.54,773.5397246,795.5397246
curveLM.55,774,796.4527397
curveLM.56,774.3934392,797.3934392
curveLM.57,775,798.2458608
curveLM.58,775,799.3495282
curveLM.59,775.3204577,800.3204577
curveLM.60,776,801.1426494
curveLM.61,776,802.2463167
curveLM.62,776.2474761,803.2474761
curveLM.63,777,804.0394379
curveLM.64,777,805.1431053
curveLM.65,777.1744946,806.1744946
curveLM.66,777.9549053,806.9549053
curveLM.67,778,808.0398938
curveLM.68,778.1015131,809.1015131
curveLM.69,778.8819237,809.8819237
curveLM.70,779,810.9366823
curveLM.71,779.0285315,812.0285315
curveLM.72,779.8089422,812.8089422
curveLM.73,780,813.8334708
curveLM.74,780.6626568,814.6626568
curveLM.75,781.4430675,815.4430675
curveLM.76,782.2234781,816.2234781
curveLM.77,783,817.0054996
curveLM.78,783.0771927,818.0771927
curveLM.79,783.8576034,818.8576034
curveLM.80,784,819.9022881
curveLM.81,784.0059555,821
curveLM.82,785,821.1096229
curveLM.83,785.150819,822.150819
curveLM.84,785.9312296,822.9312296
curveLM.85,786.7116403,823.7116403
curveLM.86,787.492051,824.492051
curveLM.87,788,825.385319
curveLM.88,788,826.4889863
curveLM.89,788.4190695,827.4190695
curveLM.90,789,828.2821075
curveLM.91,789,829.3857749
curveLM.92,789.4894422,830
curveLM.93,790.5931096,830
curveLM.94,791,830.696777
curveLM.95,791.8004443,831
curveLM.96,792.9041117,831
curveLM.97,794,831.007779
curveLM.98,794.1114464,832
curveLM.99,795.2151138,832
curveLM.100,796,832.3187811
curveLM.101,796.4224485,833
curveLM.102,797.3720201,833.3720201
curveLM.103,798,834.2155697
curveLM.104,798.319237,835
curveLM.105,799,835.4229044
curveLM.106,799.3723425,836.3723425
curveLM.107,800,837.2160255
curveLM.108,800.226057,838.226057
curveLM.109,801.0064677,839.0064677
curveLM.110,801.7868784,839.7868784
curveLM.111,802,840.8022679
curveLM.112,802.640593,841.640593
curveLM.113,803,842.595389
curveLM.114,803.6990564,843
curveLM.115,804,843.8027238
curveLM.116,804.6409153,844.6409153
curveLM.117,805,845.5958449
curveLM.118,805.6995123,846
curveLM.119,806,846.8031797
curveLM.120,806.6412377,847.6412377
curveLM.121,807.4216484,848.4216484
curveLM.122,808.202059,849.202059
curveLM.123,808.9824697,849.9824697
curveLM.124,809.7628804,850.7628804
curveLM.125,810.5432911,851.5432911
curveLM.126,811.3237017,852.3237017
curveLM.127,812.1041124,853.1041124
curveLM.128,812.8845231,853.8845231
curveLM.129,813.9403583,854
curveLM.130,814.7382377,854.7382377
curveLM.131,815.5186483,855.5186483
curveLM.132,816.299059,856.299059
curveLM.133,817.1123871,857
curveLM.134,818.1527736,857.1527736
curveLM.135,818.9331843,857.9331843
curveLM.136,819.7135949,858.7135949
curveLM.137,820.6986294,859
curveLM.138,821.5673095,859.5673095
curveLM.139,822.3477202,860.3477202
curveLM.140,823,861.1812044
curveLM.141,823.2014348,862.2014348
curveLM.142,823.9818454,862.9818454
curveLM.143,825.0551493,863.0551493
curveLM.144,825.83556,863.83556
curveLM.145,826.8711141,864
curveLM.146,827.9747815,864
curveLM.147,828.7625785,864.7625785
curveLM.148,829.7679026,865
curveLM.149,830.616293,865.616293
curveLM.150,831.5610238,866
curveLM.151,832.4700076,866.4700076
curveLM.152,833.2504183,867.2504183
curveLM.153,834.030829,868.030829
curveLM.154,834.8112396,868.8112396
curveLM.155,835.5916503,869.5916503
curveLM.156,836.372061,870.372061
curveLM.157,837.2156275,871
curveLM.158,838.2257756,871.2257756
curveLM.159,839.0061862,872.0061862
curveLM.160,839.7865969,872.7865969
curveLM.161,840.5670076,873.5670076
curveLM.162,841.4913236,874
curveLM.163,842,874.594991
curveLM.164,842.6986584,875
curveLM.165,843.56733,875.56733
curveLM.166,844.3477406,876.3477406
curveLM.167,845.1281513,877.1281513
curveLM.168,845.908562,877.908562
curveLM.169,846.6889727,878.6889727
curveLM.170,847.4693833,879.4693833
curveLM.171,848.3532621,880
curveLM.172,849.4569295,880
curveLM.173,850.3964018,880.3964018
curveLM.174,851.2500506,881
curveLM.175,852.2501164,881.2501164
curveLM.176,853.0431718,882
curveLM.177,854.103831,882.103831
curveLM.178,854.8842416,882.8842416
curveLM.179,855.9399603,883
curveLM.180,857.0436277,883
curveLM.181,858.1041533,883.1041533
curveLM.182,858.884564,883.884564
curveLM.183,859.9404162,884
curveLM.184,861,884.0440836
curveLM.185,861.1477509,885
curveLM.186,862.2514183,885
curveLM.187,863.2510835,885.2510835
curveLM.188,864.0445395,886
curveLM.189,865.1482068,886
curveLM.190,866.2518742,886
curveLM.191,867.2514058,886.2514058
curveLM.192,868.0449953,887
curveLM.193,869.1486627,887
curveLM.194,870,887.2523301
curveLM.195,870.3559974,888
curveLM.196,871.4596648,888
curveLM.197,872.398336,888.398336
curveLM.198,873.1787467,889.1787467
curveLM.199,873.9591573,889.9591573
curveLM.200,875.0459071,890
curveLM.201,876.1495745,890
curveLM.202,877.179069,890.179069
curveLM.203,877.9594797,890.9594797
curveLM.204,878.7398904,891.7398904
curveLM.205,879.5203011,892.5203011
curveLM.206,880.3007117,893.3007117
curveLM.207,881.0811224,894.0811224
curveLM.208,881.8615331,894.8615331
curveLM.209,882.6419438,895.6419438
curveLM.210,883.4223544,896.4223544
curveLM.211,884.2027651,897.2027651
curveLM.212,884.9831758,897.9831758
curveLM.213,886.0798743,898
curveLM.214,887.1835417,898
curveLM.215,888.2872091,898
curveLM.216,889.3908764,898
curveLM.217,890,897.5054562
curveLM.218,890.5982112,897
curveLM.219,891.7018785,897
curveLM.220,892.8055459,897
curveLM.221,893.6429108,896.3570892
curveLM.222,894.598667,896
curveLM.223,895.7023344,896
curveLM.224,896.8060018,896
curveLM.225,897.6432332,895.3567668
curveLM.226,898.5991229,895
curveLM.227,899.7027903,895
curveLM.228,900.5702517,894.4297483
curveLM.229,901.4959115,894
curveLM.230,902.5995788,894
curveLM.231,903.7032462,894
curveLM.232,904.8069135,894
curveLM.233,905.9105809,894
curveLM.234,907.0100751,893.9899249
curveLM.235,907.7904857,893.2095143
curveLM.236,908.5708964,892.4291036
curveLM.237,909.4968232,892
curveLM.238,910.424611,891.575389
curveLM.239,911.2899444,891
curveLM.240,912.2783255,890.7216745
curveLM.241,913.0587362,889.9412638
curveLM.242,913.8391469,889.1608531
curveLM.243,914.8761867,889
curveLM.244,915.6928615,888.3071385
curveLM.245,916.6693079,888
curveLM.246,917.7729753,888
curveLM.247,918.8766426,888
curveLM.248,919.98031,888
curveLM.249,921.0839773,888
curveLM.250,922.1876447,888
curveLM.251,923.2913121,888
curveLM.252,924.3949794,888
curveLM.253,925.4986468,888
curveLM.254,926.6023142,888
curveLM.255,927.7059815,888
curveLM.256,928.8096489,888
curveLM.257,929.9133162,888
curveLM.258,931.0120092,887.9879908
curveLM.259,931.7924199,887.2075801
