,V1,V2
suture_start,376,673
curveLM.3,377.3197695,672.6802305
curveLM.4,378.4902311,672
curveLM.5,379.6664152,671.3335848
curveLM.6,380.9804622,671
curveLM.7,382.018471,670
curveLM.8,383.4706933,670
curveLM.9,384.9229157,670
curveLM.10,386.375138,670
curveLM.11,387.8273603,670
curveLM.12,389.2795827,670
curveLM.13,390.731805,670
curveLM.14,392.130127,669.869873
curveLM.15,393.1570033,668.8429967
curveLM.16,394.2600449,668
curveLM.17,395.7122672,668
curveLM.18,396.1644896,667
curveLM.19,397.6167119,667
curveLM.20,399.0689343,667
curveLM.21,400.5211566,667
curveLM.22,401.6882828,666.3117172
curveLM.23,403.0113877,666
curveLM.24,404.3278218,665.6721782
curveLM.25,405.5016188,665
curveLM.26,406.9538412,665
curveLM.27,408.4060635,665
curveLM.28,409.8582858,665
curveLM.29,411.3105082,665
curveLM.30,412.5393319,664.4606681
curveLM.31,413.8007393,664
curveLM.32,415.2529616,664
curveLM.33,416.705184,664
curveLM.34,417.8184098,663.1815902
curveLM.35,419.1954151,663
curveLM.36,420.6476374,663
curveLM.37,422.0706115,662.9293885
curveLM.38,423.1378685,662
curveLM.39,424.5900909,662
curveLM.40,426.0423132,662
curveLM.41,427.4945355,662
curveLM.42,428.9467579,662
curveLM.43,430.3989802,662
curveLM.44,431.6018911,661.3981089
curveLM.45,432.8892113,661
curveLM.46,434.3414337,661
curveLM.47,435.793656,661
curveLM.48,436.880969,660.119031
curveLM.49,438.2838871,660
curveLM.50,439.7361094,660
curveLM.51,440.8402775,659.1597225
curveLM.52,442.2263406,659
curveLM.53,443.6785629,659
curveLM.54,444.7995859,658.2004141
curveLM.55,446.168794,658
curveLM.56,447.4391249,657.5608751
curveLM.57,448.6590251,657
curveLM.58,450.1112475,657
curveLM.59,451.3984333,656.6015667
curveLM.60,452.6014786,656
curveLM.61,454.0537009,656
curveLM.62,455.5059232,656
curveLM.63,456.9581456,656
curveLM.64,458.2901739,655.7098261
curveLM.65,459.4483767,655
curveLM.66,460.900599,655
curveLM.67,462.2494824,654.7505176
curveLM.68,463.3908301,654
curveLM.69,464.5961281,653.4038719
curveLM.70,465.8810612,653
curveLM.71,467.3332836,653
curveLM.72,468.7855059,653
curveLM.73,470.2377283,653
curveLM.74,471.4878687,652.5121313
curveLM.75,472.7279594,652
curveLM.76,474.1801817,652
curveLM.77,475.632404,652
curveLM.78,476.7669467,651.2330533
curveLM.79,478.1226352,651
curveLM.80,479.5748575,651
curveLM.81,480.7262551,650.2737449
curveLM.82,482.0650886,650
curveLM.83,483.5173109,650
curveLM.84,484.9695333,650
curveLM.85,486.4217556,650
curveLM.86,487.873978,650
curveLM.87,488.9377652,649.0622348
curveLM.88,490.2575347,648.7424653
curveLM.89,491.4022178,648
curveLM.90,492.6041804,647.3958196
curveLM.91,493.892449,647
curveLM.92,495.2437194,646.7562806
curveLM.93,496.3826801,646
curveLM.94,497.8349024,646
curveLM.95,498.9101346,645.0898654
curveLM.96,500.3251335,645
curveLM.97,501.7773559,645
curveLM.98,502.8694431,644.1305569
curveLM.99,504.267587,644
curveLM.100,505.7198093,644
curveLM.101,507.1720316,644
curveLM.102,508.4414142,643.5585858
curveLM.103,509.6622628,643
curveLM.104,510.78806,642.21194
curveLM.105,512.1078294,641.8921706
curveLM.106,513.1905026,641
curveLM.107,514.642725,641
curveLM.108,515.7742447,640.2257553
curveLM.109,517.1329561,640
curveLM.110,518.4137836,639.5862164
curveLM.111,519.6231872,639
curveLM.112,521.0754095,639
curveLM.113,522.5276319,639
curveLM.114,523.9798542,639
curveLM.115,525.4320766,639
curveLM.116,526.8842989,639
curveLM.117,528.3365212,639
curveLM.118,529.7887436,639
curveLM.119,530.2409659,638
curveLM.120,531.6931882,638
curveLM.121,533.1028208,637.8971792
curveLM.122,534.1834193,637
curveLM.123,535.6356417,637
curveLM.124,536.769236,636.230764
curveLM.125,538.1258728,636
curveLM.126,539.408775,635.591225
curveLM.127,540.6161039,635
curveLM.128,542.0683262,635
curveLM.129,543.5205486,635
curveLM.130,544.9727709,635
curveLM.131,546.4249933,635
curveLM.132,547.8772156,635
curveLM.133,548.9400546,634.0599454
curveLM.134,550.2598241,633.7401759
curveLM.135,551.4054555,633
curveLM.136,552.8576778,633
curveLM.137,553.9262393,632.0737607
curveLM.138,555.2460088,631.7539912
curveLM.139,556.3859177,631
curveLM.140,557.83814,631
curveLM.141,558.912424,630.087576
curveLM.142,560.3283712,630
curveLM.143,561.7805935,630
curveLM.144,563.2328158,630
curveLM.145,564.6850382,630
curveLM.146,565.8041646,629.1958354
curveLM.147,567.1752693,629
curveLM.148,568.4437036,628.5562964
curveLM.149,569.6655004,628
curveLM.150,570.7903493,627.2096507
curveLM.151,572.1557315,627
curveLM.152,573,626.3920462
curveLM.153,574.0601762,626
curveLM.154,575.5123985,626
curveLM.155,576.6820899,625.3179101
curveLM.156,578.0026296,625
curveLM.157,579.454852,625
curveLM.158,580.6413984,624.3586016
curveLM.159,581.9450831,624
curveLM.160,583.3973054,624
curveLM.161,584,623.1504722
curveLM.162,585.2133695,622.7866305
curveLM.163,586.2402458,621.7597542
curveLM.164,587.2671221,620.7328779
curveLM.165,588.4157764,620
curveLM.166,589.6137678,619.3862322
curveLM.167,590.9060075,619
curveLM.168,592.3582299,619
curveLM.169,593.8104522,619
curveLM.170,595.2626745,619
curveLM.171,596.7148969,619
curveLM.172,598.1671192,619
curveLM.173,599.6193416,619
curveLM.174,601.0506033,618.9493967
curveLM.175,602.1095727,618
curveLM.176,603.561795,618
curveLM.177,605.0099118,617.9900882
curveLM.178,606.0520261,617
curveLM.179,607.5042485,617
curveLM.180,608.9564708,617
curveLM.181,609.4086931,616
curveLM.182,610.8609155,616
curveLM.183,612.3131378,616
curveLM.184,613.5411913,615.4588087
curveLM.185,614.8033689,615
curveLM.186,616.1807303,614.8192697
curveLM.187,617.2936,614
curveLM.188,618.527376,613.472624
curveLM.189,619.7838311,613
curveLM.190,621.166915,612.833085
curveLM.191,622.2740622,612
curveLM.192,623.7262846,612
curveLM.193,625.1785069,612
curveLM.194,626.6307293,612
curveLM.195,628.0829516,612
curveLM.196,629.5351739,612
curveLM.197,630.6981946,611.3018054
curveLM.198,632.0179641,610.9820359
curveLM.199,633.0634138,610
curveLM.200,634.5156362,610
curveLM.201,635.9678585,610
curveLM.202,636.4200808,609
curveLM.203,637.8723032,609
curveLM.204,638.936581,608.063419
curveLM.205,640.3625343,608
curveLM.206,641.8147566,608
curveLM.207,643.1887826,607.8112174
curveLM.208,644.3049877,607
curveLM.209,645.7572101,607
curveLM.210,647.1480911,606.8519089
curveLM.211,648.2474412,606
curveLM.212,649.6996635,606
curveLM.213,650.8145063,605.1854937
curveLM.214,652.1898946,605
curveLM.215,653.642117,605
curveLM.216,654.7738147,604.2261853
curveLM.217,656.1323481,604
curveLM.218,657.5845704,604
curveLM.219,659.0367928,604
curveLM.220,660.3457859,603.6542141
curveLM.221,661.5270239,603
curveLM.222,662.9792462,603
curveLM.223,664.017255,602
curveLM.224,665.3319706,601.6680294
curveLM.225,666.5074861,601
curveLM.226,667.9597084,601
curveLM.227,668.4119308,600
curveLM.228,669.8641531,600
curveLM.229,670.930818,599.069182
curveLM.230,672.3543842,599
curveLM.231,673.8066066,599
curveLM.232,674.8901264,598.1098736
curveLM.233,676.2968377,598
curveLM.234,677.5296654,597.4703346
curveLM.235,678.7870688,597
curveLM.236,680.1692044,596.8307956
curveLM.237,681.2772999,596
curveLM.238,682.5158501,595.4841499
curveLM.239,683.767531,595
curveLM.240,684.8624959,594.1375041
curveLM.241,686.2577621,594
curveLM.242,687.5020348,593.4979652
curveLM.243,688.7479932,593
curveLM.244,689.8486806,592.1513194
curveLM.245,691.16845,591.83155
curveLM.246,692.2762331,591
curveLM.247,693.7284554,591
curveLM.248,695.1806778,591
curveLM.249,696.6329001,591
curveLM.250,698.0851225,591
curveLM.251,699.3799602,591.3799602
curveLM.252,700.5753536,592
curveLM.253,702.0194991,591.9805009
curveLM.254,703.0463754,590.9536246
curveLM.255,704.1035935,590
curveLM.256,705.3930211,589.6069789
curveLM.257,706.4198974,588.5801026
curveLM.258,707.4467736,587.5532264
curveLM.259,708.6698421,587
curveLM.260,709.7934194,586.2065806
curveLM.261,711.1600732,586
curveLM.262,712,585.3877044
curveLM.263,713.0456211,584.9543789
curveLM.264,714.0724973,583.9275027
curveLM.265,715.1405355,583
curveLM.266,716.4191431,582.5808569
curveLM.267,717.4460193,581.5539807
curveLM.268,718.6687753,581
curveLM.269,719.7926651,580.2073349
curveLM.270,721.1590065,580
curveLM.271,722.432204,579.567796
curveLM.272,723.6492376,579
curveLM.273,725.071743,578.928257
curveLM.274,726.1394687,578
curveLM.275,727.4183887,577.5816113
curveLM.276,728.6296998,577
curveLM.277,729.7650345,576.2349655
curveLM.278,731.084804,575.915196
curveLM.279,732.1579397,575
curveLM.280,733.4314497,574.5685503
curveLM.281,734.6481708,574
curveLM.282,735.7780954,573.2219046
curveLM.283,737.0978649,572.9021351
curveLM.284,738.1764107,572
curveLM.285,739.4445107,571.5554893
curveLM.286,740.6666418,571
curveLM.287,742.1188641,571
curveLM.288,743.5710865,571
curveLM.289,745.0233088,571
curveLM.290,746.4755311,571
curveLM.291,747.9277535,571
curveLM.292,749.3799758,571
curveLM.293,750.588453,571.588453
curveLM.294,751.8702069,572
curveLM.295,753.3224293,572
curveLM.296,754.7746516,572
curveLM.297,755.8675309,571.1324691
curveLM.298,757.2648827,571
curveLM.299,758.7171051,571
curveLM.300,759.8268393,570.1731607
curveLM.301,761.2073362,570
curveLM.302,762.4663783,569.5336217
curveLM.303,763.6975673,569
curveLM.304,764.1497896,568
curveLM.305,765,567.397988
curveLM.306,766,566.9457657
curveLM.307,766.5064566,566
curveLM.308,767.6778884,565.3221116
curveLM.309,768.9966877,565
curveLM.310,770.0346965,564
curveLM.311,771.3443036,563.6556964
curveLM.312,772.5249276,563
curveLM.313,773.6909494,562.3090506
curveLM.314,775.0107188,561.9892812
curveLM.315,776.0531675,561
curveLM.316,777.3573646,560.6426354
curveLM.317,778.3842409,559.6157591
curveLM.318,779.5814074,559
curveLM.319,780.7308866,558.2691134
curveLM.320,781.7577629,557.2422371
curveLM.321,782.7846391,556.2153609
curveLM.322,783.8115154,555.1884846
curveLM.323,785.1312849,554.8687151
curveLM.324,786.2236736,554
curveLM.325,787,553.3241041
curveLM.326,788.1281183,553
curveLM.327,789.4103628,552.5896372
curveLM.328,790.6183494,552
curveLM.329,791.7570085,551.2429915
curveLM.330,793.076778,550.923222
curveLM.331,794.1465893,550
curveLM.332,795.5988116,550
curveLM.333,796.051034,549
curveLM.334,797.5032563,549
curveLM.335,798.6756254,548.3243746
curveLM.336,799.9934874,548
curveLM.337,801.0314962,547
curveLM.338,802.4837185,547
curveLM.339,803.6618101,546.3381899
curveLM.340,804.9739496,546
curveLM.341,806.0119584,545
curveLM.342,807.4641807,545
curveLM.343,808.9164031,545
curveLM.344,809.3686254,544
curveLM.345,810.8208478,544
curveLM.346,812.1930897,543.8069103
curveLM.347,813.3110789,543
curveLM.348,814.7633012,543
curveLM.349,816.2155235,543
curveLM.350,817.6677459,543
curveLM.351,819.1199682,543
curveLM.352,820.5721906,543
curveLM.353,822.0244129,543
curveLM.354,823.4766352,543
curveLM.355,824,542.0711424
curveLM.356,825,541.6189201
curveLM.357,825,540.1666978
curveLM.358,826,539.7144754
curveLM.359,826.5216658,538.4783342
curveLM.360,827,537.2242443
curveLM.361,827.8683116,536.1316884
curveLM.362,828.8951879,535.1048121
curveLM.363,829.2149573,533.7850427
curveLM.364,830.2418336,532.7581664
curveLM.365,831,531.6199869
curveLM.366,831.5884793,530.4115207
curveLM.367,832.8702442,530
curveLM.368,833.9351251,529.0648749
curveLM.369,835.3604754,529
curveLM.370,836.8126977,529
curveLM.371,837.8944335,528.1055665
curveLM.372,839.3029288,528
curveLM.373,840.5339725,527.4660275
curveLM.374,841.7931599,527
curveLM.375,843.2453823,527
curveLM.376,844.6976046,527
curveLM.377,846.1498269,527
curveLM.378,847.4257131,526.5742869
curveLM.379,848.640058,526
curveLM.380,850.0922804,526
curveLM.381,851.3850216,525.6149784
curveLM.382,852.5825115,525
curveLM.383,853.7316673,524.2683327
curveLM.384,855.0514368,523.9485632
curveLM.385,856.1107514,523
curveLM.386,857.5629737,523
curveLM.387,858.015196,522
curveLM.388,859.4674184,522
curveLM.389,860,521.0803593
curveLM.390,861.3718631,521
curveLM.391,862.8240854,521
curveLM.392,863.9024859,520.0975141
curveLM.393,865.3143165,520
curveLM.394,866.7665388,520
curveLM.395,868.2187612,520
