,V1,V2
suture_start,1328,674
curveLM.3,1325.508847,674
curveLM.4,1323.431908,675
curveLM.5,1320.940755,675
curveLM.6,1318.610809,675.3891905
curveLM.7,1316.372662,676
curveLM.8,1313.916214,676.0837858
curveLM.9,1311.80457,677
curveLM.10,1309.313417,677
curveLM.11,1306.822264,677
curveLM.12,1304.331111,677
curveLM.13,1301.839958,677
curveLM.14,1299.348805,677
curveLM.15,1296.857652,677
curveLM.16,1294.366499,677
curveLM.17,1295.124654,676
curveLM.18,1297.435442,675.5645583
curveLM.19,1299.489846,674.5101539
curveLM.20,1301.769686,674
curveLM.21,1304,673.7391606
curveLM.22,1305.751992,673
curveLM.23,1308.243145,673
curveLM.24,1310.320085,672
curveLM.25,1312.811238,672
curveLM.26,1314.920929,671.0790705
curveLM.27,1317.37933,671
curveLM.28,1319.870483,671
curveLM.29,1321.947423,670
curveLM.30,1324.438576,670
curveLM.31,1326,669.0702711
curveLM.32,1328.420882,669
curveLM.33,1330,668.0879651
curveLM.34,1332.285097,667.7149031
curveLM.35,1333.519873,667
curveLM.36,1331.442933,666
curveLM.37,1328.95178,666
curveLM.38,1326.460627,666
curveLM.39,1323.969474,666
curveLM.40,1321.478321,666
curveLM.41,1318.987168,666
curveLM.42,1316.496015,666
curveLM.43,1314.004862,666
curveLM.44,1311.513709,666
curveLM.45,1309.022556,666
curveLM.46,1306.531403,666
curveLM.47,1304.04025,666
curveLM.48,1301.549097,666
curveLM.49,1299.057944,666
curveLM.50,1296.566791,666
curveLM.51,1294.075638,666
curveLM.52,1295.001301,664
curveLM.53,1297.078241,663
curveLM.54,1299.569394,663
curveLM.55,1302.060547,663
curveLM.56,1304.5517,663
curveLM.57,1307.042853,663
curveLM.58,1309.534006,663
curveLM.59,1312.025159,663
curveLM.60,1314.516312,663
curveLM.61,1317.007465,663
curveLM.62,1319.498618,663
curveLM.63,1321.989771,663
curveLM.64,1324.480924,663
curveLM.65,1325.972077,662
curveLM.66,1328.049016,661
curveLM.67,1330.540169,661
curveLM.68,1333.031323,661
curveLM.69,1335.076553,659.9234472
curveLM.70,1335.869043,657.8690428
curveLM.71,1334.737859,656
curveLM.72,1332.246706,656
curveLM.73,1329.755553,656
curveLM.74,1327.2644,656
curveLM.75,1325.187461,655
curveLM.76,1322.696308,655
curveLM.77,1320.205155,655
curveLM.78,1317.714002,655
curveLM.79,1315.222849,655
curveLM.80,1312.81028,654.8102801
curveLM.81,1310.654756,654
curveLM.82,1308.163603,654
curveLM.83,1305.67245,654
curveLM.84,1303.595511,653
curveLM.85,1301.104358,653
curveLM.86,1298.613205,653
curveLM.87,1296.379197,652.3791968
curveLM.88,1296.675208,650.3247924
curveLM.89,1299.031827,650
curveLM.90,1301.52298,650
curveLM.91,1304.014133,650
curveLM.92,1306.505286,650
curveLM.93,1308.996439,650
curveLM.94,1311.487592,650
curveLM.95,1313.978745,650
curveLM.96,1316.469898,650
curveLM.97,1318.961051,650
curveLM.98,1321.037991,651
curveLM.99,1323.529144,651
curveLM.100,1324,648.9797032
curveLM.101,1324,646.4885501
curveLM.102,1322.411611,645
curveLM.103,1320.236648,644.2366483
curveLM.104,1317.843518,644
curveLM.105,1315.352365,644
curveLM.106,1312.861212,644
curveLM.107,1310.370059,644
curveLM.108,1308.29312,643
curveLM.109,1305.801967,643
curveLM.110,1303.725027,642
curveLM.111,1301.233874,642
curveLM.112,1299.11097,641.1109697
curveLM.113,1296.665782,641
curveLM.114,1294.174629,641
curveLM.115,1291.683476,641
curveLM.116,1289.606536,640
curveLM.117,1288,639.1153833
curveLM.118,1288.972816,637.0271839
curveLM.119,1291.452709,637
curveLM.120,1293.943862,637
curveLM.121,1296.435015,637
curveLM.122,1298.926168,637
curveLM.123,1301.417321,637
curveLM.124,1303.908474,637
curveLM.125,1305.989686,637.9896859
curveLM.126,1308.336984,637.6630165
curveLM.127,1309,635.4464939
curveLM.128,1308.261314,633.2613145
curveLM.129,1307.20691,631.20691
curveLM.130,1304.801462,631
curveLM.131,1302.310309,631
curveLM.132,1300.23337,630
curveLM.133,1297.742217,630
curveLM.134,1295.665277,629
curveLM.135,1293.174124,629
curveLM.136,1291.097185,628
curveLM.137,1289.307209,626.3072087
curveLM.138,1287.545698,624.5456975
curveLM.139,1288.71942,624
curveLM.140,1291.210573,624
curveLM.141,1293.701726,624
curveLM.142,1295.843493,623.156507
curveLM.143,1298.269819,623
curveLM.144,1300.760972,623
curveLM.145,1303.252125,623
curveLM.146,1305.743278,623
curveLM.147,1308.234431,623
curveLM.148,1310.725584,623
curveLM.149,1312.153256,621.846744
curveLM.150,1312.085233,620.0852328
curveLM.151,1309.737935,619.7379352
curveLM.152,1307.552445,619
curveLM.153,1305.061292,619
curveLM.154,1302.696042,618.6960423
curveLM.155,1300.493199,618
curveLM.156,1298.002046,618
curveLM.157,1295.510893,618
curveLM.158,1293.01974,618
curveLM.159,1290.666661,617.6666609
curveLM.160,1288.451648,617
curveLM.161,1286.264959,616.2649589
curveLM.162,1283.917661,615.9176613
curveLM.163,1281.806616,615
curveLM.164,1280,614.315463
curveLM.165,1277.875768,613.8757684
curveLM.166,1275.747371,613
curveLM.167,1273.256218,613
curveLM.168,1270.765065,613
curveLM.169,1268.273911,613
curveLM.170,1266.13928,612.1392803
curveLM.171,1263.705819,612
curveLM.172,1261.214666,612
curveLM.173,1258.723513,612
curveLM.174,1256.23236,612
curveLM.175,1253.741207,612
curveLM.176,1251.250054,612
curveLM.177,1248.758901,612
curveLM.178,1246.681962,611
curveLM.179,1244.190808,611
curveLM.180,1241.699655,611
curveLM.181,1239.208502,611
curveLM.182,1236.717349,611
curveLM.183,1234.226196,611
curveLM.184,1232.105541,610.1055406
curveLM.185,1230.051136,609.0511362
curveLM.186,1227.703839,608.7038386
curveLM.187,1225.649434,607.6494342
curveLM.188,1223.59503,606.5950298
curveLM.189,1222.649654,606
curveLM.190,1224.726593,605
curveLM.191,1226.803533,604
curveLM.192,1228.915481,603.0845189
curveLM.193,1231.371625,603
curveLM.194,1233.610076,602.3899237
curveLM.195,1235.371587,600.6284125
curveLM.196,1237.602444,600
curveLM.197,1239.679383,601
curveLM.198,1241.827694,601.8276939
curveLM.199,1243.589205,600.4107949
curveLM.200,1244,598.0897987
curveLM.201,1242.012859,597
curveLM.202,1239.93592,596
curveLM.203,1237.444767,596
curveLM.204,1234.953614,596
curveLM.205,1232.619902,596.3800977
curveLM.206,1230.565498,597.4345021
curveLM.207,1228.511094,598.4889065
curveLM.208,1226.231642,599
curveLM.209,1224.154703,600
curveLM.210,1221.762094,600.2379061
curveLM.211,1219.58661,601
curveLM.212,1217.360392,600.3603918
curveLM.213,1218.401119,598.5988806
curveLM.214,1219.644208,597
curveLM.215,1221.509928,595.4900718
curveLM.216,1223.798087,595
curveLM.217,1225.875026,594
curveLM.218,1227.366179,593
