,V1,V2
suture_start,310,527
curveLM.3,311.2031211,527
curveLM.4,312.4062422,527
curveLM.5,313.6093633,527
curveLM.6,314.8124844,527
curveLM.7,316.0156055,527
curveLM.8,317.2187266,527
curveLM.9,318.4218477,527
curveLM.10,319.6249688,527
curveLM.11,320.585548,527.585548
curveLM.12,321,528.6169975
curveLM.13,321.5799114,529.5799114
curveLM.14,322.4306465,530.4306465
curveLM.15,323,531.3979337
curveLM.16,323.4250099,532.4250099
curveLM.17,324.3899623,533
curveLM.18,325.5930834,533
curveLM.19,326.5630016,532.4369984
curveLM.20,327,531.4148879
curveLM.21,327.557365,530.442635
curveLM.22,328,529.4228593
curveLM.23,327.4482716,528.4482716
curveLM.24,327,527.4308306
curveLM.25,326.4539082,526.4539082
curveLM.26,325.6031731,525.6031731
curveLM.27,325,524.6498945
curveLM.28,324.6088097,523.6088097
curveLM.29,324,522.6578658
curveLM.30,324,521.4547447
curveLM.31,324,520.2516236
curveLM.32,324,519.0485025
curveLM.33,324.8164387,518.1835613
curveLM.34,325,517.0564738
curveLM.35,325.8108021,516.1891979
curveLM.36,326.6615371,516.6615371
curveLM.37,327.5122722,517.5122722
curveLM.38,328,518.5133699
curveLM.39,328.5066356,519.5066356
curveLM.40,329,520.5053985
curveLM.41,329.500999,521.500999
curveLM.42,330.3517341,521.6482659
curveLM.43,331,520.7136653
curveLM.44,331,519.5105442
curveLM.45,331,518.3074231
curveLM.46,331,517.104302
curveLM.47,330.2230175,516.2230175
curveLM.48,330,515.1122733
curveLM.49,329.2286541,514.2286541
curveLM.50,329,513.1202447
curveLM.51,329,511.9171236
curveLM.52,329,510.7140025
curveLM.53,329.3458591,509.6541409
curveLM.54,330,508.7219738
curveLM.55,330.4811473,508
curveLM.56,331.6842684,508
curveLM.57,332.8873895,508
curveLM.58,333.7711074,508.7711074
curveLM.59,334.6218425,509.6218425
curveLM.60,335.4725776,509.5274224
curveLM.61,336,508.5427668
curveLM.62,336.466941,507.533059
curveLM.63,337.3176761,506.6823239
curveLM.64,338.1684112,505.8315888
curveLM.65,339.0191463,504.9808537
curveLM.66,339.8698814,504.1301186
curveLM.67,340.7206165,504.7206165
curveLM.68,341.8080131,505
curveLM.69,342.7149799,505.7149799
curveLM.70,343,506.8000418
curveLM.71,343.7093433,507.7093433
curveLM.72,344.7920704,508
curveLM.73,345.7037067,507.2962933
curveLM.74,346.7840991,507
curveLM.75,347.9872202,507
curveLM.76,348.8416984,506.1583016
curveLM.77,349.6924335,506.6924335
curveLM.78,350.5431686,507.5431686
curveLM.79,351,508.5570639
curveLM.80,351,509.760185
curveLM.81,351,510.9633061
curveLM.82,351,512.1664272
curveLM.83,351,513.3695483
curveLM.84,350.5950616,514.4049384
curveLM.85,350,515.361577
curveLM.86,349.6006982,516.3993018
curveLM.87,349,517.3536056
curveLM.88,349,518.5567267
curveLM.89,348.4627064,519.5372936
curveLM.90,348,520.5487554
curveLM.91,348,521.7518765
curveLM.92,347.3247147,522.6752853
curveLM.93,347,523.7439051
