,V1,V2
suture_start,1132,525
curveLM.3,1132.445474,525.4454738
curveLM.4,1132.890948,525.8909476
curveLM.5,1133.336421,526.3364213
curveLM.6,1133.781895,526.7818951
curveLM.7,1134.321548,527
curveLM.8,1134.951543,527
curveLM.9,1135.41121,527.4112096
curveLM.10,1135.856683,527.8566834
curveLM.11,1136.427315,528
curveLM.12,1137.05731,528
curveLM.13,1137.687305,528
curveLM.14,1138.224365,528.224365
curveLM.15,1138.669839,528.6698387
curveLM.16,1139.115313,529.1153125
curveLM.17,1139.560786,529.5607863
curveLM.18,1140.008853,530
curveLM.19,1140.638848,530
curveLM.20,1141.190101,530.1901008
curveLM.21,1141.635575,530.6355746
curveLM.22,1142.11462,531
curveLM.23,1142.744615,531
curveLM.24,1143.37461,531
curveLM.25,1144.003256,531.0032561
curveLM.26,1144.44873,531.4487299
curveLM.27,1144.894204,531.8942037
curveLM.28,1145.480376,532
curveLM.29,1146,532.1103715
curveLM.30,1146,532.7403666
curveLM.31,1146,533.3703617
curveLM.32,1146.000252,534.0002522
curveLM.33,1146.445726,534.445726
curveLM.34,1146.8912,534.8911998
curveLM.35,1147.336674,535.3366736
curveLM.36,1147.782147,535.7821473
curveLM.37,1148.321905,536
curveLM.38,1148.9519,536
curveLM.39,1149.411462,536.4114619
curveLM.40,1149.856936,536.8569357
curveLM.41,1150.427672,537
curveLM.42,1151.057667,537
curveLM.43,1151.687662,537
curveLM.44,1152.317657,537
curveLM.45,1152.947652,537
curveLM.46,1153.577647,537
curveLM.47,1154.207642,537
curveLM.48,1154.837637,537
curveLM.49,1155.467632,537
curveLM.50,1156.097627,537
curveLM.51,1156.727622,537
curveLM.52,1157.252873,536.7471265
curveLM.53,1157.698347,536.3016527
curveLM.54,1158.203394,536
curveLM.55,1158.833389,536
curveLM.56,1159.463384,536
curveLM.57,1160.093379,536
curveLM.58,1160.723374,536
curveLM.59,1161.353369,536
curveLM.60,1161.983364,536
curveLM.61,1162.613359,536
curveLM.62,1163.243354,536
curveLM.63,1163.873349,536
curveLM.64,1164.355918,535.6440819
curveLM.65,1164.801392,535.1986081
curveLM.66,1165.349121,535
curveLM.67,1165.979116,535
curveLM.68,1166.430706,534.5692936
curveLM.69,1166.87618,534.1238198
curveLM.70,1167.321654,533.678346
curveLM.71,1167.767128,533.2328722
curveLM.72,1168.212602,532.7873985
curveLM.73,1168.658075,532.3419247
curveLM.74,1169.146441,532
curveLM.75,1169.776436,532
curveLM.76,1170.406431,532
curveLM.77,1171.036426,532
curveLM.78,1171.666421,532
curveLM.79,1172.296416,532
curveLM.80,1172.926411,532
curveLM.81,1173.556406,532
curveLM.82,1174.186401,532
curveLM.83,1174.816396,532
curveLM.84,1175.315646,532.3156461
curveLM.85,1175.76112,532.7611199
curveLM.86,1176.292168,533
curveLM.87,1176.922163,533
curveLM.88,1177.552158,533
curveLM.89,1178.182153,533
curveLM.90,1178.812148,533
curveLM.91,1179.442143,533
curveLM.92,1180.051009,533.0510092
curveLM.93,1180.496483,533.496483
curveLM.94,1180.941957,533.9419568
curveLM.95,1181.54791,534
curveLM.96,1182.177905,534
curveLM.97,1182.8079,534
curveLM.98,1183.437895,534
curveLM.99,1184.06789,534
curveLM.100,1184.697885,534
curveLM.101,1185.231846,534.2318461
curveLM.102,1185.67732,534.6773199
curveLM.103,1186.173656,535
curveLM.104,1186.803651,535
curveLM.105,1187.433647,535
curveLM.106,1188.063642,535
curveLM.107,1188.693637,535
curveLM.108,1189.323632,535
curveLM.109,1189.953627,535
curveLM.110,1190.583622,535
curveLM.111,1191.213617,535
curveLM.112,1191.843612,535
curveLM.113,1192.473607,535
curveLM.114,1193.073258,534.9267423
curveLM.115,1193.518731,534.4812685
curveLM.116,1193.964205,534.0357948
curveLM.117,1194.579374,534
curveLM.118,1195.148046,533.851954
curveLM.119,1195.59352,533.4064802
curveLM.120,1196.055145,533
curveLM.121,1196.68514,533
curveLM.122,1197.222834,532.7771657
curveLM.123,1197.668308,532.3316919
curveLM.124,1198.160912,532
curveLM.125,1198.790907,532
curveLM.126,1199.420902,532
curveLM.127,1200.050897,532
curveLM.128,1200.680892,532
curveLM.129,1201.21983,531.7801696
curveLM.130,1201.665304,531.3346958
curveLM.131,1202.156664,531
curveLM.132,1202.786659,531
curveLM.133,1203.416654,531
curveLM.134,1204.046649,531
curveLM.135,1204.676644,531
curveLM.136,1205.306639,531
curveLM.137,1205.936634,531
curveLM.138,1206.400667,531.4006673
curveLM.139,1206.846141,531.846141
curveLM.140,1207.412406,532
curveLM.141,1208.042401,532
curveLM.142,1208.672396,532
curveLM.143,1209.302391,532
curveLM.144,1209.932386,532
curveLM.145,1210.562381,532
curveLM.146,1211.192376,532
curveLM.147,1211.822371,532
curveLM.148,1212.452366,532
curveLM.149,1213.082361,532
curveLM.150,1213.712356,532
curveLM.151,1214.342351,532
curveLM.152,1214.972346,532
curveLM.153,1215.602341,532
curveLM.154,1216.232336,532
curveLM.155,1216.862331,532
curveLM.156,1217.492327,532
curveLM.157,1218.122322,532
curveLM.158,1218.752317,532
curveLM.159,1219.382312,532
curveLM.160,1220.012307,532
curveLM.161,1220.642302,532
curveLM.162,1221.272297,532
curveLM.163,1221.902292,532
curveLM.164,1222.532287,532
curveLM.165,1223.162282,532
curveLM.166,1223.792277,532
curveLM.167,1224.422272,532
curveLM.168,1225.052267,532
curveLM.169,1225.682262,532
curveLM.170,1226.312257,532
curveLM.171,1226.942252,532
curveLM.172,1227.572247,532
curveLM.173,1228.202242,532
curveLM.174,1228.832237,532
curveLM.175,1229.326848,531.6731522
curveLM.176,1229.772322,531.2276785
curveLM.177,1230.308009,531
curveLM.178,1230.938004,531
curveLM.179,1231.567999,531
curveLM.180,1232.197994,531
curveLM.181,1232.827989,531
curveLM.182,1233.457984,531
curveLM.183,1234.087979,531
curveLM.184,1234.717974,531
curveLM.185,1235.34797,531
curveLM.186,1235.977965,531
curveLM.187,1236.60796,531
curveLM.188,1237.237955,531
curveLM.189,1237.86795,531
curveLM.190,1238.497945,531
curveLM.191,1239.12794,531
curveLM.192,1239.757935,531
curveLM.193,1240.38793,531
curveLM.194,1241.017925,531
curveLM.195,1241.64792,531
curveLM.196,1242.277915,531
curveLM.197,1242.90791,531
curveLM.198,1243.380356,530.6196435
curveLM.199,1243.82583,530.1741698
curveLM.200,1244.383682,530
curveLM.201,1245,529.9863231
curveLM.202,1245,529.3563281
curveLM.203,1245.273667,529
curveLM.204,1245.903662,529
curveLM.205,1246.533657,529
curveLM.206,1247.11572,528.8842805
curveLM.207,1247.561193,528.4388067
curveLM.208,1248.009429,528
curveLM.209,1248.639424,528
curveLM.210,1249.190508,527.8094921
curveLM.211,1249.635982,527.3640184
curveLM.212,1250.115195,527
curveLM.213,1250.74519,527
curveLM.214,1251.375185,527
curveLM.215,1252.00518,527
curveLM.216,1252.635176,527
curveLM.217,1253.265171,527
curveLM.218,1253.895166,527
curveLM.219,1254.525161,527
curveLM.220,1255.155156,527
curveLM.221,1255.785151,527
curveLM.222,1256.415146,527
curveLM.223,1257.031919,526.9680805
curveLM.224,1257.477393,526.5226068
curveLM.225,1257.922867,526.077133
curveLM.226,1258.520913,526
curveLM.227,1259.150908,526
curveLM.228,1259.780903,526
curveLM.229,1260.290549,525.7094514
curveLM.230,1260.736022,525.2639777
curveLM.231,1261.256674,525
curveLM.232,1261.886669,525
curveLM.233,1262.516664,525
curveLM.234,1263.146659,525
curveLM.235,1263.776654,525
curveLM.236,1264,524.5933505
curveLM.237,1264.036645,524
curveLM.238,1264.66664,524
curveLM.239,1265.296635,524
curveLM.240,1265.92663,524
curveLM.241,1266,523.4433752
curveLM.242,1266.18662,523
curveLM.243,1266.816615,523
curveLM.244,1267.315801,522.6841991
curveLM.245,1267.761275,522.2387253
curveLM.246,1268.292387,522
curveLM.247,1268.922382,522
curveLM.248,1269.390589,522.3905893
curveLM.249,1269.836063,522.836063
curveLM.250,1270.398153,523
curveLM.251,1271.028148,523
curveLM.252,1271.658143,523
curveLM.253,1272.203745,523.2037446
curveLM.254,1272.649218,523.6492183
curveLM.255,1273.133915,524
curveLM.256,1273.76391,524
curveLM.257,1274.393905,524
curveLM.258,1275.0169,524.0168999
curveLM.259,1275.462374,524.4623737
curveLM.260,1275.907847,524.9078474
curveLM.261,1276.499672,525
curveLM.262,1277.129667,525
curveLM.263,1277.759662,525
curveLM.264,1278.389657,525
curveLM.265,1279.019652,525
curveLM.266,1279.649647,525
curveLM.267,1280.279642,525
curveLM.268,1280.909637,525
curveLM.269,1281.539632,525
curveLM.270,1282.169627,525
curveLM.271,1282.799622,525
curveLM.272,1283.429617,525
curveLM.273,1284.042152,525.0421523
curveLM.274,1284.487626,525.487626
curveLM.275,1284.9331,525.9330998
curveLM.276,1285.535384,526
curveLM.277,1286.165379,526
curveLM.278,1286.795374,526
curveLM.279,1287.425369,526
curveLM.280,1288.055364,526
curveLM.281,1288.685359,526
curveLM.282,1289.315354,526
curveLM.283,1289.945349,526
curveLM.284,1290.575344,526
curveLM.285,1291.205339,526
curveLM.286,1291.835334,526
curveLM.287,1292.46533,526
curveLM.288,1293.067405,525.9325954
curveLM.289,1293.512878,525.4871216
curveLM.290,1293.958352,525.0416478
curveLM.291,1294.571096,525
curveLM.292,1295.201091,525
curveLM.293,1295.831086,525
curveLM.294,1296.461081,525
curveLM.295,1297.091076,525
curveLM.296,1297.721071,525
curveLM.297,1298.248242,524.7517585
curveLM.298,1298.693715,524.3062847
curveLM.299,1299.196843,524
curveLM.300,1299.826838,524
curveLM.301,1300.456833,524
curveLM.302,1301.086828,524
curveLM.303,1301.716823,524
curveLM.304,1302.346818,524
curveLM.305,1302.976813,524
curveLM.306,1303.606808,524
curveLM.307,1304.236803,524
curveLM.308,1304.866799,524
curveLM.309,1305.496794,524
curveLM.310,1306.126789,524
curveLM.311,1306.756784,524
curveLM.312,1307.386779,524
curveLM.313,1308.011861,524.0118609
curveLM.314,1308.457335,524.4573347
curveLM.315,1308.902808,524.9028084
curveLM.316,1309.492545,525
