,V1,V2
suture_start,1204,234
curveLM.3,1204.997177,234.9971773
curveLM.4,1205.994355,235.9943545
curveLM.5,1206.991532,236.9915318
curveLM.6,1207.988709,237.988709
curveLM.7,1208.985886,238.9858863
curveLM.8,1209.983064,239.9830635
curveLM.9,1210.273134,241.273134
curveLM.10,1211,242.3822778
curveLM.11,1211,243.7924994
curveLM.12,1211.850452,244.8504522
curveLM.13,1212,246.1987291
curveLM.14,1212,247.6089507
curveLM.15,1213,248.0191723
curveLM.16,1213,249.4293939
curveLM.17,1213.593698,250.5936978
curveLM.18,1214.590875,251.590875
curveLM.19,1215,252.8316315
curveLM.20,1215.878123,253.8781228
curveLM.21,1217.168193,254.1681932
curveLM.22,1218,255.2338692
curveLM.23,1218.455441,256.455441
curveLM.24,1219,257.6400988
curveLM.25,1219,259.0503204
curveLM.26,1219.325652,260.3256524
curveLM.27,1220,261.45655
curveLM.28,1220,262.8667716
curveLM.29,1220.195864,264.1958638
curveLM.30,1221,265.2730013
curveLM.31,1221,266.6832229
curveLM.32,1221.773182,267.773182
curveLM.33,1222.063252,269.0632525
curveLM.34,1223.06043,270.0604297
curveLM.35,1224,271.0814686
curveLM.36,1224.347677,272.3476775
curveLM.37,1225.344855,273.3448547
curveLM.38,1226,274.4837062
curveLM.39,1226.632102,275.6321024
curveLM.40,1227.62928,276.6292797
curveLM.41,1228,277.8859439
curveLM.42,1228,279.2961655
curveLM.43,1228,280.7063871
curveLM.44,1228.082455,282.0824548
curveLM.45,1229,283.1126167
curveLM.46,1229,284.5228383
curveLM.47,1229,285.9330599
curveLM.48,1229.949843,286.9498435
curveLM.49,1230,288.3392896
curveLM.50,1230.529984,289.5299844
curveLM.51,1231.527162,290.5271617
curveLM.52,1232,291.7415272
curveLM.53,1232.814409,292.8144094
curveLM.54,1233,294.1477569
curveLM.55,1233.557978,295
curveLM.56,1234,295.9682
curveLM.57,1234.974691,296.9746913
curveLM.58,1235.37443,298
curveLM.59,1236,298.7846513
curveLM.60,1236.844903,299.8449027
curveLM.61,1237,301.1908809
curveLM.62,1237.425044,302.4250437
curveLM.63,1238,303.5971105
curveLM.64,1238,305.0073321
curveLM.65,1238,306.4175537
curveLM.66,1238,307.8277753
curveLM.67,1238,309.2379969
curveLM.68,1238,310.6482185
curveLM.69,1238,312.0584401
curveLM.70,1238,313.4686617
curveLM.71,1238.621464,314.6214644
curveLM.72,1239,315.8748913
curveLM.73,1239.908712,316.9087121
curveLM.74,1240.905889,317.9058893
curveLM.75,1241.19596,319.1959598
curveLM.76,1242,320.273137
curveLM.77,1242.483208,321.4832075
curveLM.78,1243.480385,322.4803848
curveLM.79,1244.477562,323.477562
curveLM.80,1245,324.6713828
curveLM.81,1245.76481,325.7648098
curveLM.82,1246.05488,327.0548802
curveLM.83,1247,328.0736204
curveLM.84,1247.342128,329.342128
curveLM.85,1248,330.47985
curveLM.86,1248,331.8900716
curveLM.87,1248.919446,332.9194462
curveLM.88,1249,334.2963013
curveLM.89,1249.499587,335.4995871
curveLM.90,1250,336.7025309
curveLM.91,1250,338.1127525
curveLM.92,1250.369799,339.3697985
curveLM.93,1251,340.5189821
curveLM.94,1251.657046,341.6570463
curveLM.95,1252,342.9252118
curveLM.96,1252.335433,344
curveLM.97,1253,344.745655
curveLM.98,1253.110221,346.1102214
curveLM.99,1254,347.1518846
curveLM.100,1254,348.5621062
curveLM.101,1254,349.9723278
curveLM.102,1254.97761,350.97761
curveLM.103,1255,352.3785574
curveLM.104,1255,353.788779
curveLM.105,1255,355.1990006
curveLM.106,1255.430785,356.4307852
curveLM.107,1256,357.6052302
curveLM.108,1256.010926,359.0109261
curveLM.109,1257,360.0114599
curveLM.110,1257.298174,361.2981738
curveLM.111,1258,362.4176895
curveLM.112,1258,363.8279111
curveLM.113,1258.168385,365.1683852
curveLM.114,1259,366.2341407
curveLM.115,1259,367.6443623
curveLM.116,1259,369.0545839
curveLM.117,1259,370.4648055
curveLM.118,1259,371.8750271
curveLM.119,1259,373.2852487
curveLM.120,1259,374.6954703
curveLM.121,1259,376.1056919
curveLM.122,1259.364806,377.3648059
curveLM.123,1260,378.5119215
curveLM.124,1260,379.9221431
curveLM.125,1260,381.3323647
curveLM.126,1260,382.7425863
curveLM.127,1260,384.1528079
curveLM.128,1259.601878,385.398122
curveLM.129,1259,386.5590376
curveLM.130,1259,387.9692592
curveLM.131,1259,389.3794808
curveLM.132,1259,390.7897024
curveLM.133,1259,392.1999239
curveLM.134,1259,393.6101455
curveLM.135,1259,395.0203671
curveLM.136,1259,396.4305887
curveLM.137,1259,397.8408103
curveLM.138,1259,399.2510319
curveLM.139,1259,400.6612535
curveLM.140,1259,402.0714751
curveLM.141,1259,403.4816967
curveLM.142,1259,404.8919183
curveLM.143,1259,406.3021399
curveLM.144,1259,407.7123615
curveLM.145,1259,409.1225831
curveLM.146,1258.62325,410.3767498
curveLM.147,1258,411.5288127
curveLM.148,1258,412.9390343
curveLM.149,1257.045932,413.954068
curveLM.150,1257,415.345264
curveLM.151,1257,416.7554856
curveLM.152,1257,418.1657072
curveLM.153,1257,419.5759288
curveLM.154,1257.697314,420.6973136
curveLM.155,1258,421.9821584
curveLM.156,1258,423.39238
curveLM.157,1258,424.8026016
curveLM.158,1258,426.2128232
curveLM.159,1258,427.6230448
curveLM.160,1258,429.0332664
curveLM.161,1258,430.443488
curveLM.162,1258,431.8537096
curveLM.163,1258,433.2639312
curveLM.164,1258.476698,434.476698
curveLM.165,1259,435.6701608
curveLM.166,1259.763946,436.7639457
curveLM.167,1260,438.0763904
curveLM.168,1260.486612,439
curveLM.169,1261,439.8968336
curveLM.170,1261,441.3070552
curveLM.171,1261.507191,442.5071913
curveLM.172,1262,443.7132849
curveLM.173,1261.205561,444.794439
curveLM.174,1260.208384,445.7916163
curveLM.175,1260,447.1155225
curveLM.176,1259.628243,448.3717572
curveLM.177,1259,449.5217522
curveLM.178,1259,450.9319737
curveLM.179,1258.050925,451.9490754
curveLM.180,1258,453.3382034
curveLM.181,1258,454.748425
curveLM.182,1259,455.1586466
curveLM.183,1259,456.5688682
curveLM.184,1259.692321,457.692321
curveLM.185,1260,458.9750978
curveLM.186,1260.979569,459.9795687
curveLM.187,1261,461.3813274
curveLM.188,1261.55971,462.5597097
curveLM.189,1262,463.7875571
curveLM.190,1262.139851,465.1398506
curveLM.191,1263,466.1937867
curveLM.192,1263,467.6040083
curveLM.193,1262.989938,469.0100621
curveLM.194,1262,470.0102379
curveLM.195,1262,471.4204595
curveLM.196,1261.41262,472.5873803
curveLM.197,1261,473.8266892
curveLM.198,1261,475.2369108
curveLM.199,1260.542408,476.4575917
curveLM.200,1260,477.6431404
curveLM.201,1260,479.053362
curveLM.202,1260,480.4635836
curveLM.203,1260,481.8738052
curveLM.204,1260,483.2840268
curveLM.205,1260,484.6942484
curveLM.206,1260,486.10447
curveLM.207,1260,487.5146916
curveLM.208,1260,488.9249132
curveLM.209,1260,490.3351348
curveLM.210,1260,491.7453564
curveLM.211,1260,493.1555779
curveLM.212,1260,494.5657995
curveLM.213,1260,495.9760211
curveLM.214,1260,497.3862427
curveLM.215,1259.436815,498.5631853
curveLM.216,1259,499.7924724
curveLM.217,1258.149567,500.8504331
curveLM.218,1257.15239,501.8476103
curveLM.219,1256.862319,503.1376808
curveLM.220,1256,504.1907181
curveLM.221,1255.575071,505.4249285
curveLM.222,1255,506.5969477
curveLM.223,1254.287824,507.7121762
curveLM.224,1254,509.0031773
curveLM.225,1253.707683,510.2923172
curveLM.226,1253,511.409407
curveLM.227,1253,512.8196286
curveLM.228,1253,514.2298502
curveLM.229,1253,515.6400718
curveLM.230,1253,517.0502934
curveLM.231,1253,518.4605149
curveLM.232,1253,519.8707365
curveLM.233,1253,521.2809581
curveLM.234,1253.488738,522.4887379
curveLM.235,1254,523.6871878
curveLM.236,1254,525.0974094
curveLM.237,1254.358949,526.3589493
curveLM.238,1255,527.503639
curveLM.239,1255,528.9138606
curveLM.240,1255,530.3240822
curveLM.241,1255,531.7343038
curveLM.242,1255.809302,532.8093017
curveLM.243,1256,534.1405334
curveLM.244,1256,535.550755
curveLM.245,1256,536.9609766
curveLM.246,1256,538.3711982
curveLM.247,1256,539.7814198
curveLM.248,1255.157382,540.8426177
curveLM.249,1254.867312,542.1326882
curveLM.250,1254,543.1836575
curveLM.251,1254,544.5938791
curveLM.252,1254.710006,545.7100064
curveLM.253,1255,547.0001087
curveLM.254,1254.709853,548.2901473
curveLM.255,1253.593662,549
curveLM.256,1252.422605,549.5773951
curveLM.257,1251.425428,550.5745723
curveLM.258,1251,551.808576
curveLM.259,1250.13818,552.86182
curveLM.260,1250,554.2148056
curveLM.261,1250.441961,555.441961
curveLM.262,1251,556.6210353
