,V1,V2
suture_start,879,709
curveLM.3,879.7437271,709
curveLM.4,880.4874543,709
curveLM.5,881.2311814,709
curveLM.6,881.9749085,709
curveLM.7,882.7186357,709
curveLM.8,883.3269399,709.3269399
curveLM.9,883.8528344,709.8528344
curveLM.10,884.5356035,710
curveLM.11,885.2793307,710
curveLM.12,886.0163043,710.0163043
curveLM.13,886.5421988,710.5421988
curveLM.14,887.0680933,711.0680933
curveLM.15,887.5939878,711.5939878
curveLM.16,888.1695392,712
curveLM.17,888.9132664,712
curveLM.18,889.4645646,712.4645646
curveLM.19,889.9904591,712.9904591
curveLM.20,890.5163536,713.5163536
curveLM.21,891.0422481,714.0422481
curveLM.22,891.5681426,714.5681426
curveLM.23,892.1329885,715
curveLM.24,892.8767156,715
curveLM.25,893.4387193,715.4387193
curveLM.26,893.9646138,715.9646138
curveLM.27,894.6936835,716
curveLM.28,895,716.4374106
curveLM.29,895.1811377,717
curveLM.30,895.9248649,717
curveLM.31,896.668592,717
curveLM.32,897.2915537,717.2915537
curveLM.33,897.8174482,717.8174482
curveLM.34,898.4855599,718
curveLM.35,899.1621304,718.1621304
curveLM.36,899.6880249,718.6880249
curveLM.37,900.3025277,719
curveLM.38,901.0327071,719.0327071
curveLM.39,901.5586016,719.5586016
curveLM.40,902.1194956,720
curveLM.41,902.8632227,720
curveLM.42,903,720.6069498
curveLM.43,903.2479661,721.2479661
curveLM.44,903.7738606,721.7738606
curveLM.45,904.4239177,722
curveLM.46,905.1185428,722.1185428
curveLM.47,905.6444373,722.6444373
curveLM.48,906.1703318,723.1703318
curveLM.49,906.6962263,723.6962263
curveLM.50,907.2221208,724.2221208
curveLM.51,907.7480153,724.7480153
curveLM.52,908.3873669,725
curveLM.53,909,725.1310941
curveLM.54,909,725.8748212
curveLM.55,909.6185484,726
curveLM.56,910.2561675,726.2561675
curveLM.57,910.782062,726.782062
curveLM.58,911.4355162,727
curveLM.59,912.1792433,727
curveLM.60,912.9229705,727
curveLM.61,913.4714264,727.4714264
curveLM.62,913.9973209,727.9973209
curveLM.63,914.7399383,728
curveLM.64,915.4836655,728
curveLM.65,916.1607908,728.1607908
curveLM.66,916.6866853,728.6866853
curveLM.67,917.3006333,729
curveLM.68,918.0313676,729.0313676
curveLM.69,918.5572621,729.5572621
curveLM.70,919.1176012,730
curveLM.71,919.8613283,730
curveLM.72,920.4278388,730.4278388
curveLM.73,920.9537333,730.9537333
curveLM.74,921.4796278,731.4796278
curveLM.75,922.0055223,732.0055223
curveLM.76,922.5314168,732.5314168
curveLM.77,923.0573113,733.0573113
curveLM.78,923.5832058,733.5832058
curveLM.79,924.1091003,734.1091003
curveLM.80,924.6349948,734.6349948
curveLM.81,925,735.2275318
curveLM.82,925,735.971259
curveLM.83,925.5055715,736.5055715
curveLM.84,926.031466,737.031466
curveLM.85,926.5573605,737.5573605
curveLM.86,927.083255,738.083255
curveLM.87,927.6091495,738.6091495
curveLM.88,928,739.1909811
curveLM.89,928,739.9347082
curveLM.90,928.4797263,740.4797263
curveLM.91,929.0056208,741.0056208
curveLM.92,929.5315153,741.5315153
curveLM.93,930.0574098,742.0574098
curveLM.94,930.5833043,742.5833043
curveLM.95,931,743.1544304
curveLM.96,931,743.8981575
curveLM.97,931.453881,744.453881
curveLM.98,931.9797755,744.9797755
curveLM.99,932.50567,745.50567
curveLM.100,933.0315645,746.0315645
curveLM.101,933.557459,746.557459
curveLM.102,934.1178796,747
curveLM.103,934.8616068,747
curveLM.104,935.4280357,747.4280357
curveLM.105,935.9539302,747.9539302
curveLM.106,936.6785746,748
curveLM.107,937.2986124,748.2986124
curveLM.108,937.8245069,748.8245069
