,V1,V2
suture_start,678,836
curveLM.3,679.7996767,836
curveLM.4,681.5993534,836
curveLM.5,683.3990301,836
curveLM.6,685.1987068,836
curveLM.7,686.9983835,836
curveLM.8,688.3838466,837
curveLM.9,690.1835233,837
curveLM.10,691.9832,837
curveLM.11,693.7828767,837
curveLM.12,695.1683398,838
curveLM.13,696.9680165,838
curveLM.14,698.5428411,838.5428411
curveLM.15,700.1531564,839
curveLM.16,701.9528331,839
curveLM.17,703.3382962,838
curveLM.18,705.1379729,838
curveLM.19,706.9376496,838
curveLM.20,708.5213684,837.4786316
curveLM.21,710.1227894,837
curveLM.22,711.9224661,837
curveLM.23,713.7221428,837
curveLM.24,715.5218195,837
curveLM.25,717.3214962,837
curveLM.26,719.0856822,836.9143178
curveLM.27,720.5066361,836
curveLM.28,722.3063128,836
curveLM.29,724.0749459,835.9250541
curveLM.30,725.4914526,835
curveLM.31,727.2911293,835
curveLM.32,729.090806,835
curveLM.33,730.6296663,835.6296663
curveLM.34,732.2759458,836
curveLM.35,733.76058,836.76058
curveLM.36,735.3260368,837.3260368
curveLM.37,736.8465488,838
curveLM.38,738.4569504,838.4569504
curveLM.39,740.0316886,839
curveLM.40,741.8313653,839
curveLM.41,742.631042,840
curveLM.42,744.4307187,840
curveLM.43,746.2303954,840
curveLM.44,748.0300721,840
curveLM.45,749.8297488,840
curveLM.46,751.6294255,840
curveLM.47,753.0148886,839
curveLM.48,754.8145653,839
curveLM.49,756,838.385758
curveLM.50,757.4139187,838
curveLM.51,759.2135954,838
curveLM.52,761.0132721,838
curveLM.53,762.5748416,838.5748416
curveLM.54,764.198412,839
curveLM.55,765.9980886,839
curveLM.56,767.3835518,840
curveLM.57,769.1832285,840
curveLM.58,770.9829052,840
curveLM.59,772.3683683,841
curveLM.60,774.168045,841
curveLM.61,775.9677217,841
curveLM.62,777.7673984,841
curveLM.63,778.5670751,840
curveLM.64,780.3667518,840
curveLM.65,782.1664285,840
curveLM.66,783.9661052,840
curveLM.67,785.7657819,840
curveLM.68,787.5654586,840
curveLM.69,789.3651353,840
curveLM.70,791.164812,840
curveLM.71,792.9644887,840
curveLM.72,794.5403465,839.4596535
curveLM.73,796.1496285,839
curveLM.74,797.9493052,839
curveLM.75,799.3347683,838
curveLM.76,800.8021738,837.1978262
curveLM.77,802.5199082,837
curveLM.78,803.9330874,836.0669126
curveLM.79,805.705048,836
curveLM.80,807.3568943,835.6431057
curveLM.81,808.8901878,835
curveLM.82,810.4878079,834.5121921
curveLM.83,812.0753277,834
curveLM.84,813,833.1249956
curveLM.85,814.4770716,832.5229284
curveLM.86,816,831.9398558
curveLM.87,816.8598209,831
curveLM.88,818.6594976,831
curveLM.89,820.0449607,830
curveLM.90,821.8446374,830
curveLM.91,823.6443141,830
curveLM.92,825.4439908,830
curveLM.93,827.2436675,830
curveLM.94,829.0433442,830
curveLM.95,830.8430209,830
curveLM.96,832.6426976,830
curveLM.97,834.3128059,829.6871941
curveLM.98,835.8278374,829
curveLM.99,837.6275141,829
curveLM.100,839.3020695,828.6979305
curveLM.101,840.812654,828
curveLM.102,842.4329832,827.5670168
curveLM.103,843.9977938,827
curveLM.104,845.7974705,827
curveLM.105,847.1829336,826
curveLM.106,848.9826103,826
curveLM.107,850.3680735,825
curveLM.108,852,824.8322498
curveLM.109,852.9674269,824
curveLM.110,854.35289,823
curveLM.111,856.1078809,822.8921191
curveLM.112,857.5380298,822
curveLM.113,858.9459014,821.0540986
curveLM.114,860.7231697,821
curveLM.115,862.5228464,821
curveLM.116,864.3225231,821
curveLM.117,866.1221998,821
curveLM.118,867.6518651,820.3481349
curveLM.119,869.3073396,820
curveLM.120,871.0756719,819.9243281
curveLM.121,872.4924794,819
curveLM.122,874.2921561,819
curveLM.123,875.7720424,818.2279576
curveLM.124,877.3374992,817.6625008
curveLM.125,878.6100628,816.3899372
curveLM.126,879.8826264,815.1173736
curveLM.127,881.15519,813.84481
curveLM.128,882.4277536,812.5722464
curveLM.129,883,811.0096019
curveLM.130,884,809.6241388
curveLM.131,885.124124,809.124124
curveLM.132,886.561001,810
curveLM.133,888.2550377,810.2550377
curveLM.134,889.7461409,811
curveLM.135,891.3859513,811.3859513
curveLM.136,892.9312807,812
curveLM.137,894.5168649,812.5168649
curveLM.138,896.1164205,813
curveLM.139,897.9160972,813
curveLM.140,899.3015604,812
curveLM.141,901.1012371,812
curveLM.142,902.9009138,812
curveLM.143,904.7005905,812
curveLM.144,906.0860536,811
curveLM.145,907.8857303,811
curveLM.146,909.685407,811
curveLM.147,911.4850837,811
curveLM.148,913.2847604,811
curveLM.149,915.059706,810.940294
curveLM.150,916.4699002,810
curveLM.151,918.1906197,809.8093803
curveLM.152,919.65504,809
