,V1,V2
suture_start,569,939
curveLM.3,568.5106622,936.5106622
curveLM.4,568,934.0301571
curveLM.5,568,931.3381289
curveLM.6,568,928.6461007
curveLM.7,568,925.9540725
curveLM.8,568,923.2620443
curveLM.9,568,920.5700161
curveLM.10,568,917.8779879
curveLM.11,569,915.6001732
curveLM.12,570.4791648,913.5208352
curveLM.13,572.3827162,911.6172838
curveLM.14,574.5791609,910.4208391
curveLM.15,575,907.9031282
curveLM.16,575,905.2111
curveLM.17,575,902.5190718
curveLM.18,576,900.2412571
curveLM.19,577.0258501,897.9741499
curveLM.20,578.9294015,896.0705985
curveLM.21,579.4187393,893.5812607
curveLM.22,581.3222907,891.6777093
curveLM.23,583,889.680611
curveLM.24,584.4222867,887.5777133
curveLM.25,585.6187313,885.3812687
curveLM.26,587.5222828,883.4777172
curveLM.27,589,881.3977796
curveLM.28,590,879.7057514
curveLM.29,590,877.0137231
curveLM.30,591,874.7359085
curveLM.31,592,872.4580939
curveLM.32,593.5796301,870.4203699
curveLM.33,594.068968,867.931032
curveLM.34,595.2654126,865.7345874
curveLM.35,596.6531647,864
curveLM.36,597,861.6548071
curveLM.37,598,859.3769924
curveLM.38,599,857.0991778
curveLM.39,600.1263154,854.8736846
curveLM.40,601.32276,852.67724
curveLM.41,602,850.2657338
curveLM.42,603,847.9879192
curveLM.43,603.4978803,845.5021197
curveLM.44,605.5677101,844
curveLM.45,607,842.1544752
curveLM.46,608.0872141,839.9127859
curveLM.47,609.2836588,837.7163412
curveLM.48,610.6789687,836
curveLM.49,611.2623344,833.7376656
curveLM.50,612.6488116,832
curveLM.51,613.9481169,830.0518831
curveLM.52,615,827.7955591
curveLM.53,616,825.5177445
curveLM.54,617,823.2399298
curveLM.55,618.7338954,821.2661046
curveLM.56,619.93034,822.93034
curveLM.57,621.1267846,825.1267846
curveLM.58,623.030336,826.969664
curveLM.59,625.2267807,825.7732193
curveLM.60,627.1303321,823.8696679
curveLM.61,629.0338835,821.9661165
curveLM.62,630.9374349,820.0625651
curveLM.63,632,817.8106658
curveLM.64,631.3767827,815.3767827
curveLM.65,630,813.840823
curveLM.66,630,811.1487948
curveLM.67,631.0912308,808.9087692
curveLM.68,632.2876755,806.7123245
curveLM.69,634.2704356,805
curveLM.70,636.9624638,805
curveLM.71,639.1699025,803.8300975
curveLM.72,641,802.4819069
curveLM.73,642.1485782,800.8514218
curveLM.74,644.487936,800
curveLM.75,647.1799642,800
curveLM.76,649.8719924,800
curveLM.77,652.1498071,799
curveLM.78,654.8418353,799
curveLM.79,657,797.8803501
curveLM.80,657.7189501,795.7189501
curveLM.81,657.4774945,793.5225055
curveLM.82,659.3810459,791.6189541
curveLM.83,661.5774905,790.4225095
curveLM.84,663.680296,789
curveLM.85,664,786.6276758
curveLM.86,664.045504,783.954496
curveLM.87,665.2419487,781.7580513
curveLM.88,667,779.7942318
curveLM.89,666.3651621,777.3651621
curveLM.90,666.8312825,775.1687175
curveLM.91,668.3206204,773.6793796
curveLM.92,670,772.2687597
curveLM.93,671,769.990945
curveLM.94,672.2028475,767.7971525
curveLM.95,674.1504707,766
curveLM.96,676.4282854,765
curveLM.97,678.4992881,763.5007119
curveLM.98,679.6957327,761.3042673
curveLM.99,681.5992841,759.4007159
curveLM.100,683.5028355,757.4971645
curveLM.101,685.5747179,756
curveLM.102,687.8525325,755
curveLM.103,689.7992762,753.2007238
curveLM.104,691.7028276,751.2971724
curveLM.105,693.606379,749.393621
