,V1,V2
suture_start,694,535
curveLM.3,694.7065401,535
curveLM.4,695.4130801,535
curveLM.5,696.1196202,535
curveLM.6,696.8261603,535
curveLM.7,697.5327003,535
curveLM.8,698.1691685,535.1691685
curveLM.9,698.6687678,535.6687678
curveLM.10,699.2381069,536
curveLM.11,699.944647,536
curveLM.12,700.6511871,536
curveLM.13,701.3577271,536
curveLM.14,702.0454438,536.0454438
curveLM.15,702.545043,536.545043
curveLM.16,703.0446423,537.0446423
curveLM.17,703.5442416,537.5442416
curveLM.18,704.0620003,538
curveLM.19,704.7685404,538
curveLM.20,705.3359326,538.3359326
curveLM.21,705.8355319,538.8355319
curveLM.22,706.3351312,539.3351312
curveLM.23,706.8347304,539.8347304
curveLM.24,707.3343297,540.3343297
curveLM.25,707.833929,540.833929
curveLM.26,708.3335282,541.3335282
curveLM.27,708.8331275,541.8331275
curveLM.28,709.4705467,542
curveLM.29,710.1252193,542.1252193
curveLM.30,710.6248185,542.6248185
curveLM.31,711.1244178,543.1244178
curveLM.32,711.6240171,543.6240171
curveLM.33,712,544.1748199
curveLM.34,712,544.88136
curveLM.35,712.4157081,545.4157081
curveLM.36,712.9153074,545.9153074
curveLM.37,713.4149066,546.4149066
curveLM.38,713.9145059,546.9145059
curveLM.39,714.4141052,547.4141052
curveLM.40,714.9137045,547.9137045
curveLM.41,715,548.5844997
curveLM.42,715.2057962,549.2057962
curveLM.43,715.7053955,549.7053955
curveLM.44,716.2899064,550
curveLM.45,716.9964464,550
curveLM.46,717,550.7029865
curveLM.47,717.289579,551.289579
curveLM.48,717.7891783,551.7891783
curveLM.49,718.2887775,552.2887775
curveLM.50,718.7883768,552.7883768
curveLM.51,719.2879761,553.2879761
curveLM.52,719.7875754,553.7875754
curveLM.53,720.2871746,554.2871746
curveLM.54,720.7867739,554.7867739
curveLM.55,721.2863732,555.2863732
curveLM.56,721.7859724,555.7859724
curveLM.57,722,556.4038594
curveLM.58,722.1103995,557
curveLM.59,722.8169395,557
curveLM.60,723.370156,557.370156
curveLM.61,723.8697552,557.8697552
curveLM.62,724.3693545,558.3693545
curveLM.63,724.8689538,558.8689538
curveLM.64,725,559.5212127
curveLM.65,725.1610455,560.1610455
curveLM.66,725.6606448,560.6606448
curveLM.67,726.1602441,561.1602441
curveLM.68,726.6598433,561.6598433
curveLM.69,727.2254859,562
curveLM.70,727.932026,562
curveLM.71,728,562.638566
curveLM.72,728.3451061,563
curveLM.73,729.0516462,563
curveLM.74,729.7581862,563
curveLM.75,730.3286111,563.3286111
curveLM.76,730.8282104,563.8282104
curveLM.77,731.4635929,564
curveLM.78,732.1701329,564
curveLM.79,732.876673,564
curveLM.80,733.4123939,564.4123939
curveLM.81,733.9119932,564.9119932
curveLM.82,734.5820796,565
curveLM.83,735.2886197,565
curveLM.84,735.9951597,565
curveLM.85,736.4961767,565.4961767
curveLM.86,736.995776,565.995776
curveLM.87,737.4953752,566.4953752
curveLM.88,737.9949745,566.9949745
curveLM.89,738.4945738,567.4945738
curveLM.90,738.994173,567.994173
curveLM.91,739,568.6982995
curveLM.92,739.2862648,569.2862648
curveLM.93,739.7858641,569.7858641
curveLM.94,740.2854633,570.2854633
curveLM.95,740.7850626,570.7850626
curveLM.96,741,571.4025727
curveLM.97,741.0771544,572.0771544
curveLM.98,741.5767536,572.5767536
curveLM.99,742.0763529,573.0763529
curveLM.100,742.5759522,573.5759522
curveLM.101,743.1068459,574
curveLM.102,743.813386,574
curveLM.103,744.519926,574
curveLM.104,745.2264661,574
curveLM.105,745.9330061,574
curveLM.106,746.6395462,574
curveLM.107,747.2447199,574.2447199
curveLM.108,747.7443192,574.7443192
curveLM.109,748.3449528,575
curveLM.110,749.0514929,575
curveLM.111,749.758033,575
curveLM.112,750.464573,575
curveLM.113,751.1209952,575.1209952
curveLM.114,751.6205945,575.6205945
curveLM.115,752.1699797,576
curveLM.116,752.8765197,576
curveLM.117,753.4122855,576.4122855
curveLM.118,753.9118848,576.9118848
curveLM.119,754.5819263,577
curveLM.120,755.2039766,577.2039766
curveLM.121,755.7035758,577.7035758
curveLM.122,756.287333,578
curveLM.123,756.993873,578
curveLM.124,757,578.7004131
curveLM.125,757.4069532,579
curveLM.126,758.1134932,579
curveLM.127,758.8200333,579
curveLM.128,759.3723436,579.3723436
curveLM.129,759.8719429,579.8719429
curveLM.130,760.5254399,580
curveLM.131,761.1640346,580.1640346
curveLM.132,761.6636339,580.6636339
curveLM.133,762.2308466,581
curveLM.134,762.9373866,581
curveLM.135,763.4553249,581.4553249
curveLM.136,763.9549242,581.9549242
curveLM.137,764.6427932,582
curveLM.138,765.247016,582.247016
curveLM.139,765.7466152,582.7466152
curveLM.140,766.3481999,583
curveLM.141,767.0547399,583
curveLM.142,767.76128,583
curveLM.143,768,583.4678201
curveLM.144,768.1743601,584
curveLM.145,768.8809002,584
curveLM.146,769.415383,584.415383
curveLM.147,769.9149823,584.9149823
curveLM.148,770.5863068,585
curveLM.149,771,585.2928469
curveLM.150,771,585.999387
curveLM.151,771.705927,586
curveLM.152,772.4124671,586
curveLM.153,773.0841508,586.0841508
curveLM.154,773.58375,586.58375
curveLM.155,774.1178737,587
curveLM.156,774.8244138,587
curveLM.157,775.3754411,587.3754411
curveLM.158,775.8750403,587.8750403
