,V1,V2
suture_start,1059,420
curveLM.3,1059,420.7128471
curveLM.4,1059,421.4256941
curveLM.5,1059,422.1385412
curveLM.6,1059,422.8513882
curveLM.7,1058.601025,423.3989746
curveLM.8,1058.096966,423.9030336
curveLM.9,1058,424.5757158
curveLM.10,1058,425.2885628
curveLM.11,1058,426.0014099
curveLM.12,1058,426.7142569
curveLM.13,1058,427.427104
curveLM.14,1058,428.139951
curveLM.15,1058,428.8527981
curveLM.16,1058,429.5656451
curveLM.17,1058,430.2784922
curveLM.18,1058,430.9913392
curveLM.19,1058,431.7041863
curveLM.20,1058,432.4170333
curveLM.21,1058,433.1298804
curveLM.22,1058,433.8427274
curveLM.23,1058,434.5555745
curveLM.24,1058,435.2684215
curveLM.25,1058,435.9812686
curveLM.26,1058,436.6941156
curveLM.27,1058,437.4069627
curveLM.28,1058,438.1198097
curveLM.29,1058,438.8326568
curveLM.30,1058,439.5455038
curveLM.31,1058,440.2583509
curveLM.32,1058,440.9711979
curveLM.33,1058,441.684045
curveLM.34,1058,442.396892
curveLM.35,1058,443.1097391
curveLM.36,1058,443.8225861
curveLM.37,1058,444.5354332
curveLM.38,1058,445.2482802
curveLM.39,1058,445.9611273
curveLM.40,1058,446.6739744
curveLM.41,1058,447.3868214
curveLM.42,1057.929524,448.0704762
curveLM.43,1057.425465,448.5745352
curveLM.44,1057,449.111149
curveLM.45,1057,449.823996
curveLM.46,1057,450.5368431
curveLM.47,1057,451.2496901
curveLM.48,1057,451.9625372
curveLM.49,1056.522431,452.4775688
curveLM.50,1056.018372,452.9816278
curveLM.51,1056,453.6868648
curveLM.52,1056,454.3997118
curveLM.53,1056,455.1125589
curveLM.54,1056,455.8254059
curveLM.55,1056,456.538253
curveLM.56,1056,457.2511
curveLM.57,1056,457.9639471
curveLM.58,1056.478566,458.4785657
curveLM.59,1056.982625,458.9826247
curveLM.60,1057,459.6882747
curveLM.61,1057,460.4011217
curveLM.62,1057,461.1139688
curveLM.63,1057,461.8268158
curveLM.64,1057,462.5396629
curveLM.65,1057,463.2525099
curveLM.66,1057,463.965357
curveLM.67,1057,464.678204
curveLM.68,1057,465.3910511
curveLM.69,1057.073467,466.0734671
curveLM.70,1057.577526,466.5775261
curveLM.71,1058,467.1153787
curveLM.72,1058,467.8282257
curveLM.73,1058,468.5410728
curveLM.74,1058,469.2539198
curveLM.75,1058,469.9667669
curveLM.76,1058,470.6796139
curveLM.77,1058,471.392461
curveLM.78,1057.925536,472.074464
curveLM.79,1057.421477,472.578523
curveLM.80,1057,473.1167886
curveLM.81,1057,473.8296356
curveLM.82,1056.616407,474.3835932
curveLM.83,1056.112348,474.8876521
curveLM.84,1056,475.5539632
curveLM.85,1055.811337,476.1886633
curveLM.86,1055.307278,476.6927223
curveLM.87,1055,477.2782908
curveLM.88,1055,477.9911378
curveLM.89,1055,478.7039849
curveLM.90,1054.705255,479.2947447
curveLM.91,1054.201196,479.7988037
curveLM.92,1054,480.4283125
curveLM.93,1054,481.1411595
curveLM.94,1054,481.8540066
curveLM.95,1054,482.5668536
curveLM.96,1054,483.2797007
curveLM.97,1054,483.9925477
curveLM.98,1054,484.7053948
curveLM.99,1054,485.4182418
curveLM.100,1054,486.1310889
curveLM.101,1054,486.8439359
curveLM.102,1054,487.556783
curveLM.103,1053.809343,488.1906572
curveLM.104,1053.305284,488.6947162
curveLM.105,1053,489.2811106
curveLM.106,1053,489.9939576
curveLM.107,1053,490.7068047
curveLM.108,1053,491.4196517
curveLM.109,1052.906309,492.0936908
curveLM.110,1052.40225,492.5977498
curveLM.111,1052,493.1439793
curveLM.112,1052,493.8568264
curveLM.113,1052,494.5696734
curveLM.114,1052,495.2825205
curveLM.115,1052,495.9953675
curveLM.116,1052.500783,496.5007833
curveLM.117,1053,497.006848
curveLM.118,1053,497.7196951
curveLM.119,1053,498.4325421
curveLM.120,1053,499.1453892
curveLM.121,1053,499.8582362
curveLM.122,1053.403817,500.4038169
curveLM.123,1053.907876,500.9078759
curveLM.124,1054,501.5825638
curveLM.125,1054,502.2954109
curveLM.126,1054,503.0082579
curveLM.127,1054,503.721105
curveLM.128,1054,504.433952
curveLM.129,1053.896197,505.1038026
curveLM.130,1053.392138,505.6078616
curveLM.131,1053,506.1582796
curveLM.132,1053,506.8711267
curveLM.133,1053,507.5839737
curveLM.134,1053,508.2968208
curveLM.135,1053,509.0096678
curveLM.136,1053,509.7225149
curveLM.137,1053,510.4353619
curveLM.138,1053,511.148209
curveLM.139,1053,511.861056
curveLM.140,1052.594189,512.4058108
curveLM.141,1052.09013,512.9098697
curveLM.142,1052,513.5853836
curveLM.143,1052,514.2982307
curveLM.144,1052,515.0110777
curveLM.145,1052,515.7239248
curveLM.146,1051.691156,516.3088443
curveLM.147,1051.187097,516.8129033
curveLM.148,1051,517.4482524
curveLM.149,1051,518.1610994
curveLM.150,1051,518.8739465
curveLM.151,1051,519.5867935
curveLM.152,1051,520.2996406
curveLM.153,1051,521.0124876
curveLM.154,1051,521.7253347
curveLM.155,1051.309841,522.3098413
curveLM.156,1051.8139,522.8139002
curveLM.157,1052,523.4496622
curveLM.158,1051.885089,524.1149114
curveLM.159,1051.38103,524.6189704
curveLM.160,1051,525.1739898
curveLM.161,1051,525.8868369
curveLM.162,1050.575959,526.4240406
curveLM.163,1050.0719,526.9280996
curveLM.164,1050,527.6111645
curveLM.165,1050,528.3240115
curveLM.166,1050,529.0368586
curveLM.167,1050,529.7497056
curveLM.168,1050,530.4625527
curveLM.169,1050,531.1753997
curveLM.170,1050,531.8882468
curveLM.171,1050,532.6010938
curveLM.172,1050,533.3139409
curveLM.173,1050,534.0267879
curveLM.174,1050,534.739635
curveLM.175,1050,535.452482
curveLM.176,1050,536.1653291
curveLM.177,1050,536.8781761
curveLM.178,1050,537.5910232
curveLM.179,1050,538.3038702
curveLM.180,1050,539.0167173
curveLM.181,1050,539.7295643
curveLM.182,1050,540.4424114
curveLM.183,1050.109784,541.1097843
curveLM.184,1050.613843,541.6138433
curveLM.185,1051,542.166739
curveLM.186,1051,542.879586
curveLM.187,1051,543.5924331
curveLM.188,1051,544.3052801
curveLM.189,1050.987182,545.0128178
curveLM.190,1050.483123,545.5168768
curveLM.191,1050,546.0296077
curveLM.192,1050,546.7424548
curveLM.193,1050,547.4553018
curveLM.194,1050,548.1681489
curveLM.195,1050,548.8809959
curveLM.196,1050.41991,549.4199104
curveLM.197,1050.923969,549.9239694
curveLM.198,1051,550.6053235
curveLM.199,1051,551.3181705
curveLM.200,1051,552.0310176
curveLM.201,1051,552.7438646
curveLM.202,1051,553.4567117
curveLM.203,1051,554.1695587
curveLM.204,1051,554.8824058
curveLM.205,1051,555.5952528
curveLM.206,1051,556.3080999
curveLM.207,1051,557.0209469
curveLM.208,1051,557.733794
curveLM.209,1051,558.446641
curveLM.210,1051,559.1594881
curveLM.211,1051,559.8723351
curveLM.212,1051,560.5851822
curveLM.213,1051,561.2980292
curveLM.214,1051,562.0108763
curveLM.215,1051,562.7237233
curveLM.216,1051,563.4365704
curveLM.217,1050.894346,564.1056541
curveLM.218,1050.390287,564.6097131
curveLM.219,1050,565.160898
curveLM.220,1050,565.873745
curveLM.221,1050,566.5865921
curveLM.222,1050,567.2994391
curveLM.223,1050,568.0122862
curveLM.224,1050,568.7251332
curveLM.225,1050,569.4379803
curveLM.226,1050,570.1508273
curveLM.227,1050,570.8636744
curveLM.228,1050.576521,571
curveLM.229,1051,571.2893685
curveLM.230,1051,572.0022155
curveLM.231,1051,572.7150626
curveLM.232,1051,573.4279096
curveLM.233,1050.859243,574
curveLM.234,1050.146396,574
curveLM.235,1050,574.5664508
curveLM.236,1050,575.2792978
curveLM.237,1050,575.9921449
curveLM.238,1050,576.7049919
curveLM.239,1049.704543,577.2954568
curveLM.240,1049.200484,577.7995158
curveLM.241,1049,578.4293195
curveLM.242,1049,579.1421666
curveLM.243,1049,579.8550136
curveLM.244,1049,580.5678607
curveLM.245,1048.80151,581.1984903
curveLM.246,1048.297451,581.7025493
curveLM.247,1047.793392,582.2066083
curveLM.248,1047.289333,582.7106673
curveLM.249,1047,583.3036688
curveLM.250,1047,584.0165159
curveLM.251,1047,584.7293629
curveLM.252,1046.68731,585.3126897
curveLM.253,1046.183251,585.8167486
curveLM.254,1046,586.4536905
curveLM.255,1046,587.1665376
curveLM.256,1046,587.8793846
curveLM.257,1046,588.5922317
curveLM.258,1046,589.3050787
curveLM.259,1046,590.0179258
curveLM.260,1046,590.7307728
curveLM.261,1046.313687,591.3136866
curveLM.262,1046.817746,591.8177456
curveLM.263,1047,592.4551004
curveLM.264,1047,593.1679474
curveLM.265,1047,593.8807945
curveLM.266,1047.419768,594.419768
curveLM.267,1047.923827,594.9238269
curveLM.268,1048,595.6051221
curveLM.269,1048,596.3179691
curveLM.270,1048,597.0308162
curveLM.271,1048,597.7436632
curveLM.272,1048,598.4565103
curveLM.273,1048,599.1693573
curveLM.274,1048,599.8822044
curveLM.275,1047.579235,600.4207649
curveLM.276,1047.075176,600.9248239
curveLM.277,1047,601.606532
curveLM.278,1047,602.319379
curveLM.279,1047,603.0322261
curveLM.280,1047,603.7450731
curveLM.281,1047,604.4579202
curveLM.282,1046.879249,605.1207507
curveLM.283,1046.37519,605.6248096
curveLM.284,1046,606.1822478
curveLM.285,1046,606.8950948
curveLM.286,1046,607.6079419
curveLM.287,1046,608.3207889
curveLM.288,1046,609.033636
curveLM.289,1046,609.746483
curveLM.290,1046,610.4593301
curveLM.291,1046,611.1721771
curveLM.292,1046,611.8850242
curveLM.293,1046,612.5978712
curveLM.294,1046,613.3107183
curveLM.295,1046,614.0235653
curveLM.296,1046,614.7364124
curveLM.297,1046,615.4492594
curveLM.298,1046,616.1621065
curveLM.299,1046,616.8749535
curveLM.300,1046,617.5878006
curveLM.301,1045.78741,618.21259
curveLM.302,1045.283351,618.716649
curveLM.303,1045,619.3121282
curveLM.304,1045,620.0249752
curveLM.305,1045,620.7378223
curveLM.306,1045,621.4506693
curveLM.307,1045,622.1635164
curveLM.308,1045,622.8763634
curveLM.309,1045,623.5892105
curveLM.310,1045,624.3020575
curveLM.311,1045,625.0149046
curveLM.312,1045,625.7277516
curveLM.313,1045,626.4405987
curveLM.314,1045,627.1534457
curveLM.315,1045,627.8662928
curveLM.316,1045,628.5791398
curveLM.317,1045,629.2919869
curveLM.318,1045,630.0048339
curveLM.319,1045,630.717681
curveLM.320,1045,631.430528
curveLM.321,1045,632.1433751
curveLM.322,1045,632.8562221
curveLM.323,1045,633.5690692
curveLM.324,1045,634.2819162
curveLM.325,1045,634.9947633
curveLM.326,1045,635.7076103
curveLM.327,1045,636.4204574
curveLM.328,1045,637.1333044
curveLM.329,1045,637.8461515
curveLM.330,1045,638.5589985
curveLM.331,1045,639.2718456
curveLM.332,1045,639.9846926
curveLM.333,1045,640.6975397
curveLM.334,1044.709813,641.2901872
curveLM.335,1044.205754,641.7942462
curveLM.336,1044,642.4218673
curveLM.337,1044,643.1347143
curveLM.338,1044,643.8475614
curveLM.339,1044,644.5604084
curveLM.340,1044,645.2732555
curveLM.341,1044,645.9861025
curveLM.342,1044,646.6989496
curveLM.343,1044,647.4117966
curveLM.344,1044,648.1246437
curveLM.345,1044,648.8374907
curveLM.346,1044,649.5503378
curveLM.347,1044,650.2631848
curveLM.348,1044,650.9760319
curveLM.349,1044,651.6888789
curveLM.350,1044,652.401726
curveLM.351,1044,653.114573
curveLM.352,1044,653.8274201
curveLM.353,1044,654.5402671
curveLM.354,1044,655.2531142
curveLM.355,1044,655.9659612
curveLM.356,1044,656.6788083
curveLM.357,1044,657.3916553
curveLM.358,1044,658.1045024
curveLM.359,1044,658.8173494
curveLM.360,1044,659.5301965
curveLM.361,1044,660.2430435
curveLM.362,1044,660.9558906
curveLM.363,1044,661.6687376
curveLM.364,1044,662.3815847
curveLM.365,1044,663.0944317
curveLM.366,1044,663.8072788
curveLM.367,1044,664.5201258
curveLM.368,1043.835263,665.1647367
curveLM.369,1043.331204,665.6687957
curveLM.370,1042.827145,666.1728547
curveLM.371,1042.323086,666.6769136
curveLM.372,1041.819027,667.1809726
curveLM.373,1041.314968,667.6850316
curveLM.374,1041.189091,668.1890906
curveLM.375,1041.69315,668.6931496
curveLM.376,1042,669.278895
curveLM.377,1042,669.9917421
curveLM.378,1042,670.7045891
curveLM.379,1042.295172,671.2951719
curveLM.380,1042.799231,671.7992309
curveLM.381,1043,672.4289167
curveLM.382,1043,673.1417638
curveLM.383,1043,673.8546108
curveLM.384,1043.401253,674.4012533
curveLM.385,1043.905312,674.9053123
curveLM.386,1044,675.5789384
curveLM.387,1044,676.2917854
curveLM.388,1044,677.0046325
curveLM.389,1044,677.7174795
curveLM.390,1044,678.4303266
curveLM.391,1044,679.1431736
curveLM.392,1044,679.8560207
curveLM.393,1044,680.5688677
curveLM.394,1044,681.2817148
curveLM.395,1044,681.9945619
curveLM.396,1044,682.7074089
curveLM.397,1044,683.420256
curveLM.398,1044,684.133103
curveLM.399,1044,684.8459501
curveLM.400,1044,685.5587971
curveLM.401,1044,686.2716442
curveLM.402,1044,686.9844912
curveLM.403,1044,687.6973383
curveLM.404,1044,688.4101853
curveLM.405,1044,689.1230324
curveLM.406,1044,689.8358794
curveLM.407,1043.611992,690.3880082
curveLM.408,1043.107933,690.8920672
curveLM.409,1043,691.560207
curveLM.410,1043,692.273054
curveLM.411,1043,692.9859011
curveLM.412,1043,693.6987481
curveLM.413,1042.708958,694.2910418
curveLM.414,1042.204899,694.7951007
curveLM.415,1041.70084,695.2991597
curveLM.416,1041.196781,695.8032187
curveLM.417,1040.692722,696.3072777
curveLM.418,1040.188663,696.8113367
curveLM.419,1040,697.4460368
curveLM.420,1039.887652,698.1123479
curveLM.421,1039.383593,698.6164068
curveLM.422,1039,699.1703644
curveLM.423,1039,699.8832114
curveLM.424,1039,700.5960585
curveLM.425,1039,701.3089055
curveLM.426,1039,702.0217526
curveLM.427,1039,702.7345996
curveLM.428,1039,703.4474467
curveLM.429,1039,704.1602937
curveLM.430,1039,704.8731408
curveLM.431,1039,705.5859879
curveLM.432,1039,706.2988349
curveLM.433,1039,707.011682
curveLM.434,1039,707.724529
curveLM.435,1039.309272,708.3092716
curveLM.436,1039.813331,708.8133306
curveLM.437,1040,709.4488566
curveLM.438,1040,710.1617036
curveLM.439,1040,710.8745507
curveLM.440,1040,711.5873977
curveLM.441,1040,712.3002448
curveLM.442,1040,713.0130918
curveLM.443,1040,713.7259389
curveLM.444,1039.689731,714.3102685
curveLM.445,1039.185673,714.8143275
curveLM.446,1039,715.4502665
curveLM.447,1039,716.1631135
curveLM.448,1039,716.8759606
curveLM.449,1039,717.5888076
curveLM.450,1039,718.3016547
curveLM.451,1039,719.0145017
curveLM.452,1039,719.7273488
curveLM.453,1039,720.4401958
curveLM.454,1039,721.1530429
curveLM.455,1039,721.8658899
curveLM.456,1039,722.578737
curveLM.457,1039,723.291584
curveLM.458,1039,724.0044311
curveLM.459,1039,724.7172781
curveLM.460,1039,725.4301252
curveLM.461,1039.101097,726.1010966
curveLM.462,1039.605156,726.6051556
curveLM.463,1040,727.1544528
curveLM.464,1040,727.8672998
curveLM.465,1040,728.5801469
curveLM.466,1040,729.2929939
curveLM.467,1040,730.005841
curveLM.468,1040,730.718688
curveLM.469,1040,731.4315351
curveLM.470,1040,732.1443821
curveLM.471,1040,732.8572292
curveLM.472,1040,733.5700762
curveLM.473,1040,734.2829233
curveLM.474,1040,734.9957703
curveLM.475,1040,735.7086174
curveLM.476,1040,736.4214644
curveLM.477,1039.905027,737.0949726
curveLM.478,1039.400968,737.5990315
curveLM.479,1039,738.145792
curveLM.480,1039,738.8586391
curveLM.481,1038.595898,739.4041017
curveLM.482,1038.091839,739.9081607
curveLM.483,1038,740.5829667
curveLM.484,1038,741.2958137
curveLM.485,1038,742.0086608
curveLM.486,1038,742.7215078
curveLM.487,1038,743.4343549
curveLM.488,1038,744.1472019
curveLM.489,1038,744.860049
curveLM.490,1038,745.572896
curveLM.491,1038,746.2857431
curveLM.492,1038,746.9985901
curveLM.493,1038,747.7114372
curveLM.494,1038,748.4242842
curveLM.495,1038,749.1371313
curveLM.496,1038,749.8499783
