,V1,V2
suture_start,1229,602
curveLM.3,1230.096369,601.9036306
curveLM.4,1230.899846,601.1001545
curveLM.5,1231.994647,601
curveLM.6,1232.130934,600
curveLM.7,1233.267221,600
curveLM.8,1234.285323,599.714677
curveLM.9,1235.125581,599
curveLM.10,1236.261868,599
curveLM.11,1237.398155,599
curveLM.12,1238.534441,599
curveLM.13,1239.670728,599
curveLM.14,1240.807015,599
curveLM.15,1241.943302,599
curveLM.16,1242.763385,598.2366154
curveLM.17,1243.801662,598
curveLM.18,1244.937949,598
curveLM.19,1246.052493,597.9475073
curveLM.20,1246.855969,597.1440311
curveLM.21,1247.932596,597
curveLM.22,1249.068883,597
curveLM.23,1250.145077,596.854923
curveLM.24,1250.948553,596.0514469
curveLM.25,1251.752029,595.2479708
curveLM.26,1252.785603,595
curveLM.27,1253.92189,595
curveLM.28,1255.041137,594.9588627
curveLM.29,1255.844613,594.1553865
curveLM.30,1256.916537,594
curveLM.31,1258.052824,594
curveLM.32,1259.189111,594
curveLM.33,1260.325398,594
curveLM.34,1261.461685,594
curveLM.35,1262.597971,594
curveLM.36,1263.734258,594
curveLM.37,1264.870545,594
curveLM.38,1266.006832,594
curveLM.39,1267.1012,594.1012003
curveLM.40,1267.904676,594.9046765
curveLM.41,1269.001479,595
curveLM.42,1270.137766,595
curveLM.43,1271.274053,595
curveLM.44,1272.41034,595
curveLM.45,1273.546626,595
curveLM.46,1274.682913,595
curveLM.47,1275.8192,595
curveLM.48,1276.955487,595
curveLM.49,1277.772001,594.2279993
curveLM.50,1278.813847,594
curveLM.51,1279.950134,594
curveLM.52,1280.768216,593.2317844
curveLM.53,1281.808494,593
curveLM.54,1282.944781,593
curveLM.55,1283.76443,592.2355696
curveLM.56,1284.803141,592
curveLM.57,1285.939428,592
curveLM.58,1287.053539,591.9464615
curveLM.59,1287.857015,591.1429853
curveLM.60,1288.934075,591
curveLM.61,1290.070362,591
curveLM.62,1291.206649,591
curveLM.63,1292.342936,591
curveLM.64,1293.338861,590.6611385
curveLM.65,1294.201296,590
curveLM.66,1295.337583,590
curveLM.67,1296.47387,590
curveLM.68,1297.610156,590
curveLM.69,1298.746443,590
curveLM.70,1299.88273,590
curveLM.71,1301.019017,590
curveLM.72,1302.109816,589.8901836
curveLM.73,1302.913293,589.0867075
curveLM.74,1304.013664,589
curveLM.75,1305.106031,588.8939687
curveLM.76,1305.909507,588.0904926
curveLM.77,1307.008311,588
curveLM.78,1308.102246,587.8977539
curveLM.79,1308.905722,587.0942777
curveLM.80,1310.002958,587
curveLM.81,1311.098461,586.901539
curveLM.82,1311.901937,586.0980629
curveLM.83,1312.997605,586
curveLM.84,1313.801783,585.1982174
curveLM.85,1314.855965,585
curveLM.86,1315.992252,585
curveLM.87,1317.128539,585
curveLM.88,1318.264826,585
curveLM.89,1319.401113,585
curveLM.90,1320.537399,585
curveLM.91,1321.476368,585.4763682
curveLM.92,1322.39576,586
curveLM.93,1323.532046,586
curveLM.94,1324.668333,586
curveLM.95,1325.80462,586
curveLM.96,1326.940907,586
curveLM.97,1328.077194,586
curveLM.98,1329.213481,586
curveLM.99,1330.349768,586
curveLM.100,1331.486055,586
curveLM.101,1332.622341,586
curveLM.102,1333.758628,586
curveLM.103,1334.894915,586
curveLM.104,1336.022063,586.0220631
curveLM.105,1336.825539,586.8255392
curveLM.106,1337.889562,587
curveLM.107,1339.025849,587
curveLM.108,1340.162136,587
curveLM.109,1341.298423,587
curveLM.110,1342.43471,587
curveLM.111,1343.570996,587
curveLM.112,1344.707283,587
curveLM.113,1345.84357,587
curveLM.114,1346.979857,587
curveLM.115,1348.116144,587
curveLM.116,1349.252431,587
curveLM.117,1350.274865,586.7251352
curveLM.118,1351.110791,586
curveLM.119,1352.247078,586
curveLM.120,1353.383365,586
curveLM.121,1354.519651,586
curveLM.122,1355.655938,586
curveLM.123,1356.792225,586
curveLM.124,1357.928512,586
curveLM.125,1359.064799,586
curveLM.126,1360.201086,586
curveLM.127,1361.337373,586
curveLM.128,1362.473659,586
curveLM.129,1363.431297,585.5687028
curveLM.130,1364.33202,585
curveLM.131,1365.468306,585
curveLM.132,1366.604593,585
curveLM.133,1367.74088,585
curveLM.134,1368.877167,585
curveLM.135,1370.013454,585
curveLM.136,1371.149741,585
curveLM.137,1372.202252,584.7977479
curveLM.138,1373.008101,584
curveLM.139,1374.144388,584
curveLM.140,1375.280675,584
curveLM.141,1376.416961,584
curveLM.142,1377.553248,584
curveLM.143,1378.689535,584
curveLM.144,1379.825822,584
curveLM.145,1380.680314,583.3196863
curveLM.146,1381.684182,583
curveLM.147,1382.820469,583
curveLM.148,1383.956756,583
curveLM.149,1385.093043,583
curveLM.150,1386.162161,582.8378395
curveLM.151,1386.965637,582.0343633
curveLM.152,1388.08769,582
curveLM.153,1389.223977,582
curveLM.154,1390.360264,582
curveLM.155,1391.49655,582
curveLM.156,1392.632837,582
curveLM.157,1393.769124,582
curveLM.158,1394.905411,582
curveLM.159,1395.736592,582.7365916
curveLM.160,1396.763771,583
curveLM.161,1397.900058,583
curveLM.162,1399.036345,583
curveLM.163,1400.172632,583
curveLM.164,1401.308919,583
curveLM.165,1402.445205,583
curveLM.166,1403.581492,583
curveLM.167,1404.717779,583
curveLM.168,1405.854066,583
curveLM.169,1406.990353,583
curveLM.170,1408.12664,583
curveLM.171,1409.262927,583
curveLM.172,1410.399213,583
curveLM.173,1411.5355,583
curveLM.174,1412.671787,583
curveLM.175,1413.808074,583
curveLM.176,1414.944361,583
curveLM.177,1415.764133,582.2358667
curveLM.178,1416.802721,582
curveLM.179,1417.939008,582
curveLM.180,1419.075295,582
curveLM.181,1420.211582,582
curveLM.182,1421.347868,582
curveLM.183,1422.34235,581.6576505
curveLM.184,1423.206229,581
curveLM.185,1424.342515,581
curveLM.186,1425.478802,581
curveLM.187,1426.615089,581
curveLM.188,1427.751376,581
curveLM.189,1428.627672,580.3723275
curveLM.190,1429.609736,580
curveLM.191,1430.746023,580
curveLM.192,1431.623887,579.3761127
curveLM.193,1432.604383,579
curveLM.194,1433.74067,579
curveLM.195,1434.620102,578.3798978
curveLM.196,1435.59903,578
curveLM.197,1436.735317,578
curveLM.198,1437.616317,577.3836829
curveLM.199,1438.593677,577
curveLM.200,1439.729964,577
curveLM.201,1440.612532,576.3874681
curveLM.202,1441.588324,576
curveLM.203,1442.724611,576
curveLM.204,1443.608747,575.3912532
curveLM.205,1444.582971,575
curveLM.206,1445.719258,575
curveLM.207,1446.604962,574.3950383
curveLM.208,1447.577618,574
curveLM.209,1448.713905,574
curveLM.210,1449.850192,574
curveLM.211,1450.697546,573.3024541
curveLM.212,1451.708552,573
curveLM.213,1452.844839,573
curveLM.214,1453.693761,572.3062392
curveLM.215,1454.703199,572
curveLM.216,1455.839486,572
curveLM.217,1456.689976,571.3100244
curveLM.218,1457.697846,571
curveLM.219,1458.834133,571
curveLM.220,1459.68619,570.3138095
curveLM.221,1460.692493,570
curveLM.222,1461.82878,570
curveLM.223,1462.965067,570
curveLM.224,1463.778775,569.2212253
curveLM.225,1464.823427,569
curveLM.226,1465.959714,569
curveLM.227,1467.096001,569
curveLM.228,1468.232288,569
curveLM.229,1469.260622,569.2606215
curveLM.230,1470.090648,570
curveLM.231,1471.226935,570
curveLM.232,1472.363222,570
curveLM.233,1473.499508,570
curveLM.234,1474.635795,570
curveLM.235,1475.772082,570
curveLM.236,1476.908369,570
curveLM.237,1477.738683,569.2613168
curveLM.238,1478.766729,569
curveLM.239,1479.903016,569
curveLM.240,1481.027791,568.9722087
curveLM.241,1481.831267,568.1687326
curveLM.242,1482.897663,568
curveLM.243,1484.03395,568
curveLM.244,1485.170237,568
curveLM.245,1486.216745,568.2167449
curveLM.246,1487.028597,569
curveLM.247,1488.164884,569
curveLM.248,1489.301171,569
curveLM.249,1490.437457,569
curveLM.250,1491.573744,569
curveLM.251,1492.710031,569
