,V1,V2
suture_start,1081,431
curveLM.3,1080.641251,431.358749
curveLM.4,1080.282502,431.7174981
curveLM.5,1079.89217,432
curveLM.6,1079.384823,432
curveLM.7,1078.877475,432
curveLM.8,1078.370127,432
curveLM.9,1077.90297,432.0970296
curveLM.10,1077.544221,432.4557787
curveLM.11,1077.185472,432.8145277
curveLM.12,1076.75495,433
curveLM.13,1076.247602,433
curveLM.14,1075.740254,433
curveLM.15,1075.232907,433
curveLM.16,1074.805941,433.1940593
curveLM.17,1074.447192,433.5528083
curveLM.18,1074.088443,433.9115573
curveLM.19,1073.617729,434
curveLM.20,1073.110381,434
curveLM.21,1072.603034,434
curveLM.22,1072.095686,434
curveLM.23,1071.708911,434.2910889
curveLM.24,1071.350162,434.6498379
curveLM.25,1070.987856,435
curveLM.26,1070.480508,435
curveLM.27,1070,435.0268392
curveLM.28,1070,435.534187
curveLM.29,1070,436.0415347
curveLM.30,1070,436.5488825
curveLM.31,1070,437.0562302
curveLM.32,1070,437.5635779
curveLM.33,1070,438.0709257
curveLM.34,1070,438.5782734
curveLM.35,1070.060543,439.0605433
curveLM.36,1070.419292,439.4192923
curveLM.37,1070.778041,439.7780414
curveLM.38,1071,440.1934508
curveLM.39,1071,440.7007986
curveLM.40,1071,441.2081463
curveLM.41,1071,441.715494
curveLM.42,1070.842427,442.1575729
curveLM.43,1070.483678,442.516322
curveLM.44,1070.124929,442.875071
curveLM.45,1069.76618,443.23382
curveLM.46,1069.407431,443.592569
curveLM.47,1069.048682,443.9513181
curveLM.48,1068.689933,444.3100671
curveLM.49,1068.331184,444.6688161
curveLM.50,1067.961017,445
curveLM.51,1067.453669,445
curveLM.52,1066.962044,445.0379564
curveLM.53,1066.603295,445.3967055
curveLM.54,1066.244546,445.7554545
curveLM.55,1065.885796,446.1142035
curveLM.56,1065.527047,446.4729525
curveLM.57,1065.168298,446.8317016
curveLM.58,1065,447.2693378
curveLM.59,1065,447.7766856
curveLM.60,1064.715967,448
curveLM.61,1064.208619,448
curveLM.62,1064,448.2987288
curveLM.63,1064,448.8060765
curveLM.64,1063.686576,449
curveLM.65,1063.179228,449
curveLM.66,1063,449.3281197
curveLM.67,1063,449.8354675
curveLM.68,1062.657185,450
curveLM.69,1062.149837,450
curveLM.70,1062,450.3575107
curveLM.71,1062,450.8648584
curveLM.72,1061.73681,451.2631895
curveLM.73,1061.378061,451.6219385
curveLM.74,1061.019312,451.9806876
curveLM.75,1061,452.4800358
curveLM.76,1061,452.9873836
curveLM.77,1060.650172,453.3498279
curveLM.78,1060.291423,453.7085769
curveLM.79,1060,454.0952132
