,V1,V2
suture_start,1298,99
curveLM.3,1298,100.1056469
curveLM.4,1297.850593,101.1494073
curveLM.5,1297.068782,101.9312178
curveLM.6,1297,103.0083742
curveLM.7,1297,104.1140211
curveLM.8,1297,105.2196681
curveLM.9,1297,106.325315
curveLM.10,1296.695264,107.3047361
curveLM.11,1296,108.1223953
curveLM.12,1296,109.2280422
curveLM.13,1296.333689,110
curveLM.14,1297,110.4393361
curveLM.15,1297.544983,111
curveLM.16,1298.65063,111
curveLM.17,1299,111.7562769
curveLM.18,1299.861924,112
curveLM.19,1300.684176,112.6841759
curveLM.20,1301.659004,113
curveLM.21,1302,113.7646511
curveLM.22,1302.870298,114
curveLM.23,1303.690097,114.6900973
curveLM.24,1303.528092,115.4719077
curveLM.25,1302.641188,116
curveLM.26,1301.671578,116.3284219
curveLM.27,1300.844108,117
curveLM.28,1299.738461,117
curveLM.29,1298.74036,117.2596396
curveLM.30,1297.941381,118
curveLM.31,1296.883846,118.1161537
curveLM.32,1296.102036,118.8979642
curveLM.33,1295.038653,119
curveLM.34,1293.952628,118.9526285
curveLM.35,1293.170818,118.170818
curveLM.36,1292.135926,118
curveLM.37,1291.030279,118
curveLM.38,1290.2396,118.7603997
curveLM.39,1289.233199,119
curveLM.40,1288.383086,119.6169138
curveLM.41,1287.601276,120.3987243
curveLM.42,1286.819465,121.1805347
curveLM.43,1286.037655,121.9623452
curveLM.44,1285.255844,122.7441556
curveLM.45,1284.256172,123
curveLM.46,1284,123.8494753
curveLM.47,1284.955122,124
curveLM.48,1286.060769,124
curveLM.49,1287.166416,124
curveLM.50,1288.272063,124
curveLM.51,1289.37771,124
curveLM.52,1290.483357,124
curveLM.53,1291.589004,124
curveLM.54,1292.491192,123.5088077
curveLM.55,1293.386084,123
curveLM.56,1294.491731,123
curveLM.57,1295.42241,123.42241
curveLM.58,1296,124.2888114
curveLM.59,1296,125.3944583
curveLM.60,1296.353628,126.3536278
curveLM.61,1297,127.1915386
curveLM.62,1297,128.2971856
curveLM.63,1297,129.4028325
curveLM.64,1296.640451,130.3595493
curveLM.65,1296,131.1999128
curveLM.66,1295.783937,132.2160634
curveLM.67,1295.002126,132.9978738
curveLM.68,1295,134.1026401
curveLM.69,1294.852719,135.1472811
curveLM.70,1294.070908,135.9290916
curveLM.71,1294,137.0053673
curveLM.72,1294,138.1110142
curveLM.73,1294.153203,139.1532026
curveLM.74,1294.935013,139.935013
curveLM.75,1295,141.0137415
curveLM.76,1295,142.1193884
