,V1,V2
suture_start,1037,586
curveLM.3,1038.2005,585
curveLM.4,1039.815214,585
curveLM.5,1041.429928,585
curveLM.6,1043.044642,585
curveLM.7,1044.466235,585.4662349
curveLM.8,1045.60801,586.60801
curveLM.9,1046.749785,587.7497851
curveLM.10,1047,589.2608565
curveLM.11,1047.619122,590.6191217
curveLM.12,1048,592.0760706
curveLM.13,1048,593.6907845
curveLM.14,1048,595.3054983
curveLM.15,1048,596.9202121
curveLM.16,1048,598.534926
curveLM.17,1048,600.1496398
curveLM.18,1048,601.7643537
curveLM.19,1047.024852,602.975148
curveLM.20,1047,604.5795678
curveLM.21,1046.805718,606
curveLM.22,1046,606.8089955
curveLM.23,1046,608.4237093
curveLM.24,1046,610.0384232
curveLM.25,1046,611.653137
curveLM.26,1046.896506,612.8965059
curveLM.27,1047,614.4683511
curveLM.28,1047.765843,615.7658426
curveLM.29,1048.907618,616.9076177
curveLM.30,1050.049393,618.0493928
curveLM.31,1051.191168,619.1911679
curveLM.32,1052.332943,620.332943
curveLM.33,1053.474718,621.4747181
curveLM.34,1054.616493,622.6164932
curveLM.35,1055.758268,623.7582683
curveLM.36,1056.900043,624.9000434
curveLM.37,1058.473354,625
curveLM.38,1060.088068,625
curveLM.39,1061.702782,625
curveLM.40,1063.317495,625
curveLM.41,1064.932209,625
curveLM.42,1066.386733,624.6132669
curveLM.43,1067.747423,624
curveLM.44,1069.362137,624
curveLM.45,1070.690738,624.690738
curveLM.46,1071.832513,625.8325131
curveLM.47,1072.974288,626.9742883
curveLM.48,1074.408957,627.4089566
curveLM.49,1075.778852,628
curveLM.50,1077.393566,628
curveLM.51,1078.712962,628.7129616
curveLM.52,1080.20878,629
curveLM.53,1081.823494,629
curveLM.54,1083.438208,629
curveLM.55,1085.052922,629
curveLM.56,1086.667636,629
curveLM.57,1087.906758,629.906758
curveLM.58,1089.48285,630
curveLM.59,1090.776095,630.7760946
curveLM.60,1092.210763,631.2107629
curveLM.61,1093.498564,632
curveLM.62,1094.787206,632.7872064
curveLM.63,1096.221875,633.2218747
curveLM.64,1097.36365,634.3636498
curveLM.65,1098.505425,635.5054249
curveLM.66,1099.6472,636.6472
curveLM.67,1101.081868,637.0818683
curveLM.68,1102.223643,638.2236435
curveLM.69,1103.365419,639.3654186
