,V1,V2
suture_start,250,568
curveLM.3,251.0564662,567.9435338
curveLM.4,251.8200391,567.1799609
curveLM.5,252.8253521,567
curveLM.6,253.6400783,566.3599217
curveLM.7,254.5708491,566
curveLM.8,255.6507043,566
curveLM.9,256.5165836,565.4834164
curveLM.10,257.3962012,565
curveLM.11,258.4760564,565
curveLM.12,259.5559117,565
curveLM.13,260.4495551,564.5504449
curveLM.14,261.3014086,564
curveLM.15,262.3812638,564
curveLM.16,263.4611191,564
curveLM.17,264.3825266,563.6174734
curveLM.18,265.206616,563
curveLM.19,266.2864712,563
curveLM.20,267.3663264,563
curveLM.21,268.3154981,562.6845019
curveLM.22,269.0790711,561.9209289
curveLM.23,269.842644,561.157356
curveLM.24,270.606217,560.393783
curveLM.25,271.5229619,560
curveLM.26,272.4262561,559.5737439
curveLM.27,273.1898291,558.8101709
curveLM.28,273.953402,558.046598
curveLM.29,275.0098682,557.9901318
curveLM.30,275.7734412,557.2265588
curveLM.31,276.5370141,556.4629859
curveLM.32,277.4250944,556
curveLM.33,278.3570533,555.6429467
curveLM.34,279.1705913,555
curveLM.35,280.1770924,554.8229076
curveLM.36,280.9406654,554.0593346
curveLM.37,281.9959434,554
curveLM.38,282.7607045,553.2392955
curveLM.39,283.7414403,553
curveLM.40,284.5807437,552.4192563
curveLM.41,285.4869372,552
curveLM.42,286.4007828,551.5992172
curveLM.43,287.2324341,551
curveLM.44,288.2208219,550.7791781
curveLM.45,288.9843949,550.0156051
curveLM.46,290.0577863,550
curveLM.47,291.0973273,549.9026727
curveLM.48,291.8609002,549.1390998
curveLM.49,292.8831384,549
curveLM.50,293.9629937,549
curveLM.51,294.7374055,548.2625945
curveLM.52,295.7084906,548
curveLM.53,296.7883458,548
curveLM.54,297.6139109,547.3860891
curveLM.55,298.5338427,547
curveLM.56,299.43395,546.56605
curveLM.57,300.2793396,546
curveLM.58,301.2539891,545.7460109
curveLM.59,302.0248366,545
curveLM.60,303.0740283,544.9259717
curveLM.61,303.8376012,544.1623988
curveLM.62,304.8501887,544
curveLM.63,305.6576404,543.3423596
curveLM.64,306.5956856,543
curveLM.65,307.4776795,542.5223205
curveLM.66,308.3411825,542
curveLM.67,309,541.5789622
curveLM.68,309.500893,541
curveLM.69,310.5807482,541
curveLM.70,311.4671172,540.5328828
curveLM.71,312.2306902,539.7693098
curveLM.72,312.9942631,539.0057369
curveLM.73,314.0507293,538.9492707
curveLM.74,314.8143023,538.1856977
curveLM.75,315.817239,538
curveLM.76,316.6343414,537.3656586
curveLM.77,317.5627359,537
curveLM.78,318.6425911,537
curveLM.79,319.5108467,536.4891533
curveLM.80,320.388088,536
curveLM.81,321.4679433,536
curveLM.82,322.387352,535.612648
curveLM.83,323.2134402,535
curveLM.84,324.2932954,535
curveLM.85,325.3731506,535
curveLM.86,326.3203235,534.6796765
curveLM.87,327.1186476,534
curveLM.88,328.1985028,534
curveLM.89,329.1968289,533.8031711
curveLM.90,329.9604018,533.0395982
curveLM.91,331.0238549,533
curveLM.92,332.0733342,532.9266658
curveLM.93,332.8369071,532.1630929
curveLM.94,333.8492071,532
curveLM.95,334.6569463,531.3430537
curveLM.96,335.594704,531
curveLM.97,336.6745592,531
curveLM.98,337.5334516,530.4665484
curveLM.99,338.4200562,530
curveLM.100,339.3534907,529.6465093
curveLM.101,340.1655531,529
curveLM.102,341.2454083,529
curveLM.103,342.2299961,528.7700039
curveLM.104,342.993569,528.006431
curveLM.105,344.0500352,527.9499648
curveLM.106,344.8136082,527.1863918
curveLM.107,345.8162574,527
curveLM.108,346.8961126,527
curveLM.109,347.6901135,526.3098865
curveLM.110,348.6416095,526
curveLM.111,349.7214647,526
curveLM.112,350.5666188,525.4333812
curveLM.113,351.4669617,525
curveLM.114,352.3866579,524.6133421
curveLM.115,353.2124586,524
curveLM.116,354.2923138,524
curveLM.117,355.2631633,523.7368367
curveLM.118,356.0378107,523
curveLM.119,357.1176659,523
curveLM.120,358.1975212,523
curveLM.121,359.2773764,523
curveLM.122,360,522.6427683
curveLM.123,360.4370869,522
curveLM.124,361.5169421,522
curveLM.125,362.5967974,522
curveLM.126,363,521.3233474
curveLM.127,363.7565078,521
curveLM.128,364.8363631,521
curveLM.129,365.9162183,521
curveLM.130,366.7043304,520.2956696
curveLM.131,367.4679033,519.5320967
curveLM.132,368.3273569,519
curveLM.133,369.4072121,519
curveLM.134,370.3444086,518.6555914
curveLM.135,371.152709,518
curveLM.136,372.2325643,518
curveLM.137,373.3124195,518
curveLM.138,374.3922748,518
curveLM.139,375.47213,518
curveLM.140,376.5519852,518
curveLM.141,377.6318405,518
curveLM.142,378.7116957,518
curveLM.143,379.7915509,518
curveLM.144,380.8714062,518
curveLM.145,381.6726434,517.3273566
curveLM.146,382.6169031,517
curveLM.147,383.6967583,517
curveLM.148,384.7766136,517
curveLM.149,385.8564688,517
curveLM.150,386.936324,517
curveLM.151,388.0161793,517
curveLM.152,389,516.9039655
curveLM.153,389.1758897,516
curveLM.154,390.255745,516
curveLM.155,391.2373052,515.7626948
curveLM.156,392.0008782,514.9991218
curveLM.157,392.7644511,514.2355489
curveLM.158,393.5280241,513.4719759
curveLM.159,394.4123805,513
curveLM.160,395.3480632,512.6519368
curveLM.161,396.1578774,512
curveLM.162,397.1681024,511.8318976
curveLM.163,397.9316753,511.0683247
curveLM.164,398.9832295,511
curveLM.165,400,510.9369152
curveLM.166,400.14294,510
curveLM.167,401.2227952,510
curveLM.168,402.2140062,509.7859938
curveLM.169,402.9775792,509.0224208
curveLM.170,404.0481474,509
curveLM.171,405.1280026,509
curveLM.172,406.2078579,509
curveLM.173,407.2877131,509
curveLM.174,408.3675683,509
curveLM.175,409.4474236,509
curveLM.176,410.3728424,508.6271576
curveLM.177,411.1929205,508
curveLM.178,412.2727757,508
curveLM.179,413.352631,508
curveLM.180,414.3058139,507.6941861
curveLM.181,415.0981279,507
curveLM.182,416.1779831,507
curveLM.183,417.1823192,506.8176808
curveLM.184,417.9458922,506.0541078
curveLM.185,419.0033353,506
curveLM.186,420.0831905,506
curveLM.187,421,505.8369543
curveLM.188,421.242901,505
curveLM.189,422.3227562,505
curveLM.190,423.4026114,505
curveLM.191,424.4824667,505
curveLM.192,425.5623219,505
curveLM.193,426.6421772,505
curveLM.194,427.7220324,505
curveLM.195,428.8018876,505
curveLM.196,429.8817429,505
curveLM.197,430.9615981,505
curveLM.198,432.0414533,505
curveLM.199,433.1213086,505
curveLM.200,434.2011638,505
curveLM.201,435.281019,505
curveLM.202,436.3608743,505
curveLM.203,437.4407295,505
curveLM.204,438.5205848,505
curveLM.205,439.60044,505
curveLM.206,440.6802952,505
curveLM.207,441.7601505,505
curveLM.208,442.8400057,505
curveLM.209,443,504.0801391
curveLM.210,443.9997162,504
curveLM.211,445.0795714,504
curveLM.212,446.1594266,504
curveLM.213,447.1691978,503.8308022
curveLM.214,447.9327708,503.0672292
curveLM.215,448.9847788,503
curveLM.216,450.0457032,502.9542968
curveLM.217,450.8092761,502.1907239
curveLM.218,451.8101309,502
curveLM.219,452.6293153,501.3706847
curveLM.220,453.5556279,501
curveLM.221,454.4493544,500.5506456
curveLM.222,455.3011248,500
curveLM.223,456.2693935,499.7306065
curveLM.224,457.0329665,498.9670335
curveLM.225,457.7965395,498.2034605
curveLM.226,458.7921186,498
curveLM.227,459.8719738,498
curveLM.228,460.9518291,498
curveLM.229,461.0316843,497
curveLM.230,462.1115395,497
curveLM.231,463,496.8086052
curveLM.232,463.27125,496
curveLM.233,464.3511052,496
curveLM.234,465.3047351,495.6952649
curveLM.235,466.0966022,495
curveLM.236,467.1764574,495
curveLM.237,468.1812404,494.8187596
curveLM.238,468.9448134,494.0551866
curveLM.239,470.0018095,494
curveLM.240,471.0577457,493.9422543
curveLM.241,471.8213187,493.1786813
curveLM.242,472.8271617,493
curveLM.243,473.9070169,493
curveLM.244,474.9868722,493
curveLM.245,475.0667274,492
curveLM.246,476.1465826,492
curveLM.247,477.2264379,492
curveLM.248,478.2165819,491.7834181
curveLM.249,478.9801549,491.0198451
curveLM.250,480,490.94821
curveLM.251,480.1316453,490
curveLM.252,481.2115005,490
curveLM.253,482.2060196,489.7939804
curveLM.254,482.9695926,489.0304074
curveLM.255,484.0368526,489
curveLM.256,485.1167079,489
curveLM.257,486.1389911,488.8610089
curveLM.258,486.9025641,488.0974359
curveLM.259,487.94206,488
curveLM.260,489.0219153,488
curveLM.261,490.1017705,488
curveLM.262,491.1816257,488
curveLM.263,492.261481,488
curveLM.264,493.3413362,488
curveLM.265,494.4211914,488
curveLM.266,495.5010467,488
curveLM.267,496.4107597,487.5892403
curveLM.268,497.2465436,487
curveLM.269,498.3263988,487
curveLM.270,499.4062541,487
curveLM.271,500.4861093,487
curveLM.272,501.5659645,487
curveLM.273,502.6458198,487
curveLM.274,503.725675,487
curveLM.275,504.8055303,487
curveLM.276,505.6260621,487.6260621
curveLM.277,506.5510272,488
curveLM.278,507.6308824,488
curveLM.279,508.7107376,488
curveLM.280,509.5590336,487.4409664
curveLM.281,510.4562345,487
curveLM.282,511.5360898,487
curveLM.283,512.4355389,486.5644611
curveLM.284,513.2815867,486
curveLM.285,514.3614419,486
curveLM.286,515.3120442,485.6879558
curveLM.287,516.1069388,485
curveLM.288,517.1320834,484.8679166
curveLM.289,517.8956563,484.1043437
curveLM.290,518.932291,484
curveLM.291,520.0085887,483.9914113
curveLM.292,520.7721616,483.2278384
curveLM.293,521.7576431,483
curveLM.294,522.5922008,482.4077992
curveLM.295,523.50314,482
curveLM.296,524.4122399,481.5877601
curveLM.297,525.248637,481
curveLM.298,526.3284922,481
curveLM.299,527.4083474,481
curveLM.300,528.4882027,481
curveLM.301,529.5680579,481
curveLM.302,530.6479131,481
curveLM.303,531.7277684,481
curveLM.304,532.8076236,481
curveLM.305,533.8874789,481
curveLM.306,534.9673341,481
curveLM.307,535.7404747,480.2595253
curveLM.308,536.712831,480
curveLM.309,537.5605138,479.4394862
curveLM.310,538.4583279,479
curveLM.311,539,478.4618169
curveLM.312,539.4370191,477.5629809
curveLM.313,540.2836801,477
curveLM.314,541.3635353,477
curveLM.315,542.4433905,477
curveLM.316,543.5232458,477
curveLM.317,544.603101,477
curveLM.318,545.6829562,477
curveLM.319,546.7628115,477
curveLM.320,547.8426667,477
curveLM.321,548.6523215,477.6523215
curveLM.322,549.5881636,478
curveLM.323,550.6680189,478
curveLM.324,551.5288268,478.5288268
curveLM.325,552.4135158,479
curveLM.326,553.348866,478.651134
curveLM.327,554.1590127,478
curveLM.328,555.2388679,478
curveLM.329,556.2253713,477.7746287
curveLM.330,556.9889443,477.0110557
curveLM.331,558.0642201,477
curveLM.332,559.1018766,476.8981234
curveLM.333,559.8654496,476.1345504
curveLM.334,560.8895722,476
curveLM.335,561.6854887,475.3145113
curveLM.336,562.6350691,475
curveLM.337,563.7149244,475
curveLM.338,564.7947796,475
curveLM.339,565,474.1253652
curveLM.340,565.9544901,474
curveLM.341,567.0242858,473.9757142
curveLM.342,567.7878588,473.2121412
curveLM.343,568.7798422,473
curveLM.344,569.8596975,473
curveLM.345,570.6643641,472.3356359
curveLM.346,571.6051944,472
curveLM.347,572.6850496,472
curveLM.348,573,471.2350952
curveLM.349,573.8447601,471
curveLM.350,574.9246153,471
curveLM.351,575.7102679,470.2897321
curveLM.352,576.6701122,470
curveLM.353,577.7499675,470
curveLM.354,578.8298227,470
curveLM.355,579.9096779,470
curveLM.356,580.9895332,470
curveLM.357,581.7561718,469.2438282
curveLM.358,582.7350301,469
curveLM.359,583.8148853,469
curveLM.360,584.8947406,469
curveLM.361,585.9745958,469
curveLM.362,587.054451,469
curveLM.363,588.1343063,469
curveLM.364,589.2141615,469
curveLM.365,590.2940167,469
curveLM.366,591.373872,469
curveLM.367,592.4537272,469
curveLM.368,593.5335825,469
curveLM.369,594.6134377,469
curveLM.370,595.4902321,468.5097679
curveLM.371,596.3589346,468
curveLM.372,597.4387898,468
curveLM.373,598.5186451,468
curveLM.374,599.5985003,468
curveLM.375,600.6783555,468
curveLM.376,601.7582108,468
curveLM.377,602,467.161934
curveLM.378,602.9179213,467
curveLM.379,603.9977765,467
curveLM.380,605.0776317,467
curveLM.381,606.1113601,466.8886399
curveLM.382,606.8749331,466.1250669
curveLM.383,607.9029839,466
curveLM.384,608.9828391,466
curveLM.385,610.0443316,465.9556684
curveLM.386,610.8079046,465.1920954
curveLM.387,611.8081913,465
curveLM.388,612.8880465,465
curveLM.389,613.9679017,465
curveLM.390,615.047757,465
curveLM.391,616.1276122,465
curveLM.392,617.2074674,465
curveLM.393,618.2873227,465
curveLM.394,619.3671779,465
curveLM.395,620.4470332,465
curveLM.396,621.5268884,465
curveLM.397,622.6067436,465
curveLM.398,623.4854987,464.5145013
curveLM.399,624.3522405,464
curveLM.400,625.4320958,464
curveLM.401,626.511951,464
curveLM.402,627.4184702,463.5815298
curveLM.403,628.2574479,463
curveLM.404,629.3373032,463
curveLM.405,630.2949755,462.7050245
curveLM.406,631.0828001,462
curveLM.407,632.1150147,461.8849853
curveLM.408,632.8785876,461.1214124
curveLM.409,633.9081522,461
curveLM.410,634.6986268,460.3013732
curveLM.411,635.6536491,460
curveLM.412,636.5186659,459.4813341
curveLM.413,637.399146,459
curveLM.414,638.3387051,458.6612949
curveLM.415,639.144643,458
curveLM.416,640.1587442,457.8412558
curveLM.417,640.9223172,457.0776828
curveLM.418,641.9699951,457
curveLM.419,643.0352495,456.9647505
curveLM.420,643.7988225,456.2011775
curveLM.421,644.7953472,456
curveLM.422,645.8752025,456
