,V1,V2
suture_start,712,690
curveLM.3,712.3231602,689
curveLM.4,713,688.3536797
curveLM.5,713.6855262,687.3144738
curveLM.6,714,686.1215729
curveLM.7,715.1425437,685.8574563
curveLM.8,716.0781593,684.9218407
curveLM.9,717.0137748,683.9862252
curveLM.10,717.9493903,683.0506097
curveLM.11,718.8850059,682.1149941
curveLM.12,719.8206214,681.1793786
curveLM.13,721.0491301,680.9508699
curveLM.14,721.9847457,680.0152543
curveLM.15,722.9203612,679.0796388
curveLM.16,724.14887,678.85113
curveLM.17,725.1194805,678
curveLM.18,726.4426407,678
curveLM.19,727.541503,677.458497
curveLM.20,728.6747475,677
curveLM.21,729.9979077,677
curveLM.22,730.2270292,678.2270292
curveLM.23,731.1626448,679.1626448
curveLM.24,732.0982603,680.0982603
curveLM.25,733.0479077,681
curveLM.26,734.2623846,681.2623846
curveLM.27,735.2800144,682
curveLM.28,736.4265089,681.5734911
curveLM.29,737.3621244,680.6378756
curveLM.30,738.2977399,679.7022601
curveLM.31,739,678.6699856
curveLM.32,739.4618642,677.5381358
curveLM.33,740.3974797,676.6025203
curveLM.34,741.3330953,675.6669047
curveLM.35,742.2687108,674.7312892
curveLM.36,743.2043263,673.7956737
curveLM.37,744.1399419,672.8600581
curveLM.38,745.0755574,671.9244426
curveLM.39,746.0111729,670.9888271
curveLM.40,746.9467884,670.0532116
curveLM.41,747.882404,669.117596
curveLM.42,748.8180195,668.1819805
curveLM.43,749.753635,667.246365
curveLM.44,750.6892506,666.3107494
curveLM.45,751,665.1163059
curveLM.46,751.8533748,664.1466252
curveLM.47,752.7889904,663.2110096
curveLM.48,753.7246059,662.2753941
curveLM.49,754.6602214,661.3397786
curveLM.50,755.595837,660.404163
curveLM.51,756.5314525,659.4685475
curveLM.52,757.467068,658.532932
curveLM.53,758.5694805,658
curveLM.54,759.6311923,657.3688077
curveLM.55,760.8015873,657
curveLM.56,761.0882098,655.9117902
curveLM.57,762.0336941,655
curveLM.58,763.2523341,654.7476659
curveLM.59,764.1879496,653.8120504
curveLM.60,765.1747475,653
curveLM.61,766.3520739,652.6479261
curveLM.62,767.2876894,651.7123106
curveLM.63,768.3158009,651
curveLM.64,769.6389611,651
curveLM.65,770.9621212,651
curveLM.66,771.9088312,650.0911688
curveLM.67,773.194228,650
curveLM.68,774.3658487,649.6341513
curveLM.69,775.4263348,649
curveLM.70,776.749495,649
curveLM.71,778.0726552,649
curveLM.72,779.3958153,649
curveLM.73,780.7189755,649
curveLM.74,781.7369012,649.7369012
curveLM.75,782.9510823,650
curveLM.76,784.2742425,650
curveLM.77,785.5974026,650
curveLM.78,786.9205628,650
curveLM.79,788.1723382,650.1723382
curveLM.80,789.1526696,651
curveLM.81,790.4758298,651
curveLM.82,791.7989899,651
curveLM.83,793.0863732,651.0863732
curveLM.84,794.0310967,652
curveLM.85,795.2504974,652.2504974
curveLM.86,796.2632035,653
curveLM.87,797,653.5863637
curveLM.88,797.9095238,654
curveLM.89,798.8716392,654.8716392
curveLM.90,799.8072548,655.8072548
curveLM.91,800.7428703,656.7428703
curveLM.92,801.6784858,657.6784858
curveLM.93,802.6141013,658.6141013
curveLM.94,803.5497169,659.5497169
curveLM.95,804,660.6863637
curveLM.96,804.7138412,661.7138412
curveLM.97,805.6494567,662.6494567
curveLM.98,806.8274171,663
curveLM.99,807.813581,663.813581
curveLM.100,809.0420897,664.0420897
curveLM.101,809.9777052,664.9777052
curveLM.102,811.2916306,665
curveLM.103,812,665.6147908
curveLM.104,812.937951,666
curveLM.105,814.1846335,666.1846335
curveLM.106,815.1700578,667
curveLM.107,816.4932179,667
