,V1,V2
suture_start,1484,319
curveLM.3,1483.339611,319
curveLM.4,1482.679222,319
curveLM.5,1482.018833,319
curveLM.6,1481.358444,319
curveLM.7,1480.786493,318.786493
curveLM.8,1480.319528,318.3195276
curveLM.9,1479.791491,318
curveLM.10,1479.131102,318
curveLM.11,1478.470714,318
curveLM.12,1477.810325,318
curveLM.13,1477.149936,318
curveLM.14,1476.489547,318
curveLM.15,1475.829158,318
curveLM.16,1475.168769,318
curveLM.17,1474.50838,318
curveLM.18,1473.892514,317.8925137
curveLM.19,1473.425548,317.4255482
curveLM.20,1472.941427,317
curveLM.21,1472.281038,317
curveLM.22,1471.620649,317
curveLM.23,1470.96026,317
curveLM.24,1470.299872,317
curveLM.25,1469.639483,317
curveLM.26,1468.979094,317
curveLM.27,1468.318705,317
curveLM.28,1467.758393,317.241607
curveLM.29,1467.291428,317.7085725
curveLM.30,1466.751752,318
curveLM.31,1466.091363,318
curveLM.32,1465.430974,318
curveLM.33,1464.770585,318
curveLM.34,1464.110196,318
curveLM.35,1463.449807,318
curveLM.36,1462.789419,318
curveLM.37,1462.12903,318
curveLM.38,1461.468641,318
curveLM.39,1460.808252,318
curveLM.40,1460.147863,318
curveLM.41,1459.637589,317.6375895
curveLM.42,1459.170624,317.170624
curveLM.43,1458.58091,317
curveLM.44,1457.9438,316.9437999
curveLM.45,1457.476834,316.4768344
curveLM.46,1457.009869,316.0098689
curveLM.47,1456.542903,315.5429035
curveLM.48,1456.075938,315.075938
curveLM.49,1455.447004,315
curveLM.50,1454.849114,314.8491139
curveLM.51,1454.382148,314.3821484
curveLM.52,1453.915183,313.915183
curveLM.53,1453.448217,313.4482175
curveLM.54,1452.973486,313
curveLM.55,1452.313097,313
curveLM.56,1451.754428,312.7544279
curveLM.57,1451.287462,312.2874624
curveLM.58,1450.746144,312
curveLM.59,1450.085756,312
curveLM.60,1449.593673,311.5936728
curveLM.61,1449.126707,311.1267074
curveLM.62,1448.518802,311
curveLM.63,1447.899883,310.8998832
curveLM.64,1447.432918,310.4329178
curveLM.65,1446.951849,310
curveLM.66,1446.29146,310
curveLM.67,1445.739128,309.7391282
curveLM.68,1445.272163,309.2721627
curveLM.69,1444.724507,309
curveLM.70,1444.064118,309
curveLM.71,1443.578373,308.5783731
curveLM.72,1443.111408,308.1114077
curveLM.73,1442.497165,308
curveLM.74,1441.884584,307.8845835
curveLM.75,1441.417618,307.4176181
curveLM.76,1441,306.9302122
curveLM.77,1441,306.2698233
curveLM.78,1440.723828,305.7238285
curveLM.79,1440.256863,305.256863
curveLM.80,1439.789898,304.7898975
curveLM.81,1439.322932,304.3229321
curveLM.82,1438.796306,304
curveLM.83,1438.135917,304
curveLM.84,1437.629142,303.6291425
curveLM.85,1437.162177,303.162177
curveLM.86,1436.568964,303
curveLM.87,1435.935353,302.9353529
curveLM.88,1435.468387,302.4683874
curveLM.89,1435.001422,302.001422
curveLM.90,1434.341622,302
curveLM.91,1433.774598,301.7745978
curveLM.92,1433.307632,301.3076324
curveLM.93,1432.774669,301
curveLM.94,1432.11428,301
curveLM.95,1431.613843,300.6138428
curveLM.96,1431.146877,300.1468773
curveLM.97,1430.547327,300
curveLM.98,1429.920053,299.9200532
curveLM.99,1429.453088,299.4530877
curveLM.100,1428.980374,299
curveLM.101,1428.319985,299
curveLM.102,1427.759298,298.7592981
curveLM.103,1427.292333,298.2923326
curveLM.104,1426.753032,298
curveLM.105,1426.092643,298
curveLM.106,1425.598543,297.598543
curveLM.107,1425.131578,297.1315776
curveLM.108,1424.52569,297
curveLM.109,1423.904753,296.9047534
curveLM.110,1423.437788,296.437788
curveLM.111,1422.958737,296
curveLM.112,1422.298348,296
curveLM.113,1421.743998,296.2560016
curveLM.114,1421.277033,296.7229671
curveLM.115,1420.731395,297
curveLM.116,1420.071006,297
curveLM.117,1419.410617,297
curveLM.118,1418.823385,297.1766154
curveLM.119,1418.356419,297.6435808
curveLM.120,1417.843664,298
curveLM.121,1417.183275,298
curveLM.122,1416.522886,298
curveLM.123,1416,298.1375027
curveLM.124,1416,298.7978916
curveLM.125,1415.54172,299
curveLM.126,1414.916088,299.0839119
curveLM.127,1414.449123,299.5508774
curveLM.128,1413.982157,300.0178428
curveLM.129,1413.515192,300.4848083
