,V1,V2
suture_start,166,373
curveLM.3,167.7192518,372.2807482
curveLM.4,169,371.3798623
curveLM.5,170.6373133,371
curveLM.6,172.2402754,370
curveLM.7,173.8891521,369.1108479
curveLM.8,175.6084039,368.3915961
curveLM.9,177.4633751,368
curveLM.10,179.0663372,367
curveLM.11,180.7661592,366.2338408
curveLM.12,182.485411,365.514589
curveLM.13,184.2894369,365
curveLM.14,186.3066125,365
curveLM.15,188.3237881,365
curveLM.16,190.3409637,365
curveLM.17,192.3581394,365
curveLM.18,193.9724946,365.9724946
curveLM.19,195.978277,366
curveLM.20,197.4109981,364.5890019
curveLM.21,198.8373567,363.1626433
curveLM.22,200.5566085,362.4433915
curveLM.23,201.982967,361.017033
curveLM.24,203.4093256,359.5906744
curveLM.25,205.1285773,358.8714227
curveLM.26,206.5549359,357.4450641
curveLM.27,207.9812945,357.9812945
curveLM.28,209.7005462,358.7005462
curveLM.29,211.5936841,359
curveLM.30,213.6108597,359
curveLM.31,215.6280353,359
curveLM.32,217.6452109,359
curveLM.33,219.6623865,359
curveLM.34,221.2653486,358
curveLM.35,223.2825242,358
curveLM.36,225.2119198,357.7880802
curveLM.37,226.9026619,357
curveLM.38,228.9198375,357
curveLM.39,230.6625683,356.3374317
curveLM.40,232.5399752,356
curveLM.41,234.5571508,356
curveLM.42,235.5743264,355
curveLM.43,237.5915021,355
curveLM.44,239.4304001,355.4304001
curveLM.45,241.2116397,356
curveLM.46,243.2288154,356
curveLM.47,245.245991,356
curveLM.48,247.2631666,356
curveLM.49,248.2803422,355
curveLM.50,250.2975178,355
curveLM.51,251.9296287,354.0703713
curveLM.52,253.9176555,354
curveLM.53,255.5206176,353
curveLM.54,257.5377932,353
curveLM.55,259.1407553,352
curveLM.56,261.1579309,352
curveLM.57,263.1751065,352
curveLM.58,264.8430708,351.1569292
curveLM.59,266.7952442,351
curveLM.60,268.8124198,351
curveLM.61,270.4153819,350
curveLM.62,272,349.5674425
curveLM.63,273.4497331,349
curveLM.64,275,348.5330913
curveLM.65,276.4840843,348
curveLM.66,278.50126,348
curveLM.67,280.104222,347
curveLM.68,282.1213976,347
curveLM.69,284.1385733,347
curveLM.70,285.8172379,347.8172379
curveLM.71,287.7587109,348
curveLM.72,289.7758866,348
curveLM.73,291.3788486,349
curveLM.74,293.3960242,349
curveLM.75,295.4131998,349
curveLM.76,297.4303755,349
curveLM.77,299.0333375,348
curveLM.78,301.0505131,348
curveLM.79,303.0676888,348
curveLM.80,304.0848644,347
curveLM.81,306.10204,347
curveLM.82,308.1192156,347
curveLM.83,310.1363912,347
curveLM.84,312.1535669,347
curveLM.85,313.82784,347.82784
curveLM.86,315.7737045,348
curveLM.87,317.7908802,348
curveLM.88,319,348.8080558
curveLM.89,320.8252314,349
curveLM.90,322.842407,349
curveLM.91,324.6078167,348.3921833
curveLM.92,326.4625447,348
curveLM.93,328.4797203,348
curveLM.94,330.0826824,347
curveLM.95,332.099858,347
curveLM.96,334.0827553,346.9172447
curveLM.97,335.7199957,346
curveLM.98,337.7371713,346
curveLM.99,339.3401334,345
curveLM.100,341.357309,345
curveLM.101,343.3744846,345
curveLM.102,345.2769456,344.7230544
curveLM.103,346.9946223,344
curveLM.104,349.0117979,344
curveLM.105,351.0289735,344
curveLM.106,353.0461491,344
curveLM.107,355.0633248,344
curveLM.108,357.0805004,344
curveLM.109,359.097676,344
