,V1,V2
suture_start,472,534
curveLM.3,473.9670855,534
curveLM.4,475.6605587,534.6605587
curveLM.5,477.4870431,535
curveLM.6,479.3211174,535.3211174
curveLM.7,481.0070006,536
curveLM.8,482.9740861,536
curveLM.9,484.5269581,537
curveLM.10,486.0798301,538
curveLM.11,487.7402811,538.7402811
curveLM.12,489.1312207,540.1312207
curveLM.13,490.5221602,541.5221602
curveLM.14,491.9130997,542.9130997
curveLM.15,493.3040392,544.3040392
curveLM.16,494.6949788,545.6949788
curveLM.17,496.0859183,547.0859183
curveLM.18,497,548.6743788
curveLM.19,498,550.2272508
curveLM.20,498.8445233,551.8445233
curveLM.21,500.3329947,551
curveLM.22,502.2121888,550.7878112
curveLM.23,503.8529522,550
curveLM.24,505.8200378,550
curveLM.25,507.3729098,549
curveLM.26,509.3399953,549
curveLM.27,511.3070809,549
curveLM.28,513.2741664,549
curveLM.29,515.2412519,549
curveLM.30,517.2083375,549
curveLM.31,518.8311496,549.8311496
curveLM.32,520.728295,550
curveLM.33,522.4917083,550.4917083
curveLM.34,524.2482525,551
curveLM.35,526.2153381,551
curveLM.36,528.128993,551.128993
curveLM.37,529.7352956,552
curveLM.38,531.7023811,552
curveLM.39,533.6694667,552
curveLM.40,535.6365522,552
curveLM.41,537.1894242,553
curveLM.42,539.1106691,553.1106691
curveLM.43,540.7093817,554
curveLM.44,542.4783346,554.4783346
curveLM.45,544.2293392,555
curveLM.46,545.1964248,556
curveLM.47,547.1635103,556
curveLM.48,548.799452,556.799452
curveLM.49,550.6834678,557
curveLM.50,552.2363398,558
curveLM.51,554.2034253,558
curveLM.52,555.8276762,558.8276762
curveLM.53,557.7233829,559
curveLM.54,559.4882349,559.4882349
curveLM.55,561.2433404,560
curveLM.56,563.1487936,560.1487936
curveLM.57,564.7632979,561
curveLM.58,566.7303834,561
curveLM.59,568.697469,561
curveLM.60,570.250341,562
curveLM.61,572.2174265,562
curveLM.62,574.1845121,562
curveLM.63,576.1515976,562
curveLM.64,578.0839216,562.0839216
curveLM.65,579.6715551,563
curveLM.66,581.6386407,563
curveLM.67,583.6057262,563
curveLM.68,585.4050391,563.4050391
curveLM.69,587.1256837,564
curveLM.70,589.0927693,564
curveLM.71,591.0423237,564.0423237
curveLM.72,592.6127268,565
curveLM.73,594.5798123,565
curveLM.74,596.5468979,565
curveLM.75,598.5139834,565
curveLM.76,600.4810689,565
curveLM.77,602.4481545,565
curveLM.78,604.41524,565
curveLM.79,606.3823256,565
curveLM.80,608.3494111,565
curveLM.81,610.3164967,565
curveLM.82,612.2835822,565
curveLM.83,613.8843556,564.1156444
curveLM.84,615.8035397,564
curveLM.85,617.7706253,564
curveLM.86,619.7377108,564
curveLM.87,621.4983663,564.4983663
curveLM.88,623.2576683,565
curveLM.89,625.2247539,565
curveLM.90,627.1918394,565
curveLM.91,629.1123769,565.1123769
curveLM.92,630.7117969,566
curveLM.93,632.6788825,566
curveLM.94,634.645968,566
curveLM.95,636.6130535,566
curveLM.96,638.4102203,566.4102203
curveLM.97,640.1330111,567
curveLM.98,642.1000966,567
curveLM.99,644.0671821,567
curveLM.100,646.0342677,567
curveLM.101,648.0013532,567
curveLM.102,649.9684388,567
curveLM.103,651.9355243,567
curveLM.104,653.4883963,568
curveLM.105,655.4554818,568
curveLM.106,657.2988003,568.2988003
curveLM.107,658.9754394,569
curveLM.108,660.9425249,569
curveLM.109,662.4953969,570
curveLM.110,664.4624824,570
curveLM.111,666.429568,570
curveLM.112,668.3966535,570
curveLM.113,670.363739,570
curveLM.114,672.3308246,570
curveLM.115,674.2979101,570
curveLM.116,676.2649957,570
curveLM.117,678.2320812,570
curveLM.118,680.1991667,570
curveLM.119,682.1662523,570
curveLM.120,684.1333378,570
curveLM.121,686.1004234,570
curveLM.122,688.0675089,570
curveLM.123,690.0345945,570
curveLM.124,692.0011879,569.9988121
curveLM.125,693.554552,569
curveLM.126,695.5216375,569
curveLM.127,697.4887231,569
curveLM.128,699.4558086,569
curveLM.129,701.4228941,569
curveLM.130,703.3899797,569
curveLM.131,705.3570652,569
curveLM.132,707.3241508,569
curveLM.133,709.2912363,569
curveLM.134,711.2583218,569
curveLM.135,713.2254074,569
curveLM.136,715.1924929,569
curveLM.137,717.1595785,569
curveLM.138,718.7966718,568.2033282
curveLM.139,720.679536,568
curveLM.140,722.6466215,568
curveLM.141,724.4339564,567.5660436
curveLM.142,726.1665791,567
curveLM.143,727.8016219,566.1983781
curveLM.144,729.6865366,566
curveLM.145,731.6536221,566
curveLM.146,733.6207077,566
curveLM.147,735.1735796,567
curveLM.148,737.1406652,567
curveLM.149,739.0761913,567.0761913
curveLM.150,740.6606227,568
curveLM.151,742.6277082,568
curveLM.152,744.1805802,567
curveLM.153,746.1476658,567
curveLM.154,748.0811414,566.9188586
curveLM.155,749.6676233,566
curveLM.156,751.6347088,566
curveLM.157,753.6017944,566
curveLM.158,755.5688799,566
curveLM.159,757.1217519,565
curveLM.160,759.0888374,565
curveLM.161,761.055923,565
curveLM.162,763.0230085,565
curveLM.163,764.9900941,565
curveLM.164,766.9571796,565
curveLM.165,768.9242651,565
curveLM.166,770.8913507,565
curveLM.167,772.8584362,565
curveLM.168,774.8255218,565
curveLM.169,776.7926073,565
curveLM.170,778.7596928,565
curveLM.171,780.7267784,565
curveLM.172,782.4906359,564.5093641
curveLM.173,784.2467359,564
curveLM.174,786.1511946,563.8488054
curveLM.175,787.7666934,563
curveLM.176,789.733779,563
curveLM.177,791.2866509,562
curveLM.178,793.2537365,562
curveLM.179,794.8632515,562.8632515
curveLM.180,796.773694,563
curveLM.181,798.7407795,563
curveLM.182,800.7078651,563
curveLM.183,802.2607371,564
curveLM.184,804.2278226,564
curveLM.185,806.1949081,564
curveLM.186,808.1619937,564
curveLM.187,810.1290792,564
curveLM.188,812.0961648,564
curveLM.189,814.0632503,564
curveLM.190,816.0214507,564.0214507
curveLM.191,817.5832078,565
curveLM.192,819.5502934,565
curveLM.193,821,565.5173789
curveLM.194,822.4844645,566
curveLM.195,824.3192941,566.3192941
curveLM.196,826.004422,567
curveLM.197,827.6869596,567.6869596
curveLM.198,829.5243795,568
curveLM.199,831.0772515,569
curveLM.200,833.044337,569
curveLM.201,834.0114226,570
curveLM.202,835.9785081,570
curveLM.203,837,570.9455936
curveLM.204,838.9126792,571
curveLM.205,840.6220876,571.6220876
curveLM.206,842.4326367,572
curveLM.207,844.3997222,572
curveLM.208,846.3668078,572
curveLM.209,848.3338933,572
curveLM.210,849.919931,572.919931
curveLM.211,851.8538509,573
curveLM.212,853.8209364,573
curveLM.213,855.5572157,573.5572157
curveLM.214,857.3408939,574
curveLM.215,859.3079795,574
curveLM.216,860.275065,575
curveLM.217,862.2421505,575
curveLM.218,864.2092361,575
curveLM.219,866.1763216,575
curveLM.220,868.1434072,575
curveLM.221,870.1104927,575
curveLM.222,872.0775782,575
curveLM.223,874.0446638,575
curveLM.224,876.0117493,575
curveLM.225,877.9788349,575
curveLM.226,879.9459204,575
curveLM.227,881.913006,575
curveLM.228,883.8800915,575
curveLM.229,885.5990446,574.4009554
curveLM.230,887.2828774,573.7171226
curveLM.231,888.952921,573
curveLM.232,890.505793,572
curveLM.233,892.3343756,571.6656244
curveLM.234,894.0182083,570.9817917
curveLM.235,895.5786225,570
curveLM.236,897.3858738,569.6141262
curveLM.237,899.09858,569
curveLM.238,900.7535393,568.2464607
curveLM.239,902.6185375,568
curveLM.240,904.5856231,568
curveLM.241,906.5527086,568
curveLM.242,908.1055806,567
curveLM.243,910.0726661,567
curveLM.244,912.0397517,567
curveLM.245,914.0048346,567.0048346
curveLM.246,915.5597092,568
curveLM.247,917.5267947,568
curveLM.248,919.4938803,568
curveLM.249,921,568.4609658
curveLM.250,922.4280513,569
curveLM.251,924.279404,569.279404
curveLM.252,925.9480089,570
curveLM.253,927.9150944,570
curveLM.254,928.8821799,571
curveLM.255,930.8492655,571
curveLM.256,932.4021375,572
