,V1,V2
suture_start,1043,691
curveLM.3,1043.626119,691.6261193
curveLM.4,1044.356719,692
curveLM.5,1045.242186,692
curveLM.6,1046.127652,692
curveLM.7,1047.013119,692
curveLM.8,1047.898585,692
curveLM.9,1048.784052,692
curveLM.10,1049.669518,692
curveLM.11,1050.554985,692
curveLM.12,1051.440451,692
curveLM.13,1052.230458,691.7695415
curveLM.14,1052.856578,691.1434222
curveLM.15,1053.682637,691
curveLM.16,1054.568103,691
curveLM.17,1055.45357,691
curveLM.18,1056.239735,690.7602652
curveLM.19,1056.865854,690.1341459
curveLM.20,1057.695756,690
curveLM.21,1058.581222,690
curveLM.22,1059.466688,690
curveLM.23,1060.352155,690
curveLM.24,1061.168024,689.8319763
curveLM.25,1061.794143,689.2058569
curveLM.26,1062.594341,689
curveLM.27,1063.479807,689
curveLM.28,1064.365274,689
curveLM.29,1065.25074,689
curveLM.30,1066,689.1362066
curveLM.31,1066.021673,690
curveLM.32,1066.90714,690
curveLM.33,1067.792606,690
curveLM.34,1068.678072,690
curveLM.35,1069.398482,690.3984822
curveLM.36,1070.034792,691
curveLM.37,1070.920258,691
curveLM.38,1071.805725,691
curveLM.39,1072,691.6911912
curveLM.40,1072,692.5766576
curveLM.41,1072,693.4621241
curveLM.42,1072,694.3475906
curveLM.43,1072,695.233057
curveLM.44,1072,696.1185235
curveLM.45,1072,697.0039899
curveLM.46,1072,697.8894564
curveLM.47,1072,698.7749228
curveLM.48,1072,699.6603893
curveLM.49,1071.614022,700.3859783
curveLM.50,1070.987902,701.0120977
curveLM.51,1070.361783,701.638217
curveLM.52,1069.735664,702.2643363
curveLM.53,1069.109544,702.8904557
curveLM.54,1068.483425,703.516575
curveLM.55,1068,704.2018003
curveLM.56,1067.938293,705.0617069
curveLM.57,1067.312174,705.6878262
curveLM.58,1067,706.4439861
curveLM.59,1066.767042,707.2329581
curveLM.60,1066.140923,707.8590775
curveLM.61,1066,708.6861719
curveLM.62,1066,709.5716384
curveLM.63,1066.457105,710
curveLM.64,1067,710.3425713
curveLM.65,1067.228038,711
curveLM.66,1068.08026,711.0802596
curveLM.67,1068.706379,711.7063789
curveLM.68,1069.332498,712.3324983
curveLM.69,1069.958618,712.9586176
curveLM.70,1070.826943,713
curveLM.71,1071.503749,713.5037495
curveLM.72,1072.183662,714
curveLM.73,1073.048881,714.0488814
curveLM.74,1073.675001,714.6750007
curveLM.75,1074.425848,715
curveLM.76,1075.311315,715
curveLM.77,1076.139145,714.8608548
curveLM.78,1076.765265,714.2347355
curveLM.79,1077.5535,714
curveLM.80,1078.310396,713.6896036
curveLM.81,1078.936516,713.0634843
curveLM.82,1079.795686,713
curveLM.83,1080.481648,712.5183524
curveLM.84,1081.107767,711.892233
curveLM.85,1081.733886,711.2661137
curveLM.86,1082.360006,710.6399943
curveLM.87,1082.986125,710.013875
curveLM.88,1083.612244,709.3877557
curveLM.89,1084,708.6629029
curveLM.90,1084.157376,707.8426238
curveLM.91,1084.783496,707.2165044
curveLM.92,1085,706.4207171
curveLM.93,1085.328627,705.6713725
curveLM.94,1085.954747,705.0452532
curveLM.95,1086,704.1785312
curveLM.96,1086,703.2930648
curveLM.97,1086.592402,703
curveLM.98,1087,702.5221319
curveLM.99,1087,701.6366654
curveLM.100,1087.175929,700.8240711
curveLM.101,1087.802048,700.1979517
curveLM.102,1088.428168,699.5718324
curveLM.103,1089.054287,698.9457131
curveLM.104,1089.680406,698.3195937
curveLM.105,1090.306526,697.6934744
curveLM.106,1090.932645,697.0673551
curveLM.107,1091.790212,697
curveLM.108,1092.477777,696.5222232
curveLM.109,1093,696.1469314
curveLM.110,1093,697.0323978
curveLM.111,1093,697.9178643
curveLM.112,1093,698.8033308
curveLM.113,1093,699.6887972
curveLM.114,1093,700.5742637
curveLM.115,1093,701.4597301
curveLM.116,1093,702.3451966
