,V1,V2
suture_start,291,680
curveLM.3,291.7069429,680
curveLM.4,292.4138858,680
curveLM.5,293.1208287,680
curveLM.6,293.8277716,680
curveLM.7,294.3781002,679.6218998
curveLM.8,294.8779843,679.1220157
curveLM.9,295.5343867,679
curveLM.10,296.2413296,679
curveLM.11,296.9482724,679
curveLM.12,297.6552153,679
curveLM.13,298.3621582,679
curveLM.14,299,678.9308989
curveLM.15,299,678.223956
curveLM.16,299.4829869,678
curveLM.17,300.1899298,678
curveLM.18,300.8968727,678
curveLM.19,301.6038156,678
curveLM.20,302.2197394,677.7802606
curveLM.21,302.7196235,677.2803765
curveLM.22,303.2195076,677.2195076
curveLM.23,303.7193917,677.7193917
curveLM.24,304.3101029,678
curveLM.25,305.0120532,678.0120532
curveLM.26,305.5119373,678.5119373
curveLM.27,306.0118214,679.0118214
curveLM.28,306.5117055,679.5117055
curveLM.29,307.0115896,680.0115896
curveLM.30,307.5114737,680.5114737
curveLM.31,308.0113579,681.0113579
curveLM.32,308.511242,681.511242
curveLM.33,309.0111261,682.0111261
curveLM.34,309.5110102,682.5110102
curveLM.35,310,683.0154069
curveLM.36,310,683.7223498
curveLM.37,310.3035557,684.3035557
curveLM.38,310.8034398,684.8034398
curveLM.39,311.303324,685.303324
curveLM.40,311.8032081,685.8032081
curveLM.41,312.4286371,686
curveLM.42,313.0958695,686.0958695
curveLM.43,313.5957536,686.5957536
curveLM.44,314.1352522,687
curveLM.45,314.8421951,687
curveLM.46,315.549138,687
curveLM.47,316.2560809,687
curveLM.48,316.9630237,687
curveLM.49,317.6699666,687
curveLM.50,318.3769095,687
curveLM.51,319.0838524,687
curveLM.52,319.7907953,687
curveLM.53,320.4977382,687
curveLM.54,321.2046811,687
curveLM.55,321.911624,687
curveLM.56,322.6185669,687
curveLM.57,323.3255098,687
curveLM.58,324.0324526,687
curveLM.59,324.7393955,687
curveLM.60,325.4463384,687
curveLM.61,326.1532813,687
curveLM.62,326.8602242,687
curveLM.63,327.4010477,687.4010477
curveLM.64,327.9009318,687.9009318
curveLM.65,328.4008159,688.4008159
curveLM.66,328.9007,688.9007
curveLM.67,329.4005841,689.4005841
curveLM.68,329.9004683,689.9004683
curveLM.69,330.4003524,690.4003524
curveLM.70,330.9002365,690.9002365
curveLM.71,331,691.565856
curveLM.72,331.1928979,692.1928979
curveLM.73,331.692782,692.692782
curveLM.74,332,693.2724711
curveLM.75,332,693.979414
curveLM.76,332,694.6863568
curveLM.77,332.3932997,695
curveLM.78,333,695.1002426
curveLM.79,333,695.8071855
curveLM.80,333.5141284,696
curveLM.81,334,696.2210713
curveLM.82,334,696.9280142
curveLM.83,334.6349571,697
curveLM.84,335.2417598,697.2417598
curveLM.85,335.7416439,697.7416439
curveLM.86,336.241528,698.241528
curveLM.87,336.7414121,698.7414121
curveLM.88,337.2412962,699.2412962
curveLM.89,337.7411803,699.7411803
curveLM.90,338.2410644,700.2410644
curveLM.91,338.7409486,700.7409486
curveLM.92,339.3405888,701
curveLM.93,340.0475317,701
curveLM.94,340.7544746,701
curveLM.95,341.3262714,700.6737286
curveLM.96,341.8261556,700.1738444
curveLM.97,342.4610897,700
curveLM.98,343.1680326,700
curveLM.99,343.8749755,700
curveLM.100,344.5819184,700
curveLM.101,345.2042558,700.2042558
curveLM.102,345.7041399,700.7041399
curveLM.103,346.2885335,701
curveLM.104,346.9954764,701
curveLM.105,347.4966854,701.4966854
curveLM.106,347.9965695,701.9965695
curveLM.107,348.4964537,702.4964537
curveLM.108,348.9963378,702.9963378
curveLM.109,349.4962219,703.4962219
curveLM.110,349.996106,703.996106
curveLM.111,350.7014359,704
curveLM.112,351.4083788,704
curveLM.113,352.1153217,704
curveLM.114,352.8222646,704
curveLM.115,353.3742062,704.3742062
curveLM.116,353.8740903,704.8740903
curveLM.117,354.5288797,705
curveLM.118,355.2358226,705
curveLM.119,355.9427655,705
curveLM.120,356.6497084,705
curveLM.121,357.3566513,705
curveLM.122,358.0635941,705
curveLM.123,358.770537,705
curveLM.124,359,705.4774799
curveLM.125,359,706.1844228
curveLM.126,359,706.8913657
curveLM.127,359.4230681,707.4230681
curveLM.128,359.9229522,707.9229522
curveLM.129,360.4228363,708.4228363
curveLM.130,360.9227204,708.9227204
curveLM.131,361,709.597653
curveLM.132,361,710.3045959
curveLM.133,361.0115388,711
curveLM.134,361.7184817,711
curveLM.135,362,711.4254246
curveLM.136,362.0935979,712.0935979
curveLM.137,362.5934821,712.5934821
curveLM.138,363.1320397,713
curveLM.139,363.8389826,713
curveLM.140,364,713.5459255
curveLM.141,364.2528684,714
curveLM.142,364.9598113,714
curveLM.143,365.4714664,714.4714664
curveLM.144,365.9713505,714.9713505
curveLM.145,366.4712346,715.4712346
curveLM.146,366.9711187,715.9711187
curveLM.147,367.6660986,716
curveLM.148,368.2637802,716.2637802
curveLM.149,368.7636643,716.7636643
curveLM.150,369.3727137,717
curveLM.151,370.0563257,717.0563257
curveLM.152,370.5562098,717.5562098
curveLM.153,371.0793288,718
curveLM.154,371.7862717,718
curveLM.155,372.3487554,718.3487554
curveLM.156,372.8486395,718.8486395
curveLM.157,373.4928868,719
curveLM.158,374.1998297,719
curveLM.159,374.9067726,719
curveLM.160,375.4339624,719.4339624
curveLM.161,375.9338465,719.9338465
curveLM.162,376.6133877,720
curveLM.163,377.3203306,720
curveLM.164,378.0272735,720
curveLM.165,378.7342163,720
curveLM.166,379.4411592,720
curveLM.167,380.1481021,720
curveLM.168,380.855045,720
curveLM.169,381.5619879,720
curveLM.170,382.2689308,720
curveLM.171,382.9758737,720
curveLM.172,383.6828166,720
curveLM.173,384.3897595,720
curveLM.174,385,719.9032976
curveLM.175,385,719.1963548
curveLM.176,385.5105881,719
curveLM.177,386.217531,719
curveLM.178,386.9244739,719
curveLM.179,387,718.3685832
