,V1,V2
suture_start,1125,357
curveLM.3,1125.968127,357
curveLM.4,1126.936254,357
curveLM.5,1127.904381,357
curveLM.6,1128.872509,357
curveLM.7,1129.840636,357
curveLM.8,1130,357.808763
curveLM.9,1130.77689,358
curveLM.10,1131.745017,358
curveLM.11,1132.713144,358
curveLM.12,1133.681272,358
curveLM.13,1134.649399,358
curveLM.14,1135.617526,358
curveLM.15,1136.585653,358
curveLM.16,1137.55378,358
curveLM.17,1138.521907,358
curveLM.18,1139.490035,358
curveLM.19,1140.458162,358
curveLM.20,1141.426289,358
curveLM.21,1142.278894,357.7211057
curveLM.22,1142.963464,357.0365364
curveLM.23,1143.916457,357
curveLM.24,1144.884584,357
curveLM.25,1145.852711,357
curveLM.26,1146.58042,356.4195796
curveLM.27,1147.374752,356
curveLM.28,1148.342879,356
curveLM.29,1149.311006,356
curveLM.30,1150.279133,356
curveLM.31,1151.247261,356
curveLM.32,1152.215388,356
curveLM.33,1153.129765,356.1297647
curveLM.34,1153.814334,356.8143339
curveLM.35,1154.705556,357
curveLM.36,1155.673683,357
curveLM.37,1156.64181,357
curveLM.38,1157.609937,357
curveLM.39,1158.578064,357
curveLM.40,1159.386216,357.3862157
curveLM.41,1160.100105,358
curveLM.42,1161.068232,358
curveLM.43,1162.036359,358
curveLM.44,1163.004487,358
curveLM.45,1163.972614,358
curveLM.46,1164.940741,358
curveLM.47,1165.908868,358
curveLM.48,1166.876995,358
curveLM.49,1167.845122,358
curveLM.50,1168.81325,358
curveLM.51,1169.781377,358
curveLM.52,1170.749504,358
curveLM.53,1171.717631,358
curveLM.54,1172.685758,358
curveLM.55,1173.462367,358.4623668
curveLM.56,1174.207799,359
curveLM.57,1175.175926,359
curveLM.58,1176.144053,359
curveLM.59,1177.11218,359
curveLM.60,1178.056786,359.0567861
curveLM.61,1178.741355,359.7413554
curveLM.62,1179.602348,360
curveLM.63,1180.570476,360
curveLM.64,1181.538603,360
curveLM.65,1182.50673,360
curveLM.66,1183.474857,360
curveLM.67,1184.442984,360
curveLM.68,1185.2907,359.7093003
curveLM.69,1185.975269,359.0247311
curveLM.70,1186.933152,359
curveLM.71,1187.901279,359
curveLM.72,1188.869406,359
curveLM.73,1189.837534,359
curveLM.74,1190.569688,358.4303118
curveLM.75,1191.359574,358
curveLM.76,1192.327702,358
curveLM.77,1193.209183,357.7908175
curveLM.78,1193.893752,357.1062482
curveLM.79,1194.81787,357
curveLM.80,1195.555784,356.4442164
curveLM.81,1196.33991,356
curveLM.82,1197.308037,356
curveLM.83,1198.276165,356
curveLM.84,1199.244292,356
curveLM.85,1200.212419,356
curveLM.86,1201.127665,356.1276654
curveLM.87,1201.812235,356.8122346
curveLM.88,1202.702587,357
curveLM.89,1203.670714,357
curveLM.90,1204.638841,357
curveLM.91,1205.429191,357.4291914
curveLM.92,1206.160882,358
