,V1,V2
suture_start,1064,625
curveLM.3,1064.507569,623.4924306
curveLM.4,1065,621.9785905
curveLM.5,1065.522708,620.4772918
curveLM.6,1066.030278,618.9697224
curveLM.7,1067.244954,617.7550462
curveLM.8,1068.45963,616.5403701
curveLM.9,1069,615.0463871
curveLM.10,1070.181876,613.8181245
curveLM.11,1071.396552,612.6034483
curveLM.12,1072.611228,611.3887721
curveLM.13,1073.825904,610.174096
curveLM.14,1075,608.9426109
curveLM.15,1075.775201,608
curveLM.16,1077.055719,606.944281
curveLM.17,1078.382397,606
curveLM.18,1079.777965,605.2220354
curveLM.19,1081.285534,604.714466
curveLM.20,1082,603.292596
curveLM.21,1083,601.988998
curveLM.22,1083.515349,600.4846511
curveLM.23,1084.730025,599.2699749
curveLM.24,1085.237595,597.7624055
curveLM.25,1086.452271,596.5477293
curveLM.26,1087.943205,596
curveLM.27,1089.174516,594.8254837
curveLM.28,1090.389192,593.6108076
curveLM.29,1091.603869,592.3961314
curveLM.30,1092.157597,591
curveLM.31,1093.619007,590.3809926
curveLM.32,1094.833684,589.1663164
curveLM.33,1095.341253,587.658747
curveLM.34,1096.786203,587
curveLM.35,1098.063499,585.9365014
curveLM.36,1099.393398,585
curveLM.37,1100.785744,584.2142559
curveLM.38,1102.293314,583.7066865
curveLM.39,1103.50799,582.4920103
curveLM.40,1104.722666,581.2773341
curveLM.41,1105.937342,580.0626579
curveLM.42,1107,578.7850137
curveLM.43,1107.659588,577.3404124
curveLM.44,1108.874264,576.1257362
curveLM.45,1110,574.8742199
curveLM.46,1110.596509,573.4034906
curveLM.47,1111,571.8528104
curveLM.48,1111.611648,570.3883518
curveLM.49,1112.826324,569.1736756
curveLM.50,1114,567.9420165
curveLM.51,1114.54857,566.4514301
curveLM.52,1115.056139,564.9438607
curveLM.53,1116.270816,563.7291845
curveLM.54,1117.485492,562.5145083
curveLM.55,1118.990187,562
curveLM.56,1119.50063,560.4993695
curveLM.57,1120.715307,559.2846934
curveLM.58,1121.929983,558.0700172
curveLM.59,1123.437552,557.5624478
curveLM.60,1124,556.0776098
curveLM.61,1125.452691,555.547309
curveLM.62,1126,554.0562003
curveLM.63,1127.247398,553
curveLM.64,1128,552.0347908
curveLM.65,1129,550.7311928
curveLM.66,1129.697645,549.3023552
curveLM.67,1130.912321,548.087679
curveLM.68,1131.41989,546.5801097
curveLM.69,1132.897413,546
curveLM.70,1134.435029,545.5649709
curveLM.71,1135.918822,545
curveLM.72,1137.22242,544
curveLM.73,1138,543.0597684
curveLM.74,1139.24383,542
curveLM.75,1140.679983,541.3200171
curveLM.76,1142.187552,540.8124477
curveLM.77,1143,539.431163
curveLM.78,1144.202691,538.7973089
curveLM.79,1145.417367,537.5826327
curveLM.80,1146.632043,536.3679566
curveLM.81,1147.84672,535.1532804
curveLM.82,1149.061396,533.9386042
curveLM.83,1150.276072,532.723928
curveLM.84,1151.490748,531.5092518
curveLM.85,1152.705424,530.2945757
curveLM.86,1153.920101,529.0798995
curveLM.87,1155.134777,527.8652233
curveLM.88,1156.349453,526.6505471
curveLM.89,1157.797799,526
curveLM.90,1159.101397,525
curveLM.91,1160.819208,525
curveLM.92,1162.122806,524
curveLM.93,1163.594407,523.4055934
curveLM.94,1165.101976,522.898024
curveLM.95,1166.316652,521.6833478
curveLM.96,1167.751412,521
curveLM.97,1169.05501,520
curveLM.98,1170.772821,520
curveLM.99,1172.076419,519
curveLM.100,1173.794231,519
curveLM.101,1175.097829,518
curveLM.102,1176,517.1843598
curveLM.103,1177.533452,517
curveLM.104,1178.884777,516.1152232
curveLM.105,1180.392346,515.6076538
curveLM.106,1181.858459,515
curveLM.107,1183.162057,514
curveLM.108,1184.622161,513.3778389
curveLM.109,1186.129731,512.8702695
curveLM.110,1187.344407,511.6555933
curveLM.111,1188.790663,511
curveLM.112,1190.094261,510
curveLM.113,1191.574222,509.4257783
curveLM.114,1192.788898,508.2111022
curveLM.115,1194.296467,507.7035328
curveLM.116,1195.722866,507
curveLM.117,1197.018713,505.9812872
curveLM.118,1198.330062,505
curveLM.119,1199.740958,504.2590416
curveLM.120,1201.248528,503.7514722
curveLM.121,1202,502.3449307
curveLM.122,1203,501.6271192
curveLM.123,1203.771236,500.228764
curveLM.124,1204.985912,499.0140879
curveLM.125,1206.200588,497.7994117
curveLM.126,1207,496.4127273
curveLM.127,1208.215727,495.7842729
curveLM.128,1209.430403,494.5695967
curveLM.129,1210.91228,494
curveLM.130,1212.215878,493
curveLM.131,1213,492.0663104
curveLM.132,1214.460681,491.5393191
curveLM.133,1215.955099,491
curveLM.134,1217.258697,490
curveLM.135,1218.976509,490
curveLM.136,1220.280107,489
curveLM.137,1221.997918,489
curveLM.138,1223.301516,488
curveLM.139,1224.720773,487.2792266
curveLM.140,1226.322926,487
curveLM.141,1227.735912,486.2640878
curveLM.142,1229.243482,485.7565184
curveLM.143,1230.647933,485
curveLM.144,1231.965727,484.0342728
curveLM.145,1233.473297,483.5267034
curveLM.146,1234.687973,482.3120272
curveLM.147,1236.195542,481.8044578
curveLM.148,1237.410218,480.5897817
curveLM.149,1238.883734,480
