,V1,V2
suture_start,629,787
curveLM.3,629,786.1896543
curveLM.4,629,785.3793087
curveLM.5,629.3047892,784.6952108
curveLM.6,629.8777901,784.1222099
curveLM.7,630,783.3624853
curveLM.8,630,782.5521396
curveLM.9,630.1825792,781.8174208
curveLM.10,630.7555801,781.2444199
curveLM.11,631,780.5353162
curveLM.12,631.2750294,780
curveLM.13,632,779.9146249
curveLM.14,632,779.1042793
curveLM.15,632.7060664,779
curveLM.16,633.3651585,778.6348415
curveLM.17,633.9381594,778.0618406
curveLM.18,634.7228898,778
curveLM.19,635.5332354,778
curveLM.20,636.2429485,778.2429485
curveLM.21,636.8159494,778.8159494
curveLM.22,637.3889503,779.3889503
curveLM.23,637.9619512,779.9619512
curveLM.24,638.5349522,780.5349522
curveLM.25,639.1079531,781.1079531
curveLM.26,639.680954,781.680954
curveLM.27,640,782.3591464
curveLM.28,640.119849,783.119849
curveLM.29,640.6928499,783.6928499
curveLM.30,641.3759698,784
curveLM.31,642.1863155,784
curveLM.32,642.9966611,784
curveLM.33,643.8070068,784
curveLM.34,644.6173525,784
curveLM.35,645.4276981,784
curveLM.36,646.1683224,783.8316776
curveLM.37,646.7413233,783.2586767
curveLM.38,647.4445215,783
curveLM.39,648.2548672,783
curveLM.40,649.0461124,782.9538876
curveLM.41,649.6191133,782.3808867
curveLM.42,650.2716906,782
curveLM.43,651.0820362,782
curveLM.44,651.8923819,782
curveLM.45,652.7027275,782
curveLM.46,653.3627975,782.3627975
curveLM.47,653.9357984,782.9357984
curveLM.48,654.7195509,783
curveLM.49,655.5298966,783
curveLM.50,656.2405876,783.2405876
curveLM.51,656.8135885,783.8135885
curveLM.52,657.3865894,783.6134106
curveLM.53,657.9595903,783.0404097
curveLM.54,658.5325912,782.4674088
curveLM.55,659.1055921,781.8944079
curveLM.56,659.678593,781.321407
curveLM.57,660,780.6441924
curveLM.58,660.1174881,779.8825119
curveLM.59,660.690489,779.309511
curveLM.60,661,778.627369
curveLM.61,661.129384,777.870616
curveLM.62,661.7023849,777.2976151
curveLM.63,662,776.6105456
curveLM.64,662,775.8002
curveLM.65,662.0071741,774.9928259
curveLM.66,662.580175,774.419825
curveLM.67,663.1531759,773.8468241
curveLM.68,663.7261768,773.2738232
curveLM.69,664,772.5768988
curveLM.70,664.1650718,771.8349282
curveLM.71,664.7380728,771.2619272
curveLM.72,665.3110737,770.6889263
