,V1,V2
suture_start,1005,62
curveLM.3,1006.738407,62
curveLM.4,1008.476814,62
curveLM.5,1010.215221,62
curveLM.6,1011.953628,62
curveLM.7,1013.692035,62
curveLM.8,1015.016228,63
curveLM.9,1016.754635,63
curveLM.10,1018.493042,63
curveLM.11,1020.231449,63
curveLM.12,1021.969856,63
curveLM.13,1023.500818,62.49918234
curveLM.14,1025.032457,62
curveLM.15,1026,62.77086351
curveLM.16,1027.50927,63
curveLM.17,1028.882241,63.88224119
curveLM.18,1030.571871,64
curveLM.19,1031.926506,64.92650634
curveLM.20,1033.220258,66
curveLM.21,1034.677878,66.67787827
curveLM.22,1036.200011,67.20001085
curveLM.23,1037.607051,68
curveLM.24,1038.951383,68.95138279
curveLM.25,1040.669652,69
curveLM.26,1041.995648,69.99564794
curveLM.27,1043.732252,70
curveLM.28,1045.470659,70
curveLM.29,1047.209066,70
curveLM.30,1048.947473,70
curveLM.31,1050.271667,71
curveLM.32,1052.010074,71
curveLM.33,1053.529256,71.52925563
curveLM.34,1055.072674,72
curveLM.35,1056.811081,72
curveLM.36,1058.135274,73
curveLM.37,1059.617786,73.61778594
curveLM.38,1061.197875,74
curveLM.39,1062.936282,74
curveLM.40,1063.674689,75
curveLM.41,1065.413096,75
curveLM.42,1066.814235,75.81423526
curveLM.43,1068.475696,76
curveLM.44,1070.214103,76
curveLM.45,1071.95251,76
curveLM.46,1073.690917,76
curveLM.47,1075.429324,76
curveLM.48,1077.167731,76
curveLM.49,1078.906138,76
curveLM.50,1080.644545,76
curveLM.51,1082.270788,76.27078777
curveLM.52,1083.707145,77
curveLM.53,1085.031339,78
curveLM.54,1086.544292,78.54429228
curveLM.55,1087.773532,79.77353164
curveLM.56,1089.295664,80.29566422
curveLM.57,1090.742326,81
curveLM.58,1092.066519,82
curveLM.59,1093.569169,82.56916873
curveLM.60,1095.12912,83
curveLM.61,1096.613434,83.61343388
curveLM.62,1098.19172,84
curveLM.63,1099.930127,84
curveLM.64,1101.25432,85
curveLM.65,1102.992727,85
curveLM.66,1104.316921,86
curveLM.67,1106.039123,86.03912256
curveLM.68,1107.379521,87
curveLM.69,1109.083388,87.08338772
curveLM.70,1110.442121,88
curveLM.71,1111.180528,89
curveLM.72,1112,89.91893539
curveLM.73,1112.828082,91.17191802
curveLM.74,1112,92.56732221
curveLM.75,1111.07671,93.92328996
curveLM.76,1111,95.62992259
curveLM.77,1111.967555,96.96755511
curveLM.78,1112.489688,98.48968769
curveLM.79,1113.718927,99.71892705
curveLM.80,1115.24106,100.2410596
curveLM.81,1116.665103,101
curveLM.82,1117.992432,101.9924316
curveLM.83,1119.727704,102
curveLM.84,1120,103.4661106
curveLM.85,1120,105.2045175
curveLM.86,1120.666748,106.6667483
curveLM.87,1121.188881,108.1888809
curveLM.88,1122.41812,109.4181202
curveLM.89,1123.915505,110
curveLM.90,1125.239698,109
curveLM.91,1126.978105,109
curveLM.92,1128.506651,108.4933495
curveLM.93,1130.028783,107.9712169
curveLM.94,1131.364899,107
curveLM.95,1133.073048,106.9269517
curveLM.96,1134.427499,106
curveLM.97,1136,106.1659062
curveLM.98,1136.904313,107
curveLM.99,1138.228507,108
curveLM.100,1139,108.9669136
curveLM.101,1140.291107,110
curveLM.102,1141.02087,111.0208695
curveLM.103,1142.250109,112.2501089
curveLM.104,1143.479348,113.4793483
curveLM.105,1144.001481,115.0014808
curveLM.106,1145.23072,116.2307202
curveLM.107,1146,117.650481
curveLM.108,1146.982092,118.9820921
curveLM.109,1148.211331,120.2113315
curveLM.110,1149.440571,121.4405708
curveLM.111,1150.66981,122.6698102
curveLM.112,1152.191943,123.1919428
curveLM.113,1153.595641,124
curveLM.114,1154.334048,125
curveLM.115,1155.758341,125.7583405
curveLM.116,1157.280473,126.2804731
curveLM.117,1158.720842,127
curveLM.118,1160.045036,128
curveLM.119,1161.553978,128.5539776
curveLM.120,1162.783217,129.783217
curveLM.121,1164.30535,130.3053495
curveLM.122,1165.534589,131.5345889
curveLM.123,1166.763828,132.7638282
curveLM.124,1168.285961,133.2859608
curveLM.125,1169,134.7286031
curveLM.126,1170,135.4670101
curveLM.127,1170.852359,136.8523586
curveLM.128,1171.374491,138.3744911
curveLM.129,1172,139.8538038
curveLM.130,1172.418756,141.4187563
curveLM.131,1173,142.9164042
curveLM.132,1173.463021,144.4630214
curveLM.133,1174,145.9790046
curveLM.134,1174,147.7174116
curveLM.135,1175.029419,149.0294192
curveLM.136,1176,150.3657984
curveLM.137,1176.780791,151.7807911
curveLM.138,1177.302924,153.3029237
curveLM.139,1178,154.7525922
curveLM.140,1179,156.0767856
curveLM.141,1179.576428,157.5764282
curveLM.142,1180,159.139386
curveLM.143,1180,160.8777929
curveLM.144,1180,162.6161999
curveLM.145,1180,164.3546069
curveLM.146,1179.227122,165.7728775
curveLM.147,1178.70499,167.2950101
curveLM.148,1177.258599,168
curveLM.149,1175.953618,169.046382
curveLM.150,1174.610213,170
curveLM.151,1173.202246,170.797754
curveLM.152,1171.547612,171
curveLM.153,1169.809205,171
curveLM.154,1169,170.0707982
curveLM.155,1167.332391,170
curveLM.156,1166.005797,169.0057967
curveLM.157,1164.269791,169
curveLM.158,1162.531384,169
curveLM.159,1161.792977,170
curveLM.160,1160.05457,170
curveLM.161,1158.316163,170
curveLM.162,1157.577756,171
curveLM.163,1155.839349,171
curveLM.164,1154.36427,171.63573
curveLM.165,1153,172.2232514
curveLM.166,1152.320005,173.6799951
curveLM.167,1152,175.2858518
curveLM.168,1151,176.0242587
