,V1,V2
suture_start,1012,637
curveLM.3,1012.620896,635.3791043
curveLM.4,1013,633.6580554
curveLM.5,1013.15558,631.8444197
curveLM.6,1014,630.3161107
curveLM.7,1014,628.4380316
curveLM.8,1015,626.9741661
curveLM.9,1015.639163,625.360837
curveLM.10,1016.967165,624.0328345
curveLM.11,1018,622.5825695
curveLM.12,1018.916064,621.0839363
curveLM.13,1019.536959,619.4630407
curveLM.14,1020,617.7767593
curveLM.15,1020,615.8986802
curveLM.16,1020.69254,614.3074604
curveLM.17,1021,612.5567355
curveLM.18,1021.934331,611.065669
curveLM.19,1023.262333,609.7376665
curveLM.20,1024,608.1651389
curveLM.21,1025.211232,606.7887684
curveLM.22,1026.539234,605.4607659
curveLM.23,1027,603.7735423
curveLM.24,1027.073919,601.9260813
curveLM.25,1028,600.4315977
curveLM.26,1028,598.5535186
curveLM.27,1028,596.6754395
curveLM.28,1028,594.7973604
curveLM.29,1028.057077,592.9429232
curveLM.30,1029,591.4554157
curveLM.31,1029.422663,590
curveLM.32,1030.919764,589.0802362
curveLM.33,1031.764608,588
curveLM.34,1032.642687,587
curveLM.35,1033.520766,586
curveLM.36,1034.398845,585
curveLM.37,1035.902922,584.0970781
curveLM.38,1037.523818,583.4761824
curveLM.39,1039.144713,582.8552867
curveLM.40,1040.472716,581.5272842
curveLM.41,1042.093611,580.9063885
curveLM.42,1043.596252,580
curveLM.43,1045.04251,578.9574904
curveLM.44,1046.523983,578
curveLM.45,1047.284301,576.715699
curveLM.46,1048.612303,575.3876966
curveLM.47,1049.940306,574.0596941
curveLM.48,1051.268308,572.7316916
curveLM.49,1052.596311,571.4036891
curveLM.50,1053.217207,569.7827935
curveLM.51,1054,568.228958
curveLM.52,1055.166105,566.8338953
curveLM.53,1056.698773,566
curveLM.54,1057.407896,564.5921039
curveLM.55,1059,563.9592823
curveLM.56,1059.649687,562.3503126
curveLM.57,1061.270583,561.7294169
curveLM.58,1062.846528,561
curveLM.59,1063.724607,560
curveLM.60,1065.426163,559.5738366
curveLM.61,1066.754166,558.2458341
curveLM.62,1068.375062,557.6249384
curveLM.63,1069.994283,557
curveLM.64,1071.32396,555.6760403
curveLM.65,1072.922014,555
curveLM.66,1073.800093,554
curveLM.67,1075.186647,552.8133532
curveLM.68,1076,551.2721761
curveLM.69,1077.428438,550.5715618
curveLM.70,1078.756441,549.2435594
curveLM.71,1080.084443,547.9155569
curveLM.72,1081.583286,547
curveLM.73,1083.033341,545.9666588
curveLM.74,1084.511017,545
curveLM.75,1085.982239,544.0177606
curveLM.76,1087,542.5612517
curveLM.77,1088.224031,541.7759692
curveLM.78,1089,540.2193071
curveLM.79,1090.465822,539.5341778
curveLM.80,1092.086718,538.9132822
curveLM.81,1093.41472,537.5852797
curveLM.82,1095.035616,536.964384
curveLM.83,1096.363618,535.6363815
curveLM.84,1097.9781,535
curveLM.85,1099,534.1438212
curveLM.86,1100.734258,534
curveLM.87,1101.612337,533
curveLM.88,1103.346777,532.6532234
curveLM.89,1104.954282,532
curveLM.90,1106.588568,531.4114321
curveLM.91,1108.209464,530.7905364
curveLM.92,1109.760092,530
curveLM.93,1111.223957,529
curveLM.94,1113.102036,529
curveLM.95,1114.693046,528.3069536
curveLM.96,1116.443981,528
curveLM.97,1117.934838,527.0651623
curveLM.98,1119.555733,526.4442666
curveLM.99,1121.176629,525.8233709
curveLM.100,1122.713657,525
curveLM.101,1124.177522,524
curveLM.102,1125.746423,523.253577
curveLM.103,1127.367319,522.6326814
curveLM.104,1128.983333,522
curveLM.105,1130.447198,521
curveLM.106,1132.230006,520.7699943
curveLM.107,1133.789143,520
curveLM.108,1135.253008,519
curveLM.109,1137.131087,519
curveLM.110,1138.009166,518
curveLM.111,1139.887246,518
curveLM.112,1141.351111,517
curveLM.113,1143.162062,516.8379381
curveLM.114,1144.693056,516
curveLM.115,1146.156921,515
curveLM.116,1147.731856,514.2681442
curveLM.117,1149.084652,513
curveLM.118,1150.680754,512.3192461
curveLM.119,1152.426597,512
curveLM.120,1154.215439,511.7845615
curveLM.121,1155.768542,511
curveLM.122,1157.646621,511
curveLM.123,1159.371019,510.6289812
curveLM.124,1160.988565,510
curveLM.125,1162.866644,510
curveLM.126,1163.744724,511
curveLM.127,1165.622803,511
curveLM.128,1167.500882,511
curveLM.129,1169.378961,511
curveLM.130,1171.25704,511
curveLM.131,1173,510.8648809
curveLM.132,1174.013198,510
