,V1,V2
suture_start,1260,640
curveLM.3,1260.901547,639.0984526
curveLM.4,1261.803095,638.1969052
curveLM.5,1262.704642,637.2953578
curveLM.6,1263.60619,636.3938104
curveLM.7,1264.507737,635.492263
curveLM.8,1265.409284,634.5907156
curveLM.9,1266.310832,633.6891682
curveLM.10,1267.212379,632.7876208
curveLM.11,1268,631.8388835
curveLM.12,1268.436097,631
curveLM.13,1269.502808,630.4971922
curveLM.14,1270,629.4281554
curveLM.15,1270.846825,629
curveLM.16,1271.08613,627.9138704
curveLM.17,1271.987677,627.012323
curveLM.18,1273,626.7424468
curveLM.19,1273.532534,626
curveLM.20,1274,625.1924857
curveLM.21,1274.765439,624.2345605
curveLM.22,1275.943262,624
curveLM.23,1276.861427,623.1385725
curveLM.24,1277.762975,622.2370251
curveLM.25,1278.664522,621.3354777
curveLM.26,1279.56607,620.4339304
curveLM.27,1280.66131,620
curveLM.28,1281,619.0637091
curveLM.29,1281.856498,618.1435017
curveLM.30,1282.758046,617.2419543
curveLM.31,1283,616.0671946
curveLM.32,1283.854034,615.1459663
curveLM.33,1284,613.931447
curveLM.34,1284,612.6564665
curveLM.35,1284,611.3814859
curveLM.36,1284.631796,610.3682039
curveLM.37,1285,609.2457384
curveLM.38,1285.020677,607.9793226
curveLM.39,1285.922225,607.0777753
curveLM.40,1286.823772,606.1762279
curveLM.41,1287.018213,604.9817872
curveLM.42,1287.91976,604.0802399
curveLM.43,1288.821308,603.1786925
curveLM.44,1289.722855,602.2771451
curveLM.45,1290.624402,601.3755977
curveLM.46,1291.52595,600.4740503
curveLM.47,1292.427497,599.5725029
curveLM.48,1293,598.5346608
curveLM.49,1293.523485,597.4765149
curveLM.50,1294.425033,596.5749675
curveLM.51,1295.32658,595.6734201
curveLM.52,1296.228127,594.7718727
curveLM.53,1297.183388,594
curveLM.54,1298.324115,593.6758847
curveLM.55,1299.319135,593
curveLM.56,1300.594116,593
curveLM.57,1301.869096,593
curveLM.58,1303.101878,593.1018778
curveLM.59,1304.004844,594
curveLM.60,1305.279824,594
curveLM.61,1306.392306,594.3923064
curveLM.62,1307.415572,595
curveLM.63,1308.488294,595.4882944
curveLM.64,1309.55132,596
curveLM.65,1310,596.8263001
curveLM.66,1311.101281,597
curveLM.67,1312.266057,597.2660568
curveLM.68,1313.167604,598.1676042
curveLM.69,1314.069152,598.9308484
curveLM.70,1314.970699,598.029301
curveLM.71,1316.16514,597.8348604
curveLM.72,1317.09431,597
curveLM.73,1318.36929,597
curveLM.74,1319,596.3557292
curveLM.75,1319.919251,596
curveLM.76,1320.844449,595.1555505
curveLM.77,1322.054999,595
curveLM.78,1323.233331,594.7666693
curveLM.79,1324.190746,594
curveLM.80,1325.465727,594
curveLM.81,1326.523759,593.4762407
curveLM.82,1327.601475,593
curveLM.83,1328.619747,592.3802527
curveLM.84,1329.737222,592
curveLM.85,1331.008629,592.0086286
curveLM.86,1331.910176,592.910176
curveLM.87,1333.14795,593
curveLM.88,1334.422931,593
curveLM.89,1335,593.6979113
curveLM.90,1335.972892,594
curveLM.91,1337,594.2478724
curveLM.92,1337.522853,595
curveLM.93,1338.797833,595
