,V1,V2
suture_start,564,493
curveLM.3,565.0774198,492.9225802
curveLM.4,565.8619463,492.1380537
curveLM.5,566.9142507,492
curveLM.6,568.0167859,491.9832141
curveLM.7,568.8013124,491.1986876
curveLM.8,569.8285014,491
curveLM.9,570.6632588,490.3367412
curveLM.10,571.6332641,490
curveLM.11,572.7427522,490
curveLM.12,573,489.1477597
curveLM.13,573.9617284,489
curveLM.14,575,488.9287835
curveLM.15,575.1807046,488
curveLM.16,576.2901927,488
curveLM.17,577.282617,487.717383
curveLM.18,578.0949553,487
curveLM.19,579.2044434,487
curveLM.20,580.2219831,486.7780169
curveLM.21,581.009206,486
curveLM.22,582.1186941,486
curveLM.23,583.2281822,486
curveLM.24,584.238769,485.761231
curveLM.25,585.0329448,485
curveLM.26,586.1424329,485
curveLM.27,587.251921,485
curveLM.28,588.2555548,484.7444452
curveLM.29,589.0566836,484
curveLM.30,590.1661717,484
curveLM.31,591.2756598,484
curveLM.32,592,484.3851479
curveLM.33,592.494636,485
curveLM.34,593.6041241,485
curveLM.35,594.7136122,485
curveLM.36,595.8231003,485
curveLM.37,596.9325884,485
curveLM.38,598.0297526,484.9702474
curveLM.39,598.8142791,484.1857209
curveLM.40,599.8468391,484
curveLM.41,600.9563272,484
curveLM.42,601.7536452,483.2463548
curveLM.43,602.7610899,483
curveLM.44,603.870578,483
curveLM.45,604.6930113,482.3069887
curveLM.46,605.6753406,482
curveLM.47,606.7848287,482
curveLM.48,607.6323775,481.3676225
curveLM.49,608.5895913,481
curveLM.50,609.6990794,481
curveLM.51,610.5717436,480.4282564
curveLM.52,611.503842,480
curveLM.53,612.6133301,480
curveLM.54,613.5111097,479.4888903
curveLM.55,614.4180928,479
curveLM.56,615.373056,478.626944
curveLM.57,616.2228554,478
curveLM.58,617.2350023,477.7649977
curveLM.59,618.027618,477
curveLM.60,619,476.8628939
curveLM.61,619.1743684,475.8256316
curveLM.62,619.958895,475.041105
curveLM.63,621.0363148,474.9636852
curveLM.64,621.8208413,474.1791587
curveLM.65,622.6053679,473.3946321
curveLM.66,623.551394,473
curveLM.67,624.4673142,472.5326858
curveLM.68,625.3561566,472
curveLM.69,626.3292605,471.6707395
