,V1,V2
suture_start,537,498
curveLM.3,537.4187096,498.4187096
curveLM.4,537.8374191,498.8374191
curveLM.5,538.2561287,499.2561287
curveLM.6,538.6748383,499.6748383
curveLM.7,539.0935478,500.0935478
curveLM.8,539.5122574,500.5122574
curveLM.9,539.930967,500.930967
curveLM.10,540.3496766,501.3496766
curveLM.11,540.7683861,501.7683861
curveLM.12,541.1870957,502.1870957
curveLM.13,541.6058053,502.6058053
curveLM.14,542.0245148,502.9754852
curveLM.15,542.4432244,502.5567756
curveLM.16,542.861934,502.138066
curveLM.17,543.3968899,502
curveLM.18,543.9890346,502
curveLM.19,544.4109559,501.5890441
curveLM.20,544.8296655,501.1703345
curveLM.21,545.3512553,501
curveLM.22,545.9434001,501
curveLM.23,546.3786874,500.6213126
curveLM.24,546.797397,500.202603
curveLM.25,547.2161065,499.7838935
curveLM.26,547.6348161,499.3651839
curveLM.27,548.0756967,499
curveLM.28,548.6678415,499
curveLM.29,549.2599862,499
curveLM.30,549.852131,499
curveLM.31,550.4442757,499
curveLM.32,551.0364205,499
curveLM.33,551.6285652,499
curveLM.34,552.22071,499
curveLM.35,552.8128547,499
curveLM.36,553.2863779,499.2863779
curveLM.37,553.7050874,499.7050874
curveLM.38,554.123797,500.123797
curveLM.39,554.5425066,500.5425066
curveLM.40,554.9612161,500.9612161
curveLM.41,555.5372961,501
curveLM.42,556.1294409,501
curveLM.43,556.7215856,501
curveLM.44,557.2218409,500.7781591
curveLM.45,557.6405504,500.3594496
curveLM.46,558.0838063,500
curveLM.47,558.675951,500
curveLM.48,559.2680958,500
curveLM.49,559.8602405,500
curveLM.50,560.4523853,500
curveLM.51,561.0314875,500.0314875
curveLM.52,561.4501971,500.4501971
curveLM.53,561.8689066,500.8689066
curveLM.54,562.4067507,501
curveLM.55,562.9988955,501
curveLM.56,563.4179286,501.4179286
curveLM.57,563.8366381,501.8366381
curveLM.58,564.2553477,502.2553477
curveLM.59,564.6740573,502.6740573
curveLM.60,565.0927668,503.0927668
curveLM.61,565.5114764,503.5114764
curveLM.62,565.930186,503.930186
curveLM.63,566.4934128,504
curveLM.64,567.0855576,504
curveLM.65,567.6777023,504
curveLM.66,568.2698471,504
curveLM.67,568.8619918,504
curveLM.68,569.4541366,504
curveLM.69,570.0462813,504
curveLM.70,570.6384261,504
curveLM.71,571.2305708,504
curveLM.72,571.8227156,504
curveLM.73,572.4148603,504
curveLM.74,573.0070051,504
curveLM.75,573.5991498,504
curveLM.76,574.1912946,504
curveLM.77,574.7834393,504
curveLM.78,575.265578,503.734422
curveLM.79,575.6842876,503.3157124
curveLM.80,576.14566,503
curveLM.81,576.7378048,503
curveLM.82,577.2333095,502.7666905
curveLM.83,577.6520191,502.3479809
curveLM.84,578.1000255,502
curveLM.85,578.6921702,502
curveLM.86,579.201041,501.798959
curveLM.87,579.6197506,501.3802494
curveLM.88,580.0543909,501
curveLM.89,580.6465357,501
curveLM.90,581.2386804,501
curveLM.91,581.8308252,501
curveLM.92,582.4229699,501
curveLM.93,583.0151147,501
curveLM.94,583.6072594,501
curveLM.95,584.141,501.141
curveLM.96,584.5597096,501.5597096
curveLM.97,584.9784192,501.9784192
curveLM.98,585.3971287,502.3971287
curveLM.99,585.8158383,502.8158383
curveLM.100,586.2345479,503.2345479
curveLM.101,586.6532574,503.6532574
curveLM.102,587.1017767,504
curveLM.103,587.6939215,504
curveLM.104,588.2860662,504
curveLM.105,588.878211,504
curveLM.106,589.4703557,504
curveLM.107,590.0625005,504
curveLM.108,590.6546452,504
curveLM.109,591.1745069,503.8254931
curveLM.110,591.5932164,503.4067836
curveLM.111,592.0168659,503
curveLM.112,592.6090107,503
curveLM.113,593.2011554,503
curveLM.114,593.7933002,503
curveLM.115,594.2725507,502.7274493
curveLM.116,594.6912603,502.3087397
curveLM.117,595.1555209,502
curveLM.118,595.7476656,502
curveLM.119,596.3398104,502
curveLM.120,596.9319551,502
curveLM.121,597.5240999,502
curveLM.122,598.1162446,502
curveLM.123,598.7083894,502
curveLM.124,599.3005341,502
curveLM.125,599.8926789,502
curveLM.126,600.4848236,502
curveLM.127,601.0544249,502.0544249
curveLM.128,601.4731344,502.4731344
curveLM.129,601.891844,502.891844
curveLM.130,602.4391891,503
curveLM.131,603.0313338,503
curveLM.132,603.6234786,503
curveLM.133,604.1524687,503.1524687
curveLM.134,604.5711783,503.5711783
curveLM.135,604.9898878,503.9898878
curveLM.136,605.4085974,504.4085974
curveLM.137,605.827307,504.827307
curveLM.138,606.2460166,505.2460166
curveLM.139,606.6647261,505.6647261
curveLM.140,607.1179959,506
curveLM.141,607.7101406,506
curveLM.142,608.213748,506.213748
curveLM.143,608.6324576,506.6324576
curveLM.144,609.0511672,507.0511672
curveLM.145,609.4698768,507.4698768
curveLM.146,609.8885863,507.8885863
curveLM.147,610.434582,508
curveLM.148,611.0267268,508
curveLM.149,611.6188715,508
curveLM.150,612.2110163,508
curveLM.151,612.803161,508
curveLM.152,613.2795234,507.7204766
curveLM.153,613.698233,507.301767
curveLM.154,614.1653817,507
curveLM.155,614.7575265,507
curveLM.156,615.2472549,506.7527451
curveLM.157,615.6659645,506.3340355
curveLM.158,616.1197472,506
curveLM.159,616.7118919,506
curveLM.160,617.3040367,506
curveLM.161,617.8961814,506
curveLM.162,618.4883262,506
curveLM.163,619.0569015,506.0569015
curveLM.164,619.4756111,506.4756111
curveLM.165,619.8943207,506.8943207
curveLM.166,620.3130302,507.3130302
curveLM.167,620.7317398,507.7317398
curveLM.168,621.1504494,508.1504494
curveLM.169,621.5691589,508.5691589
curveLM.170,621.9878685,508.9878685
curveLM.171,622.4065781,509.4065781
curveLM.172,622.8252876,509.8252876
curveLM.173,623.3450642,510
curveLM.174,623.9372089,510
curveLM.175,624.5293537,510
curveLM.176,625.1214984,510
curveLM.177,625.7136432,510
curveLM.178,626.3057879,510
curveLM.179,626.8979327,510
curveLM.180,627.4900774,510
curveLM.181,628.0822222,510
curveLM.182,628.6743669,510
curveLM.183,629.2665117,510
curveLM.184,629.8586564,510
curveLM.185,630.3187646,509.6812354
curveLM.186,630.7374741,509.2625259
curveLM.187,631.2208771,509
curveLM.188,631.8130219,509
curveLM.189,632,508.5948334
curveLM.190,632,508.0026886
curveLM.191,632.5894561,508
curveLM.192,633.1284112,507.8715888
curveLM.193,633.5471208,507.4528792
curveLM.194,633.9658304,507.0341696
curveLM.195,634.5438216,507
curveLM.196,635.0961427,506.9038573
curveLM.197,635.5148523,506.4851477
curveLM.198,635.9335618,506.0664382
curveLM.199,636.3522714,506.3522714
curveLM.200,636.770981,506.770981
curveLM.201,637.268263,507
curveLM.202,637.8604077,507
curveLM.203,638.3200029,507.3200029
curveLM.204,638.7387125,507.7387125
curveLM.205,639.2226284,508
curveLM.206,639.8147731,508
curveLM.207,640.4069179,508
curveLM.208,640.9990626,508
curveLM.209,641.5912074,508
curveLM.210,642.1833521,508
curveLM.211,642.7754969,508
curveLM.212,643.2599619,507.7400381
curveLM.213,643.6786715,507.3213285
curveLM.214,644,506.8622824
curveLM.215,644,506.2701377
curveLM.216,644.2276934,505.7723066
curveLM.217,644.646403,505.353597
curveLM.218,645.0651125,504.9348875
curveLM.219,645.4838221,504.5161779
curveLM.220,645.9025317,504.0974683
curveLM.221,646,503.5456963
curveLM.222,646.032844,502.967156
curveLM.223,646.4515536,502.5484464
curveLM.224,646.8702632,502.1297368
curveLM.225,647.2889727,501.7110273
curveLM.226,647.7076823,501.2923177
curveLM.227,648.1787451,501
curveLM.228,648.7708899,501
curveLM.229,649.3630346,501
curveLM.230,649.9551794,501
curveLM.231,650.5473241,501
curveLM.232,651.0986194,501.0986194
curveLM.233,651.5173289,501.5173289
curveLM.234,651.9360385,501.9360385
curveLM.235,652.5016895,502
curveLM.236,653.0938343,502
curveLM.237,653.685979,502
curveLM.238,654.1966632,502.1966632
curveLM.239,654.6153728,502.6153728
curveLM.240,655.0481997,503
curveLM.241,655.6403445,503
curveLM.242,656.1643947,502.8356053
curveLM.243,656.5831043,502.4168957
curveLM.244,657.0025652,502
curveLM.245,657.5947099,502
curveLM.246,658.1321262,501.8678738
curveLM.247,658.5508358,501.4491642
curveLM.248,658.9695454,501.0304546
curveLM.249,659.5490754,501
curveLM.250,660.0998577,500.9001423
curveLM.251,660.5185673,500.4814327
