,V1,V2
suture_start,421,238
curveLM.3,420,239.5187246
curveLM.4,419.6806262,241.3193738
curveLM.5,419,242.9703874
curveLM.6,419,244.9033256
curveLM.7,419,246.8362637
curveLM.8,419,248.7692019
curveLM.9,419,250.7021401
curveLM.10,419,252.6350782
curveLM.11,419.4016482,254.4016482
curveLM.12,420,256.086741
curveLM.13,420.7210221,257.7210221
curveLM.14,422.0878157,259.0878157
curveLM.15,423.6429148,260
curveLM.16,425.1616394,261
curveLM.17,426.0945776,262
curveLM.18,427.7265634,262.7265634
curveLM.19,429,263.5462404
curveLM.20,430.3388304,264.3388304
curveLM.21,431.9979032,265
curveLM.22,433.365311,266.365311
curveLM.23,435.0249979,267.0249979
curveLM.24,436.554077,268
curveLM.25,438.3443717,268.3443717
curveLM.26,439.7111654,269.7111654
curveLM.27,441.5244644,270
curveLM.28,443.043189,271
curveLM.29,444.6902261,271.6902261
curveLM.30,446.4948518,272
curveLM.31,448.3024932,272.3024932
curveLM.32,449.9465145,273
curveLM.33,451.8794527,273
curveLM.34,453.5744471,273.5744471
curveLM.35,455.3311155,274
curveLM.36,457.2640536,274
curveLM.37,459.1392942,274.1392942
curveLM.38,460.7157164,275
curveLM.39,462.6486546,275
curveLM.40,464.4112482,275.4112482
curveLM.41,466.1003174,276
curveLM.42,468.0332555,276
curveLM.43,469.6832021,276.6832021
curveLM.44,471.4849183,277
curveLM.45,473.0036429,278
curveLM.46,474.9365811,278
curveLM.47,476.4553057,279
curveLM.48,478.2745299,279.2745299
curveLM.49,479.9069685,280
curveLM.50,481.4256931,281
curveLM.51,482.9606974,281.9606974
curveLM.52,484.6203843,282.6203843
curveLM.53,485.987178,283.987178
curveLM.54,487.6468649,284.6468649
curveLM.55,489.0193161,286
curveLM.56,490.6733455,286.6733455
curveLM.57,491.3330324,288.3330324
curveLM.58,492,289.9897035
curveLM.59,493,291.5084281
curveLM.60,494.0191999,293.0191999
curveLM.61,495,294.5458773
curveLM.62,496,296.0646019
curveLM.63,496.9975401,297
curveLM.64,497.6579475,298.6579475
curveLM.65,499.0247412,300.0247412
curveLM.66,500.3915349,301.3915349
curveLM.67,501.7583286,302.7583286
curveLM.68,502.5911631,304
curveLM.69,504.0777024,305.0777024
curveLM.70,505.4444961,306.4444961
curveLM.71,506.147337,308
curveLM.72,507.7638699,308.7638699
