,V1,V2
suture_start,882,244
curveLM.3,883.6204381,245.6204381
curveLM.4,885.2408761,247.2408761
curveLM.5,886.8613142,248.8613142
curveLM.6,888.4817522,250.4817522
curveLM.7,890.1445189,252
curveLM.8,891.4361644,253
curveLM.9,893.3135963,254
curveLM.10,895.4279706,254.4279706
curveLM.11,897.4826737,255
curveLM.12,899.7743192,255
curveLM.13,901.7537509,255.7537509
curveLM.14,903.9433966,256
curveLM.15,903,257.8208285
curveLM.16,901.5062553,259.4937447
curveLM.17,900.4243076,261
curveLM.18,899,262.4531243
curveLM.19,897.4733682,262.4733682
curveLM.20,895.3777983,262
curveLM.21,893.3538125,261.3538125
curveLM.22,891.2087209,261
curveLM.23,889.331289,260
curveLM.24,887.0396435,260
curveLM.25,885.1622116,259
curveLM.26,882.9084764,258.9084764
curveLM.27,881.2880383,257.2880383
curveLM.28,879.3747071,256.3747071
curveLM.29,877.754269,254.754269
curveLM.30,876,253.775052
curveLM.31,874.6347132,252.6347132
curveLM.32,873.0142752,251.0142752
curveLM.33,871.1009439,250.1009439
curveLM.34,869.1876126,249.1876126
curveLM.35,867.2742813,248.2742813
curveLM.36,865.36095,247.36095
curveLM.37,863.218815,247
curveLM.38,861.341383,246
curveLM.39,859.328063,246.671937
curveLM.40,858.5852683,247.5852683
curveLM.41,860.2909127,249
curveLM.42,862,250.1683446
curveLM.43,863.3252621,251.3252621
curveLM.44,865.2385934,252.2385934
curveLM.45,867,253.214854
curveLM.46,867,255.5064994
curveLM.47,866.4356263,257.5643737
curveLM.48,864.7386367,259
curveLM.49,862.6089637,258.6089637
curveLM.50,860.5695593,258
curveLM.51,858.6921274,257
curveLM.52,856.8146955,256
curveLM.53,854.6627454,255.6627454
curveLM.54,852.6456181,255
curveLM.55,852,256.6460274
curveLM.56,852,258.9376729
curveLM.57,852.8692594,260.8692594
curveLM.58,854.4896974,262.4896974
curveLM.59,855.8898645,264.1101355
curveLM.60,854.2694265,265.7305735
curveLM.61,852.0893811,266
curveLM.62,850.1498707,266.8501293
curveLM.63,847.9203037,267
curveLM.64,846.0303149,266.0303149
curveLM.65,843.7512263,266
curveLM.66,841.4595808,266
curveLM.67,839.1679353,266
curveLM.68,839.0874763,268.0874763
curveLM.69,840.7079144,269.7079144
curveLM.70,842.6212457,270.6212457
curveLM.71,844.3417924,272
curveLM.72,846.155015,273.155015
curveLM.73,848.0966562,274
curveLM.74,849.3883017,275
curveLM.75,848.3200528,275
curveLM.76,846.0284073,275
curveLM.77,843.7367618,275
curveLM.78,841.4451163,275
curveLM.79,839.1534709,275
curveLM.80,837.2760389,274
curveLM.81,835.2818577,273.2818577
curveLM.82,833.1069615,273
curveLM.83,831.8153161,274
curveLM.84,831.3368158,275.3368158
curveLM.85,832.9572538,276.9572538
curveLM.86,834.8705851,277.8705851
curveLM.87,836.1086252,279
curveLM.88,837.9901409,279.9901409
curveLM.89,839.6105789,281.6105789
curveLM.90,840.6732926,283
curveLM.91,838.3816471,283
curveLM.92,836.0900016,283
curveLM.93,834.7983562,282
curveLM.94,832.6511918,281.6511918
curveLM.95,830.6292788,281
curveLM.96,828.3376333,281
curveLM.97,826.4602014,282
curveLM.98,824.1685559,282
curveLM.99,822.291124,283
curveLM.100,821.4145823,284.4145823
curveLM.101,823.4637399,285
curveLM.102,825.5341381,285.5341381
curveLM.103,827.6328173,286
curveLM.104,829.9244628,286
curveLM.105,831.8599184,286.8599184
curveLM.106,834,287.0935402
curveLM.107,835.2723674,288.2723674
curveLM.108,837.1856987,289.1856987
curveLM.109,838.8061367,290.8061367
curveLM.110,840.0123612,292.0123612
curveLM.111,841,293.8949133
curveLM.112,840,295.7723453
curveLM.113,838.2476449,296.7523551
curveLM.114,836.3343136,297.6656864
curveLM.115,835,299.404641
curveLM.116,833.7179271,301
curveLM.117,831.8404951,302
curveLM.118,829.5488496,302
curveLM.119,827.474764,301.474764
curveLM.120,825.3797722,301
curveLM.121,823.5023403,300
curveLM.122,821.2106948,300
curveLM.123,818.9427593,300.0572407
curveLM.124,817.3223212,301.6776788
curveLM.125,817.5910101,303.5910101
curveLM.126,819.2114481,305.2114481
curveLM.127,821.1764648,306
curveLM.128,823.4681102,306
curveLM.129,825.5372284,306.5372284
curveLM.130,827.6371876,307
curveLM.131,829,307.9288331
curveLM.132,831,308.2204786
curveLM.133,831,310.5121241
curveLM.134,830,311.8037696
curveLM.135,828.5183178,313.4816822
curveLM.136,826.8555801,315
curveLM.137,824.6916552,315.3083448
curveLM.138,822.778324,316.221676
curveLM.139,821.1578859,317.8421141
curveLM.140,819.9316389,319
curveLM.141,818.0383301,318.0383301
curveLM.142,815.7625615,318
curveLM.143,813.470916,318
curveLM.144,812,318.8207295
curveLM.145,812.0794611,321.0794611
curveLM.146,813.6998992,322.6998992
curveLM.147,815.6132304,323.6132304
curveLM.148,817,325.3304572
curveLM.149,817,327.6221026
curveLM.150,815.6467757,329.3532243
curveLM.151,814.0263377,330.9736623
curveLM.152,813,332.8401848
curveLM.153,814,334.7176168
curveLM.154,815.420763,336.420763
curveLM.155,817,338.058267
curveLM.156,817,340.3499125
curveLM.157,817,342.641558
curveLM.158,816.3401255,344.6598745
curveLM.159,815,345.8106354
curveLM.160,814,347.6880673
curveLM.161,813,349.5654992
curveLM.162,813,351.8571447
curveLM.163,812.8947894,354.1052106
curveLM.164,811.2743514,355.7256486
curveLM.165,809.5105595,357
curveLM.166,807.6331276,358
curveLM.167,805.5343575,358.4656425
curveLM.168,803.4640502,359
curveLM.169,801.5866183,360
curveLM.170,802,361.2908137
curveLM.171,803,362.5824591
curveLM.172,804,364.4598911
curveLM.173,804.5314166,366.5314166
curveLM.174,805.4447479,368.4447479
curveLM.175,805.4935996,370
curveLM.176,803.6161677,371
curveLM.177,801.5223651,371.4776349
curveLM.178,799.4470903,372
curveLM.179,797.4028093,372.5971907
curveLM.180,795.2780129,373
curveLM.181,796.4238533,374.4238533
curveLM.182,798.0442913,376.0442913
curveLM.183,799.6647294,377.6647294
curveLM.184,800.5780607,379.5780607
curveLM.185,802,381.2807196
curveLM.186,800.88817,383.11183
curveLM.187,799.9644166,385
curveLM.188,798.0615074,385.9384926
curveLM.189,795.7953392,386
curveLM.190,793.9179072,387
curveLM.191,792,387.3737382
curveLM.192,791,388.6653837
curveLM.193,791,390.9570292
curveLM.194,791.8829463,392.8829463
curveLM.195,793.711893,394
curveLM.196,794.7096089,395.7096089
curveLM.197,796,397.4667569
curveLM.198,797,399.3441888
curveLM.199,796.5503973,401.4496027
curveLM.200,795.637066,403.362934
curveLM.201,795,405.3906981
curveLM.202,794,407.2681301
curveLM.203,794,409.5597755
curveLM.204,794,411.851421
curveLM.205,792.4846231,413.5153769
curveLM.206,791.5712919,415.4287081
curveLM.207,790,417.0695032
curveLM.208,788.7446293,418.2553707
curveLM.209,786.831298,419.168702
curveLM.210,785.21086,420.78914
curveLM.211,785.7024713,422.7024713
curveLM.212,787.6158026,423.6158026
curveLM.213,789,425.3340947
curveLM.214,790,427.2115267
curveLM.215,790.3557964,429.3557964
curveLM.216,791,431.3806041
curveLM.217,791,433.6722496
curveLM.218,789.4503185,435
curveLM.219,787.6979852,436.3020148
curveLM.220,786.0775472,437.9224528
curveLM.221,784.4571091,439.5428909
curveLM.222,783,441.230982
curveLM.223,782.0766602,443.0766602
curveLM.224,783,444.9858459
curveLM.225,784,446.8632778
curveLM.226,783.1833459,448.8166541
curveLM.227,782.2700146,450.7299854
curveLM.228,780.0902129,451
curveLM.229,778.1504589,451.8495411
curveLM.230,775.9211355,452
curveLM.231,773.62949,452
curveLM.232,771.3378445,452
curveLM.233,769.046199,452
curveLM.234,769.8806636,453.8806636
curveLM.235,771,455.7086648
curveLM.236,772.5860967,457
curveLM.237,774.4635287,458
curveLM.238,776,459.3409606
curveLM.239,776,461.6326061
curveLM.240,776,463.9242515
curveLM.241,775.8473378,466.1526622
curveLM.242,774.2268997,467.7731003
curveLM.243,772.4434527,467
curveLM.244,770.5660208,466
curveLM.245,768.2743753,466
curveLM.246,767.0122119,467.0122119
curveLM.247,768,468.8947021
curveLM.248,768.1863476,471
curveLM.249,769,472.4779931
curveLM.250,769,474.7696386
curveLM.251,770,476.061284
curveLM.252,768.6470705,477
curveLM.253,766.355425,477
curveLM.254,764.0637795,477
curveLM.255,761.772134,477
curveLM.256,759.4804885,477
curveLM.257,757.1888431,477
curveLM.258,755.3114111,478
curveLM.259,753.5997629,479.4002371
curveLM.260,751.9793248,481.0206752
curveLM.261,750.3588867,482.6411133
curveLM.262,749,484.3698894
curveLM.263,749.4677758,486.4677758
curveLM.264,750,488.5389668
curveLM.265,751.2944384,490.2944384
curveLM.266,752.9148764,491.9148764
curveLM.267,754.5353145,493.5353145
curveLM.268,756,495.2202674
curveLM.269,757,497.0976993
curveLM.270,757.9824151,498.9824151
curveLM.271,758,501.2667767
curveLM.272,759.1442086,503
curveLM.273,761.0216405,504
curveLM.274,762.9286335,504.9286335
curveLM.275,764.7765044,506
curveLM.276,766.6539363,507
curveLM.277,768.5313682,508
curveLM.278,770.5819586,508.5819586
curveLM.279,772.4952899,509.4952899
curveLM.280,774,511.163664
curveLM.281,774.9709408,513.0290592
curveLM.282,773.3505027,514.6494973
curveLM.283,772,516.3817462
curveLM.284,770.5238402,517.4761598
curveLM.285,768.86339,519
curveLM.286,766.9859581,520
curveLM.287,764.6943126,520
curveLM.288,762.8168806,521
curveLM.289,760.9394487,522
curveLM.290,760,523.3521968
curveLM.291,761.4552652,524.4552652
curveLM.292,763.3685965,524.6314035
curveLM.293,765.3987061,524
curveLM.294,767.6903516,524
curveLM.295,769.981997,524
curveLM.296,771.2736425,525
curveLM.297,773,525.565288
curveLM.298,774.6059435,526.6059435
curveLM.299,775.5192748,528.5192748
curveLM.300,776,530.6117973
curveLM.301,776,532.9034428
curveLM.302,776,535.1950883
curveLM.303,774.6558272,536.3441728
curveLM.304,773.0353892,537.9646108
curveLM.305,771.1220579,538.8779421
curveLM.306,769.295184,540
curveLM.307,768.2953953,541.7046047
curveLM.308,768.6179359,543.6179359
curveLM.309,770.5312672,544.5312672
curveLM.310,771.6287572,546
curveLM.311,773.5061892,547
curveLM.312,775,548.3836211
curveLM.313,776,549.6752666
curveLM.314,777,551.5526985
curveLM.315,777,553.844344
curveLM.316,776,555.7217759
curveLM.317,775.9905097,558.0094903
curveLM.318,774.1091467,559
curveLM.319,772.2317148,560
curveLM.320,772.0423774,562.0423774
curveLM.321,773,563.9373626
curveLM.322,773.86904,565.86904
curveLM.323,775.7823712,566.7823712
curveLM.324,777,568.5696584
curveLM.325,776.3909662,570.6090338
curveLM.326,775.2294719,572.2294719
curveLM.327,776.1428031,574.1428031
curveLM.328,777,576.0793861
curveLM.329,777.9694657,577.9694657
curveLM.330,778,580.2484635
curveLM.331,778,582.5401089
curveLM.332,778,584.8317544
curveLM.333,779.0872569,586.0872569
curveLM.334,780.707695,587.707695
curveLM.335,782.328133,589.328133
curveLM.336,784.2414643,590.2414643
curveLM.337,785,592.218914
curveLM.338,785,594.5105595
curveLM.339,784.4327554,596.5672446
curveLM.340,782.8123174,598.1876826
curveLM.341,781.1918793,599.8081207
curveLM.342,780,601.6060736
curveLM.343,780.8977191,603
curveLM.344,782.133901,604.133901
curveLM.345,783.0667965,606
curveLM.346,784.2534568,607.2534568
curveLM.347,785.8738948,608.8738948
curveLM.348,787,610.6990923
curveLM.349,788,612.5765242
curveLM.350,789,614.4539561
curveLM.351,789,616.7456016
curveLM.352,789,619.0372471
curveLM.353,788.0603311,620.9396689
curveLM.354,787.8541066,623.1458934
curveLM.355,786.9407753,625.0592247
curveLM.356,785.0388117,626
curveLM.357,784.1141127,627.8858873
curveLM.358,782.9078882,629.0921118
