,V1,V2
suture_start,847,263
curveLM.3,847,263.8566637
curveLM.4,847,264.7133274
curveLM.5,847.4030445,265.4030445
curveLM.6,848,266.0124412
curveLM.7,848,266.8691049
curveLM.8,848.5131959,267.5131959
curveLM.9,849.1189486,268.1189486
curveLM.10,849.7247013,268.7247013
curveLM.11,850.330454,269.330454
curveLM.12,850.9362067,269.9362067
curveLM.13,851,270.7664463
curveLM.14,851.4406053,271.4406053
curveLM.15,852,272.0655601
curveLM.16,852,272.9222238
curveLM.17,852,273.7788875
curveLM.18,852,274.6355512
curveLM.19,852,275.4922149
curveLM.20,851.7533056,276.2466944
curveLM.21,851.1475529,276.8524471
curveLM.22,850.3520076,277
curveLM.23,849.6431543,277.3568457
curveLM.24,849.0374016,277.9625984
curveLM.25,848.1962301,278
curveLM.26,847.5330029,278.4669971
curveLM.27,846.9272502,279.0727498
curveLM.28,846.3214975,279.6785025
curveLM.29,846,280.4019975
curveLM.30,846.1829011,281.1829011
curveLM.31,846.7886538,281.7886538
curveLM.32,847.3944065,282.3944065
curveLM.33,848.0001592,283.0001592
curveLM.34,848.6059119,283.6059119
curveLM.35,849,284.2993389
curveLM.36,849.1560026,285
curveLM.37,850,285.0126663
curveLM.38,850,285.86933
curveLM.39,850.5133551,286.5133551
curveLM.40,851,287.1684438
curveLM.41,850.9822463,288.0177537
curveLM.42,850.3764936,288.6235064
curveLM.43,850,289.3242213
curveLM.44,850,290.180885
curveLM.45,850,291.0375487
curveLM.46,850,291.8942124
curveLM.47,850.5309496,292.5309496
curveLM.48,851.1933262,293
curveLM.49,852.0353482,293.0353482
curveLM.50,852.6411009,293.6411009
curveLM.51,853.2468536,294.2468536
curveLM.52,853.8526063,294.8526063
curveLM.53,854,295.6482175
curveLM.54,854,296.5048812
curveLM.55,854,297.3615449
curveLM.56,853.8457032,298.1542968
curveLM.57,853.2399505,298.7600495
curveLM.58,853,299.5173224
curveLM.59,852.7355519,300.2644481
curveLM.60,852.1297992,300.8702008
curveLM.61,851.5240465,301.4759535
curveLM.62,851,302.11555
curveLM.63,851,302.9722137
curveLM.64,850.4138952,303.5861048
curveLM.65,850.2713275,304
curveLM.66,851.1279912,304
curveLM.67,851.9846549,304
curveLM.68,852.8413186,304
curveLM.69,853.493548,304.493548
curveLM.70,854.1404324,305
curveLM.71,854.9970961,305
curveLM.72,855,305.8537598
curveLM.73,855,306.7104234
curveLM.74,855,307.5670871
curveLM.75,855,308.4237508
curveLM.76,854.801717,309.198283
curveLM.77,854.1959643,309.8040357
curveLM.78,853.5902116,310.4097884
curveLM.79,853,311.0219784
curveLM.80,853,311.8786421
curveLM.81,852.4800603,312.5199397
curveLM.82,851.8743076,313.1256924
curveLM.83,851.2685549,313.7314451
curveLM.84,850.6628022,314.3371978
curveLM.85,850.0570495,314.9429505
curveLM.86,849.4512968,315.5487032
curveLM.87,849,316.2184337
curveLM.88,848.9468981,317.0531019
curveLM.89,848.3411454,317.6588546
curveLM.90,848,318.3742112
curveLM.91,848.1632532,319.1632532
curveLM.92,848.7690059,319.7690059
curveLM.93,849.3747586,320.3747586
curveLM.94,849.9805113,320.9805113
curveLM.95,850.8291025,321
curveLM.96,851.4849099,321.4849099
curveLM.97,852.0906626,322.0906626
curveLM.98,852.6964153,322.6964153
curveLM.99,853.4273301,323
curveLM.100,854.200814,323.200814
curveLM.101,854.8065667,323.8065667
curveLM.102,854.5876806,324.4123194
curveLM.103,853.9819279,325.0180721
curveLM.104,853.3761752,325.6238248
curveLM.105,852.7704225,326.2295775
curveLM.106,852.1646698,326.8353302
curveLM.107,851.5589171,327.4410829
curveLM.108,851,328.0662355
curveLM.109,851,328.9228992
curveLM.110,851,329.7795629
curveLM.111,850.5501199,330.4498801
curveLM.112,849.9443672,331.0556328
curveLM.113,849.3386145,331.6613855
curveLM.114,849.3777905,332
curveLM.115,850.1657842,332.1657842
curveLM.116,850.7715369,332.7715369
curveLM.117,851.3772896,333.3772896
curveLM.118,851.9830423,333.9830423
curveLM.119,852.8326818,334
curveLM.120,853,334.6893455
curveLM.121,852.6139132,335.3860868
curveLM.122,852.0081605,335.9918395
curveLM.123,851.4024078,336.5975922
curveLM.124,851,337.2875731
curveLM.125,850.8980092,338.1019908
curveLM.126,850.2922565,338.7077435
curveLM.127,849.6865038,339.3134962
curveLM.128,849.0807511,339.9192489
curveLM.129,849,340.7424645
curveLM.130,849,341.5991281
curveLM.131,849,342.4557918
curveLM.132,849,343.3124555
curveLM.133,849,344.1691192
curveLM.134,848.9817687,345.0182313
curveLM.135,848.376016,345.623984
curveLM.136,847.6751033,346
curveLM.137,847,346.1815604
curveLM.138,847,347.0382241
curveLM.139,847,347.8948878
curveLM.140,847.5314271,348.5314271
curveLM.141,848.1371798,349.1371798
curveLM.142,848.7429325,349.7429325
curveLM.143,849.3486852,350.3486852
curveLM.144,849.9544379,350.9544379
curveLM.145,850.7922292,351
curveLM.146,851.4588366,351.4588366
curveLM.147,852.0645893,352.0645893
curveLM.148,852.670342,352.670342
curveLM.149,853,353.3904568
curveLM.150,852.7528795,354
curveLM.151,851.9266135,354.0733865
curveLM.152,851.3208608,354.6791392
curveLM.153,850.597102,355
curveLM.154,849.7404383,355
curveLM.155,848.9178162,355.0821838
curveLM.156,848.3120635,355.6879365
curveLM.157,847.5846608,356
curveLM.158,846.7279971,356
curveLM.159,846,356.1286666
curveLM.160,846,356.9853303
curveLM.161,846,357.841994
curveLM.162,846,358.6986576
curveLM.163,846.3926715,359.3926715
curveLM.164,846.9984242,359.9984242
curveLM.165,847,360.8544351
curveLM.166,847.5028228,361.5028228
curveLM.167,848.1085755,362.1085755
curveLM.168,848.7143282,362.7143282
curveLM.169,849,363.4526628
curveLM.170,849.2187268,364.2187268
curveLM.171,849.8244795,364.8244795
curveLM.172,849.5697678,365.4302322
curveLM.173,849,366.0508904
curveLM.174,849,366.9075541
curveLM.175,849,367.7642178
curveLM.176,849,368.6208815
curveLM.177,849,369.4775451
curveLM.178,849,370.3342088
curveLM.179,849,371.1908725
curveLM.180,849,372.0475362
curveLM.181,849,372.9041999
curveLM.182,848.4619882,373.5380118
curveLM.183,848,374.2033137
curveLM.184,848,375.0599774
curveLM.185,848,375.9166411
curveLM.186,848,376.7733048
curveLM.187,848,377.6299685
curveLM.188,848,378.4866321
curveLM.189,848,379.3432958
curveLM.190,847.8000405,380
curveLM.191,847,380.0566232
curveLM.192,847,380.9132869
curveLM.193,846.2300494,381
curveLM.194,845.5569168,381.4430832
curveLM.195,844.9309356,382
curveLM.196,844.0742719,382
curveLM.197,843.4467655,382.5532345
curveLM.198,843,383.2248419
curveLM.199,843.0576332,384.0576332
curveLM.200,843.6633859,384.6633859
curveLM.201,844,385.3806194
curveLM.202,844.1677845,386.1677845
curveLM.203,844.7735372,386.7735372
curveLM.204,845,387.5363969
curveLM.205,845.2779358,388.2779358
curveLM.206,845.8836885,388.8836885
curveLM.207,846.4894412,389.4894412
curveLM.208,847,390.1346245
curveLM.209,847,390.9912882
curveLM.210,846.4004075,391.5995925
curveLM.211,845.7946548,392.2053452
curveLM.212,845.1889021,392.8110979
curveLM.213,844.5831494,392.5831494
curveLM.214,843.968034,392
curveLM.215,843.1113703,392
curveLM.216,842.472998,391.472998
curveLM.217,842,390.8122565
curveLM.218,841.9685994,389.9685994
curveLM.219,841.3628467,389.3628467
curveLM.220,841,389.343521
curveLM.221,841.1415519,390.1415519
curveLM.222,841.7473046,390.7473046
curveLM.223,842,391.4992985
curveLM.224,842,392.3559622
curveLM.225,842,393.2126258
curveLM.226,842,394.0692895
curveLM.227,842,394.9259532
curveLM.228,841.2173831,395
curveLM.229,841,395.6392806
curveLM.230,841,396.4959443
curveLM.231,840.7506685,397.2493315
curveLM.232,840.1449158,397.8550842
curveLM.233,840,398.6517218
curveLM.234,840,399.5083855
curveLM.235,840,400.3650492
curveLM.236,840,401.2217128
curveLM.237,839.9445794,402.0554206
curveLM.238,839.3388267,402.6611733
curveLM.239,839.3774903,403
curveLM.240,840.1655719,403.1655719
curveLM.241,840.7713246,403.7713246
curveLM.242,841.5332678,404
curveLM.243,842.3899315,404
curveLM.244,843.1743692,404.1743692
curveLM.245,843.7801219,404.7801219
curveLM.246,844.545709,405
curveLM.247,845,405.4023727
curveLM.248,844.7409636,406
curveLM.249,844,406.1157001
curveLM.250,844,406.9723638
curveLM.251,843.4137891,407.5862109
curveLM.252,842.8080364,408.1919636
curveLM.253,842.2022836,408.7977164
curveLM.254,841.5965309,409.4034691
curveLM.255,841,410.0130415
curveLM.256,841,410.8697052
curveLM.257,840.4863796,411.5136204
curveLM.258,840,412.168819
curveLM.259,840,413.0254827
curveLM.260,840,413.8821464
curveLM.261,840.5224176,414.5224176
curveLM.262,841.1281703,415.1281703
curveLM.263,841.733923,415.733923
curveLM.264,842,416.480374
curveLM.265,842,417.3370377
curveLM.266,842,418.1937014
curveLM.267,841.9643865,419.0356135
curveLM.268,841.3586338,419.6413662
curveLM.269,840.7528811,420.2471189
curveLM.270,840.1471284,420.8528716
curveLM.271,839.5413757,421.4586243
curveLM.272,838.935623,422.064377
curveLM.273,838.3298703,422.6701297
curveLM.274,837.7241176,423.2758824
curveLM.275,837.1183649,423.8816351
curveLM.276,837,424.6892705
curveLM.277,837,425.5459342
curveLM.278,837,426.4025978
curveLM.279,837.2592615,427
curveLM.280,838.1159252,427
curveLM.281,838.9725889,427
curveLM.282,839.8292526,427
curveLM.283,840.6859163,427
curveLM.284,841,427.54258
curveLM.285,840.6007563,428
curveLM.286,839.8190462,428.1809538
curveLM.287,839.2132935,428.7867065
curveLM.288,838.6075408,429.3924592
curveLM.289,838.0017881,429.9982119
curveLM.290,837.145865,430
curveLM.291,836.4973894,430.5026106
curveLM.292,835.8467512,431
curveLM.293,834.9929908,431.0070092
curveLM.294,834.3872381,431.6127619
curveLM.295,834,432.3090263
curveLM.296,834,433.16569
curveLM.297,833.9841936,434.0158064
curveLM.298,833.3784409,434.6215591
curveLM.299,833,435.3214675
curveLM.300,833,436.1781312
curveLM.301,833.0246037,437.0246037
curveLM.302,833.6303564,437.6303564
curveLM.303,834.3339087,438
curveLM.304,835,438.1905724
curveLM.305,834.9665991,439.0334009
curveLM.306,834.3608464,439.6391536
curveLM.307,833.7550937,440.2449063
curveLM.308,833.149341,440.850659
curveLM.309,832.5435883,441.4564117
curveLM.310,831.9120862,442
curveLM.311,831.0554225,442
curveLM.312,830.4334369,442.5665631
curveLM.313,829.8276842,443.1723158
curveLM.314,829.2219315,443.7780685
curveLM.315,828.4571949,444
curveLM.316,827.7175329,444.2824671
curveLM.317,827.1117802,444.8882198
curveLM.318,827.6985826,445
curveLM.319,828.3926184,445.3926184
curveLM.320,828.9983711,445.9983711
curveLM.321,829.6041238,446.6041238
curveLM.322,830.2098765,447.2098765
curveLM.323,830.8156292,447.8156292
curveLM.324,831,448.595924
curveLM.325,831,449.4525877
curveLM.326,831.3092514,450
curveLM.327,832,450.1659151
