,V1,V2
suture_start,778,437
curveLM.3,778.8507178,436.1492822
curveLM.4,779,435.0080202
curveLM.5,779.8450467,434.1549533
curveLM.6,780,433.0160404
curveLM.7,780.1870562,432
curveLM.8,781,431.6098471
curveLM.9,781.4194908,430.5805092
curveLM.10,782.2702086,429.7297914
curveLM.11,783,428.8289842
curveLM.12,783.2645374,427.7354626
curveLM.13,784,426.8370045
curveLM.14,784.2588663,425.7411337
curveLM.15,785,424.8450247
curveLM.16,785,423.641928
curveLM.17,785.3968062,422.6031938
curveLM.18,786.247524,421.752476
curveLM.19,787,420.8610651
curveLM.20,787.2418528,419.7581472
curveLM.21,788,418.8690854
curveLM.22,788,417.6659887
curveLM.23,788,416.462892
curveLM.24,788,415.2597953
curveLM.25,788,414.0566987
curveLM.26,788,412.853602
curveLM.27,788,411.6505053
curveLM.28,787.6092589,410.6092589
curveLM.29,787,409.6585256
curveLM.30,786.6149301,408.6149301
curveLM.31,786,407.6665458
curveLM.32,786,406.4634491
curveLM.33,786.5230098,405.4769902
curveLM.34,787,404.4714693
curveLM.35,787,403.2683727
curveLM.36,787.6609497,402.3390503
curveLM.37,788.5116675,401.4883325
curveLM.38,789,400.4875098
curveLM.39,789.5059963,399.4940037
curveLM.40,790.3567141,398.6432859
curveLM.41,791.207432,397.792568
curveLM.42,792,396.9177638
curveLM.43,792,395.7146671
curveLM.44,792,394.5115705
curveLM.45,791.3084738,394
curveLM.46,791,393.1053771
curveLM.47,791.0690982,391.9309018
curveLM.48,791.919816,391.080184
curveLM.49,792,389.9103007
curveLM.50,792,388.707204
curveLM.51,792.3506491,387.6493509
curveLM.52,793,386.7152242
curveLM.53,793.3449779,385.6550221
curveLM.54,794,384.7232445
curveLM.55,794,383.5201478
curveLM.56,794.4829178,382.5170822
curveLM.57,795,381.528168
curveLM.58,795,380.3250714
curveLM.59,795.8780253,380
curveLM.60,796.0573619,378.9426381
curveLM.61,796.9080797,378.0919203
curveLM.62,797,376.9268982
curveLM.63,797.1953018,375.8046982
curveLM.64,798,374.9349185
curveLM.65,798.1896306,373.8103694
curveLM.66,799.0403484,372.9596516
curveLM.67,799.8910663,372.1089337
curveLM.68,800.0346773,370.9653227
curveLM.69,800.8853951,370.1146049
curveLM.70,801,368.9589791
curveLM.71,801,367.7558825
curveLM.72,801,366.5527858
curveLM.73,801,365.3496891
curveLM.74,800.3965497,364.3965497
curveLM.75,800,363.3577094
curveLM.76,799.1546127,363
curveLM.77,799,361.951516
curveLM.78,799,360.7484193
curveLM.79,799.3215054,359.6784946
curveLM.80,800.1722232,358.8277768
curveLM.81,801.0324435,358
curveLM.82,802.2355402,358
curveLM.83,803.4386369,358
curveLM.84,804.6417335,358
curveLM.85,805.5973852,358.5973852
curveLM.86,806.6337133,359
curveLM.87,807.83681,359
curveLM.88,808.735325,359.735325
curveLM.89,809.5860429,360.5860429
curveLM.90,810.6176729,361
curveLM.91,811,360.1792305
curveLM.92,811.7239827,359.2760173
curveLM.93,812,358.1872507
curveLM.94,812,356.984154
curveLM.95,812,355.7810573
curveLM.96,812.4220393,355
curveLM.97,813,354.374864
curveLM.98,813,353.1717673
curveLM.99,813,351.9686707
curveLM.100,813,350.765574
curveLM.101,813,349.5624773
curveLM.102,813,348.3593807
curveLM.103,812.4034027,347.4034027
curveLM.104,811.5526849,346.5526849
curveLM.105,811,345.5785178
curveLM.106,811,344.3754211
curveLM.107,811,343.1723244
curveLM.108,811,341.9692278
curveLM.109,811,340.7661311
curveLM.110,811.3089813,339.6910187
curveLM.111,812,338.7741513
curveLM.112,812,337.5710547
curveLM.113,812.4469212,336.5530788
curveLM.114,813.4209251,336
curveLM.115,814.44125,335.55875
curveLM.116,815.2919678,334.7080322
curveLM.117,816.201788,334
curveLM.118,817.4048847,334
curveLM.119,818.4299077,333.5700923
curveLM.120,819.3968644,333
curveLM.121,820.5999611,333
curveLM.122,821.5678476,333.5678476
curveLM.123,822.5919409,334
curveLM.124,823.7950376,334
curveLM.125,824.9981342,334
curveLM.126,826.1422917,333.8577083
curveLM.127,826.9930095,333.0069905
curveLM.128,827.8437274,332.1562726
curveLM.129,828.6944452,331.3055548
curveLM.130,829.545163,330.454837
curveLM.131,830,329.44014
curveLM.132,830.5394918,328.4605082
curveLM.133,831.3902096,327.6097904
curveLM.134,832,326.6592771
curveLM.135,832.5438195,326
curveLM.136,833,325.2530838
curveLM.137,833.6717605,324.3282395
