,V1,V2
suture_start,325,779
curveLM.3,325.7018933,778.2981067
curveLM.4,326,777.4289596
curveLM.5,326.398573,776.601427
curveLM.6,327.1004662,775.8995338
curveLM.7,327.8023595,775.1976405
curveLM.8,328.5042527,774.4957473
curveLM.9,329,773.7084656
curveLM.10,329.2841614,773
curveLM.11,330.2767884,773
curveLM.12,331.1905054,772.8094946
curveLM.13,331.8923986,772.1076014
curveLM.14,332.8404557,772
curveLM.15,333,771.1669174
curveLM.16,333.8257096,771
curveLM.17,334.5786513,770.4213487
curveLM.18,335,769.6032501
curveLM.19,335.275331,768.724669
curveLM.20,335.9772243,768.0227757
curveLM.21,336,767.0395828
curveLM.22,336.673904,766.326096
curveLM.23,337,765.4685424
curveLM.24,337,764.4759155
curveLM.25,337.3653702,763.6346298
curveLM.26,338,762.9048751
curveLM.27,338.0620499,761.9379501
curveLM.28,338.7639432,761.2360568
curveLM.29,339,760.3412078
curveLM.30,339.4606229,759.5393771
curveLM.31,340.1625162,758.8374838
curveLM.32,340.8644094,758.1355906
curveLM.33,341.5663027,757.4336973
curveLM.34,342.2681959,756.7318041
curveLM.35,342.9700892,756.0299108
curveLM.36,343.9503266,756
curveLM.37,344.9429536,756
curveLM.38,345.9355806,756
curveLM.39,346.6563418,755.3436582
curveLM.40,347.5066209,755
curveLM.41,348.4992479,755
curveLM.42,349.4918748,755
curveLM.43,350.4845018,755
curveLM.44,351.4771287,755
curveLM.45,352.3321674,754.6678326
curveLM.46,353.0481691,754
curveLM.47,354,753.959204
curveLM.48,354,752.966577
curveLM.49,354.0184201,751.9815799
curveLM.50,354.7203133,751.2796867
curveLM.51,355,750.4029097
curveLM.52,355,749.4102827
curveLM.53,355.4117795,748.5882205
curveLM.54,356.1136728,747.8863272
curveLM.55,356.815566,747.184434
curveLM.56,357.5174593,746.4825407
curveLM.57,358.3102113,746
curveLM.58,359,745.6971617
curveLM.59,359.2954653,745
curveLM.60,360,744.7119078
curveLM.61,360.1984984,743.8015016
curveLM.62,360.9003917,743.0996083
curveLM.63,361,742.1482405
curveLM.64,361.5970714,741.4029286
curveLM.65,362,740.5772001
curveLM.66,362.4154268,740
curveLM.67,363.2885376,739.7114624
curveLM.68,363.9904309,739.0095691
curveLM.69,364.9790941,739
curveLM.70,365.9717211,739
curveLM.71,366.681897,738.318103
curveLM.72,367.5427614,738
curveLM.73,368.5353884,738
curveLM.74,369.3733632,737.6266368
curveLM.75,370.0752565,736.9247435
curveLM.76,370.7771497,736.2228503
curveLM.77,371.479043,735.520957
curveLM.78,372,734.7441175
curveLM.79,372,733.7514906
curveLM.80,372.1705092,732.8294908
curveLM.81,372.8724024,732.1275976
curveLM.82,373,731.1878232
curveLM.83,373,730.1951963
curveLM.84,373,729.2025693
curveLM.85,373,728.2099424
curveLM.86,373.5534416,727.4465584
curveLM.87,374.2553348,726.7446652
curveLM.88,374.9572281,726.0427719
curveLM.89,375,725.0678617
curveLM.90,375.6539078,724.3460922
curveLM.91,376.3558011,723.6441989
curveLM.92,377,722.9184079
curveLM.93,377.074219,722
curveLM.94,378.0472672,721.9527328
curveLM.95,378.7491605,721.2508395
curveLM.96,379.4510537,720.5489463
curveLM.97,380.2162997,720
curveLM.98,381.1477335,719.8522665
curveLM.99,381.8496267,719.1503733
curveLM.100,382.779967,719
curveLM.101,383.772594,719
curveLM.102,384.5410929,718.4589071
curveLM.103,385.3436343,718
curveLM.104,386.3362613,718
curveLM.105,387.3288882,718
curveLM.106,388.3215152,718
curveLM.107,389.3141422,718
curveLM.108,390.3067691,718
curveLM.109,391.2993961,718
curveLM.110,392.292023,718
curveLM.111,393.28465,718
curveLM.112,394.1960644,717.8039356
curveLM.113,394.8979577,717.1020423
curveLM.114,395.8483173,717
curveLM.115,396.8409442,717
curveLM.116,397.8335712,717
curveLM.117,398.5842103,716.4157897
curveLM.118,399.4046116,716
curveLM.119,400.28089,715.71911
curveLM.120,400.9827833,715.0172167
curveLM.121,401.6846765,714.3153235
curveLM.122,402.3865698,713.6134302
curveLM.123,403.1251057,713
curveLM.124,404.0832495,712.9167505
curveLM.125,404.7851428,712.2148572
curveLM.126,405.688773,712
curveLM.127,406.6813999,712
curveLM.128,407.6740269,712
curveLM.129,408.6666538,712
curveLM.130,409.6592808,712
curveLM.131,410.6519077,712
curveLM.132,411.6445347,712
curveLM.133,412.6371617,712
curveLM.134,413.6297886,712
curveLM.135,414.6224156,712
curveLM.136,415.6150425,712
curveLM.137,416.4296872,712.4296872
curveLM.138,417.1860829,713
curveLM.139,418.1787098,713
curveLM.140,419.1713368,713
curveLM.141,420.1639637,713
curveLM.142,421.1565907,713
curveLM.143,422.1055128,712.8944872
curveLM.144,422.8074061,712.1925939
curveLM.145,423.720258,712
curveLM.146,424.712885,712
curveLM.147,425.7055119,712
curveLM.148,426.4936587,711.5063413
curveLM.149,427.2765523,711
curveLM.150,428.2691792,711
curveLM.151,429.2618062,711
curveLM.152,430.1799114,710.8200886
