,V1,V2
suture_start,868,339
curveLM.3,868.7806538,339.7806538
curveLM.4,869.7938088,340
curveLM.5,870.6348546,340.6348546
curveLM.6,871.5876177,341
curveLM.7,872.4890555,341.4890555
curveLM.8,873.3814265,342
curveLM.9,874,342.4854377
curveLM.10,874.5894489,343
curveLM.11,875.6934601,343
curveLM.12,876.5638973,343.5638973
curveLM.13,877.3445512,344.3445512
curveLM.14,878.1770665,345
curveLM.15,879.2810777,345
curveLM.16,880.3850889,345
curveLM.17,881,345.4891001
curveLM.18,881.5931113,346
curveLM.19,882.6971225,346
curveLM.20,883.8011337,346
curveLM.21,884.9051449,346
curveLM.22,885.7135811,346.7135811
curveLM.23,886.6989537,347
curveLM.24,887.8029649,347
curveLM.25,888.641329,347.641329
curveLM.26,889.5967738,348
curveLM.27,890.4955298,348.4955298
curveLM.28,891.2761836,349.2761836
curveLM.29,892,350.0803802
curveLM.30,892.1843914,351
curveLM.31,893.2039315,351.2039315
curveLM.32,893.9845853,351.9845853
curveLM.33,894.0822115,353
curveLM.34,895.1316793,353.1316793
curveLM.35,895.9123331,353.9123331
curveLM.36,896.9800315,354
curveLM.37,897.7665339,354.7665339
curveLM.38,898.7738403,355
curveLM.39,899.8778515,355
curveLM.40,900.6942818,355.6942818
curveLM.41,901.6716603,356
curveLM.42,902.5484826,356.5484826
curveLM.43,903.4654692,357
curveLM.44,904.4026834,357.4026834
curveLM.45,905.1833372,358.1833372
curveLM.46,905.963991,358.963991
curveLM.47,906.7446448,359.7446448
curveLM.48,907.5252986,360.5252986
curveLM.49,908,361.4326821
curveLM.50,908,362.5366933
curveLM.51,908,363.6407045
curveLM.52,908,364.7447157
curveLM.53,907.3998595,365.6001405
curveLM.54,906.4614755,366
curveLM.55,905.3574643,366
curveLM.56,904.4721116,365.4721116
curveLM.57,903.6914578,364.6914578
curveLM.58,902.910804,363.910804
curveLM.59,902.1301502,363.1301502
curveLM.60,901.080049,363
curveLM.61,900.2759494,362.2759494
curveLM.62,899.2862402,362
curveLM.63,898.182229,362
curveLM.64,897.0782178,362
curveLM.65,895.9742066,362
curveLM.66,894.8701954,362
curveLM.67,893.7661842,362
curveLM.68,892.662173,362
curveLM.69,891.5581618,362
curveLM.70,890.4541506,362
curveLM.71,889.3501394,362
curveLM.72,888.2461282,362
curveLM.73,887.142117,362
curveLM.74,886.0381058,362
curveLM.75,884.9533978,361.9533978
curveLM.76,884.172744,361.172744
curveLM.77,883.3920902,360.3920902
curveLM.78,882.4504881,360
curveLM.79,881.5378894,359.5378894
curveLM.80,880.6566793,359
curveLM.81,879.5526681,359
curveLM.82,878.4486569,359
curveLM.83,877.3446457,359
curveLM.84,876.4630475,359.5369525
curveLM.85,876.3176063,360.3176063
curveLM.86,877,361.1389607
curveLM.87,877.1718071,362.1718071
curveLM.88,877.9524609,362.9524609
curveLM.89,878.7331147,363.7331147
curveLM.90,879.5137685,364.5137685
curveLM.91,880.2944223,365.2944223
curveLM.92,881.0750761,366.0750761
curveLM.93,881.8557299,366.8557299
curveLM.94,882.8999825,367
curveLM.95,883.7099308,367.7099308
